"rt","ions"
300.108,5.86459E7
300.443,6.00006E7
300.757,6.38148E7
302.156,6.43279E7
303.551,6.20103E7
303.867,5.9491E7
304.182,6.13599E7
305.132,6.39621E7
305.445,6.67613E7
305.759,6.4677E7
306.704,7.06812E7
307.017,7.32627E7
307.33,7.42181E7
307.718,6.882E7
308.033,6.56328E7
308.648,6.4118E7
308.964,6.28611E7
309.28,6.45893E7
309.783,6.28426E7
310.1,6.10984E7
310.418,6.07976E7
310.922,5.94001E7
311.238,6.50885E7
311.554,6.3998E7
312.17,6.09181E7
312.487,6.28663E7
312.806,6.13126E7
313.421,6.3074E7
313.738,6.26265E7
314.054,6.38317E7
314.672,6.05184E7
314.991,6.22651E7
315.309,6.20297E7
315.922,6.6962E7
316.237,6.84914E7
316.553,6.68321E7
316.868,6.94486E7
317.184,6.73881E7
317.574,7.19258E7
317.889,6.72081E7
318.206,6.5639E7
318.521,6.91822E7
318.837,6.44082E7
319.152,6.66223E7
319.545,6.13147E7
319.936,6.5613E7
320.329,6.36128E7
320.72,6.0952E7
321.339,6.23285E7
321.846,6.52146E7
322.684,6.43792E7
323.413,6.31473E7
323.918,6.18736E7
324.235,6.07114E7
324.553,6.49065E7
325.285,6.15623E7
325.602,6.61227E7
325.918,6.37569E7
326.867,7.48723E7
327.258,7.03138E7
327.652,6.25976E7
328.158,6.0433E7
328.475,6.48216E7
328.793,6.24091E7
329.186,6.06898E7
329.504,6.03641E7
329.821,5.861E7
330.327,5.91357E7
330.646,6.19857E7
330.963,6.75459E7
331.355,6.51231E7
331.674,6.20163E7
331.993,6.72402E7
332.309,6.91476E7
333.038,5.95366E7
333.358,6.00121E7
333.678,5.94348E7
334.297,5.87229E7
334.691,6.08718E7
335.008,5.98545E7
335.326,6.29019E7
335.83,6.13389E7
336.147,6.24642E7
336.466,6.00267E7
337.082,6.03413E7
337.402,6.26612E7
337.72,6.53901E7
338.223,6.42575E7
338.539,6.54571E7
338.856,6.33329E7
339.471,6.45547E7
339.787,6.61205E7
340.104,6.56239E7
340.42,6.39742E7
340.811,6.36748E7
341.13,6.31127E7
341.524,6.31134E7
341.917,6.12967E7
342.309,6.57635E7
342.925,6.10728E7
343.656,5.98338E7
344.496,5.63462E7
344.89,5.93033E7
345.621,5.84986E7
345.939,5.96685E7
346.257,6.20614E7
346.575,6.08455E7
347.417,6.66016E7
347.81,6.38129E7
348.537,6.58963E7
348.854,6.27719E7
349.178,5.8067E7
349.906,6.2821E7
350.222,6.30223E7
350.541,5.99992E7
350.86,5.81471E7
351.365,6.137E7
351.683,6.00222E7
352.001,5.96864E7
352.395,6.10858E7
353.348,6.47735E7
353.664,6.44593E7
353.982,6.54375E7
354.486,6.67013E7
354.88,6.17173E7
355.273,6.17727E7
355.668,5.80796E7
356.064,5.86988E7
356.793,6.25818E7
357.114,6.14818E7
357.432,6.32275E7
357.826,6.2016E7
358.144,6.07983E7
358.463,5.69053E7
359.08,5.75703E7
359.475,5.74272E7
359.982,5.62387E7
360.301,5.88438E7
360.62,6.03068E7
361.125,5.88216E7
361.444,5.87747E7
361.95,6.03061E7
362.344,5.98837E7
362.85,6.00397E7
363.468,5.84032E7
363.973,5.87979E7
364.366,6.24591E7
364.983,6.63102E7
365.375,6.18501E7
365.993,6.28829E7
366.31,6.29598E7
366.628,6.33627E7
367.248,5.78733E7
367.565,6.04091E7
367.882,6.69302E7
368.499,6.62908E7
368.818,5.87217E7
369.139,5.75454E7
369.644,5.98973E7
370.15,6.51961E7
370.652,6.87977E7
370.967,6.34897E7
371.285,6.23787E7
371.68,6.25562E7
372.299,5.77669E7
372.618,5.91289E7
372.935,6.21736E7
373.254,6.04087E7
373.759,5.93216E7
374.265,5.84908E7
374.585,5.80901E7
374.904,5.97604E7
375.223,6.02993E7
375.729,6.25573E7
376.046,6.2798E7
376.368,6.35402E7
376.761,6.37705E7
377.72,6.16807E7
378.039,5.97905E7
378.357,6.14439E7
378.865,6.06518E7
379.184,5.95226E7
379.912,5.88227E7
380.307,5.81361E7
380.625,6.06221E7
380.944,6.04964E7
381.264,5.68742E7
381.881,6.38918E7
382.198,6.33859E7
382.518,6.27796E7
383.248,5.70853E7
383.568,5.80446E7
384.075,5.81432E7
384.469,5.87937E7
385.31,6.20286E7
385.815,6.30205E7
386.659,6.21869E7
386.977,6.21076E7
387.295,6.39E7
387.688,6.29313E7
388.08,6.49463E7
388.474,6.71218E7
388.87,6.07764E7
389.263,6.36328E7
389.581,6.02768E7
389.9,5.82996E7
390.405,6.62369E7
390.723,6.73178E7
391.04,6.30146E7
391.545,6.26105E7
391.862,6.21446E7
392.178,6.64363E7
393.018,6.59025E7
393.334,6.63724E7
393.652,5.97666E7
394.046,5.875E7
394.887,5.96493E7
395.207,5.88965E7
395.525,6.28198E7
395.844,6.0424E7
396.573,6.38688E7
396.966,6.63157E7
397.359,5.2558E7
397.753,5.93932E7
398.257,6.55217E7
398.651,6.24584E7
399.044,6.00406E7
399.664,5.94224E7
399.982,6.63618E7
400.298,6.64376E7
400.69,6.62175E7
401.083,6.72156E7
401.811,6.28596E7
402.127,6.47204E7
402.446,6.33733E7
402.95,6.41529E7
403.342,6.73613E7
403.659,6.43682E7
403.977,6.3763E7
404.48,6.15803E7
404.985,6.46318E7
405.488,6.59615E7
405.993,6.66715E7
406.387,5.82873E7
406.707,5.98111E7
407.025,6.28367E7
407.529,6.48234E7
407.922,6.35318E7
408.43,6.23662E7
408.747,6.68432E7
409.065,6.25079E7
409.458,6.21461E7
409.777,5.39833E7
410.097,6.15902E7
410.414,6.56558E7
410.92,5.87071E7
411.237,6.1989E7
411.554,6.37494E7
411.873,5.8727E7
412.491,6.69581E7
412.883,6.48102E7
413.723,6.22605E7
414.041,6.46055E7
414.357,6.30982E7
414.675,6.36826E7
415.406,6.57957E7
415.799,6.31656E7
416.117,6.38256E7
416.435,6.19951E7
416.753,6.47882E7
417.482,6.36823E7
417.8,6.32008E7
418.118,5.53263E7
418.436,6.20712E7
419.054,6.60081E7
419.371,6.34302E7
