"rt","ions"
300.197,1.2745E7
300.689,1.10732E7
301.019,1.39065E7
301.344,1.35741E7
301.743,1.40752E7
302.067,1.36704E7
302.391,1.46187E7
302.715,1.41282E7
303.04,1.28807E7
303.366,1.41019E7
303.692,1.36892E7
304.016,1.45659E7
304.416,1.4039E7
304.741,1.3798E7
305.065,1.41508E7
305.391,1.39204E7
305.79,1.42763E7
306.113,1.48052E7
306.437,1.48471E7
306.762,1.42094E7
307.087,1.45811E7
307.411,1.43496E7
307.737,1.40555E7
308.062,1.40144E7
308.387,1.42922E7
308.711,1.46486E7
309.035,1.45681E7
309.359,1.48582E7
309.683,1.50335E7
310.005,1.61032E7
310.326,1.52812E7
310.65,1.52748E7
310.974,1.4295E7
311.301,1.40922E7
311.702,1.4094E7
312.026,1.4099E7
312.348,1.57337E7
312.671,1.59638E7
312.997,1.4678E7
313.322,1.47804E7
313.648,1.42493E7
313.973,1.43543E7
314.298,1.45685E7
314.622,1.48326E7
315.02,1.49834E7
315.345,1.40448E7
315.671,1.42219E7
315.997,1.45905E7
316.322,1.46553E7
316.648,1.44715E7
317.049,1.43058E7
317.375,1.42719E7
317.701,1.44474E7
318.028,1.45487E7
318.353,1.44069E7
318.678,1.46227E7
319.004,1.44061E7
319.33,1.4169E7
319.655,1.41182E7
320.057,1.47773E7
320.38,1.5438E7
320.703,1.50317E7
321.029,1.39875E7
321.356,1.38952E7
321.684,1.37138E7
322.012,1.37206E7
322.338,1.37684E7
322.666,1.31618E7
322.995,1.29975E7
323.397,1.43792E7
323.8,1.37779E7
324.126,1.36981E7
324.454,1.32682E7
324.857,1.25898E7
325.187,1.24686E7
325.515,1.28169E7
325.842,1.34943E7
326.17,1.4198E7
326.496,1.42539E7
326.823,1.46893E7
327.149,1.4379E7
327.473,1.53554E7
327.798,1.44392E7
328.125,1.45231E7
328.45,1.52103E7
328.851,1.43292E7
329.178,1.38888E7
329.501,1.60226E7
329.826,1.46875E7
330.152,1.42467E7
330.478,1.47328E7
330.804,1.48481E7
331.13,1.45022E7
331.455,1.50819E7
331.855,1.53567E7
332.255,1.56241E7
332.58,1.52261E7
332.906,1.52348E7
333.306,1.52026E7
333.631,1.5187E7
333.957,1.47311E7
334.282,1.47145E7
334.609,1.43135E7
334.935,1.47558E7
335.26,1.50817E7
335.586,1.54746E7
335.911,1.54614E7
336.235,1.63829E7
336.557,1.62726E7
336.882,1.5452E7
337.206,1.48824E7
337.532,1.45384E7
337.858,1.42676E7
338.187,1.43594E7
338.514,1.43169E7
338.841,1.45186E7
339.167,1.44578E7
339.494,1.43204E7
339.821,1.37777E7
340.15,1.36636E7
340.555,1.38665E7
340.883,1.36698E7
341.211,1.37534E7
341.539,1.3844E7
341.865,1.4777E7
342.192,1.42523E7
342.519,1.44022E7
342.846,1.43642E7
343.171,1.51517E7
343.498,1.48735E7
343.824,1.43885E7
344.151,1.40544E7
344.479,1.3806E7
344.807,1.38529E7
345.134,1.46883E7
345.459,1.46816E7
345.784,1.53088E7
346.183,1.57007E7
346.507,1.61196E7
346.831,1.54684E7
347.156,1.47431E7
347.482,1.45717E7
347.808,1.38487E7
348.21,1.42199E7
348.539,1.48888E7
348.863,1.62292E7
349.187,1.57499E7
349.589,1.44457E7
349.914,1.4975E7
350.241,1.40776E7
350.568,1.43429E7
350.898,1.42336E7
351.227,1.36918E7
351.556,1.38163E7
351.884,1.3976E7
352.209,1.47638E7
352.536,1.47342E7
352.863,1.45641E7
353.19,1.38261E7
353.519,1.36995E7
353.849,1.39182E7
354.177,1.35929E7
354.503,1.54998E7
354.829,1.49657E7
355.154,1.55323E7
355.479,1.49696E7
355.806,1.47194E7
356.209,1.49325E7
356.536,1.41688E7
356.863,1.3923E7
357.19,1.4426E7
357.591,1.45731E7
357.918,1.49349E7
358.244,1.4936E7
358.569,1.50955E7
358.897,1.44362E7
359.224,1.53761E7
359.625,1.50132E7
359.951,1.523E7
360.277,1.50671E7
360.603,1.48382E7
360.929,1.50484E7
361.333,1.39631E7
361.661,1.43364E7
361.989,1.39967E7
362.318,1.31743E7
362.647,1.38793E7
363.05,1.42603E7
363.377,1.45627E7
363.705,1.45265E7
364.033,1.41778E7
364.362,1.37729E7
364.691,1.33561E7
365.022,1.34062E7
365.536,1.40829E7
365.865,1.41694E7
366.195,1.37676E7
366.525,1.35306E7
366.853,1.3703E7
367.182,1.40751E7
367.51,1.37944E7
367.836,1.54091E7
368.163,1.43579E7
368.489,1.49028E7
368.816,1.46536E7
369.143,1.47928E7
369.472,1.36518E7
369.801,1.34151E7
370.129,1.38876E7
370.458,1.39521E7
370.786,1.38433E7
371.112,1.48086E7
371.437,1.57688E7
371.761,1.61856E7
372.085,1.53741E7
372.409,1.59075E7
372.735,1.4626E7
373.062,1.44836E7
373.389,1.45151E7
373.716,1.43537E7
374.043,1.44517E7
374.371,1.36879E7
374.774,1.44621E7
375.101,1.45765E7
375.428,1.44068E7
375.944,1.40288E7
376.271,1.43883E7
376.6,1.39909E7
377.113,1.44089E7
377.441,1.38614E7
377.767,1.44335E7
378.093,1.42508E7
378.421,1.43072E7
378.749,1.3878E7
379.15,1.48707E7
379.552,1.42397E7
379.876,1.47931E7
380.201,1.46496E7
380.53,1.35337E7
380.936,1.2729E7
381.263,1.35728E7
381.59,1.46723E7
381.917,1.45395E7
382.244,1.40054E7
382.571,1.38817E7
382.899,1.3553E7
383.226,1.37757E7
383.555,1.35747E7
383.884,1.38037E7
384.211,1.31302E7
384.728,1.33482E7
385.056,1.3406E7
385.383,1.39158E7
385.709,1.31693E7
386.224,1.35728E7
386.547,1.41689E7
386.873,1.3634E7
387.198,1.32114E7
387.599,1.3339E7
388.003,1.25837E7
388.331,1.30292E7
388.66,1.28937E7
388.988,1.20703E7
389.617,1.15052E7
389.947,1.11882E7
390.277,1.17772E7
390.604,1.14435E7
391.231,1.16092E7
391.558,1.10284E7
391.886,1.06931E7
392.629,1.00641E7
392.961,9951440.0
393.293,1.03225E7
394.148,1.01766E7
394.48,9763720.0
394.807,9685250.0
395.771,1.06237E7
396.098,9749840.0
396.425,1.03984E7
397.056,1.01215E7
397.385,9866970.0
397.712,1.07738E7
398.557,1.25173E7
398.881,1.32889E7
399.203,1.29026E7
400.278,1.17354E7
400.604,1.29204E7
400.925,1.15255E7
401.883,1.30139E7
402.201,1.33247E7
402.522,1.249E7
403.591,1.23242E7
403.908,1.48775E7
404.225,1.58262E7
405.408,1.3376E7
405.729,1.38312E7
406.047,1.51134E7
406.892,1.6416E7
407.206,1.70926E7
407.524,1.70301E7
407.914,1.73441E7
408.23,1.80337E7
409.181,1.61583E7
409.496,1.81295E7
409.813,1.82912E7
410.99,1.35522E7
411.302,1.544E7
411.612,1.55238E7
412.556,2.11675E7
412.865,1.95045E7
413.174,2.06056E7
414.122,2.11403E7
414.431,2.23434E7
414.74,1.94455E7
415.911,2.14414E7
416.217,2.19684E7
416.522,2.51996E7
417.688,2.17564E7
417.99,2.41379E7
418.291,2.17197E7
419.686,1.93501E7
420.062,2.08313E7
420.438,2.69613E7
421.151,2.75014E7
421.451,2.22773E7
421.751,2.32689E7
422.126,2.55058E7
422.426,3.31906E7
422.726,3.01018E7
423.027,2.39236E7
423.85,2.7244E7
424.15,2.16638E7
424.45,3.07491E7
425.053,2.3022E7
425.353,2.74746E7
425.653,2.50938E7
426.37,2.7729E7
426.67,2.10676E7
426.97,2.64953E7
427.345,2.83631E7
428.059,2.00333E7
428.359,2.50452E7
428.659,1.81172E7
429.262,1.51541E7
429.563,2.34511E7
429.863,1.85389E7
430.238,2.84861E7
430.613,1.99807E7
431.104,2.04082E7
431.591,1.98647E7
431.891,2.96938E7
432.192,2.06017E7
432.795,1.5991E7
433.095,2.07434E7
433.396,2.13518E7
433.697,1.93988E7
433.998,2.08386E7
434.687,2.55147E7
434.989,1.83144E7
435.29,1.89126E7
435.895,2.06817E7
436.196,2.25856E7
436.497,1.68713E7
437.329,1.59201E7
437.63,1.9725E7
437.931,2.37002E7
438.307,2.43342E7
438.683,2.46251E7
439.058,2.10878E7
439.435,1.76118E7
439.811,2.02119E7
440.113,2.28891E7
440.414,1.70798E7
441.132,1.17997E7
441.434,1.62629E7
441.738,1.61414E7
442.228,1.28261E7
442.53,1.345E7
442.833,1.22128E7
443.137,1.25068E7
443.443,8248270.0
444.138,1.12336E7
444.442,1.24763E7
444.745,1.07122E7
445.355,1.01078E7
445.659,1.05918E7
445.963,1.17588E7
446.455,8641590.0
446.759,1.15318E7
447.065,8300590.0
447.788,9713710.0
448.095,7958390.0
448.402,8695870.0
449.24,7614760.0
449.547,7868410.0
449.856,7141830.0
450.239,6550960.0
450.548,7749820.0
450.855,7732640.0
451.692,9882040.0
451.999,9157910.0
452.305,8321560.0
452.801,9339850.0
453.3,8542270.0
453.612,6322000.0
453.923,7403570.0
454.423,6528710.0
454.734,6933040.0
455.045,7256460.0
455.431,7388630.0
455.816,7508720.0
456.203,7460590.0
456.589,6928350.0
456.903,6582160.0
457.215,6933870.0
457.532,6391050.0
457.845,8046700.0
458.156,7178500.0
458.856,6963080.0
459.169,7061390.0
459.482,7481400.0
459.986,5722790.0
460.302,6749900.0
460.614,7117120.0
460.927,6447690.0
461.316,7012870.0
461.705,8224790.0
462.091,7744130.0
462.48,7236800.0
462.982,7165530.0
463.37,7973060.0
463.761,7186500.0
464.076,7154340.0
464.39,7133040.0
464.704,6941800.0
465.092,7159820.0
465.405,7913440.0
465.721,7099960.0
466.037,7972190.0
466.54,7178970.0
466.855,7051120.0
467.168,7793180.0
467.673,7040270.0
467.989,7633210.0
468.303,7634450.0
468.689,8429670.0
469.001,7712650.0
469.316,7965680.0
469.707,8154440.0
470.095,8079270.0
470.407,8199160.0
470.721,8538020.0
471.332,8372190.0
471.644,8044980.0
471.958,8106930.0
472.273,9303590.0
472.585,9186650.0
473.202,8394940.0
473.516,8557270.0
473.827,9609160.0
474.14,9155960.0
474.527,9873210.0
474.839,9642250.0
475.15,1.09155E7
475.461,1.08463E7
475.774,1.11821E7
476.159,1.28018E7
476.47,1.04646E7
476.782,9136820.0
477.17,1.01238E7
477.485,8324850.0
477.874,8801530.0
478.189,8814000.0
478.503,9197860.0
478.894,8133000.0
479.207,8814620.0
479.52,8821080.0
479.835,9288830.0
480.339,9365320.0
480.656,9682880.0
480.972,9200820.0
481.364,9135730.0
481.677,9948690.0
481.993,9297330.0
482.384,9330940.0
482.698,9879260.0
483.018,8823170.0
483.409,9070950.0
483.798,9478740.0
484.187,1.0309E7
484.502,9465170.0
484.817,9649930.0
485.134,9313010.0
485.526,9185850.0
485.842,8971840.0
486.156,9644240.0
486.473,8661960.0
486.791,9212960.0
487.105,9678960.0
487.423,9422290.0
487.738,9659590.0
488.128,1.02994E7
488.443,1.02581E7
488.758,9565570.0
489.376,1.07128E7
489.692,9907630.0
490.003,1.06089E7
490.392,1.06284E7
490.706,1.00358E7
491.099,9681940.0
491.419,9753210.0
491.734,1.03079E7
492.049,1.04096E7
492.363,1.061E7
492.864,1.10882E7
493.177,1.15752E7
493.492,1.02136E7
493.882,1.08161E7
494.272,1.01665E7
494.588,1.04322E7
494.904,1.0365E7
495.22,1.06757E7
495.613,9944660.0
496.004,1.02007E7
496.397,1.06597E7
496.713,1.05803E7
497.031,1.02702E7
497.349,9942430.0
497.668,1.03822E7
497.987,1.07489E7
498.303,1.06412E7
498.619,1.09837E7
498.935,1.05121E7
499.256,1.026E7
499.574,1.081E7
499.893,1.03449E7
500.211,1.0681E7
500.604,1.13879E7
500.919,1.21049E7
501.233,1.14085E7
501.548,1.15452E7
501.864,1.16517E7
502.18,1.15926E7
502.497,1.14908E7
502.809,1.2989E7
503.127,1.08937E7
503.444,1.06993E7
503.757,1.15373E7
504.072,1.17429E7
504.576,1.23681E7
504.888,1.22411E7
505.203,1.15887E7
505.519,1.20019E7
505.836,1.20723E7
506.15,1.1999E7
506.778,1.18622E7
507.096,1.2558E7
507.412,1.27668E7
507.73,1.23931E7
508.046,1.19486E7
508.36,1.24017E7
508.751,1.23347E7
509.066,1.25525E7
