"rt","ions"
300.214,1.52955E7
300.683,1.54635E7
301.045,1.63215E7
302.517,1.64212E7
303.994,1.60209E7
304.356,1.63447E7
304.719,1.68091E7
305.853,1.65627E7
306.217,1.61337E7
306.585,1.61406E7
307.719,1.6383E7
308.088,1.6355E7
308.461,1.59653E7
309.482,1.69567E7
309.849,1.71669E7
310.217,1.63178E7
310.747,1.60801E7
311.198,1.6076E7
311.647,1.66786E7
312.018,1.65072E7
312.389,1.61016E7
313.186,1.57895E7
313.56,1.64269E7
313.93,1.64445E7
314.616,1.59069E7
314.987,1.62144E7
315.357,1.62867E7
315.725,1.6804E7
316.176,1.64938E7
316.551,1.66484E7
316.921,1.6151E7
317.299,1.6924E7
317.868,1.59117E7
318.246,1.58223E7
318.622,1.64102E7
319.075,1.62377E7
319.452,1.61623E7
319.823,1.59262E7
320.193,1.61447E7
320.567,1.59962E7
320.948,1.50105E7
321.405,1.56347E7
321.97,1.6406E7
322.867,1.65629E7
323.906,1.53995E7
324.371,1.52201E7
325.296,1.51755E7
325.998,1.42527E7
327.14,1.63673E7
327.512,1.65154E7
328.424,1.61865E7
328.796,1.62606E7
329.172,1.59108E7
329.553,1.60207E7
330.239,1.61097E7
330.615,1.57366E7
330.997,1.61817E7
331.37,1.60797E7
331.825,1.60767E7
332.278,1.63277E7
332.661,1.59892E7
333.033,1.64849E7
333.712,1.65337E7
334.087,1.64258E7
334.458,1.59161E7
335.028,1.63303E7
335.4,1.65297E7
335.779,1.67299E7
336.152,1.70779E7
336.829,1.6882E7
337.195,1.74038E7
337.562,1.76799E7
337.933,1.70842E7
338.305,1.57529E7
339.104,1.58812E7
339.555,1.62026E7
339.926,1.64262E7
340.291,1.80378E7
340.968,1.75381E7
341.342,1.72464E7
341.708,1.7739E7
342.086,1.66541E7
342.535,1.71291E7
343.212,1.75862E7
343.79,1.72498E7
344.474,1.69962E7
344.932,1.66375E7
345.844,1.74239E7
346.49,1.70402E7
346.939,1.70351E7
347.388,1.66423E7
348.069,1.68452E7
348.449,1.64884E7
349.243,1.66289E7
349.613,1.597E7
349.985,1.57513E7
350.356,1.67533E7
351.156,1.64656E7
351.527,1.60624E7
351.906,1.58211E7
352.284,1.66294E7
352.968,1.61741E7
353.344,1.65736E7
353.723,1.6523E7
354.291,1.68269E7
354.853,1.69545E7
355.299,1.7348E7
355.95,1.70085E7
356.408,1.70116E7
357.206,1.66709E7
357.58,1.63388E7
357.963,1.73897E7
358.336,1.70873E7
359.25,1.62497E7
359.704,1.62282E7
360.075,1.67666E7
360.449,1.66586E7
361.332,1.69503E7
361.711,1.63866E7
362.086,1.62827E7
362.666,1.61247E7
363.126,1.68189E7
363.927,1.69159E7
364.492,1.61535E7
365.166,1.6728E7
365.732,1.63147E7
366.302,1.64066E7
366.989,1.65524E7
367.669,1.71477E7
368.04,1.68996E7
368.409,1.69797E7
369.326,1.72409E7
369.772,1.7168E7
370.143,1.61334E7
370.709,1.74041E7
371.246,1.73788E7
371.7,1.74337E7
372.262,1.66757E7
372.721,1.64739E7
373.094,1.62288E7
373.465,1.64885E7
373.921,1.62431E7
374.377,1.70566E7
374.947,1.68305E7
375.403,1.64563E7
375.86,1.688E7
376.665,1.64843E7
377.039,1.64679E7
377.413,1.64427E7
378.447,1.62354E7
378.828,1.64462E7
379.209,1.65932E7
379.898,1.58653E7
380.276,1.57628E7
380.658,1.67687E7
381.229,1.6849E7
381.683,1.63111E7
382.057,1.68313E7
382.431,1.6005E7
383.237,1.69063E7
383.691,1.633E7
384.602,1.66358E7
385.17,1.6584E7
386.059,1.65011E7
386.613,1.8508E7
386.986,1.70399E7
387.356,1.7618E7
387.728,1.66398E7
388.655,1.50652E7
