"rt","ions"
300.339,2875770.0
300.754,2956120.0
301.089,2829760.0
301.436,2704910.0
301.788,2890290.0
302.14,2884140.0
302.492,2988380.0
302.836,2977530.0
303.188,2944800.0
303.54,2886810.0
303.909,2604280.0
304.29,2663230.0
304.665,2616620.0
305.049,2614940.0
305.417,2827080.0
305.991,2817100.0
306.357,2737810.0
306.726,2664440.0
307.093,2773630.0
307.458,2796360.0
307.812,2863350.0
308.171,2970410.0
308.53,2886680.0
308.898,2744780.0
309.274,2676420.0
309.658,2701400.0
310.025,2802330.0
310.393,2678110.0
310.982,2663470.0
311.342,2787520.0
311.695,2844100.0
312.049,3009780.0
312.405,2734590.0
312.776,2667980.0
313.16,2654360.0
313.533,2781120.0
313.885,2934330.0
314.231,2933930.0
314.596,2796550.0
314.963,2780970.0
315.333,2614970.0
315.923,2545490.0
316.29,2582720.0
316.665,2673150.0
317.031,2680730.0
317.389,2680970.0
317.75,2710300.0
318.122,2694280.0
318.475,2862640.0
318.838,2669630.0
319.208,2629340.0
319.571,2726830.0
319.932,2831000.0
320.296,2595440.0
320.879,2695050.0
321.237,2641310.0
321.601,2801680.0
321.965,2729740.0
322.331,2663600.0
322.685,2699960.0
323.038,2866050.0
323.392,2786300.0
323.749,2742200.0
324.11,2678940.0
324.462,2923800.0
324.801,2767300.0
325.167,2568990.0
325.54,2588340.0
326.121,2819290.0
326.479,2833410.0
326.835,2769770.0
327.184,2763270.0
327.536,2685070.0
327.887,2809540.0
328.243,2767280.0
328.594,2729830.0
328.959,2571650.0
329.32,2644940.0
329.684,2650350.0
330.043,2562670.0
330.413,2553740.0
330.999,2506350.0
331.359,2693500.0
331.707,2904490.0
332.052,2915290.0
332.386,2937030.0
332.734,2770860.0
333.088,2622020.0
333.445,2647060.0
333.79,2817030.0
334.144,2755910.0
334.49,2875640.0
334.838,2761850.0
335.195,2617210.0
335.546,2781010.0
336.104,2928360.0
336.443,2934160.0
336.798,2683060.0
337.146,2814640.0
337.489,2836540.0
337.834,2809490.0
338.19,2712380.0
338.541,2771840.0
338.892,2787800.0
339.236,2856180.0
339.579,2831080.0
339.921,2746400.0
340.285,2530290.0
340.865,2637240.0
341.221,2590610.0
341.571,2795620.0
341.915,2921150.0
342.262,2867910.0
342.612,2715160.0
342.964,2674850.0
343.321,2793100.0
343.67,2682570.0
344.02,2756840.0
344.372,2671770.0
344.726,2755670.0
345.074,2881650.0
345.418,2794480.0
345.991,2724320.0
346.359,2524590.0
346.722,2477140.0
347.071,2727070.0
347.423,2647920.0
347.776,2737590.0
348.123,2735530.0
348.473,2882280.0
348.813,2875540.0
349.156,2846670.0
349.5,2826880.0
349.845,2836170.0
350.19,2886980.0
350.534,2901620.0
350.874,2852210.0
351.225,2689760.0
351.589,2496020.0
351.943,2723150.0
352.296,2618240.0
352.644,2757590.0
352.993,2808480.0
353.338,2701140.0
353.709,2575280.0
354.07,2785940.0
354.413,2934750.0
354.757,2898270.0
355.096,2890530.0
355.438,2777880.0
356.013,2568400.0
356.37,2628250.0
356.724,2735100.0
357.071,2694790.0
357.417,2706590.0
357.758,2836620.0
358.091,2907610.0
358.447,2720730.0
358.795,2671320.0
359.139,2935940.0
359.474,2891870.0
359.81,2930270.0
360.155,2690390.0
360.504,2727370.0
361.087,2652870.0
361.437,2590300.0
361.783,2642040.0
362.146,2581990.0
362.494,2645280.0
362.862,2429830.0
363.221,2422720.0
363.581,2564430.0
363.928,2603990.0
364.279,2654950.0
364.618,2937720.0
364.952,2955600.0
365.292,2778000.0
365.644,2496670.0
366.007,2535160.0
366.359,2823480.0
366.695,3050470.0
367.029,2877650.0
367.366,2900420.0
367.712,2708400.0
368.072,2588170.0
368.42,2688440.0
368.765,2651120.0
369.105,2680290.0
369.454,2613410.0
369.796,2712510.0
370.142,2756110.0
370.48,2791880.0
371.044,2682480.0
371.39,2763960.0
371.738,2678700.0
372.099,2662270.0
372.445,2746380.0
372.801,2561560.0
373.151,2542850.0
373.503,2611590.0
373.848,2702990.0
374.195,2724470.0
374.531,2846510.0
374.874,2787860.0
375.212,2874570.0
375.547,2918300.0
376.106,2689330.0
376.454,2810290.0
376.788,2872660.0
377.128,2824980.0
377.469,2806750.0
377.81,2813730.0
378.168,2578310.0
378.526,2568630.0
378.883,2623310.0
379.231,2665880.0
379.574,2684400.0
379.916,2849740.0
380.257,2769070.0
380.808,2876740.0
381.143,2817500.0
381.48,2842370.0
381.81,2753310.0
382.152,2662400.0
382.513,2462060.0
382.864,2627690.0
383.194,2889070.0
383.537,2773200.0
383.863,2971120.0
384.199,2670590.0
384.547,2804440.0
384.884,2763430.0
385.193,3253900.0
385.523,2768600.0
386.065,2938280.0
386.394,2699640.0
386.745,2642020.0
387.085,2783910.0
387.403,2902170.0
387.728,2911000.0
388.043,2939010.0
388.37,2831040.0
388.699,2688530.0
389.051,2576980.0
389.385,2582430.0
389.702,2977440.0
390.032,2815540.0
390.368,2920180.0
390.928,2677940.0
391.264,2624840.0
391.599,2776620.0
391.913,2833590.0
392.243,2836210.0
392.58,2729680.0
392.884,2862130.0
393.207,2754720.0
393.538,2784900.0
393.862,3013510.0
394.175,2735040.0
394.518,2398870.0
394.86,2504540.0
395.197,2659420.0
395.538,2501330.0
395.857,2593070.0
396.19,2530080.0
396.507,2751110.0
396.839,2734490.0
397.179,2809090.0
397.495,2737680.0
397.801,2887050.0
398.109,2603150.0
398.425,2893140.0
398.742,2962340.0
399.051,2954740.0
399.354,3270890.0
399.65,3172380.0
399.956,3025680.0
400.256,3381550.0
400.62,2903960.0
400.93,3142480.0
401.228,3074190.0
401.525,2975860.0
401.85,2649810.0
402.166,2619780.0
402.496,2609250.0
402.826,2512070.0
403.14,2534000.0
403.472,2486280.0
403.788,2748210.0
404.069,3307400.0
404.359,3119160.0
404.64,3534350.0
404.92,3135740.0
405.229,2847740.0
405.604,2862250.0
405.925,3055970.0
406.217,3042470.0
406.503,3299560.0
406.791,3156670.0
407.092,2814020.0
407.381,3177220.0
407.684,2869700.0
407.978,3197090.0
408.261,3054230.0
408.558,2791860.0
408.846,2955780.0
409.169,2942680.0
409.471,2929550.0
409.746,3134860.0
410.047,3126190.0
410.327,3094930.0
410.703,2703740.0
411.02,2726420.0
411.326,2854870.0
411.633,2727110.0
411.916,3131150.0
412.199,3351810.0
412.491,3273770.0
412.797,2941670.0
413.111,2866100.0
413.421,2851120.0
413.725,2740720.0
414.025,2886800.0
414.325,2937790.0
414.625,2968900.0
414.916,2888170.0
415.214,3260770.0
415.579,3173480.0
415.865,3267870.0
416.166,2825850.0
416.46,3135290.0
416.767,2822900.0
417.079,2802950.0
417.394,2967130.0
417.691,3158000.0
417.996,3218820.0
418.284,3216800.0
418.575,3141500.0
418.859,3044140.0
419.14,2915830.0
419.451,2593530.0
419.759,2969230.0
420.058,3122230.0
420.338,3384850.0
420.677,3431870.0
420.972,3035540.0
421.26,3165080.0
421.576,2919090.0
421.864,2924140.0
422.148,2787480.0
422.433,2897010.0
422.717,2827920.0
423.043,2559710.0
423.371,2734770.0
423.708,2669050.0
424.02,2746710.0
424.317,3053210.0
424.619,3029470.0
424.926,3051500.0
425.25,2724900.0
425.767,3074230.0
426.066,2952620.0
426.368,2800100.0
426.668,3008970.0
426.979,2972000.0
427.277,3395730.0
427.566,3324230.0
427.849,3242170.0
428.151,2974580.0
428.444,2886690.0
428.742,3420840.0
429.03,2865420.0
429.325,2915080.0
429.634,2993230.0
429.947,2800120.0
430.251,2946770.0
430.627,2996690.0
430.944,2777550.0
431.266,2919190.0
431.568,3354420.0
431.884,3201120.0
432.188,3145050.0
432.486,3061890.0
432.795,2910080.0
433.113,2959840.0
433.428,3185540.0
433.737,3298960.0
434.059,2931800.0
434.369,3067960.0
434.668,3290400.0
434.983,3144860.0
435.285,3411000.0
435.666,3156900.0
435.967,3148780.0
436.279,3144230.0
436.614,2707540.0
436.938,3049790.0
437.269,2805530.0
437.606,2817860.0
437.928,2963730.0
438.248,3059570.0
438.589,2752170.0
438.909,3057790.0
439.234,2907380.0
439.569,2825460.0
439.896,2813730.0
440.22,2889230.0
440.54,2883300.0
441.045,3114600.0
441.361,3096450.0
441.68,3207530.0
441.986,3186240.0
442.303,3168880.0
442.617,3258970.0
442.949,2914190.0
443.282,2845000.0
443.623,2659980.0
443.965,2627480.0
444.301,2846870.0
444.634,2919430.0
444.965,2835550.0
445.297,3015170.0
445.832,3077380.0
446.145,3016520.0
446.468,3077700.0
446.795,3021070.0
447.114,2994070.0
447.44,3056030.0
447.77,2888050.0
448.114,2812030.0
448.443,2801300.0
448.786,2912670.0
449.117,2679920.0
449.451,2773250.0
449.79,2435130.0
450.125,2688480.0
450.439,2847300.0
450.792,2696990.0
451.134,2899790.0
451.463,2823570.0
451.792,2957150.0
452.131,2969950.0
452.468,2784500.0
452.804,2926770.0
453.133,2660390.0
453.47,2850710.0
453.812,2792370.0
454.162,2394920.0
454.511,2548590.0
454.861,2843710.0
455.209,2902480.0
455.549,2965610.0
456.106,2923720.0
456.449,2720090.0
456.803,2851740.0
457.142,2502250.0
457.489,2599220.0
457.851,2430110.0
458.195,2753070.0
458.546,2770170.0
458.88,2910640.0
459.209,2933780.0
459.547,2732990.0
459.887,2727490.0
460.22,2820890.0
460.566,2924170.0
460.91,2948130.0
461.224,2969560.0
461.549,2904440.0
461.893,2754260.0
462.233,2589400.0
462.58,2747940.0
462.938,2635910.0
463.272,2890460.0
463.622,2663330.0
463.949,3035810.0
464.284,2852460.0
464.604,3040920.0
464.937,3020300.0
465.277,2667540.0
465.694,2641550.0
466.046,2625620.0
466.388,2822140.0
466.734,2808780.0
467.074,2729080.0
467.408,2725890.0
467.748,2585100.0
468.093,2811530.0
468.44,2807300.0
468.779,2733400.0
469.119,2829720.0
469.469,2755210.0
469.797,2928370.0
470.135,2750010.0
470.49,2735860.0
471.054,2766220.0
471.409,2835530.0
471.752,2615000.0
472.097,2657670.0
472.44,2830860.0
472.779,2850720.0
473.112,2931280.0
473.453,2723420.0
473.809,2677810.0
474.174,2544430.0
474.509,2650140.0
474.858,2605190.0
475.204,2774180.0
475.556,2765180.0
476.109,2855000.0
476.435,2928700.0
476.766,2689910.0
477.119,2665920.0
477.47,2599550.0
477.839,2538510.0
478.19,2586890.0
478.538,2714590.0
478.884,2750490.0
479.239,2735200.0
