"rt","ions"
600.201,2.55725E7
600.626,2.42172E7
600.977,2.44101E7
601.511,2.47206E7
601.86,2.42269E7
602.209,2.35331E7
602.559,2.59077E7
602.907,2.46016E7
603.256,2.40557E7
603.68,2.42328E7
604.027,2.52346E7
604.374,2.48368E7
604.722,2.48126E7
605.069,2.42781E7
605.417,2.70741E7
605.765,2.47836E7
606.115,2.41282E7
606.46,2.39583E7
606.808,2.59848E7
607.155,2.5189E7
607.503,2.48027E7
607.849,2.51136E7
608.197,2.48935E7
608.545,2.49263E7
608.896,2.40405E7
609.243,2.57528E7
609.591,2.42905E7
609.941,2.41774E7
610.285,2.40187E7
610.631,2.55042E7
610.98,2.48007E7
611.328,2.44391E7
611.674,2.43558E7
612.022,2.48688E7
612.372,2.44595E7
612.721,2.37412E7
613.069,2.52562E7
613.419,2.41855E7
613.77,2.39002E7
614.117,2.39439E7
614.466,2.44014E7
614.815,2.4306E7
615.167,2.31967E7
615.515,2.34353E7
615.864,2.37561E7
616.214,2.39609E7
616.564,2.32992E7
616.913,2.64818E7
617.262,2.42601E7
617.611,2.40309E7
617.956,2.34362E7
618.305,2.4566E7
618.654,2.36186E7
619.005,2.34419E7
619.351,2.46058E7
619.698,2.54811E7
620.046,2.57954E7
620.39,2.55923E7
620.736,2.67536E7
621.081,2.64603E7
621.426,2.99144E7
621.766,2.691E7
622.111,2.57526E7
622.455,2.76657E7
622.8,2.61549E7
623.141,3.12636E7
623.479,2.99728E7
623.823,2.73103E7
624.16,2.70156E7
624.577,2.94152E7
624.916,2.93256E7
625.259,2.7041E7
625.599,2.61697E7
625.945,2.68214E7
626.29,2.59973E7
626.637,2.58382E7
626.979,2.63211E7
627.325,2.60094E7
627.672,2.56091E7
628.096,2.50792E7
628.44,2.48783E7
628.787,2.51162E7
629.134,2.51867E7
629.481,2.45211E7
629.827,2.70041E7
630.175,2.5393E7
630.599,2.49475E7
630.947,2.48263E7
631.289,2.48361E7
631.637,2.5445E7
631.984,2.56881E7
632.329,2.59436E7
632.672,2.81671E7
633.015,2.75869E7
633.36,2.60296E7
633.702,2.56854E7
634.047,2.75037E7
634.391,2.67298E7
634.737,2.65315E7
635.08,2.80176E7
635.425,2.64436E7
635.771,2.53452E7
636.119,2.4226E7
636.467,2.72068E7
636.815,2.53233E7
637.162,2.53841E7
637.585,2.53544E7
637.928,2.58959E7
638.275,2.6011E7
638.622,2.53815E7
638.968,2.52181E7
639.315,2.59959E7
639.661,2.62883E7
640.008,2.59239E7
640.352,2.50804E7
640.698,2.58857E7
641.046,2.4969E7
641.399,2.50641E7
641.742,2.3883E7
642.092,2.42462E7
642.442,2.42175E7
642.792,2.41077E7
643.141,2.46716E7
643.489,2.46051E7
643.838,2.42802E7
644.188,2.33616E7
644.538,2.51018E7
644.888,2.36252E7
645.242,2.28438E7
645.59,2.29509E7
645.941,2.43852E7
646.291,2.37746E7
646.643,2.29144E7
646.991,2.21769E7
647.343,2.36046E7
647.695,2.31122E7
648.05,2.29934E7
648.396,2.27707E7
648.747,2.41855E7
649.172,2.41566E7
649.522,2.37611E7
649.872,2.34966E7
650.221,2.51254E7
650.644,2.47435E7
650.994,2.42022E7
651.346,2.39937E7
651.693,2.25935E7
652.041,2.42729E7
652.391,2.38642E7
652.74,2.38917E7
653.171,2.3232E7
653.52,2.36033E7
653.871,2.36186E7
654.222,2.31961E7
654.574,2.31601E7
654.924,2.48657E7
655.274,2.41893E7
655.623,2.39645E7
655.974,2.30667E7
656.325,2.416E7
656.675,2.35807E7
657.027,2.34827E7
657.376,2.32307E7
657.725,2.44329E7
658.075,2.39743E7
658.426,2.37279E7
658.773,2.3274E7
659.124,2.52968E7
659.473,2.37754E7
659.824,2.41519E7
660.169,2.36206E7
660.519,2.48162E7
660.869,2.40998E7
661.219,2.37437E7
661.567,2.37892E7
661.919,2.36378E7
662.271,2.35092E7
662.623,2.32405E7
662.972,2.30091E7
663.321,2.42693E7
663.672,2.3861E7
664.024,2.3488E7
664.372,2.36912E7
664.723,2.40739E7
665.074,2.34257E7
665.427,2.32026E7
665.776,2.45526E7
666.126,2.40976E7
666.476,2.40039E7
666.825,2.35991E7
667.173,2.5794E7
667.521,2.44903E7
667.874,2.3869E7
668.225,2.31753E7
668.575,2.477E7
668.926,2.36929E7
669.277,2.34448E7
669.705,2.30412E7
670.052,2.33771E7
670.403,2.36832E7
670.754,2.3651E7
671.106,2.3395E7
671.455,2.35759E7
671.806,2.36049E7
672.157,2.34782E7
672.509,2.32941E7
672.857,2.35326E7
673.205,2.41437E7
673.63,2.38449E7
673.982,2.3552E7
674.331,2.27331E7
674.681,2.39984E7
675.106,2.35602E7
675.457,2.35671E7
675.81,2.34122E7
676.16,2.45823E7
676.51,2.34258E7
676.861,2.34558E7
677.211,2.33347E7
677.559,2.46894E7
677.909,2.40343E7
678.26,2.3479E7
678.611,2.31736E7
678.963,2.39528E7
679.314,2.37864E7
679.665,2.38542E7
680.015,2.28834E7
680.365,2.4649E7
680.715,2.38367E7
681.066,2.40206E7
681.413,2.47271E7
681.762,2.59276E7
682.11,2.48876E7
682.457,2.50912E7
682.802,2.43495E7
683.15,2.50138E7
683.499,2.43305E7
683.848,2.41334E7
684.194,2.36045E7
684.543,2.45237E7
684.896,2.42616E7
685.246,2.39895E7
685.594,2.4322E7
685.943,2.4408E7
686.292,2.41387E7
686.718,2.39921E7
687.066,2.3163E7
687.417,2.45284E7
687.767,2.37149E7
688.118,2.4004E7
688.466,2.29491E7
688.815,2.53137E7
689.165,2.3648E7
689.517,2.33399E7
689.865,2.30479E7
690.214,2.51441E7
690.638,2.45031E7
690.986,2.39291E7
691.338,2.36356E7
691.687,2.36611E7
692.038,2.38487E7
692.388,2.38398E7
692.74,2.37476E7
693.091,2.31419E7
693.443,2.39072E7
693.793,2.41032E7
694.22,2.36334E7
694.569,2.28292E7
694.919,2.52981E7
695.268,2.39523E7
695.621,2.35281E7
695.97,2.25571E7
696.32,2.45489E7
696.671,2.32386E7
697.024,2.3252E7
697.373,2.27152E7
697.723,2.45969E7
698.074,2.37075E7
698.425,2.34509E7
698.776,2.2682E7
699.127,2.39909E7
699.479,2.31522E7
699.832,2.33144E7
700.18,2.2892E7
700.531,2.40179E7
700.882,2.34236E7
701.234,2.32599E7
701.587,2.24549E7
701.94,2.38181E7
702.292,2.29004E7
702.644,2.32771E7
702.995,2.26646E7
703.346,2.4419E7
703.772,2.35856E7
704.124,2.33168E7
704.479,2.29348E7
704.827,2.28582E7
705.177,2.40807E7
705.529,2.30297E7
705.883,2.25311E7
706.233,2.25727E7
706.584,2.41402E7
706.935,2.39088E7
707.289,2.33527E7
707.636,2.28601E7
707.985,2.49607E7
708.335,2.45576E7
708.762,2.47585E7
709.113,2.37874E7
709.461,2.2865E7
709.813,2.34452E7
710.166,2.33289E7
710.518,2.36639E7
710.863,2.26189E7
711.213,2.39984E7
711.564,2.35199E7
711.917,2.36652E7
712.265,2.30698E7
712.615,2.43732E7
712.968,2.33979E7
713.32,2.38747E7
713.668,2.38389E7
714.016,2.55664E7
714.365,2.46243E7
714.714,2.52144E7
715.059,2.51124E7
715.403,2.72385E7
715.752,2.51958E7
716.101,2.48621E7
716.449,2.40579E7
716.797,2.48272E7
717.146,2.4137E7
717.571,2.41455E7
717.921,2.36263E7
718.271,2.31137E7
718.623,2.47952E7
718.973,2.38493E7
719.323,2.42058E7
719.674,2.3367E7
720.023,2.53504E7
720.372,2.4633E7
720.722,2.42496E7
721.073,2.38966E7
721.497,2.37083E7
721.846,2.5388E7
722.196,2.46774E7
722.545,2.44528E7
722.894,2.38261E7
723.241,2.54025E7
723.589,2.49813E7
723.936,2.48255E7
724.286,2.49956E7
724.63,2.51665E7
724.977,2.50911E7
725.325,2.48503E7
725.676,2.44234E7
726.022,2.37176E7
726.37,2.56585E7
726.718,2.49749E7
727.068,2.46E7
727.42,2.41407E7
727.767,2.38806E7
728.114,2.63851E7
728.46,2.66805E7
728.808,2.56017E7
729.155,2.4385E7
729.502,2.53789E7
729.851,2.46932E7
730.201,2.48109E7
730.551,2.39929E7
730.901,2.33432E7
731.249,2.41777E7
731.598,2.47978E7
731.946,2.43731E7
732.297,2.41563E7
732.646,2.40849E7
732.992,2.46825E7
733.339,2.60294E7
733.688,2.44383E7
734.039,2.31852E7
734.389,2.43074E7
734.734,2.38242E7
735.083,2.50614E7
735.431,2.46732E7
735.781,2.4023E7
736.131,2.40767E7
736.483,2.38825E7
736.829,2.31816E7
737.177,2.41557E7
737.527,2.47131E7
737.876,2.39136E7
738.226,2.38784E7
738.578,2.33177E7
738.929,2.32879E7
739.275,2.35205E7
739.625,2.51594E7
739.975,2.40784E7
740.325,2.36446E7
740.675,2.38725E7
741.101,2.35896E7
741.454,2.35083E7
741.805,2.36825E7
742.152,2.38209E7
742.501,2.44195E7
742.851,2.48985E7
743.201,2.4139E7
743.55,2.39406E7
743.9,2.39822E7
744.25,2.38693E7
744.601,2.36287E7
744.946,2.40799E7
745.294,2.49356E7
745.643,2.47202E7
745.992,2.41384E7
746.341,2.41933E7
746.765,2.41136E7
747.116,2.40533E7
747.465,2.40346E7
747.818,2.45319E7
748.163,2.43289E7
748.507,2.42155E7
748.855,2.45349E7
749.203,2.56828E7
749.624,2.45904E7
749.974,2.5179E7
750.322,2.54718E7
750.671,2.43558E7
751.022,2.47611E7
751.369,2.47894E7
751.718,2.42315E7
752.065,2.70367E7
752.41,2.68243E7
752.755,2.64824E7
753.098,2.57052E7
753.44,2.55743E7
753.785,2.63174E7
754.128,2.78487E7
754.472,2.89481E7
754.815,2.76226E7
755.159,2.67982E7
755.506,2.57997E7
755.852,2.54712E7
756.197,2.62855E7
756.544,2.5689E7
756.889,2.63261E7
757.233,2.63699E7
757.575,2.55431E7
757.917,2.65054E7
758.26,2.68122E7
758.606,2.67982E7
758.952,2.62545E7
759.298,2.70093E7
759.644,2.57541E7
759.991,2.49723E7
760.34,2.44941E7
760.688,2.46652E7
761.036,2.46538E7
761.458,2.46324E7
761.806,2.41909E7
762.155,2.45469E7
762.505,2.43335E7
762.855,2.42309E7
763.209,2.42261E7
763.559,2.40116E7
763.909,2.38241E7
764.26,2.36031E7
764.608,2.38315E7
764.953,2.34462E7
765.299,2.42659E7
765.646,2.45589E7
765.993,2.54635E7
766.34,2.6323E7
766.687,2.65938E7
767.036,2.61112E7
767.383,2.60928E7
767.729,2.60177E7
768.146,2.81164E7
768.491,2.76769E7
768.836,2.66422E7
769.181,2.63369E7
769.602,2.7432E7
769.947,2.76198E7
770.292,2.68834E7
770.637,2.65867E7
770.984,2.53532E7
771.332,2.49637E7
771.681,2.45418E7
772.03,2.50416E7
772.378,2.4653E7
772.727,2.44503E7
773.074,2.50299E7
773.422,2.46479E7
773.766,2.46316E7
774.109,2.50203E7
774.451,2.535E7
774.794,2.61014E7
775.138,2.5727E7
775.486,2.61144E7
775.833,2.50231E7
776.18,2.61582E7
776.525,2.63709E7
776.873,2.4617E7
777.222,2.51253E7
777.569,2.61842E7
777.915,2.63247E7
778.263,2.61576E7
