"rt","ions"
300.341,1988800.0
300.841,2209530.0
301.272,2139230.0
301.704,2072440.0
302.135,2071200.0
302.567,1831940.0
302.998,2112390.0
303.43,2173140.0
303.861,2187370.0
304.293,2096100.0
304.725,2215050.0
305.156,2534160.0
305.587,2284030.0
306.088,2158300.0
306.519,1983120.0
306.95,1987130.0
307.382,2175180.0
307.813,1864920.0
308.245,2320760.0
308.676,2166450.0
309.108,2161190.0
309.539,2138870.0
309.971,2200840.0
310.402,1961840.0
310.902,2354840.0
311.333,2346650.0
311.765,2565290.0
312.196,2630490.0
312.628,2342130.0
313.153,2850300.0
313.585,2429140.0
314.016,2685360.0
314.54,2332750.0
314.972,2239260.0
315.404,2420730.0
315.905,2119080.0
316.336,2183390.0
316.768,2177510.0
317.199,2144100.0
317.631,2089350.0
318.062,2230610.0
318.494,2143670.0
318.925,2134800.0
319.357,2205130.0
319.789,2107620.0
320.22,2057210.0
320.652,2122020.0
321.153,2152650.0
321.584,2195310.0
322.016,2057160.0
322.447,2621010.0
322.878,2786640.0
323.31,2404310.0
323.741,2629080.0
324.173,3160230.0
324.604,2944940.0
325.036,3332220.0
325.467,2640800.0
325.967,2583060.0
326.398,2552540.0
326.83,2403310.0
327.261,2603250.0
327.693,2427660.0
328.124,2551350.0
328.556,2437850.0
328.987,2620950.0
329.419,2642090.0
329.85,2503090.0
330.282,2496030.0
330.713,2464010.0
331.214,2476570.0
331.645,2502770.0
332.077,2638150.0
332.508,2686680.0
332.94,2237370.0
333.371,2462470.0
333.803,2730180.0
334.234,2439880.0
334.666,2610650.0
335.097,2587600.0
335.528,2495220.0
336.028,2362580.0
336.46,2603720.0
336.891,2628700.0
337.322,2552540.0
337.754,3153360.0
338.185,2336810.0
338.617,2270030.0
339.048,2470300.0
339.48,2502220.0
339.911,2616240.0
340.343,3004770.0
340.843,2775830.0
341.274,2451670.0
341.706,2548750.0
342.137,3296720.0
342.568,2807760.0
343.0,2870940.0
343.431,2796140.0
343.863,2589950.0
344.294,2715350.0
344.726,2759810.0
345.157,2733270.0
345.589,2662420.0
346.243,2479570.0
346.674,2746370.0
347.106,2666130.0
347.537,2740870.0
347.969,2876590.0
348.4,3074660.0
348.832,2643230.0
349.263,2613090.0
349.695,2755630.0
350.127,2953840.0
350.558,2521780.0
351.058,2522170.0
351.49,2523470.0
351.921,2601560.0
352.352,2299260.0
352.784,2535070.0
353.215,2609030.0
353.647,2764610.0
354.078,2688840.0
354.51,2712360.0
354.941,2481550.0
