"rt","ions"
300.359,1175380.0
300.859,1167360.0
301.29,951368.0
301.722,1367640.0
302.154,926996.0
302.585,808521.0
303.016,937400.0
303.448,1139440.0
303.879,969531.0
304.311,1215190.0
304.742,1032570.0
305.173,1070160.0
305.605,969437.0
306.274,1014960.0
306.705,877887.0
307.137,1041530.0
307.568,1128830.0
307.999,1036020.0
308.431,1080220.0
308.862,1641920.0
309.294,1456960.0
309.725,929166.0
310.156,877631.0
310.588,849190.0
311.047,1.23818E7
311.265,1.23569E7
311.477,1.22475E7
311.686,1.19869E7
311.894,1.26192E7
312.097,1.19216E7
312.305,1.14671E7
312.509,1.20012E7
312.714,1.18864E7
312.915,1.24991E7
313.112,1.42414E7
313.312,1.22719E7
313.511,1.37929E7
313.706,1.36631E7
313.906,1.30003E7
314.105,1.2725E7
314.302,1.36742E7
314.499,1.33611E7
314.697,1.26849E7
314.895,1.34083E7
315.092,1.31851E7
315.29,1.29334E7
315.536,1.30407E7
315.734,1.24405E7
315.932,1.22842E7
316.129,1.28617E7
316.327,1.34666E7
316.523,1.34834E7
316.721,1.30415E7
316.918,1.36517E7
317.114,1.45546E7
317.31,1.34374E7
317.505,1.4187E7
317.701,1.47092E7
317.896,1.39905E7
318.091,1.34838E7
318.286,1.31864E7
318.481,1.44125E7
318.68,1.29288E7
318.877,1.25434E7
319.074,1.25776E7
319.269,1.36491E7
319.465,1.35723E7
319.663,1.27647E7
319.859,1.30255E7
320.057,1.25901E7
320.253,1.50012E7
320.499,1.29653E7
320.696,1.29514E7
320.892,1.39268E7
321.089,1.31083E7
321.286,1.23425E7
321.486,1.29413E7
321.682,1.36178E7
321.879,1.38338E7
322.074,1.44038E7
322.272,1.29009E7
322.467,1.36419E7
322.663,1.44335E7
322.859,1.35247E7
323.053,1.37169E7
323.248,1.3885E7
323.446,1.27823E7
323.645,1.21985E7
323.843,1.39564E7
324.04,1.31882E7
324.239,2.21963E7
324.436,1.22407E7
324.634,1.24534E7
324.832,1.23458E7
325.029,1.17415E7
325.227,1.21176E7
325.474,1.38152E7
325.67,1.25407E7
325.868,1.28984E7
326.064,1.32591E7
326.259,1.71847E7
326.453,1.56852E7
326.651,1.29792E7
326.849,1.26758E7
327.048,1.23482E7
327.248,2.95319E7
327.447,1.27344E7
327.641,1.63963E7
327.835,1.49607E7
328.032,1.33861E7
328.229,1.38922E7
328.424,1.49773E7
328.619,1.44415E7
328.813,1.41003E7
329.012,1.25777E7
329.209,1.36717E7
329.402,1.53183E7
329.597,1.40688E7
329.793,1.50391E7
329.988,1.47219E7
330.185,1.37371E7
330.428,1.51906E7
330.626,1.47514E7
330.823,1.37155E7
331.017,1.4261E7
331.213,1.33272E7
331.41,1.30799E7
331.608,1.26105E7
331.807,2.77593E7
332.003,1.62964E7
332.201,1.26335E7
332.397,1.35164E7
332.593,1.3302E7
332.791,1.26883E7
332.988,1.32893E7
333.185,1.36184E7
333.384,1.19766E7
333.584,1.23657E7
333.782,1.29216E7
333.981,1.36661E7
334.179,1.3132E7
334.375,1.62363E7
334.574,1.39133E7
334.774,1.30631E7
334.971,1.40251E7
335.168,1.31068E7
335.414,1.27533E7
335.609,1.38722E7
335.805,1.33291E7
336.0,1.4196E7
336.195,1.41405E7
336.39,1.45457E7
336.585,1.47311E7
336.78,1.49524E7
336.977,1.45889E7
337.172,1.47552E7
337.368,1.47441E7
337.566,1.45224E7
337.762,1.37084E7
337.958,1.32627E7
338.151,2.00549E7
338.347,1.40056E7
338.541,1.5725E7
338.736,1.55506E7
338.931,1.48672E7
339.128,1.46902E7
339.324,1.43378E7
339.52,1.42014E7
339.718,1.35885E7
339.914,1.36992E7
340.099,1.66689E7
340.305,1.35111E7
340.552,1.39214E7
340.748,1.39973E7
340.946,1.43518E7
341.142,1.43019E7
341.338,1.42542E7
341.533,1.43668E7
341.732,1.259E7
341.93,1.30409E7
342.128,1.37138E7
342.327,1.4121E7
342.52,1.79135E7
342.718,1.32939E7
342.917,1.30557E7
343.116,1.34061E7
343.314,1.3531E7
343.513,1.26607E7
343.711,1.30158E7
343.909,1.32254E7
344.107,1.30873E7
344.305,1.27014E7
344.504,1.28602E7
344.702,1.30143E7
344.9,1.32004E7
345.099,1.62817E7
345.295,1.35792E7
345.541,1.37781E7
345.738,1.34794E7
345.935,1.33721E7
346.132,1.3393E7
346.33,1.32215E7
346.53,1.31178E7
346.726,1.34592E7
346.925,1.7404E7
347.124,1.29845E7
347.322,1.42842E7
347.526,1.16489E7
347.724,1.2428E7
347.924,1.22242E7
348.122,1.38602E7
348.319,1.41268E7
348.517,1.20769E7
348.716,1.26419E7
348.916,1.35662E7
349.112,1.41539E7
349.309,1.25948E7
349.507,1.41517E7
349.705,1.36326E7
349.901,1.33741E7
350.1,1.31228E7
350.296,1.37501E7
350.541,1.49444E7
350.738,1.48812E7
350.934,1.45013E7
351.132,1.42044E7
351.328,1.39184E7
351.526,1.48034E7
351.72,1.49441E7
351.917,1.50584E7
352.114,1.40847E7
352.312,1.52264E7
352.507,1.51704E7
352.705,1.4302E7
352.9,1.45904E7
353.098,1.33118E7
353.296,1.3183E7
353.493,1.43667E7
353.692,1.34592E7
353.891,1.31021E7
354.09,1.31661E7
354.29,1.30396E7
354.489,1.32691E7
354.688,1.3498E7
354.885,1.35575E7
355.081,1.46606E7
355.279,1.34308E7
355.528,1.25135E7
355.728,1.22652E7
355.927,1.24371E7
356.126,1.30592E7
356.326,1.29888E7
356.523,1.35631E7
356.722,1.2604E7
356.921,1.27453E7
357.119,1.36629E7
357.317,1.35886E7
357.517,1.28648E7
357.715,1.25573E7
357.917,1.22788E7
358.116,1.29877E7
358.317,1.22219E7
358.516,1.27553E7
358.714,1.28253E7
358.915,1.24122E7
359.114,1.3001E7
359.315,1.33206E7
359.516,1.22518E7
359.714,1.44532E7
359.91,1.80037E7
360.107,1.3173E7
360.305,1.40076E7
360.551,1.49496E7
360.75,1.3287E7
360.952,1.26123E7
361.151,1.32163E7
361.35,1.38687E7
361.549,1.31528E7
361.747,1.32373E7
361.945,1.32941E7
362.143,1.30649E7
362.343,1.24829E7
362.543,1.25975E7
362.742,1.39277E7
362.94,1.32807E7
363.138,1.34149E7
363.336,1.40252E7
363.534,1.41074E7
363.732,1.43862E7
363.93,1.49614E7
364.126,1.53785E7
364.321,1.5878E7
364.515,1.97885E7
364.708,1.72638E7
364.905,1.68503E7
365.1,1.6061E7
365.296,1.47793E7
365.541,1.43466E7
365.74,1.45613E7
365.937,1.43245E7
366.137,1.32219E7
366.337,1.22599E7
366.538,1.25971E7
366.737,1.31414E7
366.935,1.35166E7
367.135,1.23865E7
367.337,1.25776E7
367.534,1.33943E7
367.733,1.46368E7
367.932,1.31963E7
368.13,1.3551E7
368.328,1.41924E7
368.525,1.48802E7
368.717,1.6067E7
368.914,1.5415E7
369.11,1.50524E7
369.309,1.41802E7
369.506,1.37114E7
369.705,1.31172E7
369.902,1.36942E7
370.098,1.49586E7
370.296,1.55073E7
370.543,1.48534E7
370.739,1.51928E7
370.935,1.54645E7
371.135,1.32897E7
371.332,1.43756E7
371.531,1.37262E7
371.728,1.38718E7
371.927,1.40491E7
372.123,1.56332E7
372.319,1.53696E7
372.515,1.58359E7
372.713,1.44374E7
372.911,1.60052E7
373.115,1.20091E7
373.313,1.32599E7
373.51,1.40556E7
373.706,1.36149E7
373.906,1.31742E7
374.106,1.30615E7
374.307,1.31589E7
374.508,1.17237E7
374.71,1.26625E7
374.908,1.28783E7
375.108,1.17084E7
375.309,1.2451E7
375.557,1.33901E7
375.759,1.30928E7
375.959,1.33678E7
376.158,1.52346E7
376.357,1.3567E7
376.558,1.29381E7
376.756,1.32142E7
376.956,1.30217E7
377.154,1.36089E7
377.353,1.42881E7
377.551,1.32337E7
377.749,1.53188E7
377.944,1.77763E7
378.138,1.65475E7
378.337,1.54525E7
378.532,1.70047E7
378.732,1.46893E7
378.93,1.34522E7
379.129,1.45811E7
379.328,1.32543E7
379.528,1.25791E7
379.728,1.28873E7
379.926,1.4766E7
380.122,1.42876E7
380.319,1.51009E7
380.565,1.34458E7
380.764,1.59965E7
380.965,1.21969E7
381.165,1.24366E7
381.366,1.27234E7
381.566,1.26673E7
381.766,1.30406E7
381.965,1.32628E7
382.165,1.32893E7
382.364,1.40735E7
382.563,1.35403E7
382.759,1.49787E7
382.957,1.3572E7
383.158,1.9435E7
383.357,1.38738E7
383.554,1.98496E7
383.753,1.36453E7
383.951,1.36048E7
384.152,1.16933E7
384.353,1.25057E7
384.552,1.35314E7
384.753,1.36521E7
384.952,1.42361E7
385.149,1.42174E7
385.397,1.55404E7
385.596,1.36236E7
385.795,1.43456E7
385.993,1.48763E7
386.193,1.31652E7
386.391,1.39379E7
386.588,1.38201E7
386.787,1.41014E7
386.98,1.55265E7
387.182,1.35549E7
387.381,1.33023E7
387.581,1.60615E7
387.779,1.45642E7
387.976,1.48186E7
388.174,1.36602E7
388.379,1.20025E7
388.58,1.191E7
388.784,1.21238E7
388.983,1.42245E7
389.181,1.35892E7
389.38,1.31519E7
389.58,1.24816E7
389.779,1.2546E7
389.978,1.33101E7
390.178,1.20281E7
390.38,1.33548E7
390.581,1.30782E7
390.781,1.2774E7
390.982,1.21863E7
391.184,1.19868E7
391.387,1.50671E7
391.591,1.50151E7
391.796,1.41468E7
392.002,1.4652E7
392.201,1.28584E7
392.403,1.26512E7
392.602,1.35494E7
392.8,1.33276E7
392.999,1.38393E7
393.198,1.26049E7
393.396,1.38285E7
393.595,1.40548E7
393.793,1.30597E7
393.994,1.29204E7
394.194,1.27375E7
394.394,1.25885E7
394.593,1.31102E7
394.793,1.21896E7
394.992,1.26384E7
395.196,1.21998E7
395.446,1.33808E7
395.646,1.34048E7
395.845,1.36366E7
396.044,1.38892E7
396.241,1.39723E7
396.442,1.27656E7
396.642,1.26515E7
396.842,1.34627E7
397.042,1.20422E7
397.244,1.24664E7
397.445,1.21734E7
397.647,1.21431E7
397.849,1.24719E7
398.05,1.24814E7
398.249,1.3116E7
398.449,1.33796E7
398.65,1.30125E7
398.85,1.31956E7
399.049,1.29063E7
399.25,1.31679E7
399.448,1.287E7
399.648,1.27825E7
399.848,1.28286E7
400.047,1.37687E7
400.246,1.41047E7
400.493,1.45493E7
