"rt","ions"
300.294,9545250.0
300.843,1.24595E7
301.331,1.17476E7
301.857,1.22363E7
302.381,1.13942E7
302.877,9234410.0
303.343,1.4338E7
303.836,1.16993E7
304.34,1.13853E7
304.848,9957530.0
305.36,1.35408E7
305.865,1.15169E7
306.363,1.08669E7
306.898,1.01849E7
307.407,1.13734E7
307.906,1.15668E7
308.413,1.19665E7
308.893,1.22578E7
309.389,1.26725E7
309.888,1.16228E7
310.404,1.26379E7
310.913,9428890.0
311.414,1.18122E7
311.956,1.00518E7
312.468,1.09102E7
312.984,1.227E7
313.462,1.10875E7
314.011,1.14307E7
314.521,1.2005E7
314.993,1.28831E7
315.525,1.16648E7
316.013,1.2897E7
316.508,1.24252E7
317.014,1.28103E7
317.525,1.14049E7
318.038,1.18006E7
318.533,1.24507E7
319.025,1.16328E7
319.532,1.31309E7
320.006,1.32489E7
320.494,1.27237E7
321.008,1.1561E7
321.513,1.20888E7
322.02,1.24081E7
322.545,1.02724E7
323.077,1.04707E7
323.552,1.26108E7
324.032,1.23378E7
324.528,1.07385E7
325.067,1.11019E7
325.564,1.28966E7
326.027,1.44735E7
326.508,1.34203E7
327.042,1.22328E7
327.532,1.27612E7
328.047,1.27512E7
328.531,1.379E7
329.069,1.25021E7
329.573,1.25938E7
330.098,1.23277E7
330.605,1.20548E7
331.058,1.40096E7
331.541,1.21034E7
332.057,1.08362E7
332.586,1.11815E7
333.172,1.02606E7
333.707,1.09844E7
334.216,1.19532E7
334.721,1.06911E7
335.22,1.31736E7
335.728,1.16982E7
336.251,1.27256E7
336.772,9661150.0
337.321,9889470.0
337.868,1.05187E7
338.397,1.01741E7
338.911,1.13897E7
339.435,1.11544E7
339.95,1.13171E7
340.473,1.0857E7
340.996,1.12097E7
341.525,1.04225E7
342.046,1.08987E7
342.574,1.05394E7
343.124,9772510.0
343.67,1.04246E7
344.176,1.00033E7
344.71,1.18118E7
345.238,9166000.0
345.787,8887180.0
346.288,1.29079E7
