"rt","ions"
600.346,7964100.0
600.913,7394880.0
601.329,5622020.0
602.844,6779330.0
604.347,8383210.0
605.852,8643720.0
607.379,6903450.0
607.85,7956750.0
608.248,7418900.0
609.095,6713860.0
609.494,8317760.0
609.903,7500910.0
611.179,8815300.0
611.574,7344190.0
611.994,6714110.0
612.695,8517880.0
613.083,9235060.0
613.48,7841430.0
614.943,5791810.0
615.348,8753720.0
615.756,7561860.0
616.7,7859820.0
617.111,7227800.0
617.508,8125960.0
618.455,7381790.0
618.862,7572860.0
619.284,6050890.0
619.708,7044840.0
620.185,8122070.0
621.018,7685960.0
621.441,7160920.0
621.859,7346780.0
622.816,6502290.0
623.235,7001790.0
623.647,7572210.0
624.058,7539580.0
624.554,8060100.0
625.173,6556220.0
625.791,6768340.0
626.198,7118310.0
626.611,7187300.0
627.227,7401730.0
627.624,7755940.0
628.039,7036340.0
628.457,6831270.0
628.944,7395390.0
629.668,7283890.0
630.085,6346530.0
630.507,6963260.0
630.928,8305230.0
631.326,7985770.0
631.761,6014670.0
632.502,5933690.0
633.334,7424650.0
633.829,6644940.0
634.652,7873950.0
635.08,5845080.0
635.486,7795740.0
636.522,7310600.0
637.146,5979280.0
638.333,8230020.0
638.736,7526010.0
639.14,6886720.0
640.198,7058200.0
640.623,6612100.0
641.034,6794880.0
641.864,7375830.0
642.269,7223110.0
642.673,7550590.0
643.525,6471740.0
644.009,8011870.0
644.488,7323900.0
645.199,7644520.0
645.744,8900940.0
646.806,7926220.0
647.206,6789140.0
647.611,7207680.0
648.662,7961580.0
649.069,7756090.0
649.456,9051350.0
650.881,6591750.0
651.442,7961040.0
652.055,7122690.0
652.578,6210350.0
653.057,7680770.0
653.524,8769910.0
653.92,8150250.0
654.639,7396870.0
655.05,7269060.0
655.449,8349440.0
656.503,8537530.0
656.9,8016160.0
657.298,7869980.0
658.014,7052110.0
658.424,6857530.0
658.841,6571160.0
659.238,7663700.0
659.833,7785330.0
660.351,6078370.0
661.028,8841200.0
661.425,8173220.0
661.82,7604290.0
662.285,8459700.0
662.761,8597540.0
663.836,6101460.0
664.432,7024540.0
665.016,7783980.0
665.856,7030400.0
666.265,7510140.0
666.665,7620820.0
667.731,7329590.0
668.212,8088730.0
669.715,8491100.0
671.227,9427060.0
671.766,9325470.0
673.25,1.13196E7
674.723,1.39911E7
675.973,1.32776E7
676.324,1.43477E7
676.669,1.79019E7
678.147,1.61022E7
678.496,1.63836E7
678.846,1.44757E7
679.733,1.677E7
680.075,1.82633E7
680.421,1.69176E7
681.274,1.66562E7
681.618,1.85349E7
681.961,1.75928E7
682.384,1.74462E7
682.807,1.63616E7
683.917,1.81746E7
684.271,1.5804E7
684.622,1.53356E7
685.28,1.45041E7
685.635,1.60288E7
685.99,1.43462E7
686.661,1.40805E7
687.548,1.78358E7
687.908,1.58586E7
688.255,1.60152E7
689.031,1.44573E7
689.392,1.45471E7
689.753,1.37542E7
690.401,1.77544E7
690.771,1.18549E7
691.129,1.53831E7
691.576,1.16907E7
692.475,1.43556E7
692.911,1.39352E7
693.355,1.24596E7
694.722,1.37696E7
695.984,9819360.0
696.364,1.11534E7
696.751,1.03331E7
697.56,9821200.0
