"rt","ions"
600.17,1.14216E7
600.583,1.2254E7
600.915,1.16342E7
602.33,1.15691E7
603.749,1.11509E7
604.834,1.11213E7
605.169,1.12956E7
605.503,1.12939E7
606.707,1.14189E7
607.043,1.13056E7
607.381,1.0956E7
608.132,1.17018E7
608.49,1.15469E7
608.834,1.13549E7
609.364,1.18127E7
609.709,1.12962E7
610.052,1.21807E7
610.812,1.20117E7
611.157,1.17776E7
611.501,1.13427E7
612.487,1.13166E7
612.835,1.15242E7
613.183,1.13544E7
614.174,1.14085E7
614.521,1.18923E7
614.871,1.19013E7
615.754,1.17986E7
616.103,1.13935E7
616.453,1.11811E7
617.443,1.09479E7
617.793,1.12229E7
618.141,1.17508E7
618.681,1.1052E7
619.33,1.15255E7
619.679,1.17564E7
620.028,1.17815E7
620.564,1.20584E7
620.914,1.17983E7
621.264,1.16411E7
621.914,1.13206E7
622.263,1.19842E7
622.612,1.10939E7
623.152,1.14163E7
623.803,1.13242E7
624.154,1.13198E7
624.505,1.13326E7
625.043,1.21928E7
625.394,1.13077E7
625.745,1.14392E7
626.849,1.18148E7
627.198,1.15297E7
627.544,1.20652E7
628.083,1.15609E7
628.507,1.17788E7
628.931,1.23464E7
629.471,1.19367E7
629.895,1.15141E7
630.246,1.12415E7
630.598,1.11926E7
630.95,1.63628E7
632.388,1.13927E7
633.822,1.15188E7
635.253,1.12194E7
635.787,1.13006E7
636.32,1.13905E7
636.742,1.17224E7
637.274,1.16614E7
637.919,1.1246E7
638.268,1.12813E7
638.617,1.13154E7
639.262,1.14697E7
639.608,1.17113E7
639.957,1.15782E7
640.378,1.1445E7
641.022,1.17889E7
641.441,1.2157E7
641.972,1.20327E7
642.394,1.11271E7
643.043,1.17075E7
643.389,1.18431E7
643.735,1.14382E7
644.379,1.1995E7
644.723,1.20575E7
645.07,1.12227E7
645.715,1.2189E7
646.134,1.22232E7
646.556,1.15042E7
647.43,1.19415E7
647.775,1.2459E7
648.12,1.14017E7
648.99,1.10654E7
649.411,1.13323E7
649.756,1.17272E7
650.101,1.14106E7
650.748,1.12645E7
651.091,1.24112E7
651.437,1.15599E7
651.972,1.14004E7
652.315,1.15246E7
652.659,1.22677E7
653.003,1.20226E7
653.537,1.15193E7
653.883,1.12285E7
654.228,1.15348E7
655.208,1.23659E7
655.551,1.17798E7
655.896,1.19562E7
656.656,1.14533E7
657.075,1.11299E7
657.417,1.25334E7
657.762,1.12139E7
658.517,1.2248E7
658.86,1.17503E7
659.204,1.07813E7
659.85,1.18487E7
660.194,1.19259E7
660.537,1.16215E7
661.411,1.14156E7
661.757,1.09089E7
662.103,1.13954E7
662.638,1.19051E7
663.06,1.16223E7
663.709,1.11643E7
664.696,1.08815E7
665.676,1.1137E7
666.321,1.1241E7
666.741,1.1027E7
667.086,1.1267E7
667.433,1.1319E7
668.303,1.1821E7
668.723,1.11114E7
669.143,1.16974E7
669.674,1.22668E7
670.016,1.20011E7
670.357,1.20606E7
671.118,1.13132E7
671.464,1.12017E7
671.808,1.16102E7
672.339,1.16331E7
672.76,1.16078E7
673.631,1.17984E7
673.976,1.15903E7
674.323,1.19372E7
675.765,1.27049E7
676.184,1.22956E7
677.63,1.32537E7
679.067,1.43663E7
680.502,1.554E7
681.937,1.71857E7
683.142,1.90229E7
683.471,2.0044E7
683.798,2.20786E7
684.761,2.29503E7
685.084,2.37076E7
685.405,2.42383E7
686.253,2.52307E7
686.572,2.68561E7
686.889,2.76241E7
687.619,3.02419E7
687.935,3.06254E7
688.25,3.13233E7
688.864,3.3608E7
689.18,3.27484E7
689.495,3.45959E7
690.11,3.41771E7
690.424,3.4937E7
690.738,3.59686E7
691.129,3.40958E7
691.443,3.38366E7
691.759,3.31927E7
692.075,3.32274E7
692.466,4.46121E7
692.781,3.52169E7
693.097,3.32671E7
694.05,3.29762E7
694.556,3.3256E7
694.948,3.07426E7
695.456,3.11964E7
695.961,3.04107E7
696.803,2.86017E7
697.122,2.866E7
697.442,2.87416E7
698.176,2.7147E7
698.498,2.69347E7
698.819,2.65126E7
699.328,2.6269E7
699.647,2.84379E7
699.968,2.63139E7
700.479,2.46307E7
700.801,2.49771E7
701.541,2.33471E7
701.942,2.17516E7
702.907,2.34986E7
703.23,2.44657E7
703.556,2.21659E7
703.96,2.02054E7
704.479,1.91536E7
704.809,1.94524E7
705.551,1.95448E7
705.881,1.8369E7
706.212,1.8422E7
706.954,1.82782E7
707.362,1.79471E7
707.883,1.75692E7
708.215,1.73007E7
708.548,1.64787E7
708.881,1.74899E7
709.216,1.65289E7
709.851,1.67302E7
710.187,1.67043E7
710.522,1.72922E7
711.161,1.63876E7
711.573,1.61839E7
712.208,1.54306E7
712.545,1.52312E7
712.884,1.50664E7
713.634,1.60326E7
713.972,1.58418E7
714.311,1.50089E7
715.179,1.49749E7
715.594,1.44662E7
715.933,1.45927E7
716.273,1.80542E7
717.71,1.35282E7
718.578,1.40402E7
718.914,1.49024E7
719.254,1.43787E7
719.591,1.41724E7
720.57,1.36113E7
720.909,1.3564E7
