"rt","ions"
600.153,9758580.0
600.512,9157050.0
600.828,9784020.0
601.558,9949690.0
601.876,9387330.0
602.194,9457110.0
602.926,9418420.0
603.249,9341620.0
603.575,9099950.0
604.202,9476540.0
604.531,9048300.0
604.861,1.03073E7
605.385,8764750.0
606.358,8955190.0
606.692,8870530.0
607.025,9188740.0
607.661,9229010.0
607.998,8869810.0
608.338,8939030.0
608.679,8841130.0
609.433,9476640.0
609.774,9075720.0
610.117,9235920.0
610.76,9072670.0
611.106,9143770.0
611.449,9616410.0
611.873,9182890.0
612.856,9695380.0
613.206,9643040.0
613.556,9604810.0
614.889,9205040.0
615.237,9070460.0
615.588,9519590.0
615.936,9569040.0
617.041,9268930.0
617.391,9198910.0
617.741,9068960.0
618.392,9166930.0
618.743,9408300.0
619.094,9547670.0
619.745,9480750.0
620.096,9247340.0
620.445,9464850.0
620.797,9470240.0
621.902,8811390.0
622.254,9180490.0
622.607,9125060.0
623.37,9169000.0
623.719,8853580.0
624.073,8695130.0
624.428,8690350.0
624.969,8906690.0
625.322,8909780.0
625.674,9259530.0
626.025,9344910.0
626.791,8713640.0
627.142,8999720.0
627.492,8928490.0
628.03,9223650.0
628.456,9165200.0
628.806,9482550.0
629.159,8900260.0
629.585,9182660.0
630.125,9117430.0
630.664,9260820.0
631.31,9762720.0
631.848,9985880.0
632.386,9754410.0
633.153,9473850.0
633.503,9240900.0
633.852,9233110.0
634.958,8973690.0
635.31,8957010.0
635.66,8868710.0
636.01,8550580.0
636.55,8558380.0
636.901,8617650.0
637.252,9087910.0
637.79,9160540.0
638.216,8805480.0
638.564,9322000.0
638.911,9103750.0
639.677,9145310.0
640.026,9150650.0
640.375,9503290.0
640.917,8949930.0
641.265,8899430.0
641.613,8728550.0
642.376,8846100.0
642.723,9145380.0
643.596,8588460.0
643.945,8626330.0
644.293,9026460.0
644.643,8736030.0
644.995,8680950.0
645.869,9029490.0
646.217,8846350.0
646.566,8645200.0
646.989,8809140.0
647.411,8919920.0
648.063,8871700.0
648.411,9023160.0
648.757,8948010.0
649.405,8576700.0
649.753,8704700.0
650.102,8581780.0
650.754,8813040.0
651.1,8761730.0
651.446,9061880.0
651.791,8926200.0
652.329,8511750.0
652.676,8734940.0
653.023,8977030.0
653.779,8976070.0
654.124,9283780.0
654.471,9177370.0
654.893,8858340.0
655.238,9214310.0
655.583,8806600.0
656.233,8945910.0
656.579,8823600.0
656.924,9086270.0
657.57,8919390.0
657.916,8627880.0
658.26,8560470.0
658.68,8741900.0
659.026,8833350.0
659.369,9191280.0
660.47,8732650.0
660.818,8957020.0
661.165,8860340.0
661.928,8652000.0
662.462,8909000.0
663.221,8904680.0
663.64,9142450.0
663.985,8977360.0
664.328,8816390.0
665.531,9447490.0
665.874,9120880.0
666.217,9097770.0
666.636,8799230.0
667.395,8899730.0
667.738,9165120.0
668.081,8881750.0
668.725,8859730.0
669.068,8808590.0
669.411,9046980.0
669.754,8938620.0
670.402,8783390.0
