"rt","ions"
300.126,3.82879E7
300.468,4.27084E7
300.775,4.82557E7
301.084,4.49012E7
301.394,4.72078E7
301.703,4.64292E7
302.013,4.31973E7
302.324,4.37818E7
302.636,4.45886E7
302.947,4.56498E7
303.257,4.54719E7
303.568,4.52582E7
303.881,4.36576E7
304.192,4.35428E7
304.504,4.49062E7
304.816,4.58247E7
305.129,4.52371E7
305.441,4.71043E7
305.754,4.49184E7
306.068,4.44156E7
306.382,4.50077E7
306.695,4.56865E7
307.009,4.61062E7
307.323,4.53233E7
307.637,4.56926E7
307.951,4.55221E7
308.266,4.58206E7
308.58,4.55465E7
308.895,4.51002E7
309.209,4.56796E7
309.523,4.51806E7
309.837,4.54484E7
310.151,4.63124E7
310.465,4.6529E7
310.779,4.62187E7
311.094,4.65463E7
311.409,4.60947E7
311.723,4.54038E7
312.037,4.44091E7
312.427,4.45975E7
312.816,4.5668E7
313.132,4.55718E7
313.448,4.57507E7
313.763,4.72218E7
314.077,4.46513E7
314.393,4.56718E7
314.707,4.5012E7
315.021,4.54242E7
315.336,4.46017E7
315.651,4.42122E7
315.968,4.69904E7
316.28,5.14886E7
316.594,4.77062E7
316.909,4.88127E7
317.224,4.55535E7
317.54,4.56446E7
317.855,4.55533E7
318.171,4.62091E7
318.486,4.56541E7
318.804,4.52248E7
319.119,5.00091E7
319.433,4.751E7
319.748,4.63429E7
320.064,4.55838E7
320.379,4.65087E7
320.695,4.57676E7
321.197,4.79969E7
321.511,5.16273E7
321.825,4.85037E7
322.14,4.85602E7
322.455,4.86126E7
322.769,4.91604E7
323.083,5.12195E7
323.397,4.80108E7
323.713,4.82592E7
324.102,4.91539E7
324.416,4.98144E7
324.73,4.97421E7
325.044,4.7832E7
325.358,4.91694E7
325.748,4.79653E7
326.064,4.60715E7
326.379,4.60247E7
326.694,4.75507E7
327.008,4.89071E7
327.323,4.68632E7
327.637,4.76269E7
327.952,4.62931E7
328.267,4.57819E7
328.58,4.75199E7
328.895,4.74193E7
329.285,4.63038E7
329.599,4.66957E7
329.913,4.58402E7
330.227,4.95286E7
330.542,4.7088E7
330.856,4.63094E7
331.171,5.03565E7
331.487,4.87746E7
331.802,4.78116E7
332.117,4.657E7
332.431,4.87592E7
332.82,5.04618E7
333.134,4.87685E7
333.447,4.95753E7
333.755,4.9421E7
334.071,5.31967E7
334.385,4.75118E7
334.773,4.91189E7
335.087,4.79257E7
335.4,4.87707E7
335.714,5.02197E7
336.027,4.96496E7
336.342,5.04249E7
336.656,4.83676E7
336.97,4.8836E7
337.284,4.90756E7
337.599,4.70796E7
337.913,4.65928E7
338.227,4.783E7
338.541,4.88811E7
338.855,4.81696E7
339.171,4.83448E7
339.485,4.8309E7
339.8,4.72701E7
340.114,4.76728E7
340.428,4.72264E7
340.742,4.849E7
341.056,4.70467E7
341.37,4.84679E7
341.684,4.80915E7
341.998,5.28761E7
342.312,5.06411E7
342.626,4.80778E7
342.941,4.82455E7
343.254,4.84427E7
343.568,4.82191E7
343.882,4.8285E7
344.196,4.7022E7
344.509,4.82573E7
344.825,4.91831E7
345.14,4.65465E7
345.453,4.84024E7
345.767,4.75276E7
346.079,5.60933E7
346.391,5.38483E7
346.893,4.97711E7
347.206,4.99114E7
347.521,4.62642E7
347.835,4.60903E7
348.15,4.72702E7
348.464,4.80162E7
348.779,4.85792E7
349.093,4.93226E7
349.407,4.90034E7
349.796,5.0115E7
350.109,4.9963E7
350.417,4.6509E7
350.731,4.7975E7
351.046,4.78961E7
351.435,4.76515E7
351.749,4.65373E7
352.065,4.71333E7
352.379,4.64544E7
352.695,4.52512E7
353.009,4.98291E7
353.324,4.69318E7
353.637,4.78379E7
353.952,4.55358E7
354.266,4.76887E7
354.58,4.53901E7
354.897,4.72082E7
355.209,5.19626E7
355.522,5.05188E7
355.834,5.07177E7
356.148,4.95123E7
356.462,4.85698E7
356.777,4.79409E7
357.09,5.12831E7
357.405,4.88144E7
357.72,4.75689E7
358.034,4.60369E7
358.348,4.69747E7
358.662,4.75483E7
358.977,4.63169E7
359.291,4.74407E7
359.605,4.78519E7
359.919,4.70929E7
360.234,4.77514E7
360.549,4.71773E7
360.862,4.94192E7
361.177,4.68523E7
361.491,4.85645E7
361.804,4.88933E7
362.118,4.81708E7
362.432,4.8904E7
362.746,5.00537E7
363.06,4.81558E7
363.373,5.12145E7
363.687,5.06997E7
364.001,4.79469E7
364.314,4.758E7
364.629,4.89636E7
364.944,4.73856E7
365.257,5.06271E7
365.573,4.69532E7
365.886,5.04836E7
366.2,4.72703E7
366.514,4.61408E7
366.828,4.55753E7
367.143,4.68745E7
367.457,4.71272E7
367.771,4.58739E7
368.086,4.65017E7
368.401,4.76123E7
368.715,4.858E7
369.029,4.75334E7
369.344,4.81474E7
369.657,4.82153E7
369.969,4.91091E7
