"rt","ions"
300.201,1.12051E7
300.69,1.0803E7
301.06,9628320.0
301.504,1.07106E7
301.863,1.13293E7
302.232,9352330.0
302.595,1.13305E7
302.966,9536950.0
303.335,1.07624E7
303.708,1.15753E7
304.08,1.07089E7
304.457,1.01116E7
304.84,1.01529E7
305.227,9734230.0
305.618,9646840.0
306.007,1.02482E7
306.47,9455860.0
306.859,1.08913E7
307.25,1.02894E7
307.649,9160010.0
308.053,9976920.0
308.451,9636780.0
308.856,1.22598E7
309.243,1.0831E7
309.643,9243690.0
310.045,9517840.0
310.44,1.0952E7
310.818,1.27546E7
311.214,9789450.0
311.601,1.19986E7
311.988,1.12794E7
312.366,1.15692E7
312.754,1.04524E7
313.145,1.08506E7
313.548,9378870.0
313.952,8524360.0
314.367,8112010.0
314.862,9296990.0
315.269,9816160.0
315.657,1.13276E7
316.049,1.04262E7
316.446,1.05001E7
316.84,1.06969E7
317.226,1.11752E7
317.615,1.09158E7
318.007,1.0278E7
318.41,8791970.0
318.819,9401810.0
319.308,8604540.0
319.727,8484250.0
320.143,8533170.0
320.546,1.00354E7
320.937,1.14973E7
321.327,1.01971E7
321.721,1.01033E7
322.105,1.09906E7
322.498,1.02153E7
322.893,9913830.0
323.287,8918800.0
323.687,9686360.0
324.084,1.02061E7
324.484,1.0192E7
324.868,1.23266E7
325.256,1.10822E7
325.655,9970580.0
326.052,9879090.0
326.45,9855190.0
326.847,1.00377E7
327.247,9918720.0
327.648,9614980.0
328.038,1.04582E7
328.426,1.1107E7
328.815,1.07536E7
329.211,1.01527E7
329.609,9940760.0
330.006,1.01981E7
330.408,9393940.0
330.805,9898730.0
331.193,1.12085E7
331.591,9155930.0
332.181,1.02474E7
332.572,1.05443E7
332.966,1.00329E7
333.357,9887370.0
333.756,9395420.0
334.232,9640480.0
334.62,1.14852E7
335.018,1.10664E7
335.409,1.07837E7
335.802,1.03284E7
336.177,1.14091E7
336.556,1.17469E7
336.944,1.01232E7
337.336,1.0335E7
337.721,1.12102E7
338.195,9938630.0
338.597,1.04813E7
338.997,1.00153E7
339.386,1.10138E7
339.775,1.17092E7
340.175,1.02024E7
340.566,1.0862E7
340.963,1.02833E7
341.354,1.01777E7
341.749,9571300.0
342.15,9293380.0
342.549,1.03618E7
342.946,1.01256E7
343.34,1.00088E7
343.741,9790750.0
344.145,9422250.0
344.539,1.07427E7
344.925,1.08968E7
345.32,1.0169E7
345.715,1.01538E7
346.112,9875280.0
346.513,9665150.0
346.905,1.03507E7
347.299,1.00139E7
347.698,9561130.0
348.091,1.05134E7
348.478,1.10773E7
348.87,9556080.0
349.277,9017990.0
349.674,9372750.0
350.07,9608910.0
350.471,9459450.0
350.866,1.02501E7
351.342,9535040.0
351.75,1.14617E7
352.144,1.06211E7
352.519,1.27783E7
352.904,1.12897E7
353.285,1.13739E7
353.679,1.0917E7
354.066,1.01794E7
354.46,1.03227E7
354.851,1.02961E7
355.241,1.08717E7
355.634,9911180.0
356.035,9152610.0
356.504,9896950.0
356.902,1.02253E7
357.301,1.00306E7
357.707,1.0088E7
358.11,9313680.0
358.503,1.09639E7
358.888,1.11959E7
359.279,1.03885E7
359.668,1.06391E7
360.064,1.01576E7
360.474,8546270.0
360.886,8998190.0
361.29,9660640.0
361.69,9791160.0
362.086,1.03477E7
362.562,9380630.0
362.967,9128560.0
363.373,9506610.0
363.774,9776130.0
364.168,9767560.0
364.558,1.16497E7
364.949,9719970.0
365.351,1.02468E7
