"rt","ions"
300.258,1.03951E7
300.806,9845720.0
301.197,9910830.0
301.769,9473060.0
302.163,9888940.0
302.556,9724970.0
302.947,9798650.0
303.333,1.0233E7
303.724,1.02406E7
304.116,1.01977E7
304.583,1.06199E7
304.975,1.01545E7
305.371,1.02376E7
305.765,9851810.0
306.147,1.02957E7
306.528,1.05711E7
306.909,1.03444E7
307.29,1.0222E7
307.677,9835460.0
308.061,9940220.0
308.63,1.04389E7
309.01,1.05861E7
309.389,1.05483E7
309.774,9636510.0
310.158,1.03558E7
310.543,9960820.0
310.927,9914820.0
311.311,9847490.0
311.776,9393360.0
312.166,9508660.0
312.627,1.02224E7
313.009,9986430.0
313.391,1.01298E7
313.768,1.0283E7
314.149,1.00311E7
314.53,1.09735E7
314.988,9999010.0
315.372,9855270.0
315.755,1.00723E7
316.131,1.02344E7
316.508,1.05413E7
316.887,9830960.0
317.343,9664260.0
317.726,9627560.0
318.109,9309990.0
318.495,9281920.0
318.882,9479230.0
319.265,9676460.0
319.65,9471090.0
320.033,9802600.0
320.414,9786800.0
320.873,9834650.0
321.252,1.01228E7
321.636,9566850.0
322.021,9406490.0
322.406,9283070.0
322.792,9655420.0
323.178,9792730.0
323.561,9786230.0
323.942,1.00012E7
324.328,9115970.0
324.791,9856740.0
325.176,9794360.0
325.557,1.00386E7
325.938,9812980.0
326.319,9728350.0
326.698,1.04901E7
327.059,1.0718E7
327.436,1.04021E7
327.819,9516200.0
328.208,8746430.0
328.61,1.09428E7
328.985,1.08721E7
329.364,9639470.0
329.748,8998570.0
330.121,9666910.0
330.495,1.02894E7
330.867,1.03678E7
331.247,9300780.0
331.635,9005950.0
332.096,9595490.0
332.481,9489500.0
332.853,1.12713E7
333.3,1.00701E7
333.681,9414130.0
334.061,9871900.0
334.438,9734310.0
334.81,1.02185E7
335.186,1.07095E7
335.56,1.07258E7
335.94,1.00685E7
336.318,9717270.0
336.701,1.00197E7
337.089,9702620.0
337.483,9978020.0
337.869,9597340.0
338.248,1.06838E7
338.627,1.07473E7
339.004,1.01033E7
339.391,9539260.0
339.85,1.03743E7
340.244,9239950.0
340.633,9916600.0
341.017,9500910.0
341.407,8965050.0
341.882,8708620.0
342.273,9582640.0
342.657,1.01299E7
343.048,9258620.0
343.433,9482440.0
343.826,8691670.0
344.218,1.04857E7
344.59,1.3721E7
344.959,1.10496E7
345.334,1.03454E7
345.709,1.03014E7
346.088,1.01667E7
346.468,9635040.0
346.929,9713080.0
347.313,9793650.0
347.696,9525400.0
348.081,1.02201E7
348.46,1.1182E7
348.831,1.15369E7
349.213,1.07557E7
349.594,1.01515E7
349.976,9909820.0
350.362,1.00398E7
350.747,9930330.0
351.14,9043660.0
351.528,9584740.0
351.914,9704800.0
352.302,9805400.0
352.692,1.00477E7
353.077,9617260.0
353.541,1.00735E7
353.922,1.05577E7
354.29,1.08038E7
354.67,1.0594E7
355.053,1.03735E7
355.438,9874540.0
355.819,1.05055E7
356.2,9770670.0
356.592,9597690.0
356.977,9714350.0
357.356,1.0171E7
357.744,9710100.0
358.126,1.03996E7
358.516,9723440.0
358.907,9893750.0
359.293,1.01578E7
359.68,1.01273E7
360.067,1.09045E7
360.453,1.0226E7
360.837,9757580.0
361.224,9681800.0
361.616,9444930.0
361.993,9685840.0
362.387,9871570.0
362.849,9323400.0
363.238,9749560.0
363.619,9666730.0
364.004,1.00881E7
364.388,1.0138E7
364.775,9385510.0
365.234,9536620.0
365.62,9753630.0
366.005,1.06765E7
366.385,1.10725E7
366.766,9945750.0
367.156,1.01275E7
367.543,1.13105E7
367.934,9239130.0
368.327,8926390.0
368.72,8698680.0
369.108,9787880.0
369.497,9179750.0
369.888,9285750.0
370.281,9178830.0
370.672,1.00983E7
371.061,9572880.0
371.448,1.02319E7
371.829,1.08324E7
372.408,9740820.0
372.798,9160180.0
373.19,9146650.0
373.572,1.01478E7
373.959,9186040.0
374.316,1.80659E7
374.69,1.04277E7
375.072,9904370.0
375.455,9779550.0
375.912,9962740.0
376.367,9947930.0
376.746,1.0166E7
377.128,1.00399E7
377.508,9918220.0
377.886,1.026E7
378.276,9131510.0
378.662,9518490.0
379.124,9436430.0
379.506,8235200.0
379.899,8055820.0
380.298,7866580.0
380.691,8646150.0
381.078,9182760.0
381.464,1.0089E7
381.854,8979120.0
382.241,9295400.0
382.623,9334240.0
382.994,1.06157E7
383.366,1.02425E7
383.744,1.00081E7
384.126,1.00405E7
384.584,9490410.0
384.97,9203710.0
385.352,9943460.0
385.737,1.03596E7
386.118,1.09552E7
386.51,1.02943E7
386.968,9959470.0
387.433,9585410.0
387.818,9798890.0
388.205,9224960.0
388.594,8893430.0
388.981,9521450.0
389.366,9280510.0
389.748,9875090.0
390.129,9786140.0
390.509,9178820.0
390.894,9366680.0
391.289,9520080.0
391.67,1.02468E7
392.052,1.00182E7
392.444,9184380.0
392.837,9352790.0
393.305,8608990.0
393.693,9736580.0
394.077,9599470.0
394.465,9300480.0
394.857,8949220.0
395.248,8974870.0
395.633,9338580.0
396.017,1.01295E7
396.4,9231370.0
396.787,9577590.0
397.166,1.02882E7
397.542,1.0523E7
397.923,9413980.0
398.306,9597550.0
398.771,8657360.0
399.17,7755570.0
399.564,8576760.0
399.951,9677090.0
400.336,9124890.0
400.72,9948690.0
401.11,1.05394E7
401.499,9569750.0
401.886,8760750.0
402.276,9901510.0
402.741,8930080.0
403.212,9342420.0
403.6,8432680.0
403.982,8291310.0
404.372,9495540.0
404.765,8612220.0
405.162,8683300.0
405.551,1.00214E7
405.936,9896970.0
406.321,9570060.0
406.705,1.05587E7
407.08,8980790.0
407.463,1.09629E7
407.847,1.0269E7
408.23,1.04619E7
408.612,1.00546E7
409.001,8934750.0
409.378,1.03626E7
409.752,1.00974E7
410.141,9179140.0
410.717,1.06208E7
411.101,1.00222E7
411.484,9901200.0
