"rt","ions"
300.174,2.41797E7
300.572,2.34168E7
300.891,1.94341E7
301.208,1.92383E7
301.526,2.00937E7
301.84,2.23974E7
302.158,2.07629E7
302.477,1.98767E7
302.796,1.96835E7
303.116,1.98172E7
303.435,2.28498E7
303.983,33980.1
304.532,4717.01
305.08,1157.95
305.629,4346.57
306.177,1143.4
306.725,1564.72
307.274,1426.11
307.824,2601.11
308.373,2598.19
308.921,1344.56
309.47,3526.38
310.019,2570.77
310.568,5937.91
311.116,972.127
311.664,2039.33
312.213,2903.28
312.762,1368.33
313.31,2402.02
313.859,1836.97
314.408,2586.12
314.956,1916.63
315.504,5856.48
316.053,2362.33
316.603,1797.81
317.151,2470.82
317.7,1599.09
318.248,3336.88
318.796,1742.08
319.345,2388.87
319.893,1376.7
320.442,4673.43
320.992,3588.42
321.541,2610.41
322.089,1725.37
322.637,2157.94
323.185,2838.46
323.733,1593.61
324.071,1.4403E7
324.395,1.78757E7
324.718,1.82953E7
325.115,1.78815E7
325.437,1.97025E7
325.756,2.01699E7
326.077,1.87806E7
326.396,2.13958E7
326.716,2.07532E7
327.037,1.89635E7
327.363,1.8368E7
327.687,1.94546E7
328.085,1.89567E7
328.409,1.83496E7
328.733,1.87396E7
329.282,27430.2
329.83,3402.3
330.379,4707.94
330.928,3039.58
331.476,2019.07
332.025,1532.4
332.573,3190.6
333.122,2170.33
333.671,3756.16
334.219,2982.01
334.768,2290.86
335.318,1441.12
335.867,4506.97
336.416,2535.38
336.964,2747.9
337.513,2754.82
338.061,2508.24
338.61,1957.3
339.159,2189.26
339.709,3456.73
340.257,1441.29
340.806,4503.3
341.355,3536.9
341.903,2126.59
342.452,4299.84
343.001,1206.62
343.549,1384.19
344.099,1869.62
344.648,1374.95
345.196,1613.95
345.744,4281.19
346.293,2934.51
346.841,2950.96
347.39,2629.14
347.938,2218.91
348.488,3044.02
349.037,3089.81
349.378,1.50119E7
349.706,1.83319E7
350.03,1.78592E7
350.429,1.77926E7
350.753,1.80102E7
351.077,1.84995E7
351.4,1.93553E7
351.723,1.90261E7
352.045,1.96522E7
352.367,1.9669E7
352.689,1.96321E7
353.011,1.99214E7
353.334,1.93335E7
353.659,1.87481E7
353.979,2.24057E7
354.303,1.84761E7
354.627,1.92514E7
354.959,1.43033E7
355.297,1.39544E7
355.633,1.36458E7
356.157,1.44318E7
356.491,1.41929E7
357.04,9520.25
357.89,2559.35
358.438,2571.41
358.987,3665.31
359.537,3557.41
360.086,2521.26
360.635,5262.65
361.183,2926.0
361.732,2796.12
362.28,2260.4
362.829,2366.6
363.378,2682.05
363.928,2352.74
364.477,2082.42
365.025,2007.45
365.574,4719.44
366.122,755.415
366.671,3527.76
367.22,2780.85
367.768,2567.72
368.318,2749.72
368.867,2707.76
369.415,1919.36
369.964,2466.84
370.512,3540.05
371.06,2935.78
371.608,2132.64
372.157,3707.58
