"rt","ions"
300.09,8.01467E7
300.404,8.03038E7
300.711,8.09604E7
301.094,7.82044E7
301.401,8.66369E7
301.709,8.68223E7
302.017,8.37782E7
302.326,8.75227E7
302.636,8.52509E7
302.946,8.32347E7
303.332,8.23082E7
303.643,7.91755E7
303.956,7.65901E7
304.268,8.53934E7
304.58,8.86504E7
304.892,8.3532E7
305.206,8.28638E7
305.52,8.10628E7
305.835,8.02119E7
306.147,9.26729E7
306.461,8.55309E7
306.777,8.06771E7
307.092,8.1465E7
307.407,8.45304E7
307.797,8.39146E7
308.187,8.31839E7
308.502,8.40867E7
308.817,8.65499E7
309.132,7.76189E7
309.449,7.63842E7
309.765,8.87333E7
310.156,8.48987E7
310.472,8.10727E7
310.789,7.89947E7
311.106,8.1166E7
311.423,8.29561E7
311.739,8.81355E7
312.055,8.35865E7
312.373,7.90431E7
312.765,8.41743E7
313.081,8.75053E7
313.396,8.75312E7
313.711,8.91643E7
314.026,8.72216E7
314.342,8.80597E7
314.658,8.34837E7
314.976,7.96442E7
315.293,8.83054E7
315.61,8.14538E7
315.927,8.29385E7
316.244,8.73812E7
316.56,8.67737E7
316.876,8.47592E7
317.193,8.43453E7
317.51,8.33118E7
317.83,8.03404E7
318.147,8.62327E7
318.464,8.53886E7
318.781,8.32129E7
319.174,8.02661E7
319.491,8.15228E7
319.81,7.71198E7
320.128,7.78519E7
320.448,8.34411E7
320.766,7.80408E7
321.084,7.92437E7
321.403,7.78739E7
321.721,8.01156E7
322.039,7.75113E7
322.358,7.63493E7
322.677,7.60631E7
323.071,8.05311E7
323.39,7.63052E7
323.709,7.71346E7
324.028,7.74473E7
324.422,7.48881E7
324.74,7.96419E7
325.057,8.14995E7
325.375,7.85176E7
325.693,7.78963E7
326.085,8.08294E7
326.404,7.50607E7
326.723,8.01912E7
327.04,8.59669E7
327.358,7.75065E7
327.676,8.09491E7
327.996,7.81003E7
328.315,7.70033E7
328.633,8.25893E7
328.951,8.06646E7
329.268,8.13916E7
329.587,7.63028E7
329.906,7.67953E7
330.225,7.6392E7
330.542,8.10705E7
