"rt","ions"
300.136,1.35038E7
300.543,1.18771E7
300.874,1.20555E7
302.306,1.05203E7
302.72,1.06432E7
304.13,1.16596E7
305.543,1.14587E7
306.621,1.21557E7
306.946,1.2347E7
307.276,1.18288E7
307.604,1.30383E7
308.259,1.07831E7
308.612,1.03472E7
308.966,1.02574E7
310.281,1.13526E7
310.634,1.07352E7
310.981,9836090.0
312.062,1.21531E7
312.389,1.24159E7
312.72,1.19563E7
313.125,1.21652E7
313.456,1.23751E7
313.788,1.23052E7
314.193,1.34024E7
314.525,1.9065E7
314.839,2.18751E7
316.257,1.17083E7
317.655,1.61185E7
319.057,1.08066E7
320.354,1.2237E7
320.678,1.19077E7
321.002,1.16811E7
321.402,1.34025E7
321.725,1.3353E7
322.048,1.20984E7
322.563,1.08527E7
322.89,1.15318E7
323.216,1.0711E7
323.558,1.23054E7
324.967,1.39345E7
326.389,1.05843E7
327.129,1.12347E7
327.458,1.09996E7
327.782,1.22924E7
328.182,1.16621E7
328.81,1.23259E7
329.134,1.27112E7
329.461,1.34099E7
330.317,1.31888E7
330.646,1.12061E7
330.983,9839540.0
331.945,1.02305E7
332.356,1.09488E7
332.691,1.0562E7
333.029,1.09605E7
333.992,1.26246E7
335.395,1.20764E7
336.249,1.24971E7
336.575,1.28301E7
336.898,1.35228E7
337.221,2.32443E7
338.639,1.21429E7
340.053,1.22462E7
341.243,1.07114E7
341.573,1.19804E7
341.896,1.12188E7
342.519,1.08431E7
342.843,1.21111E7
343.165,1.30805E7
343.674,1.40417E7
344.528,1.24553E7
344.853,1.27199E7
345.178,1.29267E7
345.501,1.33543E7
345.901,1.22926E7
346.415,1.31321E7
347.824,1.4678E7
349.231,1.15519E7
349.742,1.20535E7
350.066,1.1746E7
350.387,1.2261E7
350.9,1.23549E7
351.223,1.21648E7
351.545,1.22416E7
352.166,1.29924E7
352.489,1.26486E7
352.811,1.32591E7
353.207,1.32082E7
353.603,1.3654E7
354.112,1.50139E7
355.537,1.21657E7
356.707,4.03498E7
357.037,1.41742E7
357.358,1.28558E7
357.868,1.13738E7
358.189,1.21288E7
358.586,1.17193E7
358.905,1.30503E7
359.223,1.27982E7
359.84,1.35347E7
360.16,1.31614E7
360.478,1.33696E7
360.797,1.27441E7
361.53,1.29875E7
361.848,1.32774E7
362.168,1.28117E7
362.676,1.2676E7
362.994,1.36153E7
363.312,1.37162E7
364.047,1.24837E7
364.365,1.34286E7
364.682,1.33927E7
365.0,1.26449E7
365.729,1.24332E7
366.046,1.26755E7
366.365,1.22737E7
366.982,1.31474E7
367.297,1.38273E7
367.614,1.39772E7
368.117,1.38307E7
368.961,1.3965E7
369.275,1.48125E7
369.588,1.45887E7
370.653,1.42914E7
370.966,1.4862E7
371.277,1.49984E7
372.119,1.36691E7
372.432,1.61772E7
372.742,1.632E7
373.13,1.63566E7
373.442,1.61331E7
373.756,1.61566E7
374.069,1.64578E7
374.383,1.8786E7
374.696,1.69393E7
375.01,1.72571E7
375.323,1.74809E7
375.637,1.81511E7
375.952,1.62903E7
376.266,1.80247E7
376.58,1.84489E7
376.897,1.7352E7
377.214,1.63349E7
377.532,1.6523E7
377.849,1.61373E7
378.167,1.68136E7
378.484,1.64854E7
378.801,1.63005E7
379.12,1.59589E7
379.437,1.68907E7
379.756,1.64953E7
380.076,1.58119E7
380.396,1.62618E7
380.714,1.59036E7
381.033,1.61093E7
381.353,1.61134E7
381.673,1.59895E7
381.991,1.65096E7
382.31,1.67961E7
382.628,1.7378E7
383.176,5735.55
383.725,4184.22
384.273,1414.23
384.821,3318.93
385.369,4916.86
385.918,2514.52
386.468,2382.15
387.016,1739.77
387.565,2249.17
388.114,2481.21
388.662,2571.51
389.211,3241.81
389.76,2029.9
390.308,1824.59
390.857,5385.22
391.405,3021.34
391.953,2390.35
392.501,2518.05
393.05,2252.28
393.598,2230.39
394.146,1984.02
394.695,1166.41
395.243,3119.15
395.791,4235.07
396.34,1934.28
396.889,3317.19
397.437,2868.74
397.985,2620.92
398.533,2232.52
399.081,2682.87
399.629,1088.02
400.177,4783.17
400.728,4312.62
401.276,3221.21
401.825,2608.39
402.373,2811.12
402.921,3485.23
403.47,2080.66
404.018,2631.99
404.567,1994.71
405.117,2678.01
405.665,4569.84
406.213,1736.28
406.761,2288.56
407.309,3374.73
407.857,2985.06
408.406,1951.25
408.955,1302.99
409.505,2492.17
410.054,2142.64
410.603,5107.41
411.151,3668.74
411.7,2688.89
412.248,2244.56
412.797,2090.42
413.346,3152.8
413.896,2962.71
414.445,3133.45
414.993,2865.76
415.542,4324.1
416.091,1921.08
416.639,2268.26
417.187,1830.43
417.735,2885.8
418.285,1725.27
418.833,2691.04
419.381,2338.89
419.93,2427.15
420.479,5247.63
421.027,2229.29
421.576,2716.5
421.89,1.26119E7
422.221,1.22724E7
422.549,1.22426E7
422.87,1.59797E7
423.19,1.5566E7
423.585,1.59973E7
423.905,1.58215E7
424.224,1.61286E7
424.544,1.62652E7
424.864,1.60796E7
425.183,1.61466E7
425.503,1.61638E7
425.822,1.61228E7
426.14,1.64073E7
426.46,1.59005E7
426.779,1.59926E7
427.098,1.66346E7
427.418,1.62102E7
427.736,1.66871E7
428.054,1.62798E7
428.373,1.65625E7
428.688,1.76469E7
429.008,1.55944E7
429.327,1.6503E7
429.645,1.62257E7
429.965,1.58685E7
430.287,1.55503E7
430.608,1.54292E7
430.928,1.53825E7
431.247,1.59129E7
431.567,1.49428E7
431.888,1.51952E7
432.208,1.629E7
432.527,1.62642E7
432.848,1.56891E7
433.168,1.60667E7
433.486,1.76918E7
433.805,1.64987E7
