"rt","ions"
300.276,1.00122E7
300.803,1.06296E7
301.186,1.02329E7
301.578,8901170.0
301.967,8823690.0
302.365,8228860.0
302.764,8889170.0
303.159,9488870.0
303.546,1.06168E7
303.923,1.17998E7
304.377,1.09655E7
304.773,9719290.0
305.165,9709300.0
305.556,9395210.0
305.955,8955020.0
306.355,8802120.0
306.754,9467710.0
307.142,9558600.0
307.517,1.0332E7
307.898,9723200.0
308.281,9791790.0
308.665,9861930.0
309.055,9510890.0
309.445,9349120.0
309.828,1.04835E7
310.212,1.00212E7
310.584,1.09597E7
310.971,1.01311E7
311.359,9994580.0
311.743,1.03678E7
312.127,9601050.0
312.513,1.02919E7
312.896,1.05125E7
313.28,1.00474E7
313.665,1.01617E7
314.049,9928830.0
314.434,1.03196E7
314.816,1.03837E7
315.271,1.04844E7
315.657,9371830.0
316.037,1.02849E7
316.493,1.03528E7
316.874,1.01517E7
317.257,9801850.0
317.635,1.01936E7
318.017,1.06926E7
318.403,9701450.0
318.797,9198170.0
319.188,9442950.0
319.575,9774060.0
319.961,1.03275E7
320.334,1.10099E7
320.706,1.11689E7
321.084,1.11589E7
321.463,1.10327E7
321.843,1.15769E7
322.216,1.18372E7
322.594,1.10738E7
322.975,1.05694E7
323.353,1.03001E7
323.737,9866560.0
324.198,9968540.0
324.581,1.01409E7
324.959,1.13006E7
325.34,1.03141E7
325.719,1.0516E7
326.102,1.02156E7
326.484,1.06684E7
326.859,1.13041E7
327.241,9960210.0
327.627,9949390.0
328.02,9298180.0
328.401,1.04209E7
328.786,9658980.0
329.173,1.0014E7
329.557,1.02754E7
329.943,1.0862E7
330.325,1.03008E7
330.705,1.03257E7
331.091,1.01015E7
331.553,1.07153E7
331.925,1.164E7
332.299,1.20511E7
332.673,1.14921E7
333.051,1.04023E7
333.438,1.03283E7
333.825,1.01745E7
334.211,1.01833E7
334.599,1.06917E7
335.073,8751560.0
335.462,1.03752E7
335.847,9885380.0
336.237,9276290.0
336.628,9594920.0
337.003,1.13555E7
337.384,1.01243E7
337.766,1.06654E7
338.152,9872470.0
338.532,9505300.0
338.918,9686040.0
339.306,1.0021E7
339.686,1.02534E7
340.065,1.12285E7
340.45,1.03913E7
340.836,9889860.0
341.218,1.06248E7
341.603,1.01418E7
341.997,9597310.0
342.392,9521680.0
342.777,1.10145E7
343.164,9986010.0
343.55,1.02043E7
343.936,1.00243E7
344.327,9366280.0
344.715,1.0282E7
345.101,1.07558E7
345.487,1.01185E7
345.877,9840780.0
346.261,1.07303E7
346.644,1.08492E7
347.034,9390920.0
347.427,8899400.0
347.821,9217950.0
348.213,9200230.0
348.607,9448480.0
348.994,9576800.0
349.387,8804840.0
349.782,9390100.0
350.173,1.06983E7
350.556,9947950.0
350.942,9664570.0
351.329,1.04577E7
351.712,9816860.0
352.105,9578430.0
352.489,1.03554E7
352.875,1.132E7
353.257,1.02083E7
353.64,1.04851E7
354.021,1.02961E7
354.412,9217840.0
354.801,9660400.0
355.184,9833940.0
355.578,9072200.0
355.96,1.03041E7
356.35,9459940.0
356.734,1.03448E7
357.118,1.0593E7
357.503,1.01228E7
357.964,9662060.0
358.352,9795680.0
358.733,1.0772E7
359.115,1.03466E7
359.5,1.0157E7
359.884,1.0855E7
360.265,1.03331E7
360.722,1.02848E7
361.095,1.14489E7
361.468,1.24656E7
361.843,1.0984E7
362.413,9781310.0
362.797,1.01441E7
363.182,1.01499E7
363.562,1.085E7
363.945,1.006E7
364.326,1.09391E7
364.707,1.06585E7
365.096,9672640.0
365.494,9401320.0
365.883,9206440.0
366.266,1.05006E7
366.652,9943080.0
367.036,1.03732E7
367.421,1.03774E7
367.805,1.03524E7
368.184,1.20342E7
368.558,1.11399E7
368.94,9992000.0
369.328,9232280.0
369.723,9250460.0
370.184,1.00662E7
370.571,9644290.0
370.963,1.07783E7
371.35,9659250.0
371.732,1.05263E7
372.117,9798250.0
372.502,1.01956E7
372.963,1.03301E7
373.347,1.04618E7
373.734,9631280.0
374.121,9414340.0
374.506,1.00314E7
374.897,9790910.0
375.28,1.08754E7
375.663,1.08294E7
376.041,1.04766E7
376.496,1.12292E7
376.877,1.06056E7
377.261,1.0696E7
377.644,1.011E7
378.034,8811030.0
378.426,9561730.0
378.816,1.04162E7
379.198,1.06328E7
379.581,1.02144E7
379.972,9497580.0
380.363,8930220.0
380.744,1.04863E7
381.118,1.11172E7
381.503,9823620.0
381.896,8443090.0
382.289,9388810.0
382.684,9774060.0
383.062,1.17211E7
383.441,1.07313E7
383.819,1.12343E7
384.195,1.11829E7
384.573,1.03958E7
384.956,9995090.0
385.338,1.03519E7
385.722,9733970.0
386.108,1.01207E7
386.499,9054920.0
386.886,1.02535E7
387.264,1.18401E7
387.641,1.04997E7
388.02,9932960.0
388.405,9667060.0
388.792,1.02348E7
389.182,9800210.0
389.571,1.01943E7
389.954,1.09097E7
390.336,1.03461E7
390.724,9313190.0
391.105,1.04778E7
391.484,1.07788E7
391.867,1.01046E7
392.227,1.10739E7
392.602,1.14577E7
392.989,9832720.0
393.371,1.05918E7
393.751,1.04486E7
394.134,1.04947E7
394.517,1.0347E7
394.899,9905060.0
395.286,9812830.0
395.673,9671160.0
396.06,1.01396E7
396.445,1.01829E7
396.827,1.05783E7
397.21,1.07931E7
397.586,1.16814E7
397.958,1.1143E7
398.333,1.04891E7
398.787,1.0446E7
399.175,9533400.0
399.563,1.0136E7
399.946,1.08134E7
400.335,9209970.0
400.726,9474850.0
401.117,9337780.0
401.504,9894230.0
401.889,1.01874E7
402.271,1.04588E7
402.649,1.12729E7
403.024,1.10786E7
403.405,1.00436E7
403.793,9586490.0
404.18,9440180.0
404.649,9760560.0
405.033,9919140.0
405.417,1.04839E7
