"rt","ions"
300.195,1.43552E7
300.592,2.21658E7
300.947,1.04711E7
301.502,1.14569E7
301.82,2.95635E7
302.133,4.09393E7
302.577,9687170.0
302.944,1.16947E7
303.314,1.1567E7
303.771,9700660.0
304.152,1.05305E7
304.534,9421180.0
305.435,1.21566E7
305.807,1.11707E7
306.183,1.01996E7
306.57,9868320.0
306.988,1.1849E7
307.434,1.07102E7
307.812,1.7525E7
308.194,1.05176E7
308.58,1.09824E7
308.961,1.17695E7
309.493,1.19331E7
309.946,1.12712E7
310.328,1.20414E7
310.703,1.31023E7
311.08,1.28836E7
311.541,1.67907E7
312.01,1.0902E7
312.466,1.18856E7
312.925,1.1532E7
313.309,1.06303E7
313.701,9410180.0
314.166,1.36144E7
314.515,1.49817E7
314.895,1.23578E7
315.289,1.15152E7
315.646,2.26561E7
315.961,3.4603E7
316.275,5.8325E7
316.61,2.04398E7
317.037,1.42568E7
317.464,1.98668E7
317.83,1.2714E7
318.219,1.07349E7
318.609,1.69673E7
318.997,1.06123E7
319.346,3.19111E7
319.677,3.38817E7
320.008,1.56006E7
320.364,1.96529E7
320.714,1.33441E7
321.105,1.04122E7
321.478,1.53049E7
321.87,1.08813E7
322.269,1.33453E7
322.662,1.07242E7
323.068,9563240.0
323.473,9419520.0
323.954,9592370.0
324.356,1.04324E7
324.751,1.14082E7
325.145,1.05913E7
325.537,1.02699E7
325.932,9849270.0
326.334,1.06634E7
326.729,1.06327E7
327.127,9828820.0
327.527,1.04459E7
327.926,1.11744E7
328.305,1.25801E7
328.694,1.07271E7
329.078,1.12709E7
329.484,1.10103E7
329.864,2.63215E7
330.245,1.01769E7
330.621,1.13532E7
331.054,1.97645E7
331.436,1.39215E7
331.821,1.2882E7
332.217,1.19745E7
332.602,1.1704E7
333.003,1.34752E7
333.466,1.09668E7
333.934,1.1357E7
334.332,1.07662E7
334.741,9245460.0
335.122,1.4746E7
335.48,1.13205E7
335.946,9827320.0
336.424,9989770.0
336.805,1.42712E7
337.193,9987780.0
337.592,9748510.0
338.062,9627570.0
338.463,1.00236E7
338.83,2.00058E7
339.356,2.06401E7
339.738,1.00108E7
340.136,1.028E7
340.519,1.30254E7
340.914,1.20242E7
341.314,1.04368E7
341.782,1.03041E7
342.187,9421740.0
342.531,1.04515E7
342.922,1.14307E7
343.511,9714110.0
343.921,8810200.0
344.324,1.0244E7
344.722,1.02119E7
345.122,9722460.0
345.509,1.2732E7
345.905,1.02673E7
346.308,1.05287E7
347.008,1.03178E7
347.401,1.38018E7
347.797,1.1113E7
348.269,1.02489E7
348.753,9127650.0
349.116,1.33177E7
349.515,1.10193E7
349.918,9439900.0
350.318,1.0094E7
350.719,1.02373E7
351.186,1.26486E7
351.528,1.10648E7
351.913,1.10293E7
352.322,9622070.0
352.799,1.06877E7
353.189,1.11468E7
353.585,9996690.0
353.987,9601330.0
354.355,1.49407E7
354.745,1.07206E7
355.151,8980590.0
355.482,3.42377E7
355.873,9047000.0
356.29,9168360.0
356.698,1.09491E7
357.039,2.25654E7
357.39,1.63236E7
357.704,4.72579E7
358.098,9665210.0
358.497,1.04133E7
358.91,9566940.0
359.307,1.15262E7
359.701,1.091E7
360.181,9378750.0
360.581,1.31377E7
360.964,1.0613E7
361.354,1.15557E7
361.717,1.55539E7
362.099,1.11261E7
362.488,1.07609E7
362.889,1.03195E7
363.291,1.00109E7
363.696,9983470.0
364.103,8975790.0
364.453,1.88632E7
364.849,9690220.0
365.249,1.10511E7
365.637,1.20267E7
366.004,1.54798E7
366.37,1.06536E7
366.768,9618500.0
367.152,1.28031E7
367.517,1.13103E7
367.901,1.22245E7
368.299,9815260.0
368.708,1.01047E7
369.109,1.02541E7
369.489,1.44878E7
369.896,3.3725E7
370.21,4.15095E7
370.569,1.03182E7
371.046,9567460.0
371.443,1.46084E7
371.836,1.16967E7
372.318,9393860.0
372.801,1.21215E7
373.209,1.1018E7
373.602,1.27147E7
373.988,1.10169E7
374.39,9749390.0
374.777,1.16194E7
375.108,3.04792E7
375.576,1.02889E7
375.905,2.68974E7
376.278,1.15351E7
376.764,8685280.0
377.184,9661810.0
377.599,8501920.0
378.002,9758120.0
378.412,9266380.0
378.811,9814040.0
379.216,1.02314E7
379.62,1.00919E7
380.023,1.05768E7
380.516,8845470.0
380.899,8821790.0
381.282,1.08748E7
381.655,1.0812E7
382.065,8426260.0
382.476,9318550.0
382.89,8681490.0
383.382,9533440.0
383.779,1.06305E7
384.186,9901030.0
384.585,9669110.0
