"rt","ions"
300.282,1.13152E7
300.83,1.01802E7
301.23,9251750.0
301.703,8735190.0
302.103,8805350.0
302.483,1.11348E7
302.869,9737400.0
303.248,1.08248E7
303.639,8740880.0
304.017,1.19365E7
304.471,1.01013E7
304.844,1.2459E7
305.213,1.15287E7
305.587,1.06411E7
305.964,1.03847E7
306.343,9758170.0
306.723,1.05636E7
307.1,1.08746E7
307.473,1.16214E7
307.843,1.13823E7
308.219,1.05002E7
308.599,1.08296E7
308.972,1.11592E7
309.348,1.12051E7
309.726,9916090.0
310.101,1.12455E7
310.48,1.04962E7
310.852,1.12835E7
311.223,1.13989E7
311.597,1.05952E7
311.972,1.06102E7
312.346,1.01848E7
312.722,9955610.0
313.1,9966300.0
313.475,1.05232E7
313.852,1.01173E7
314.229,9774390.0
314.607,9897920.0
314.987,1.04145E7
315.365,1.02754E7
315.746,9559730.0
316.125,1.01869E7
316.501,1.03099E7
316.872,1.12496E7
317.237,1.15541E7
317.605,1.12531E7
317.971,1.16988E7
318.413,1.12097E7
318.781,1.03911E7
319.155,1.09542E7
319.532,1.05894E7
319.913,9445290.0
320.287,1.05587E7
320.664,1.01565E7
321.039,1.08607E7
321.419,1.0159E7
321.796,9508470.0
322.173,1.08855E7
322.547,1.09269E7
322.915,1.15281E7
323.286,1.00105E7
323.66,1.05969E7
324.033,1.08246E7
324.415,1.0201E7
324.791,1.04572E7
325.153,1.09279E7
325.522,1.16655E7
325.894,1.10954E7
326.27,9983640.0
326.649,1.06917E7
327.036,9299170.0
327.415,1.06598E7
327.797,9058160.0
328.187,9665350.0
328.572,9631710.0
328.96,9141460.0
329.347,9246760.0
329.736,9667050.0
330.111,1.08265E7
330.485,1.11259E7
330.854,1.27732E7
331.222,1.16664E7
331.596,1.03784E7
332.049,1.02303E7
332.412,1.2623E7
332.779,1.0394E7
333.147,1.00316E7
333.519,1.03305E7
333.888,1.1294E7
334.256,1.10882E7
334.63,1.04903E7
335.006,1.05225E7
335.452,1.08922E7
335.824,1.04615E7
336.191,1.14391E7
336.553,1.23799E7
336.921,1.14206E7
337.299,9399910.0
337.678,1.03486E7
338.048,1.21561E7
338.416,1.10625E7
338.791,9572150.0
339.244,1.02907E7
339.624,1.01668E7
340.005,9189200.0
340.385,8739910.0
340.764,1.03477E7
341.136,1.12941E7
341.507,1.03474E7
341.886,1.01503E7
342.259,1.1072E7
342.624,1.19917E7
342.992,1.05133E7
343.37,1.02966E7
343.759,9033750.0
344.143,1.05009E7
344.52,1.05275E7
344.9,9861370.0
345.277,1.02465E7
345.659,9582620.0
346.038,1.06118E7
346.403,1.21672E7
346.774,1.14993E7
347.141,1.20973E7
347.512,1.06836E7
347.889,9938240.0
348.261,1.14482E7
348.635,1.11292E7
349.01,1.09626E7
349.38,1.14471E7
349.76,1.02648E7
350.135,1.10008E7
350.513,9907270.0
350.892,1.05611E7
351.267,1.05166E7
351.644,1.02514E7
352.022,1.06048E7
352.403,9904160.0
352.783,9607980.0
353.164,9157490.0
353.547,9451070.0
353.927,1.02885E7
354.292,1.12901E7
354.662,1.11003E7
355.12,9220630.0
355.497,1.07085E7
355.864,1.1276E7
356.239,9804250.0
356.624,9595830.0
357.002,1.02651E7
357.38,1.03051E7
357.758,9857950.0
358.137,1.00089E7
358.503,1.27754E7
358.875,1.0762E7
359.251,1.11291E7
359.624,1.04042E7
359.997,1.06941E7
360.374,1.04554E7
360.76,9904220.0
361.143,9749380.0
361.526,9607470.0
361.906,9851200.0
362.289,9189700.0
362.744,1.1278E7
363.128,9365890.0
363.509,9563060.0
363.891,9984910.0
364.267,1.02262E7
364.724,9518530.0
365.106,1.00173E7
365.485,1.05206E7
365.863,1.00213E7
366.241,9980860.0
366.625,9193970.0
367.008,9617680.0
367.393,9244880.0
367.771,1.02467E7
368.145,1.08522E7
368.516,1.19428E7
368.889,1.06925E7
369.263,1.15678E7
369.632,1.17003E7
370.002,1.17791E7
370.371,1.03114E7
370.749,9721370.0
371.126,1.05792E7
371.491,1.23476E7
371.861,1.12176E7
372.234,1.0798E7
372.596,1.18951E7
372.965,1.07967E7
373.337,9471880.0
373.713,1.04832E7
374.089,1.09479E7
374.467,9672800.0
374.843,1.10446E7
375.223,9873010.0
375.607,1.06288E7
375.982,1.13224E7
376.436,1.02007E7
376.809,1.11823E7
377.173,1.16879E7
377.536,1.21274E7
377.904,1.18979E7
378.366,9267680.0
378.745,1.15179E7
379.116,1.12993E7
379.484,1.12501E7
379.866,9074900.0
380.244,1.10094E7
380.609,1.20083E7
380.979,1.16233E7
381.343,1.26674E7
381.719,9928990.0
382.102,9324880.0
382.478,9905410.0
382.859,9749260.0
383.241,1.01387E7
383.615,1.00162E7
383.995,9168980.0
384.363,1.08851E7
384.738,1.0814E7
385.108,1.15119E7
385.559,1.08041E7
386.014,1.09653E7
386.379,1.45286E7
386.748,1.12617E7
387.196,1.1412E7
387.647,1.02477E7
388.097,1.0434E7
388.543,1.0571E7
388.992,1.04438E7
389.369,1.00467E7
389.744,1.08403E7
390.114,1.06846E7
390.486,1.07854E7
390.854,1.09791E7
391.223,1.1486E7
391.672,1.06287E7
392.045,1.01421E7
392.415,1.07037E7
392.784,1.09667E7
393.23,1.06425E7
393.604,1.03951E7
393.975,1.05013E7
394.346,1.05445E7
394.719,1.01709E7
395.094,9794400.0
395.469,1.01931E7
395.84,1.19733E7
396.204,1.10969E7
