"rt","ions"
300.22,1.15084E7
300.726,1.01406E7
301.108,8677770.0
301.792,1.14628E7
302.171,1.0945E7
302.505,2.4081E7
302.877,1.01771E7
303.24,1.27911E7
303.614,1.12197E7
303.967,1.64074E7
304.534,1.12157E7
304.928,9245730.0
305.308,1.42547E7
305.87,1.1958E7
306.273,1.01541E7
306.648,1.04835E7
307.04,1.11227E7
307.432,1.05727E7
307.833,9539020.0
308.315,9907820.0
308.756,1.29165E7
309.145,1.11399E7
309.544,1.16613E7
309.94,1.10119E7
310.324,1.17503E7
310.727,1.01966E7
311.134,1.02772E7
311.734,9393270.0
312.139,1.13496E7
312.547,9205030.0
313.916,1.38405E7
314.307,1.01001E7
314.711,9850560.0
315.112,1.40102E7
315.479,1.13676E7
315.885,9985230.0
316.369,1.00137E7
316.779,1.00034E7
317.192,9026450.0
317.615,9848280.0
318.03,9412330.0
318.445,1.16259E7
318.933,1.16041E7
319.33,1.3989E7
319.7,1.46062E7
320.102,1.02536E7
320.489,1.29372E7
320.902,8995880.0
321.316,9627550.0
321.715,9948920.0
322.138,9059760.0
322.544,8946290.0
322.962,8752490.0
323.379,1.02211E7
323.788,1.02623E7
324.173,2.75782E7
324.495,4.97707E7
324.858,1.79655E7
325.242,1.33295E7
325.662,8485040.0
326.086,9116370.0
326.509,1.05194E7
326.914,1.05693E7
327.318,1.15174E7
327.741,9080310.0
328.163,8982580.0
328.585,9924100.0
328.993,1.06985E7
329.415,9136380.0
329.8,1.10261E7
330.211,9761050.0
330.62,1.18933E7
331.105,1.17923E7
331.513,1.01417E7
331.933,9062590.0
332.415,1.00571E7
332.825,1.21991E7
333.216,1.14684E7
333.625,1.06527E7
334.033,9894670.0
334.439,1.02385E7
334.85,9665870.0
335.255,1.07817E7
335.838,8796960.0
336.563,8433960.0
336.984,9708630.0
337.393,1.15095E7
337.747,2.20598E7
338.149,9163810.0
338.57,9374290.0
338.951,1.28404E7
339.452,9675410.0
339.839,1.16078E7
340.25,9464590.0
340.754,8352160.0
341.185,8663580.0
341.613,8746130.0
342.021,9463280.0
342.425,1.22621E7
342.829,1.00137E7
343.244,9494480.0
343.654,1.04767E7
344.071,9714710.0
344.461,9397910.0
344.874,9331940.0
345.29,9154030.0
345.717,8604980.0
346.145,9620560.0
346.567,8340770.0
346.992,8983540.0
347.403,9914790.0
347.819,9514500.0
348.221,1.00506E7
348.617,1.46658E7
349.023,1.12465E7
349.439,1.14599E7
349.851,9306130.0
350.257,1.1113E7
350.669,1.02053E7
351.094,8974800.0
351.516,9192730.0
352.015,9445320.0
352.423,1.06068E7
352.833,9033260.0
353.258,9495410.0
353.681,8919980.0
354.108,8870420.0
354.5,9242660.0
354.919,1.32947E7
355.306,1.22948E7
355.644,1.10748E7
356.052,9182480.0
356.462,1.08672E7
356.883,9375800.0
357.311,9387660.0
357.936,8469760.0
358.362,9013400.0
358.785,9629460.0
359.211,8896150.0
359.63,9955740.0
360.051,9765830.0
360.472,9257320.0
360.897,9202710.0
361.325,9463110.0
361.743,9569230.0
362.127,9511430.0
362.539,8777970.0
362.956,9513170.0
363.369,9503740.0
363.782,9804900.0
364.282,9259440.0
364.704,9174240.0
365.129,9878180.0
365.539,1.05804E7
365.935,1.2137E7
366.376,1.55744E7
366.93,1.13652E7
367.34,9720670.0
367.744,1.20372E7
368.164,9575290.0
368.579,1.06E7
369.074,1.13427E7
369.395,3.35819E7
369.736,1.37709E7
370.052,5.08453E7
370.396,1.25063E7
370.807,9169660.0
371.225,1.09551E7
371.615,1.27026E7
372.028,9259290.0
372.445,9444060.0
372.867,9021980.0
373.279,1.11172E7
373.613,1.98211E7
374.019,9199680.0
374.444,8791560.0
374.864,8947480.0
375.371,8532010.0
375.865,8655500.0
376.28,1.59216E7
376.696,9098980.0
377.116,8806850.0
377.53,8909580.0
377.92,1.07267E7
378.322,1.11497E7
378.741,1.14682E7
379.144,1.03047E7
379.57,1.07018E7
379.899,2.81991E7
380.305,9397180.0
380.739,8159840.0
381.169,8964110.0
381.588,1.00201E7
381.979,1.20324E7
382.397,8053250.0
382.822,8804030.0
383.231,1.12661E7
383.654,9559470.0
384.098,7933390.0
384.522,8226620.0
384.941,1.00583E7
385.377,8025830.0
385.82,9164770.0
386.251,8494760.0
386.684,8602520.0
387.113,8270500.0
387.546,8230710.0
388.062,8257090.0
388.565,9075320.0
388.987,9473070.0
389.399,1.02103E7
389.802,1.06913E7
390.19,2.70415E7
390.579,1.18225E7
390.995,9663410.0
391.42,8938790.0
391.829,1.44378E7
392.188,1.27484E7
392.575,2.33333E7
392.998,7994060.0
393.621,8319420.0
394.055,8379750.0
394.475,8034840.0
