"rt","ions"
300.182,1.83614E7
300.643,1.72499E7
301.036,1.76868E7
301.495,2.05633E7
301.87,2.22183E7
302.256,1.87451E7
302.71,2.21309E7
303.103,1.92719E7
303.497,2.00608E7
303.885,2.11447E7
304.276,2.06666E7
304.752,1.93279E7
305.151,1.84499E7
305.557,1.82022E7
305.959,1.83963E7
306.358,1.95131E7
306.746,2.14949E7
307.217,2.01951E7
307.612,1.9837E7
308.005,2.04668E7
308.4,2.15018E7
308.789,2.01285E7
309.192,1.97804E7
309.594,1.96688E7
310.073,1.88984E7
310.468,2.00496E7
310.877,1.66168E7
311.279,1.99123E7
311.663,2.19357E7
312.057,2.16854E7
312.452,1.9957E7
312.851,2.1429E7
313.246,2.10418E7
313.644,2.00017E7
314.035,1.96117E7
314.44,1.64472E7
314.851,1.78254E7
315.336,1.74446E7
315.816,2.08273E7
316.285,2.12548E7
316.678,2.14332E7
317.065,2.17463E7
317.453,2.20906E7
317.911,2.13469E7
318.317,1.7453E7
318.717,1.92698E7
319.103,2.28511E7
319.571,2.138E7
319.952,2.14228E7
320.342,1.98942E7
320.73,2.05802E7
321.121,1.96865E7
321.509,1.8825E7
322.067,2.56798E7
322.435,2.37125E7
322.815,2.28871E7
323.194,2.21041E7
323.582,2.224E7
323.957,2.20987E7
324.335,2.4742E7
324.722,1.99502E7
325.29,2.26383E7
325.682,1.80439E7
326.079,1.72065E7
326.466,2.24169E7
326.935,1.97644E7
327.33,2.05623E7
327.729,2.04831E7
328.125,2.04302E7
328.509,2.26238E7
328.899,2.27989E7
329.287,2.0455E7
329.671,2.14646E7
330.059,2.02125E7
330.441,2.24045E7
330.828,2.10573E7
331.221,1.89761E7
331.61,2.0852E7
331.987,2.3575E7
332.365,1.89751E7
332.76,1.8774E7
333.142,2.10518E7
333.618,1.81959E7
333.994,2.08369E7
334.381,2.05432E7
334.766,2.14333E7
335.154,2.043E7
335.551,1.89345E7
335.946,1.94867E7
336.338,1.86886E7
336.813,1.86969E7
337.208,1.93337E7
337.605,1.82015E7
337.998,1.97401E7
338.403,1.80225E7
338.797,2.14202E7
339.267,1.95803E7
339.668,1.98805E7
340.075,1.79039E7
340.475,1.77003E7
340.87,1.85263E7
341.276,1.63997E7
341.684,1.88903E7
342.083,1.98998E7
342.483,1.91064E7
342.874,2.08558E7
343.275,1.84662E7
343.675,1.82017E7
344.067,2.04779E7
344.462,1.70853E7
344.863,1.76293E7
345.261,1.78349E7
345.733,1.88892E7
346.13,1.84757E7
346.534,1.84839E7
346.927,2.00236E7
347.32,1.90601E7
347.717,2.07414E7
348.114,1.97884E7
348.798,2.21979E7
349.184,2.1143E7
349.575,1.50623E7
349.971,1.92564E7
350.351,2.18476E7
350.737,2.08454E7
351.133,1.74029E7
351.608,1.77358E7
352.013,1.64702E7
352.419,1.76095E7
352.814,1.8248E7
353.216,1.77246E7
353.616,1.92298E7
354.007,2.34835E7
354.398,2.02405E7
354.793,1.93415E7
355.254,2.19457E7
355.632,2.30931E7
356.048,1.38254E7
356.541,1.10182E7
356.938,1.55848E7
357.34,1.57002E7
357.916,1.71377E7
358.312,2.07748E7
358.717,1.71924E7
359.197,1.95886E7
359.594,2.05021E7
359.988,1.8494E7
360.456,1.95668E7
360.85,1.86186E7
361.251,1.69947E7
361.653,1.87025E7
362.053,1.92556E7
362.445,2.16692E7
362.84,1.14993E7
363.249,1.53212E7
363.661,1.40583E7
364.15,1.39693E7
364.57,1.37503E7
364.982,1.46824E7
365.389,1.49694E7
365.801,1.42806E7
366.405,1.33151E7
366.82,1.39966E7
367.232,1.38186E7
367.65,1.3728E7
368.069,1.30713E7
368.486,1.32045E7
368.903,1.56076E7
369.25,2.10282E7
369.633,2.04911E7
370.213,1.89918E7
370.681,1.73648E7
371.076,2.35888E7
371.472,1.74208E7
371.873,1.70213E7
372.287,1.60087E7
372.704,1.43685E7
373.195,1.50912E7
373.601,1.62689E7
374.015,1.53325E7
374.421,1.61574E7
374.825,1.71338E7
375.312,1.60853E7
375.731,1.52212E7
376.212,1.65147E7
376.617,1.62172E7
377.021,1.63152E7
377.5,1.72148E7
377.902,1.75315E7
378.302,1.76331E7
378.704,1.74996E7
379.109,1.62546E7
379.58,1.81242E7
379.993,1.56133E7
380.396,1.70494E7
380.802,1.59347E7
381.212,1.56111E7
381.613,1.74931E7
382.008,1.89469E7
382.406,1.96197E7
382.822,1.42676E7
383.309,1.51952E7
383.719,1.77012E7
384.121,1.73865E7
384.528,1.68691E7
384.938,1.59556E7
385.349,1.63521E7
385.826,1.78867E7
386.219,1.79892E7
386.62,1.59809E7
387.034,1.44433E7
387.446,1.42115E7
387.848,1.72373E7
388.252,1.62461E7
388.667,1.53363E7
389.084,1.4252E7
389.497,1.51777E7
389.899,1.71312E7
390.303,1.6954E7
390.704,1.60143E7
391.191,1.54615E7
391.598,1.6548E7
392.001,1.55584E7
392.407,1.58645E7
392.886,1.63982E7
393.365,1.69069E7
393.767,1.69802E7
394.167,1.80731E7
394.558,2.05117E7
394.954,1.86941E7
395.353,1.86984E7
395.754,1.63238E7
396.147,1.83154E7
396.634,1.56824E7
397.041,1.63898E7
397.452,1.49496E7
397.879,1.34024E7
398.297,1.46741E7
398.709,1.58095E7
399.118,1.52981E7
399.532,1.44438E7
399.956,1.37187E7
400.366,1.54674E7
400.764,1.8138E7
401.161,1.79584E7
401.563,1.58849E7
402.168,1.52902E7
402.572,1.84977E7
402.97,1.7419E7
403.456,1.6034E7
403.94,1.66853E7
404.643,1.6161E7
405.051,1.60768E7
405.457,1.60657E7
406.172,1.43945E7
406.663,1.49166E7
407.266,1.5835E7
407.868,1.65864E7
408.28,1.38904E7
408.697,1.36863E7
409.121,1.49441E7
409.526,1.75773E7
410.132,1.35912E7
410.734,1.59647E7
411.162,1.30428E7
411.581,1.36852E7
412.298,1.50815E7
412.716,1.43342E7
413.135,1.40736E7
413.751,1.38855E7
414.26,1.37521E7
414.98,1.40093E7
415.402,1.53999E7
415.817,1.59467E7
416.414,1.61409E7
417.467,1.57968E7
417.896,1.45778E7
418.314,1.45904E7
418.733,1.56915E7
419.553,1.53125E7
419.968,1.6295E7
420.381,1.62086E7
421.227,1.41161E7
421.657,1.34972E7
422.091,1.41624E7
423.276,1.23782E7
423.708,1.13985E7
424.136,1.26321E7
424.643,1.30916E7
425.257,1.3025E7
425.674,1.37482E7
426.08,1.45575E7
426.901,1.31392E7
427.319,1.23219E7
427.745,1.20439E7
428.815,1.22272E7
429.241,1.31452E7
429.668,1.38042E7
430.846,1.1771E7
431.285,1.07299E7
431.721,1.09044E7
432.337,1.13755E7
433.402,1.11239E7
433.834,1.15427E7
434.268,1.09838E7
435.331,1.04218E7
435.759,1.07493E7
436.171,1.13972E7
437.667,1.1613E7
439.148,1.17785E7
440.058,1.14555E7
440.516,9764010.0
440.897,1.07093E7
442.023,1.25783E7
442.386,1.55545E7
442.756,1.43363E7
444.208,1.29175E7
445.315,1.49254E7
445.678,1.2774E7
446.035,1.46003E7
447.476,9558440.0
447.897,9866070.0
448.435,1.2825E7
449.426,1.15829E7
449.779,1.06151E7
450.129,1.04677E7
450.892,1.25911E7
451.24,1.19719E7
451.587,1.29689E7
452.79,1.05666E7
453.137,1.11156E7
453.486,1.20539E7
454.373,1.0879E7
454.727,1.17141E7
455.08,1.41864E7
455.73,1.4485E7
456.08,1.17591E7
456.432,1.15697E7
457.2,1.34139E7
457.628,1.15139E7
458.513,1.19543E7
458.87,1.18535E7
459.223,1.33536E7
459.575,1.39806E7
460.007,1.17127E7
460.664,1.27217E7
461.025,1.16739E7
461.385,1.27069E7
462.048,1.23731E7
462.409,1.25662E7
462.778,1.2062E7
463.564,1.24628E7
463.938,1.16334E7
464.312,1.26598E7
464.872,1.36499E7
465.241,1.32525E7
465.611,1.32251E7
466.048,1.34512E7
466.605,1.18251E7
467.165,1.16698E7
467.539,1.23447E7
467.912,1.32664E7
468.582,1.37139E7
469.026,1.4391E7
469.394,1.29895E7
469.761,1.31152E7
470.554,1.20218E7
470.924,1.40161E7
471.289,1.37107E7
471.85,1.32693E7
472.292,1.47154E7
472.662,1.46964E7
473.038,1.33732E7
473.413,1.3758E7
473.784,1.42683E7
474.159,1.30107E7
474.609,1.29431E7
475.057,1.38211E7
475.504,1.38673E7
475.874,1.35881E7
476.655,1.51521E7
477.026,1.43436E7
477.397,1.47375E7
477.962,1.28298E7
478.341,1.35793E7
478.717,1.28478E7
479.095,1.25212E7
479.664,1.37496E7
480.115,1.38304E7
480.493,1.33106E7
481.179,1.30804E7
481.561,1.34418E7
481.933,1.57711E7
482.305,1.50751E7
482.679,1.36373E7
483.049,1.52067E7
483.431,1.29059E7
483.81,1.39462E7
484.186,1.3979E7
484.562,1.39402E7
484.934,1.75118E7
485.312,1.46889E7
485.769,1.37677E7
486.445,1.58855E7
486.818,1.50869E7
487.196,1.35108E7
487.567,1.56336E7
488.015,1.68509E7
488.576,1.51298E7
489.03,1.41135E7
489.48,1.57304E7
489.933,1.40829E7
490.62,1.4623E7
491.075,1.37589E7
491.462,1.39038E7
491.835,1.63807E7
492.288,1.56484E7
492.667,1.38867E7
493.045,1.40674E7
493.487,1.65124E7
493.855,1.85535E7
