"rt","ions"
300.261,1.45907E7
300.803,1.32636E7
301.199,1.46979E7
301.678,1.36984E7
302.081,1.40698E7
302.475,1.43487E7
302.966,1.16607E7
303.379,1.1829E7
303.774,1.50236E7
304.181,1.23518E7
304.6,1.19326E7
305.011,1.26868E7
305.413,1.36187E7
305.806,1.37018E7
306.203,1.46375E7
306.597,1.37203E7
306.983,1.55134E7
307.365,1.28141E7
307.741,1.51581E7
308.128,1.45373E7
308.521,1.3748E7
308.915,1.37131E7
309.306,1.47529E7
309.712,1.28333E7
310.144,1.24943E7
310.544,1.38742E7
310.931,1.49086E7
311.307,1.65545E7
311.686,1.56089E7
312.078,1.40954E7
312.47,1.40173E7
312.859,1.3796E7
313.25,1.48436E7
313.633,1.27115E7
314.029,1.42419E7
314.501,1.32029E7
314.888,1.31908E7
315.281,1.36918E7
315.68,1.31998E7
316.078,1.42572E7
316.47,1.41615E7
316.862,1.40144E7
317.245,1.59581E7
317.655,1.07254E7
318.039,1.32383E7
318.421,1.57454E7
318.797,1.54287E7
319.182,1.49346E7
319.557,1.70336E7
319.929,1.64355E7
320.316,1.49386E7
320.694,1.56116E7
321.086,1.38095E7
321.658,1.52632E7
322.052,1.40435E7
322.451,1.45373E7
322.837,1.22579E7
323.258,1.1636E7
323.678,1.17291E7
324.091,1.35916E7
324.482,1.25165E7
324.869,1.4843E7
325.274,1.16144E7
325.685,1.31169E7
326.085,1.32967E7
326.485,1.31433E7
326.877,1.35656E7
327.305,1.00661E7
327.709,1.39758E7
328.098,1.42059E7
328.491,1.47171E7
328.882,1.49655E7
329.289,1.30269E7
329.769,1.32362E7
330.155,1.50865E7
330.541,1.69269E7
330.914,1.62029E7
331.299,1.53032E7
331.68,1.42155E7
332.067,1.43451E7
332.448,1.61336E7
332.834,1.43407E7
333.218,1.53493E7
333.611,1.37556E7
334.008,1.36701E7
334.399,1.35684E7
334.79,1.35942E7
335.182,1.31342E7
335.575,1.21263E7
335.969,1.38708E7
336.37,1.22822E7
336.791,1.26479E7
337.186,1.38377E7
337.571,1.29445E7
337.982,1.3183E7
338.379,1.45137E7
338.771,1.38062E7
339.164,1.36268E7
339.557,1.48817E7
339.971,1.26536E7
340.393,1.42923E7
340.779,1.43084E7
341.182,1.40342E7
341.602,1.12934E7
342.032,1.13463E7
342.422,1.54219E7
342.82,1.3394E7
343.305,1.33298E7
343.706,1.4563E7
344.099,1.35731E7
344.49,1.37989E7
344.868,1.60309E7
345.25,1.42634E7
345.637,1.60887E7
346.026,1.53968E7
346.423,1.36083E7
346.819,1.33931E7
347.214,1.43658E7
347.603,1.55638E7
347.986,1.6695E7
348.373,1.48344E7
348.763,1.43883E7
349.145,1.62626E7
349.636,1.24805E7
350.036,1.22483E7
350.433,1.47214E7
350.819,1.46293E7
351.207,1.52008E7
351.593,1.48551E7
351.992,1.2573E7
352.404,1.39479E7
352.791,1.47327E7
353.269,1.33056E7
353.663,1.43031E7
354.049,1.49354E7
354.438,1.3251E7
354.832,1.40761E7
355.22,1.45922E7
355.617,1.37349E7
356.018,1.22971E7
356.423,1.30502E7
356.813,1.42267E7
357.199,1.41595E7
357.591,1.28528E7
358.071,1.33786E7
358.464,1.42235E7
358.856,1.43579E7
359.251,1.35471E7
359.643,1.41209E7
360.219,1.52709E7
360.615,1.30425E7
361.028,1.30841E7
361.42,1.44767E7
361.815,1.35422E7
362.209,1.45034E7
362.58,1.74292E7
362.968,1.43717E7
363.344,1.65523E7
363.734,1.3345E7
364.136,1.22122E7
364.548,1.23064E7
364.97,1.10185E7
365.388,1.25447E7
365.796,1.40577E7
366.225,1.15338E7
366.654,1.20553E7
367.045,1.48271E7
367.433,1.48647E7
367.823,1.40338E7
368.222,1.26767E7
368.62,1.37956E7
369.014,1.34771E7
369.426,1.30848E7
369.823,1.35228E7
370.218,1.36223E7
370.621,1.23543E7
371.021,1.31807E7
371.411,1.42407E7
371.804,1.47065E7
372.186,1.56563E7
