"rt","ions"
300.221,8969750.0
300.725,8738900.0
301.072,8508510.0
301.422,8415360.0
301.774,7210780.0
302.125,7935860.0
302.549,8670580.0
302.892,9981480.0
303.244,8101560.0
303.593,8483320.0
303.938,9449550.0
304.371,8493010.0
304.716,1.01188E7
305.061,8262050.0
305.407,9438430.0
305.762,9033380.0
306.114,8690030.0
306.549,8538950.0
306.912,8303100.0
307.273,8776630.0
307.708,8386940.0
308.07,8719670.0
308.434,8357960.0
308.8,8407000.0
309.163,8630370.0
309.529,7959160.0
309.903,7364450.0
310.273,7868860.0
310.645,8060770.0
311.011,9249500.0
311.378,8664600.0
311.742,9728630.0
312.179,9376140.0
312.55,8412260.0
312.915,8923270.0
313.278,9326740.0
313.648,8666180.0
314.026,7314670.0
314.598,7481920.0
314.967,8487100.0
315.329,9304770.0
315.775,8844910.0
316.152,7692050.0
316.526,8076220.0
316.983,7322800.0
317.362,7729330.0
317.746,7761090.0
318.123,7796960.0
318.503,8149890.0
318.874,8849080.0
319.242,8906530.0
319.61,8534950.0
319.986,8067960.0
320.354,8932400.0
320.805,8090250.0
321.178,8809880.0
321.548,9096720.0
321.913,9170040.0
322.282,8825210.0
322.651,8231830.0
323.106,8181040.0
323.481,8710590.0
323.861,8013410.0
324.24,8069470.0
324.616,8606140.0
324.996,7699160.0
325.389,7453290.0
325.77,7823350.0
326.146,8327020.0
326.525,7785320.0
326.909,7765420.0
327.299,7311140.0
327.671,8099820.0
328.037,9456480.0
328.401,9632080.0
328.768,8257380.0
329.131,9536240.0
329.495,9568490.0
329.946,8203430.0
330.312,9230400.0
330.676,9401780.0
331.045,8043290.0
331.417,8304960.0
331.795,8100030.0
332.169,8822380.0
332.551,8041040.0
332.93,8303120.0
333.317,7861190.0
333.694,8432230.0
334.07,7951940.0
334.466,6987010.0
334.846,8184630.0
335.221,8636980.0
335.596,8505440.0
335.973,8281690.0
336.351,8141820.0
336.726,8410300.0
337.104,7992020.0
337.486,6883500.0
337.876,7209310.0
338.266,6994600.0
338.646,8489980.0
339.036,6342800.0
339.428,7536040.0
339.816,8003760.0
340.267,8290400.0
340.64,8479540.0
341.013,8279630.0
341.39,8262960.0
341.767,7896010.0
342.148,7681830.0
342.533,7447820.0
342.918,7769130.0
343.304,7893520.0
343.693,7563840.0
344.071,8737630.0
344.448,7153040.0
344.82,8972080.0
345.196,7824080.0
345.571,7997730.0
346.022,8120010.0
346.398,8158250.0
346.775,8203280.0
347.149,8281050.0
347.534,9037620.0
347.907,8734520.0
348.272,9514370.0
348.642,8457090.0
349.018,7834950.0
349.401,7506880.0
349.792,7213170.0
350.179,7401200.0
350.571,7307740.0
350.952,8036760.0
351.331,7740370.0
351.711,7725730.0
352.092,7773480.0
352.471,7726420.0
352.856,7235740.0
353.25,7393960.0
353.642,7213120.0
354.026,7596380.0
354.407,7903540.0
354.793,7572130.0
355.176,7828650.0
355.555,8188320.0
355.933,8348520.0
356.309,8430830.0
356.68,8909300.0
357.063,7776230.0
357.437,8235700.0
357.817,7943410.0
358.2,8295700.0
358.564,9932000.0
358.94,8324120.0
359.309,9133830.0
359.684,8766250.0
360.14,8187560.0
360.59,8715790.0
360.963,8251110.0
361.335,8387230.0
361.706,9164500.0
362.075,9040870.0
362.442,9186460.0
362.815,8993640.0
363.193,7576190.0
363.652,7889900.0
364.029,8234460.0
364.407,8503150.0
364.79,8104670.0
365.17,8184770.0
365.536,9884810.0
365.903,9573910.0
366.266,9830030.0
366.723,8346150.0
367.105,8205580.0
367.487,7907660.0
367.878,8325680.0
368.257,8112180.0
368.72,7693630.0
369.097,8619170.0
369.461,9959400.0
369.839,8188200.0
370.298,8062830.0
370.674,8487580.0
371.047,7946250.0
371.415,8675370.0
371.789,9123220.0
372.155,9409090.0
372.523,9059390.0
372.9,7660300.0
373.274,8293850.0
373.654,7629180.0
374.029,8523780.0
374.398,8796150.0
374.765,9330980.0
375.147,6973160.0
375.536,7493400.0
375.916,8145380.0
376.311,6933530.0
376.716,7007710.0
377.108,6871390.0
377.559,7807960.0
377.945,7621250.0
378.325,8132410.0
378.778,8044030.0
379.162,7488600.0
379.549,7542720.0
379.934,7808300.0
380.314,8543430.0
380.696,8286650.0
381.07,8390230.0
381.529,7871320.0
381.91,8137600.0
382.29,8310860.0
382.681,7104080.0
383.068,8602890.0
383.445,8645160.0
383.824,8272860.0
384.21,7527290.0
384.595,7094390.0
384.983,7041250.0
385.37,7995880.0
385.764,6449260.0
386.15,8123780.0
386.529,7059930.0
386.934,5877130.0
387.336,6595390.0
387.718,7788420.0
388.105,7660010.0
388.487,7982890.0
388.864,7813340.0
389.242,7629110.0
389.627,7588990.0
390.01,7614340.0
390.396,7956640.0
390.775,8303060.0
391.155,7647710.0
391.544,6771520.0
391.925,8283000.0
392.317,6877390.0
392.7,6998490.0
393.103,5910710.0
393.489,7130090.0
393.876,7222390.0
394.268,6979800.0
394.654,7713670.0
395.031,8013690.0
395.409,8156790.0
395.787,7383060.0
396.161,7746360.0
396.541,8288250.0
396.917,8751420.0
397.301,7152850.0
397.684,8221060.0
398.056,8787840.0
398.43,8539420.0
398.809,8091710.0
399.179,8558770.0
399.555,8042200.0
399.932,8333570.0
400.301,9737900.0
400.674,7764720.0
401.054,8435230.0
401.438,7775580.0
401.816,9291590.0
402.186,9084420.0
402.564,8144150.0
402.944,8226200.0
403.325,7896550.0
403.704,8621720.0
404.078,8800550.0
404.458,7631130.0
404.842,7716880.0
405.229,7393060.0
405.614,7952380.0
405.997,7747190.0
406.385,7042920.0
406.775,7465340.0
407.163,7271100.0
407.551,7514770.0
407.932,7904120.0
408.319,7304290.0
408.699,8071170.0
409.078,8306140.0
409.453,8658320.0
409.825,8440950.0
410.203,7977850.0
410.58,8192620.0
410.96,7943750.0
411.336,8182370.0
411.714,8418160.0
412.162,8667880.0
412.538,8429400.0
412.915,8044410.0
413.289,8683300.0
413.671,7652010.0
414.048,8029570.0
414.427,8524210.0
414.811,6990460.0
415.203,7057800.0
415.587,8011080.0
415.969,7448750.0
416.347,7990650.0
416.723,8096660.0
417.105,7486960.0
417.488,8087720.0
417.88,7171570.0
418.259,8253980.0
418.636,8694680.0
419.005,8876090.0
419.386,7450730.0
419.774,7156940.0
420.159,6881970.0
420.614,8624150.0
421.007,7239710.0
421.391,7884630.0
421.778,7691580.0
422.156,8031270.0
422.536,8291210.0
422.911,8749330.0
423.366,8170410.0
423.733,9281570.0
424.099,8832460.0
424.66,8119330.0
425.037,8079300.0
425.417,8361850.0
426.092,7969010.0
426.472,7962180.0
426.854,7683030.0
427.233,7910160.0
427.79,8565200.0
428.166,8833930.0
428.546,7794460.0
428.93,7370700.0
429.393,7542700.0
429.78,7191120.0
430.351,7049420.0
430.922,7462680.0
431.489,7916300.0
431.868,7897880.0
432.239,8166410.0
432.68,9083700.0
433.053,8119690.0
433.732,7679510.0
434.109,7974860.0
434.482,7397200.0
435.271,7794790.0
435.648,8265010.0
436.042,6621170.0
436.835,7940280.0
437.209,8258650.0
437.582,7504830.0
438.254,7537290.0
438.635,7953770.0
439.003,7902810.0
439.556,7404870.0
439.942,1.192E7
