"rt","ions"
300.227,1.14316E7
300.75,1.10027E7
301.113,8331580.0
301.475,9057730.0
301.923,6997910.0
302.293,9001400.0
302.653,9610570.0
303.006,9413490.0
303.445,9347060.0
303.807,8884560.0
304.164,1.03606E7
304.518,1.05799E7
304.89,8674540.0
305.248,1.05878E7
305.605,9965230.0
305.962,1.04594E7
306.326,9228110.0
306.759,1.07892E7
307.116,1.07254E7
307.469,1.2321E7
307.821,1.16218E7
308.261,1.10233E7
308.62,1.10826E7
308.996,8246470.0
309.431,1.09059E7
309.794,9612700.0
310.16,8710680.0
310.526,9608750.0
310.883,1.03652E7
311.25,7977070.0
311.796,1.04425E7
312.143,1.16882E7
312.522,7957110.0
312.875,1.27232E7
313.227,1.22488E7
313.576,1.15996E7
313.946,8205650.0
314.302,1.16474E7
314.658,1.07529E7
315.013,1.11876E7
315.37,1.09803E7
315.73,1.07562E7
316.095,9574920.0
316.46,1.01683E7
316.822,1.05946E7
317.191,9941520.0
317.546,1.17189E7
317.902,1.13162E7
318.263,9160270.0
318.63,1.01913E7
318.991,1.05873E7
319.352,1.04987E7
319.79,1.01682E7
320.151,1.03582E7
320.511,9897360.0
320.874,1.05792E7
321.234,9728280.0
321.601,9095450.0
321.967,9536020.0
322.336,9924750.0
322.702,9846040.0
323.068,1.0335E7
323.432,9982890.0
323.789,1.08431E7
324.149,9207460.0
324.509,1.09258E7
324.951,1.00797E7
325.382,1.13123E7
325.82,9988070.0
326.172,1.27733E7
326.526,1.13756E7
326.9,7901000.0
327.278,8909180.0
327.737,7592520.0
328.115,9922030.0
328.471,1.16209E7
328.834,8683340.0
329.204,8976550.0
329.562,1.10204E7
329.917,1.11413E7
330.273,1.05889E7
330.636,1.02665E7
330.998,9373250.0
331.387,8320370.0
331.74,1.19985E7
332.096,1.14201E7
332.451,1.13555E7
332.81,1.05416E7
333.173,1.0187E7
333.541,9394540.0
333.906,1.00055E7
334.279,7983710.0
334.648,9930340.0
335.015,1.02912E7
335.393,8007380.0
335.765,1.01421E7
336.125,1.08717E7
336.559,1.04487E7
336.912,1.17301E7
337.263,1.16052E7
337.619,1.12729E7
337.977,1.12704E7
338.414,9819720.0
338.854,1.13062E7
339.21,1.11327E7
339.569,1.02135E7
340.117,1.09194E7
340.467,1.24533E7
340.816,1.29455E7
341.168,1.08941E7
341.529,9414490.0
341.899,9203740.0
342.27,9574740.0
342.638,1.08317E7
343.004,9743820.0
343.376,8588970.0
343.777,1.26457E7
344.145,8992790.0
344.515,9783350.0
344.884,1.03526E7
345.245,1.04887E7
345.693,8680710.0
346.078,8826040.0
346.442,1.01982E7
346.808,9795000.0
347.175,9680090.0
347.625,8693960.0
347.994,1.02819E7
348.364,8949680.0
348.73,9632730.0
349.103,9326010.0
349.472,9337470.0
349.839,9389960.0
350.228,7239300.0
350.605,9512110.0
351.046,1.0823E7
351.404,1.06283E7
