"rt","ions"
300.286,7756680.0
300.834,6959890.0
301.203,7479050.0
301.564,7645640.0
301.992,8947190.0
302.34,8917690.0
302.682,1.01859E7
303.024,9517810.0
303.374,8383790.0
303.914,8352540.0
304.27,8147440.0
304.625,7796140.0
305.389,8168110.0
305.737,9234620.0
306.081,9188510.0
306.842,8458110.0
307.191,8718510.0
307.54,8121140.0
308.082,8207290.0
308.433,8535140.0
308.785,8624050.0
309.322,8695250.0
309.669,9432390.0
310.013,9103350.0
310.434,8516040.0
310.862,8323450.0
311.517,8604690.0
311.87,9115720.0
312.218,8788270.0
312.574,8102010.0
312.926,8310320.0
313.357,8045770.0
313.795,7337470.0
314.159,6666140.0
314.524,8445040.0
314.874,8889050.0
315.233,8346660.0
315.589,8512780.0
315.946,8428000.0
316.389,7330780.0
316.763,7234480.0
317.132,7073650.0
317.496,7696590.0
317.86,7450760.0
318.299,8136030.0
318.735,8150380.0
319.09,8755940.0
319.45,8550780.0
319.807,8592510.0
320.159,8917960.0
320.598,7675010.0
321.152,7603530.0
321.513,8578260.0
321.873,8529450.0
322.228,9330680.0
322.595,7590080.0
322.955,8531500.0
323.316,7807520.0
323.678,8080810.0
324.045,8049750.0
324.405,8768060.0
324.761,8707730.0
325.121,8672830.0
325.485,7580210.0
325.852,8172230.0
326.406,8224400.0
326.769,8527650.0
327.127,8715240.0
327.489,8555230.0
327.849,8840490.0
328.205,8812980.0
328.57,7531110.0
328.936,8630500.0
329.295,8695260.0
329.72,8847820.0
330.065,8766760.0
330.421,7792660.0
330.847,9972840.0
331.271,9175800.0
331.706,8095100.0
332.069,8138660.0
332.429,8793860.0
332.787,9307240.0
333.144,8487550.0
333.505,8407010.0
333.865,8187830.0
334.224,8839180.0
334.583,8361540.0
334.946,7453730.0
335.504,8345090.0
335.869,8363060.0
336.228,8465350.0
336.588,8700310.0
337.019,7947230.0
337.397,6146180.0
337.769,8366760.0
338.135,7221730.0
338.511,7042620.0
338.954,8257570.0
339.323,7788250.0
339.69,7403070.0
340.061,7726250.0
340.425,8264200.0
340.783,9529340.0
341.137,9241780.0
341.494,8237970.0
342.042,8570870.0
342.401,8248770.0
342.765,7866460.0
343.128,7680190.0
343.688,7584690.0
344.05,8046690.0
344.422,7029730.0
344.791,7479500.0
345.156,8330880.0
345.524,8033690.0
345.886,8107930.0
346.245,8699920.0
346.602,8418650.0
346.958,9000540.0
347.313,8995530.0
347.671,8478210.0
348.028,8677690.0
348.385,8512120.0
348.823,8136960.0
349.184,7753180.0
349.531,1.05633E7
349.954,1.00803E7
350.386,8932620.0
350.74,9493560.0
351.093,9586120.0
351.452,8638090.0
351.813,8748150.0
352.168,9278110.0
352.518,9459170.0
352.877,7685360.0
353.24,7953990.0
353.609,7609590.0
354.055,7549780.0
354.436,6248930.0
354.819,7065320.0
355.193,7306980.0
355.645,7169730.0
356.007,8501560.0
356.371,7777140.0
356.733,8009210.0
357.095,8358770.0
357.457,8194920.0
357.82,7789400.0
358.185,7947970.0
358.548,8172050.0
358.906,8624820.0
359.56,8455560.0
359.921,8183360.0
360.275,9002930.0
360.635,8473970.0
360.995,8468220.0
361.434,7759400.0
361.799,8277820.0
362.16,8456370.0
362.523,8028860.0
362.886,8081060.0
363.252,9036470.0
363.611,8126080.0
364.174,6654690.0
364.537,8183230.0
