"rt","ions"
300.253,1.06637E7
300.802,1.0461E7
301.201,1.02492E7
301.597,1.11186E7
301.988,1.10283E7
302.453,1.18477E7
302.835,1.22294E7
303.219,1.18135E7
303.611,1.16096E7
303.996,1.26232E7
304.383,1.21659E7
304.763,1.28514E7
305.148,1.13202E7
305.538,1.18651E7
305.937,1.05379E7
306.415,9589430.0
306.822,9566510.0
307.228,1.00823E7
307.626,1.14237E7
308.006,1.2503E7
308.389,1.18652E7
308.776,1.23769E7
309.16,1.20664E7
309.581,8941930.0
309.99,1.09299E7
310.393,1.04743E7
310.789,1.05678E7
311.2,9604580.0
311.609,1.00111E7
312.005,1.11449E7
312.396,1.05635E7
312.781,1.31939E7
313.169,1.18126E7
313.571,9063310.0
313.989,8805330.0
314.38,9717480.0
314.776,1.11038E7
315.161,1.32816E7
315.549,1.01357E7
315.937,1.14483E7
316.326,1.1637E7
316.716,9580850.0
317.113,1.10712E7
317.504,1.18599E7
317.89,1.16058E7
318.276,1.14539E7
318.739,1.24695E7
319.125,1.15673E7
319.515,1.08498E7
319.912,1.14134E7
320.302,1.20182E7
320.685,1.13648E7
321.069,1.18444E7
321.443,1.33434E7
321.818,1.25826E7
322.205,1.17933E7
322.584,1.32184E7
322.965,1.2492E7
323.346,1.2237E7
323.736,1.14239E7
324.132,1.08141E7
324.532,1.09094E7
324.929,1.09912E7
325.317,1.28086E7
325.687,1.41192E7
326.068,1.19828E7
326.459,1.11302E7
326.862,9515370.0
327.274,1.06589E7
327.672,1.14108E7
328.061,1.13218E7
328.462,1.04549E7
328.945,1.05135E7
329.354,1.02235E7
329.741,1.14971E7
330.2,1.31006E7
330.583,1.12371E7
330.987,1.15138E7
331.38,9247510.0
331.777,1.02383E7
332.202,9099900.0
332.673,1.0919E7
333.071,1.01053E7
333.482,1.01611E7
333.878,1.07219E7
334.346,1.18219E7
334.768,1.05044E7
335.163,1.15571E7
335.553,1.14082E7
335.943,1.15783E7
336.331,1.15237E7
336.714,1.23024E7
337.11,1.05898E7
337.525,8393930.0
337.94,9594030.0
338.342,1.00897E7
338.733,1.13836E7
339.127,1.15847E7
339.514,1.12917E7
339.898,1.26733E7
340.302,9106690.0
340.69,1.24235E7
341.065,1.28939E7
341.437,1.22599E7
341.828,1.07582E7
342.215,1.16438E7
342.599,1.1391E7
342.988,1.11315E7
343.442,1.24842E7
343.814,1.35922E7
344.187,1.25219E7
344.567,1.15741E7
344.952,1.15552E7
345.339,1.0781E7
345.734,1.05355E7
346.124,1.10457E7
346.591,1.09726E7
346.99,1.02301E7
347.379,1.1031E7
347.773,1.0917E7
348.146,1.36207E7
348.52,1.18962E7
348.899,1.1903E7
349.295,1.07946E7
349.685,1.13225E7
350.073,1.07438E7
350.473,1.05028E7
350.861,1.08835E7
351.254,1.01032E7
351.647,1.05982E7
352.033,1.13573E7
352.426,1.03927E7
352.814,1.1521E7
353.197,1.15137E7
353.58,1.14969E7
353.96,1.14562E7
354.343,1.0901E7
354.799,1.20629E7
355.179,1.18875E7
355.556,1.19264E7
355.939,1.13653E7
356.336,8884490.0
356.741,9957140.0
357.125,1.10442E7
357.51,1.11881E7
357.903,1.04175E7
358.298,1.07661E7
358.691,1.08921E7
359.087,1.02869E7
359.496,8965310.0
359.908,9176990.0
360.314,9158430.0
360.711,1.03006E7
361.086,1.30849E7
361.477,1.14907E7
361.888,8932010.0
362.295,7468180.0
362.713,8646820.0
363.099,1.0922E7
363.499,7953600.0
