"rt","ions"
300.313,1.14312E7
300.862,1.00502E7
301.28,9427810.0
301.718,8499440.0
302.135,1.03791E7
302.547,9801540.0
302.976,9159880.0
303.402,1.00138E7
303.8,1.17138E7
304.282,1.04382E7
304.695,1.03136E7
305.102,1.11803E7
305.496,1.19119E7
305.894,1.12542E7
306.308,9266260.0
306.716,1.05404E7
307.125,9894150.0
307.612,9949870.0
308.026,9911420.0
308.441,1.07143E7
308.836,1.10669E7
309.24,9937120.0
309.652,9821700.0
310.066,1.04556E7
310.473,1.09992E7
310.876,1.03687E7
311.286,1.01136E7
311.706,9505810.0
312.13,9166190.0
312.562,8771310.0
312.985,9804830.0
313.398,1.0357E7
313.814,9696610.0
314.418,9540180.0
314.842,8653720.0
315.252,1.02738E7
315.659,1.01443E7
316.067,9842410.0
316.476,9918100.0
316.873,1.21037E7
317.272,1.18214E7
317.667,9607890.0
318.099,1.01301E7
318.517,8145440.0
318.961,8053440.0
319.38,9131000.0
319.789,1.06032E7
320.184,1.1135E7
320.605,9983240.0
321.06,7307110.0
321.461,1.13043E7
321.861,1.06829E7
322.27,1.04504E7
322.675,9760130.0
323.093,9782700.0
323.501,1.0245E7
323.911,9289680.0
324.32,1.02442E7
324.8,1.06332E7
325.205,1.04478E7
325.615,9771310.0
326.027,9824930.0
326.445,9263210.0
326.862,1.00606E7
327.268,9643950.0
327.698,8079450.0
328.123,8603900.0
328.544,8995360.0
328.956,9242550.0
329.443,9810500.0
329.857,9227880.0
330.268,1.02795E7
330.669,1.03494E7
331.082,8857790.0
331.508,8973240.0
331.941,8651220.0
332.362,9536020.0
332.771,1.01205E7
333.177,9687990.0
333.581,1.03877E7
333.988,9895780.0
334.479,8885460.0
334.895,9063530.0
335.314,9044120.0
335.73,9145250.0
336.157,8400050.0
336.59,8544970.0
337.007,8902550.0
337.427,9070970.0
337.83,1.00802E7
338.23,1.08066E7
338.627,1.11864E7
339.033,9346860.0
339.468,8267530.0
339.866,1.00888E7
340.303,7795990.0
340.729,9062330.0
341.135,9983350.0
341.542,9827770.0
341.951,1.00608E7
342.351,1.07749E7
342.75,1.00758E7
343.157,1.01244E7
343.56,1.02536E7
343.968,9631240.0
344.376,9573530.0
344.789,9357650.0
345.197,9536040.0
345.61,9303300.0
346.022,9681630.0
346.429,9642410.0
346.842,9440550.0
347.242,1.02611E7
347.631,1.04362E7
348.025,1.04461E7
348.425,8716020.0
348.819,1.10056E7
349.209,1.05349E7
349.62,9362450.0
350.028,9218320.0
350.447,8561560.0
350.855,9694570.0
351.264,1.02564E7
351.668,1.03252E7
352.061,1.12189E7
352.473,9311030.0
352.879,1.00927E7
353.286,9018520.0
353.695,9623830.0
354.098,9753390.0
354.501,9754690.0
354.899,1.08566E7
355.292,1.09695E7
355.688,9809420.0
356.093,1.05538E7
356.499,8731900.0
356.923,8203880.0
357.337,9551190.0
357.747,1.00159E7
358.161,9543300.0
358.574,9033630.0
358.994,9136830.0
359.399,1.02717E7
359.784,1.11582E7
360.202,8488010.0
360.604,9306710.0
361.019,9274320.0
361.413,1.03912E7
361.804,1.07045E7
362.196,1.09779E7
362.593,1.0765E7
362.994,1.02893E7
363.39,1.07149E7
363.773,1.0223E7
364.154,1.1811E7
364.554,1.07744E7
364.95,1.03489E7
365.358,1.02124E7
365.747,1.11257E7
366.15,9741840.0
366.551,1.01607E7
366.947,1.07333E7
367.351,9744620.0
367.75,1.05971E7
368.143,1.06164E7
368.619,1.02748E7
369.026,9257140.0
369.452,8731950.0
369.87,8816960.0
370.287,9185420.0
370.701,9319160.0
371.11,9354150.0
371.518,1.00537E7
371.907,1.09687E7
372.369,1.07337E7
372.797,7741220.0
373.202,1.01056E7
373.598,1.08047E7
374.011,8531390.0
374.411,1.09333E7
374.804,1.07E7
375.202,1.07283E7
375.602,9714510.0
376.007,1.04518E7
376.416,9021460.0
376.814,9508700.0
377.215,1.00698E7
377.615,1.0945E7
378.0,1.06803E7
378.394,1.03958E7
378.797,8862500.0
379.2,1.02156E7
379.611,8666390.0
380.03,9202770.0
380.427,1.04977E7
380.835,9674780.0
381.23,9991090.0
381.632,9050580.0
382.047,9165730.0
382.451,9883910.0
382.847,1.0377E7
383.222,1.14931E7
383.617,1.05452E7
384.013,9418830.0
384.415,9372480.0
384.821,9249890.0
385.231,9347540.0
385.624,9904190.0
386.008,1.09118E7
386.403,9868900.0
386.798,1.02477E7
387.211,9501040.0
387.606,1.02915E7
388.018,8894470.0
388.444,8489980.0
388.852,9635200.0
389.253,1.03745E7
389.64,1.08506E7
390.026,1.04823E7
390.414,1.06159E7
390.801,1.03394E7
391.213,9387890.0
391.708,9418290.0
392.104,1.0839E7
392.507,8097730.0
392.944,9564980.0
393.427,9937730.0
393.836,9293640.0
394.243,9863670.0
394.651,9796370.0
395.053,8906130.0
395.453,1.04776E7
395.858,8444740.0
396.251,1.07502E7
396.648,9453000.0
397.093,6243180.0
397.578,1.12427E7
397.966,1.13617E7
398.353,9386030.0
398.757,9115360.0
399.17,9015250.0
399.581,8736100.0
399.979,9494020.0
400.382,9859570.0
400.784,9441670.0
401.195,8991960.0
401.606,9693930.0
402.003,1.02844E7
402.399,9942680.0
402.799,1.02578E7
403.195,9508750.0
403.596,9591790.0
403.991,1.0252E7
404.383,1.02191E7
404.778,1.06124E7
405.182,9109560.0
405.596,8669480.0
406.012,8592840.0
406.434,8117940.0
406.84,9818450.0
407.237,1.00632E7
407.708,1.02568E7
408.102,9892270.0
408.507,8771330.0
408.912,9086630.0
409.319,9559900.0
409.731,8613710.0
410.154,8502070.0
410.558,9792120.0
410.96,1.04814E7
411.358,9293990.0
411.753,1.02053E7
412.15,9845040.0
412.54,1.07026E7
412.934,9679790.0
413.338,9097270.0
413.751,8806090.0
414.161,8863180.0
414.567,9164760.0
414.971,9598570.0
415.378,9199650.0
415.791,8730330.0
416.204,8888310.0
416.609,9748950.0
416.993,1.08847E7
417.384,1.08505E7
417.786,1.14768E7
418.181,1.02081E7
418.584,9543690.0
418.984,9327980.0
419.386,9146750.0
419.866,9374750.0
420.274,9104750.0
420.688,8990520.0
421.094,9177820.0
421.49,9919630.0
421.891,9313260.0
422.305,8348070.0
422.726,7902840.0
423.144,8487840.0
423.553,9481260.0
423.944,1.12973E7
424.344,9803620.0
424.744,1.01501E7
425.165,8287500.0
425.562,1.02778E7
425.956,1.0782E7
426.363,9867270.0
426.767,9905160.0
427.164,9818070.0
427.578,8062860.0
427.996,8752280.0
428.395,8006250.0
428.785,1.00389E7
429.183,9691400.0
429.583,8385710.0
429.992,7271030.0
430.439,8238020.0
430.873,7408990.0
431.29,9715980.0
431.683,9163190.0
432.077,9482650.0
432.47,8128500.0
432.905,6838360.0
433.335,9867170.0
433.759,8241170.0
434.151,1.09868E7
434.541,1.01789E7
434.945,9377260.0
435.348,9376960.0
435.823,1.03783E7
436.213,1.03801E7
436.595,1.04889E7
436.983,1.10386E7
437.444,1.08517E7
437.826,1.13095E7
438.219,1.02848E7
438.692,1.03651E7
439.158,1.12379E7
439.635,9497710.0
440.031,9659700.0
440.422,1.0032E7
440.901,8660970.0
441.376,9392530.0
441.866,8836180.0
442.35,1.06852E7
442.738,1.02669E7
443.128,1.01312E7
443.53,9705900.0
443.935,8839710.0
444.522,1.003E7
444.994,9587870.0
445.395,9415730.0
445.79,9607680.0
446.491,1.15469E7
446.868,1.08487E7
447.249,9800190.0
447.835,8890800.0
448.446,7461680.0
448.85,9873730.0
449.241,9388060.0
449.635,8852480.0
450.04,8175650.0
450.542,6659380.0
450.936,7392960.0
451.339,9081840.0
451.922,1.01097E7
452.328,7654100.0
452.736,8503880.0
453.204,9535620.0
453.602,9396040.0
453.989,9628920.0
454.371,9138830.0
454.8,6763670.0
455.224,7888750.0
455.635,8489990.0
456.037,8674150.0
456.634,8328180.0
457.062,7326410.0
457.486,6769090.0
457.919,7504170.0
458.504,9311510.0
458.897,9210710.0
459.287,8636130.0
459.677,1.0129E7
460.146,9350180.0
460.534,9410460.0
460.937,8149350.0
461.645,8077800.0
462.058,7751170.0
462.479,7150570.0
462.951,8876890.0
463.333,9302930.0
463.717,9803070.0
464.1,8715150.0
464.494,8587900.0
465.085,7760350.0
465.479,9051700.0
465.872,9166860.0
466.26,8910280.0
466.83,8861710.0
467.214,9585510.0
467.607,7888750.0
468.101,6899890.0
468.593,7694980.0
468.998,9304200.0
469.385,9896300.0
469.772,9878120.0
470.164,7580630.0
470.552,9611420.0
471.006,1.0144E7
471.469,9067040.0
471.853,9329660.0
472.246,8101200.0
472.715,8769640.0
473.404,8992250.0
473.786,8633880.0
474.185,8399060.0
474.655,9012780.0
475.113,1.01058E7
475.481,1.06361E7
475.855,9534200.0
476.317,9808880.0
476.704,9194940.0
477.083,9428890.0
477.471,9981140.0
477.864,8741020.0
478.313,1.11997E7
478.771,8761950.0
479.154,8883490.0
479.546,9119850.0
479.938,8087990.0
480.325,9272250.0
480.788,9054760.0
481.19,8557370.0
481.588,8144110.0
481.99,7587900.0
482.462,8029410.0
482.859,8685030.0
483.243,9174250.0
483.639,8282270.0
484.099,9724550.0
484.486,9390300.0
484.891,8002770.0
485.286,8810270.0
485.752,9130570.0
486.144,9190120.0
486.534,9124890.0
486.921,9464050.0
487.305,9163900.0
487.707,7887870.0
488.315,7648350.0
488.72,9092570.0
489.113,8705480.0
489.505,9291460.0
489.899,9300660.0
490.302,8464030.0
490.806,7051160.0
491.188,9508210.0
491.571,1.05605E7
491.952,1.04795E7
492.335,9447670.0
492.733,8804550.0
493.114,1.05111E7
493.573,1.02689E7
493.985,7348130.0
494.382,8672730.0
494.8,7212650.0
495.217,8147620.0
495.806,9764560.0
496.217,7829700.0
496.609,8367250.0
497.068,1.09421E7
497.451,1.06461E7
497.836,1.06369E7
498.302,7129170.0
498.711,8912710.0
499.103,1.03866E7
499.484,1.04207E7
499.883,8193520.0
500.364,9260320.0
500.766,8787140.0
501.167,8998460.0
501.56,9133920.0
502.034,8914620.0
502.422,9902190.0
502.819,8664950.0
503.219,8202080.0
503.623,8617200.0
504.219,8646400.0
504.63,7705590.0
505.038,8799440.0
505.502,9984560.0
505.897,8197980.0
506.314,8466900.0
506.717,8844410.0
507.182,9405860.0
507.582,7383590.0
508.01,6862850.0
508.435,7511740.0
508.84,9343600.0
509.257,6779770.0
509.707,7656210.0
510.12,7545480.0
510.527,7385820.0
510.963,6281950.0
511.361,9403400.0
511.836,7807070.0
512.252,7076230.0
512.656,8730040.0
513.064,8510850.0
513.463,9138560.0
513.852,9216880.0
514.253,8983080.0
514.65,8550100.0
515.123,9558010.0
515.517,9632750.0
515.918,8350450.0
516.317,9008940.0
516.794,9026800.0
517.249,9249280.0
517.669,7105880.0
518.06,1.01276E7
518.437,1.0637E7
518.827,9100430.0
519.236,7753060.0
519.641,8625110.0
520.04,1.06925E7
520.429,9373500.0
520.819,9746680.0
521.216,9499720.0
521.609,9955400.0
522.006,7608270.0
522.485,8161430.0
522.903,7840810.0
523.32,8560820.0
523.718,8407440.0
524.131,8647240.0
524.537,8865290.0
524.941,9088500.0
525.33,9693770.0
526.033,9343160.0
526.443,7544350.0
526.851,7865730.0
527.256,8788480.0
527.658,8629450.0
528.066,8187540.0
528.472,8666320.0
528.881,8327270.0
529.286,8490370.0
529.697,7877470.0
530.287,9110130.0
530.67,1.02744E7
531.067,8668130.0
531.544,8808010.0
531.941,9196380.0
532.327,9665880.0
532.724,8961810.0
533.119,9203500.0
533.504,1.01479E7
533.888,1.04026E7
534.277,1.09165E7
534.658,1.03657E7
535.04,9690870.0
535.441,8553890.0
535.922,1.01019E7
536.313,8607480.0
536.723,7637810.0
537.129,8794840.0
537.534,9228340.0
537.922,8328680.0
538.323,9169600.0
538.726,8676560.0
539.133,8893960.0
539.534,9140070.0
539.93,8515610.0
540.407,9325730.0
540.817,8470970.0
541.22,9221140.0
541.629,8922110.0
542.039,7100000.0
542.45,8946300.0
542.849,8813400.0
543.241,9412190.0
543.637,9811660.0
544.037,9254360.0
544.516,8103680.0
544.93,8340350.0
545.364,7247720.0
545.784,8150970.0
546.192,9121800.0
546.668,8865200.0
547.077,9052540.0
547.478,9367890.0
547.863,1.11542E7
548.258,9125110.0
548.658,9010850.0
549.061,8790460.0
549.465,8540380.0
549.868,8677540.0
550.277,8650030.0
550.682,8840430.0
551.087,8523310.0
551.489,8756510.0
551.883,9482080.0
552.282,9364060.0
552.76,8269510.0
553.165,8849470.0
553.562,7486830.0
553.968,7837340.0
554.381,8794290.0
554.79,8532830.0
555.201,8566720.0
555.596,9574040.0
555.988,9433140.0
556.384,8869140.0
556.866,8940790.0
557.255,1.00954E7
557.643,8910420.0
558.049,7846440.0
558.455,8919550.0
558.856,8597100.0
559.259,9314910.0
559.657,8962570.0
560.057,8953510.0
560.444,1.04937E7
560.83,1.00489E7
561.227,8873520.0
561.624,9214070.0
562.03,8974730.0
562.434,8760310.0
562.834,8821070.0
563.232,9114960.0
563.704,9476300.0
564.105,8861670.0
564.506,8774070.0
564.905,9395870.0
565.309,8923140.0
565.744,7548560.0
566.16,8619910.0
566.571,7868900.0
566.982,8414920.0
567.384,9244870.0
567.788,9442230.0
568.184,9721070.0
568.579,9068250.0
568.985,7842340.0
569.401,8059040.0
569.798,9486870.0
570.188,9732800.0
570.586,8254710.0
570.98,9412320.0
571.384,8677660.0
571.783,9881400.0
572.247,1.00339E7
572.647,8743670.0
573.126,1.44549E7
573.509,1.13812E7
573.9,9192490.0
574.481,9577260.0
574.871,9519770.0
575.264,9467270.0
575.849,9411140.0
576.249,9374270.0
576.655,8892190.0
577.049,9478750.0
577.442,9303580.0
577.835,9140660.0
578.233,8937280.0
578.636,8667390.0
579.042,8752210.0
579.455,8145830.0
579.938,8262400.0
580.34,8859660.0
580.755,8202530.0
581.152,9618340.0
581.543,9552500.0
581.943,9105210.0
582.336,9357960.0
582.74,7253370.0
583.181,7205410.0
583.592,7810920.0
584.014,7510700.0
584.425,8983740.0
584.829,8556050.0
585.23,8855860.0
585.643,7942140.0
586.05,1.02474E7
586.442,9330030.0
586.854,7944550.0
587.268,7409180.0
587.708,6634280.0
588.136,8197110.0
588.553,7722920.0
588.953,8991700.0
589.339,1.13757E7
589.72,9962330.0
590.109,1.00707E7
590.497,1.02392E7
590.9,8688000.0
591.328,7916480.0
591.727,9641490.0
592.122,9778040.0
592.518,9259880.0
