"rt","ions"
300.313,9405810.0
300.862,9112970.0
301.263,8767410.0
301.687,7475640.0
302.101,8401490.0
302.514,8080820.0
302.92,8985000.0
303.326,8506740.0
303.756,7928660.0
304.166,9424210.0
304.575,9320790.0
304.98,8957300.0
305.406,8298640.0
305.816,8991410.0
306.234,7412240.0
306.651,8089010.0
307.052,9496290.0
307.442,9401120.0
307.84,9231030.0
308.235,1.04087E7
308.626,1.01811E7
309.016,1.01822E7
309.49,9203950.0
309.893,9262760.0
310.287,1.04099E7
310.68,9987620.0
311.082,9255020.0
311.481,9242560.0
311.881,9274110.0
312.283,8997740.0
312.695,7795830.0
313.113,8570540.0
313.525,8529060.0
313.926,9740210.0
314.327,8506840.0
314.751,7864100.0
315.158,9224140.0
315.561,8945880.0
315.964,8339430.0
316.369,8895250.0
316.767,9044800.0
317.169,8799620.0
317.569,8844880.0
317.972,8571280.0
318.374,8944800.0
318.778,8930590.0
319.185,8869830.0
319.582,9640440.0
319.978,9657490.0
320.38,8778680.0
320.784,8529930.0
321.196,8587860.0
321.6,8770040.0
322.003,7972940.0
322.418,8139630.0
322.816,9286070.0
323.228,8743790.0
323.626,9828160.0
324.045,8212290.0
324.459,8325060.0
324.846,1.03993E7
325.241,8193510.0
325.648,7816990.0
326.064,8699560.0
326.474,8681260.0
326.874,8826880.0
327.271,9311300.0
327.675,8690280.0
328.086,7856340.0
328.502,7944780.0
328.899,9467750.0
329.293,9309720.0
329.7,8247900.0
330.093,9532060.0
330.489,8774890.0
330.891,8470270.0
331.298,8576730.0
331.7,8494850.0
332.103,8209580.0
332.507,8790020.0
332.888,9757880.0
333.276,9564610.0
333.753,8362230.0
334.148,8838050.0
334.552,8637980.0
334.957,8962400.0
335.36,8519170.0
335.766,8869470.0
336.17,8074260.0
336.571,9022870.0
336.973,7208970.0
337.391,8943330.0
337.872,8583790.0
338.284,8063190.0
338.695,8714290.0
339.104,8470550.0
339.497,1.01701E7
339.891,8875810.0
340.292,8809360.0
340.699,8486140.0
341.103,7904680.0
341.514,7840880.0
342.003,7956870.0
342.429,7337490.0
342.858,7378090.0
343.266,8637830.0
343.664,9095900.0
344.069,7595030.0
344.478,8994130.0
344.871,9314530.0
345.263,8221510.0
345.666,9145140.0
346.062,9409670.0
346.457,9090170.0
346.854,8030900.0
347.249,8617280.0
347.646,8603060.0
348.048,8294440.0
348.44,1.00712E7
348.831,9414050.0
349.23,7957090.0
349.631,8669170.0
350.031,8776200.0
350.429,8632300.0
350.825,9128270.0
351.215,9570450.0
351.606,9262380.0
352.011,7588650.0
352.416,8820210.0
352.816,8088850.0
353.214,8934550.0
353.607,8862480.0
354.024,7684870.0
354.445,7273230.0
354.851,8234960.0
355.256,8131020.0
355.654,8374020.0
356.059,8130960.0
356.464,8010010.0
356.862,8923080.0
357.259,8424470.0
357.66,8322150.0
358.052,8850120.0
358.439,9213150.0
358.832,8782350.0
359.216,9007360.0
359.6,1.00738E7
359.984,1.03004E7
360.379,8841130.0
360.786,9229290.0
361.197,7594050.0
361.617,7540480.0
362.016,8890100.0
362.414,8970650.0
362.8,1.01444E7
363.191,8786400.0
363.581,8674160.0
364.04,1.04623E7
364.435,8569290.0
364.826,9732800.0
365.213,9374340.0
365.609,7836230.0
366.023,8561790.0
366.435,1.31134E7
366.841,8927220.0
367.242,9132720.0
367.715,9622480.0
368.099,9368730.0
368.49,8562860.0
368.884,8376630.0
369.279,9006940.0
369.658,1.02334E7
370.039,9790810.0
370.425,1.00964E7
370.811,9770630.0
371.192,1.13347E7
371.572,9686230.0
371.961,9964770.0
372.343,1.09718E7
372.72,9165210.0
373.112,9338300.0
373.588,8678090.0
373.982,9483140.0
374.371,8912160.0
374.768,8570050.0
375.163,8920870.0
375.56,8908720.0
375.961,8346080.0
376.358,8680490.0
376.76,8134160.0
377.16,8597020.0
377.568,7448390.0
377.984,7742430.0
378.38,8612670.0
378.776,8812390.0
379.165,9605470.0
379.549,9825930.0
379.937,8207130.0
380.331,9361440.0
380.717,9709930.0
381.108,8800540.0
381.503,8344750.0
381.882,1.0762E7
382.341,9413510.0
382.728,9644500.0
383.119,8360810.0
383.515,8284570.0
383.912,8328540.0
384.301,8786370.0
384.702,7982480.0
385.111,7261830.0
385.51,8502210.0
385.906,8889060.0
386.302,8445070.0
386.703,8265690.0
387.105,8508200.0
387.501,8369470.0
387.9,8774810.0
388.35,1.02187E7
388.733,9285650.0
389.119,9368270.0
389.506,9492840.0
389.897,8762450.0
390.287,9791700.0
390.674,9113220.0
391.063,9112670.0
391.454,8861590.0
391.845,8687240.0
392.241,8794280.0
392.635,8636840.0
393.024,9359690.0
393.411,9143520.0
393.805,8772200.0
394.197,8987440.0
394.591,8633760.0
394.974,9598000.0
395.363,9240370.0
395.755,8735380.0
396.146,9306720.0
396.529,8476150.0
396.93,7813990.0
397.334,7898010.0
397.807,8796980.0
398.209,7752700.0
398.601,8839160.0
399.001,7751580.0
399.398,8979400.0
399.786,9008250.0
400.171,9401230.0
400.557,8969850.0
400.939,9882360.0
401.319,9624030.0
401.701,8753200.0
402.085,9764960.0
402.475,8887250.0
402.856,9774540.0
403.232,9728030.0
403.616,8889630.0
404.031,6621670.0
404.424,8872930.0
404.811,9162360.0
405.227,7115960.0
405.635,7983520.0
406.018,9582500.0
406.421,7788390.0
406.818,8419940.0
407.212,8642090.0
407.603,8396180.0
407.994,8705620.0
408.399,7347080.0
408.805,8023430.0
409.194,9948560.0
409.596,7233240.0
409.98,1.03695E7
410.362,9617930.0
410.745,9511280.0
411.14,7937610.0
411.544,8571170.0
411.945,8205480.0
412.336,9388700.0
412.743,7916500.0
413.136,8632680.0
413.523,9968970.0
413.928,7441550.0
414.325,8028380.0
414.811,7219420.0
415.209,8860970.0
415.618,7681500.0
415.995,9701710.0
416.456,8918050.0
416.856,8541560.0
417.252,7700620.0
417.659,8181560.0
418.054,8247830.0
418.446,8530330.0
418.845,8239510.0
419.244,8402130.0
419.708,8822070.0
420.099,8930110.0
420.49,8801220.0
420.955,9209570.0
421.338,9981210.0
421.721,9325950.0
422.105,8914970.0
422.573,8504880.0
422.969,8006510.0
423.361,8749790.0
423.747,9090530.0
424.128,9078460.0
424.516,8824460.0
424.904,8738410.0
425.303,8410040.0
425.764,9115690.0
426.152,8273450.0
426.542,8246900.0
426.936,8363750.0
427.326,8972360.0
427.711,9242980.0
428.095,8899420.0
428.479,8254950.0
428.866,8419780.0
429.324,9317690.0
429.782,9749500.0
430.158,9981180.0
430.619,9110400.0
431.193,9352350.0
431.584,8337450.0
431.972,8306010.0
432.373,6442220.0
432.968,7732120.0
433.363,7101090.0
433.793,6005080.0
434.205,7318290.0
434.607,8159410.0
435.061,9692900.0
435.433,9150550.0
435.818,8132850.0
436.409,8254650.0
436.828,7765590.0
437.221,8201590.0
437.69,8580650.0
438.148,8835610.0
438.538,7443260.0
438.939,7924700.0
439.413,7967020.0
439.813,7104210.0
440.619,7911050.0
441.005,8076110.0
441.392,8080080.0
441.777,8129610.0
442.47,7744650.0
442.858,7770170.0
443.243,7960120.0
443.703,7739020.0
444.283,7960950.0
445.419,8166670.0
445.804,7471620.0
446.181,8001290.0
446.747,8204590.0
447.116,8778320.0
447.503,8039080.0
448.307,7317730.0
448.691,7558490.0
449.072,8539690.0
449.973,8218660.0
450.353,6835870.0
450.73,8857750.0
451.289,9211140.0
452.076,8050190.0
452.448,7817260.0
452.831,6594320.0
453.734,6451140.0
454.115,5778920.0
454.497,6756510.0
454.881,6155510.0
455.258,6743960.0
456.056,5920260.0
456.432,7148740.0
456.808,6835070.0
457.486,6957730.0
457.857,7410240.0
458.231,6830040.0
458.792,6694590.0
459.162,6698320.0
459.532,6983700.0
459.986,6252450.0
460.436,6459540.0
460.889,5958760.0
461.569,6825660.0
461.934,7529790.0
462.29,7270690.0
463.069,6592880.0
463.435,7199600.0
463.801,7359330.0
464.692,7503310.0
465.061,7450870.0
465.438,5555580.0
465.808,6978080.0
466.599,5306970.0
466.984,5557140.0
467.36,6186720.0
468.038,6306220.0
468.407,7217400.0
468.767,7216490.0
469.126,6731620.0
470.017,7249420.0
470.378,7567290.0
470.736,7813580.0
471.738,6704290.0
472.1,6001340.0
472.464,7341570.0
473.123,7292810.0
473.485,7432110.0
473.843,6466980.0
474.624,7466340.0
474.984,7494450.0
475.352,6316630.0
475.789,7549320.0
476.222,6974560.0
476.786,5570350.0
477.163,6324440.0
477.535,6447310.0
477.984,5979880.0
478.423,7751320.0
478.982,5710200.0
479.532,7361950.0
479.9,7433610.0
480.268,7119900.0
480.701,8643780.0
481.245,8942530.0
481.603,8516020.0
481.961,7200700.0
482.322,7680630.0
482.681,7965330.0
483.113,6502770.0
483.506,5442540.0
483.886,7200890.0
484.334,7459870.0
484.78,7375310.0
485.145,7551120.0
485.508,7784300.0
486.28,8132530.0
486.643,7937990.0
487.002,8458240.0
487.44,8048520.0
487.875,8432730.0
488.313,7261620.0
489.102,7846860.0
489.473,7109280.0
489.854,6452850.0
490.411,7469170.0
490.784,7658230.0
491.154,7079460.0
491.713,6872440.0
492.088,6956290.0
492.461,7335570.0
492.844,6042430.0
493.236,6667870.0
493.69,7260370.0
494.132,7230560.0
494.681,8062000.0
495.119,8013710.0
495.486,7408540.0
495.858,7909930.0
496.414,7776210.0
496.781,7343320.0
497.149,7695010.0
497.593,7515820.0
497.964,6760280.0
498.359,5651870.0
498.755,7002270.0
499.196,8086140.0
499.563,8635450.0
499.922,1.00213E7
500.288,8192370.0
500.655,8622390.0
501.02,9192520.0
501.381,7769810.0
501.752,8388040.0
502.115,8912440.0
502.474,9526470.0
503.03,9226190.0
503.7,8067640.0
504.073,8393100.0
504.443,8224560.0
504.888,9045900.0
505.357,7014440.0
505.816,8292430.0
506.186,8406130.0
506.856,8353050.0
507.228,7863360.0
507.6,8373710.0
507.982,7253710.0
508.437,7876790.0
508.81,8532370.0
509.173,8567200.0
509.544,8092460.0
509.919,7906950.0
510.297,8311900.0
510.672,8547660.0
511.044,8712270.0
511.414,9134370.0
511.794,8260840.0
512.163,8153810.0
512.614,8128930.0
513.071,8122570.0
513.446,7896170.0
513.823,7363490.0
514.275,8548110.0
514.655,8218460.0
515.032,8571800.0
515.478,8207200.0
515.864,7357280.0
516.245,8155770.0
516.625,7881220.0
516.999,7907040.0
517.45,7782620.0
517.826,7937650.0
518.209,7720800.0
518.667,8138800.0
519.041,8783590.0
519.417,8228740.0
519.801,7368460.0
520.367,7887270.0
520.746,8303280.0
521.114,7838180.0
521.562,8891880.0
521.931,8481160.0
