"rt","ions"
300.168,1.13191E7
300.602,1.11371E7
300.953,1.07897E7
301.299,1.03494E7
301.649,1.04922E7
301.996,1.2281E7
302.351,1.12096E7
302.699,1.18877E7
303.052,1.02825E7
303.429,9245700.0
303.79,1.07163E7
304.156,1.14008E7
304.521,1.0772E7
304.878,1.27379E7
305.238,1.12461E7
305.607,1.05423E7
306.047,1.30566E7
306.485,1.08671E7
306.849,1.39023E7
307.215,1.13071E7
307.595,1.06731E7
308.049,1.0813E7
308.442,9417100.0
308.852,8036330.0
309.255,8978450.0
309.644,9782020.0
310.035,9831260.0
310.44,8775110.0
310.837,9691840.0
311.239,1.1622E7
311.606,1.20998E7
312.011,8216340.0
312.381,1.30592E7
312.755,1.18481E7
313.136,1.00209E7
313.519,1.14142E7
313.901,1.08089E7
314.289,1.10864E7
314.679,9937800.0
315.068,1.10043E7
315.462,1.11037E7
315.856,1.01646E7
316.257,9394300.0
316.666,9337900.0
317.065,1.05013E7
317.459,1.01984E7
317.853,1.01705E7
318.315,1.10179E7
318.707,1.05748E7
319.098,1.01736E7
319.493,1.00953E7
319.879,1.05001E7
320.35,9498570.0
320.745,1.10221E7
321.135,1.00329E7
321.526,1.08573E7
321.912,1.11291E7
322.296,1.11479E7
322.684,1.01235E7
323.072,1.04758E7
323.54,9970960.0
323.935,1.05757E7
324.329,9056170.0
324.726,1.08964E7
325.115,8840470.0
325.494,1.2199E7
325.879,9555990.0
326.296,8561070.0
326.691,1.06349E7
327.079,1.04436E7
327.465,1.09427E7
327.864,9994350.0
328.259,9763750.0
328.658,9754540.0
329.049,9985670.0
329.457,9049300.0
329.863,9155490.0
330.259,1.06291E7
330.644,1.0867E7
331.03,1.11563E7
331.416,1.10269E7
331.806,1.0302E7
332.194,1.0906E7
332.577,1.13226E7
332.961,1.07105E7
333.352,9994830.0
333.738,1.07014E7
334.139,1.01274E7
334.526,1.1153E7
334.906,1.16108E7
335.298,9266270.0
335.706,8108670.0
336.103,9827020.0
336.509,9443240.0
336.903,1.05188E7
337.295,1.04683E7
337.7,8260130.0
338.108,9634990.0
338.502,1.06695E7
338.89,1.22823E7
339.268,1.20616E7
339.652,1.04737E7
340.037,1.03857E7
340.445,8656510.0
340.946,8229160.0
341.353,1.00341E7
341.746,1.02861E7
342.136,1.02207E7
342.525,1.09367E7
342.92,9437940.0
343.31,1.07471E7
343.698,1.10633E7
344.088,1.03837E7
344.475,1.12794E7
344.86,1.08197E7
345.249,1.12195E7
345.634,1.04662E7
346.017,1.121E7
346.482,1.00855E7
346.89,8593440.0
347.284,1.08403E7
347.668,1.07131E7
348.051,1.10645E7
348.436,1.10676E7
348.812,1.2646E7
349.195,9774930.0
349.599,7689010.0
350.0,8929610.0
350.399,9735450.0
350.818,9281950.0
351.207,9932580.0
351.621,8088590.0
352.027,1.03981E7
352.408,1.15418E7
352.792,1.06302E7
353.177,1.03527E7
353.563,1.06599E7
353.942,1.19156E7
354.324,9956210.0
354.711,1.03701E7
355.097,1.02902E7
355.478,1.16043E7
355.864,1.04431E7
356.254,1.00344E7
356.648,9882680.0
357.04,9852050.0
357.434,9640890.0
357.826,1.04006E7
358.213,1.0143E7
358.595,1.12898E7
358.985,9796330.0
359.384,8533080.0
359.799,8879040.0
360.214,8175620.0
360.622,8880010.0
361.006,1.11802E7
361.389,1.05375E7
361.774,9923840.0
362.235,1.15145E7
362.614,1.10073E7
362.998,1.00714E7
363.387,9770300.0
363.768,1.11891E7
364.234,1.05102E7
364.627,1.04476E7
365.006,1.09839E7
365.386,1.15889E7
365.771,9844930.0
366.163,9983100.0
366.625,1.09199E7
367.012,9296670.0
367.411,8886460.0
367.818,7480390.0
368.212,1.03614E7
368.594,1.09392E7
368.983,9802440.0
369.375,9449950.0
369.766,1.07609E7
370.159,9904630.0
370.542,1.13391E7
370.909,1.30605E7
371.283,1.23353E7
371.655,1.18424E7
372.032,1.16372E7
372.411,1.09048E7
372.79,1.18767E7
373.171,1.19819E7
373.545,1.33026E7
374.009,1.06092E7
374.48,1.02309E7
374.868,1.07672E7
375.257,1.02591E7
375.645,1.14732E7
376.027,1.2578E7
376.411,1.05883E7
376.797,1.03787E7
377.189,9542340.0
377.589,9290790.0
377.977,1.03169E7
378.377,9558380.0
378.761,1.05433E7
379.142,1.24495E7
379.513,1.29554E7
379.887,1.17386E7
380.339,1.10523E7
380.792,1.14759E7
381.18,1.05918E7
381.563,1.13326E7
381.941,1.08332E7
382.319,1.27807E7
382.692,1.19059E7
383.081,1.02416E7
383.483,8679900.0
383.877,1.03866E7
384.262,1.05371E7
384.646,1.08963E7
385.034,1.00536E7
385.432,9211080.0
385.839,9178440.0
386.242,8622560.0
386.645,7928010.0
387.066,7895060.0
387.468,8679750.0
387.866,9703080.0
388.338,1.01517E7
388.741,8414980.0
389.141,9051440.0
389.613,9066170.0
389.997,1.00582E7
390.38,1.12036E7
390.773,9633720.0
391.24,1.07598E7
391.634,8899690.0
392.023,1.00215E7
392.491,1.00781E7
392.882,1.14396E7
393.264,1.02102E7
393.654,9558340.0
394.05,9943790.0
394.434,1.03376E7
394.82,9796210.0
395.213,1.00043E7
395.602,9861860.0
395.99,8983890.0
396.472,8994420.0
396.868,1.0024E7
397.263,9712980.0
397.661,9608520.0
398.134,9502210.0
398.534,8862680.0
398.926,9936300.0
399.312,1.04568E7
399.69,1.18942E7
400.07,1.06748E7
400.456,9779290.0
400.844,1.01398E7
401.224,1.05779E7
401.61,1.02372E7
401.997,1.03301E7
402.384,9240320.0
402.776,9674510.0
403.15,1.19295E7
403.536,1.04457E7
403.923,8901350.0
404.324,1.02357E7
404.703,1.15357E7
405.097,1.00153E7
405.493,9082790.0
405.961,1.07918E7
406.37,8465740.0
406.752,1.22278E7
407.12,1.2819E7
407.499,1.14335E7
407.883,1.04094E7
408.258,1.21654E7
408.635,1.11192E7
409.021,1.05541E7
409.407,1.05102E7
409.873,1.02856E7
410.26,1.05401E7
410.653,8871080.0
411.05,9388520.0
411.435,1.08913E7
411.821,1.05943E7
412.213,9818900.0
412.605,1.00206E7
413.007,8977270.0
413.479,1.01374E7
413.953,8620400.0
414.347,1.00669E7
414.733,1.0618E7
415.534,1.01792E7
415.92,1.03808E7
416.301,1.03103E7
416.686,1.02078E7
417.147,9537440.0
417.536,9640740.0
417.926,9135510.0
418.521,7999330.0
418.927,7713720.0
419.328,8893480.0
419.728,8930060.0
420.331,8395330.0
420.721,9634050.0
421.117,8506440.0
421.929,9115410.0
422.314,9917170.0
422.698,1.01648E7
423.1,8542590.0
424.026,8689850.0
424.411,1.00035E7
424.803,8370760.0
425.839,9112890.0
426.223,1.04311E7
426.595,9877530.0
426.967,1.04051E7
427.527,1.12177E7
428.545,8809230.0
428.941,6841410.0
429.352,7140880.0
430.49,1.00708E7
430.873,9949300.0
431.249,1.02711E7
432.39,7228070.0
432.755,1.05758E7
433.114,1.0663E7
433.991,9724340.0
434.348,1.00144E7
434.707,9534790.0
435.373,8936710.0
435.735,1.05789E7
436.085,1.14656E7
437.539,9124400.0
437.903,9204500.0
438.267,8801320.0
439.261,1.03074E7
439.612,9121320.0
439.962,9714850.0
440.611,1.03727E7
440.956,1.24555E7
441.3,1.00015E7
442.271,1.36012E7
442.612,1.11005E7
442.951,1.15353E7
444.042,1.0253E7
444.38,1.13661E7
444.717,1.17973E7
446.029,1.02194E7
446.369,1.0266E7
446.704,1.1455E7
448.021,1.07966E7
448.357,1.05796E7
448.687,1.22645E7
449.653,1.17612E7
449.978,1.15544E7
450.308,1.05876E7
451.392,1.17053E7
451.719,1.12206E7
452.042,1.19781E7
452.889,1.08151E7
453.22,1.10915E7
453.548,1.22751E7
454.179,1.00703E7
454.507,1.1913E7
454.834,1.20244E7
455.469,9844370.0
455.801,1.19898E7
456.139,9666900.0
457.564,1.0389E7
457.895,1.1975E7
458.219,1.30694E7
458.959,1.26212E7
459.285,1.08247E7
459.614,1.14284E7
460.813,8518950.0
461.153,7733210.0
461.503,7248140.0
462.929,1.10425E7
463.333,1.12067E7
464.524,1.11679E7
464.855,9728710.0
465.184,9979080.0
466.043,1.07507E7
466.373,1.06407E7
466.697,9304870.0
467.661,1.0005E7
467.987,9012640.0
468.312,1.04351E7
469.621,8282010.0
469.957,8567600.0
470.295,7701460.0
470.634,8705500.0
471.612,9076650.0
471.952,7848630.0
472.295,7698400.0
473.385,8674000.0
473.724,8087420.0
474.058,9924800.0
475.035,8055530.0
475.368,8195980.0
475.706,8368050.0
476.345,8372790.0
476.687,7855970.0
477.031,7669290.0
477.668,9645600.0
478.004,8961190.0
478.341,8585590.0
478.759,7441220.0
479.397,8571510.0
479.74,7947800.0
480.084,7921450.0
480.85,6707890.0
481.2,8069800.0
481.546,8300220.0
481.89,7543720.0
482.879,7259870.0
483.228,7673870.0
483.573,7547320.0
484.556,7013020.0
484.895,8399330.0
485.234,7912120.0
486.101,6914680.0
486.454,7234620.0
486.802,7888910.0
487.67,7753960.0
488.01,8320430.0
488.355,7301010.0
488.703,8128700.0
489.913,7646230.0
490.258,8197010.0
490.604,7015590.0
491.358,8541130.0
491.698,8080010.0
492.038,8560520.0
493.136,8133950.0
493.479,8145180.0
493.819,9736130.0
494.16,7627250.0
494.694,8095610.0
495.041,8312920.0
495.383,8360400.0
496.489,8490660.0
496.834,9468700.0
497.184,8230740.0
497.722,8579310.0
498.496,6589870.0
498.858,6449980.0
499.216,7038220.0
499.643,8455410.0
500.646,7544550.0
501.003,8781640.0
501.356,9751550.0
501.894,9971550.0
502.318,9141850.0
503.195,8381550.0
503.55,9039760.0
503.904,8467500.0
504.343,8577940.0
504.779,8372080.0
505.139,9012990.0
505.572,9524290.0
506.004,9667360.0
506.364,9143710.0
506.718,1.06128E7
507.139,9847060.0
507.559,1.11951E7
507.909,1.02086E7
508.342,7990690.0
508.77,1.03292E7
509.194,1.1735E7
509.55,8401910.0
510.107,8151960.0
510.482,8330630.0
510.868,7130480.0
511.241,9028040.0
511.693,7845160.0
512.052,1.05169E7
512.404,1.09586E7
512.764,9327030.0
513.207,8182670.0
513.872,8628100.0
514.234,1.00691E7
514.592,1.03876E7
514.95,1.11258E7
515.303,1.13755E7
515.661,9985460.0
516.217,9363150.0
516.769,9212840.0
517.144,8653350.0
517.515,9884220.0
517.88,1.0794E7
518.24,8353500.0
518.61,8825890.0
518.972,1.08893E7
519.324,1.13589E7
519.99,8951750.0
520.363,8941070.0
520.73,9600740.0
521.086,1.04301E7
521.442,1.1225E7
521.807,9801650.0
522.172,9331170.0
522.545,8963340.0
522.916,9015920.0
523.301,7162510.0
523.875,8015910.0
524.254,9176200.0
524.626,8679050.0
524.998,9326630.0
525.374,8318130.0
525.749,8641410.0
526.12,9067600.0
526.485,9885090.0
526.941,7893950.0
527.314,8683070.0
527.692,8364080.0
528.079,8168680.0
528.647,8853560.0
529.024,8617200.0
529.395,9843980.0
529.769,8865220.0
530.15,8566550.0
530.523,9372400.0
531.185,1.15977E7
531.545,1.11273E7
531.911,1.04633E7
532.283,9140860.0
532.732,9854740.0
533.103,8487990.0
533.49,8136190.0
533.862,1.08959E7
534.308,9734380.0
534.676,9796970.0
535.042,1.10008E7
535.478,1.14056E7
535.851,8752250.0
536.226,9794200.0
536.59,1.01914E7
536.966,8731580.0
537.366,6731380.0
537.768,6958660.0
538.149,9275260.0
538.527,9316960.0
538.904,9001590.0
539.276,8542590.0
539.723,9924100.0
540.094,9325650.0
540.487,7008890.0
540.884,9024030.0
