"rt","ions"
600.354,8001690.0
600.902,8452460.0
601.3,9506200.0
602.773,8028280.0
604.258,7817220.0
604.959,6665080.0
605.428,7730840.0
605.893,7892120.0
606.379,6996700.0
606.766,8624060.0
607.228,7216210.0
607.7,6394040.0
608.096,6475910.0
608.491,6955000.0
608.879,7376570.0
609.265,7071630.0
609.659,6985360.0
610.24,6911310.0
610.633,7210720.0
611.027,6348380.0
611.507,6525400.0
611.905,7289670.0
612.302,7408870.0
612.777,7222190.0
613.263,7076820.0
613.657,7469740.0
614.047,7944620.0
614.467,5000210.0
614.918,4375880.0
615.378,3710650.0
615.927,8923.27
616.475,3997.25
617.024,3475.26
617.572,3726.65
618.121,4450.36
618.67,3567.54
619.218,1518.8
619.768,2393.6
620.317,4560.31
620.866,5516.09
621.414,2173.06
621.962,3708.22
622.51,2483.3
623.059,2552.62
623.608,3028.81
624.158,2054.55
624.706,2285.15
625.255,2249.21
625.804,4298.67
626.352,2576.61
626.9,3524.74
627.448,2719.69
627.997,2740.05
628.547,2979.36
629.096,3076.94
629.644,3401.86
630.193,3279.18
630.742,5008.33
631.29,3444.88
631.839,3585.94
632.387,2544.61
632.937,3110.68
633.486,2329.96
634.035,1888.73
634.583,3869.39
635.132,2833.26
635.681,5744.72
636.229,2918.02
636.778,1926.39
637.328,2387.98
637.876,1575.68
638.424,3015.16
638.972,2703.66
639.52,1844.96
640.068,3225.72
640.617,4362.55
641.166,2467.64
641.716,2314.2
642.264,3197.94
642.812,2682.4
643.36,2076.14
643.909,1749.9
644.457,1095.78
645.005,2015.47
645.554,3501.17
646.104,2517.68
646.653,1829.38
647.202,2101.69
647.75,2677.07
648.299,3325.91
648.848,3627.14
649.396,2505.36
649.945,2449.68
650.494,4346.89
651.042,3182.59
651.591,2590.02
652.139,2336.55
652.688,1643.65
653.236,1983.37
653.784,2581.92
654.333,3757.26
654.882,2538.94
655.43,3745.5
655.979,2807.1
656.528,1286.89
657.076,1409.55
657.625,1651.73
658.174,2056.89
658.722,2101.18
659.27,2413.33
659.819,2738.64
660.369,4944.14
660.918,2165.82
661.466,2799.44
662.015,2972.25
662.564,2511.91
663.112,2149.14
663.66,3355.28
664.208,3613.73
664.758,2569.0
665.307,4301.27
665.855,4598.43
666.404,2041.11
666.953,2247.94
667.501,1972.1
668.05,2189.83
668.599,2492.34
669.149,3090.33
669.697,3164.77
670.246,3162.2
670.794,4181.82
671.343,2436.26
671.891,3086.87
672.44,1693.36
672.988,3704.12
673.539,2427.27
674.087,2840.38
674.636,2077.62
675.184,2332.72
675.733,7593.32
676.282,2406.39
676.83,1932.42
677.379,2437.18
677.929,2037.44
678.478,3106.96
679.026,1458.29
679.575,2278.4
680.123,2348.36
680.459,1.27365E7
680.862,9455850.0
681.277,7536910.0
682.761,8715300.0
683.357,8192390.0
684.511,7649020.0
684.912,7371790.0
685.312,7433060.0
685.71,7761260.0
686.179,7709310.0
686.754,8466770.0
687.141,7543970.0
687.523,8223140.0
687.904,7727050.0
688.363,7968950.0
688.74,8220950.0
689.193,8386250.0
689.646,7863770.0
690.019,8097930.0
690.394,8144330.0
690.851,7966630.0
691.231,8228790.0
691.597,9492900.0
692.044,7500330.0
692.418,8230590.0
692.78,9574840.0
693.23,7391640.0
693.603,8128300.0
693.973,8311250.0
694.347,7565250.0
694.722,7730560.0
695.177,7223360.0
695.55,8702280.0
695.919,8274500.0
696.292,7902890.0
696.665,7985690.0
697.038,8036210.0
697.401,8741520.0
697.845,7763370.0
698.293,7307480.0
698.676,7318830.0
699.044,8380830.0
699.416,7309400.0
699.786,7837970.0
700.158,7545210.0
700.525,8288530.0
700.967,8355310.0
701.339,7718900.0
701.706,7908110.0
702.269,7762980.0
702.637,8078060.0
703.005,7740450.0
703.374,8337780.0
703.742,7671150.0
704.185,8335200.0
704.637,7289890.0
705.002,8320990.0
705.37,7667080.0
705.814,8183180.0
706.183,8397490.0
706.554,8712820.0
706.915,8975370.0
707.365,7726150.0
707.735,8179150.0
708.101,8189520.0
708.475,7248020.0
709.034,7264530.0
709.404,7631780.0
709.774,7703340.0
710.224,7652520.0
710.589,8300330.0
710.953,8279560.0
711.315,8769570.0
711.755,8110750.0
712.125,8257000.0
712.489,8284530.0
713.148,8715860.0
713.588,8294830.0
714.026,8671140.0
714.465,8602590.0
714.806,1.18449E7
715.144,1.29026E7
715.487,1.1928E7
715.825,1.36146E7
716.162,1.21753E7
716.502,1.24617E7
716.84,1.44311E7
717.181,1.24882E7
717.528,1.13294E7
717.874,1.1515E7
718.222,1.1913E7
718.571,1.14413E7
718.921,1.11956E7
719.271,1.14463E7
719.622,1.11755E7
719.974,1.15419E7
720.325,1.11673E7
720.678,1.08821E7
721.031,1.12963E7
721.382,1.11753E7
721.734,1.15369E7
722.083,1.20605E7
722.433,1.19757E7
722.785,1.19264E7
723.131,1.33529E7
723.478,1.21136E7
723.827,1.24109E7
724.177,1.19383E7
724.529,1.14891E7
724.881,1.15835E7
725.234,1.12467E7
725.585,1.20556E7
725.936,1.14154E7
726.288,1.1419E7
726.639,1.17277E7
726.987,1.24825E7
727.34,1.16849E7
727.689,1.28066E7
728.111,1.28519E7
728.453,1.49262E7
728.797,1.28918E7
729.146,1.16789E7
729.492,1.22122E7
729.842,1.17248E7
730.194,1.18595E7
730.544,1.22128E7
730.892,1.21111E7
731.244,1.18981E7
731.593,1.21693E7
731.946,1.14969E7
732.3,1.15125E7
732.652,1.18843E7
733.002,1.17918E7
733.354,1.1709E7
733.705,1.19303E7
734.057,1.14732E7
734.41,1.22745E7
734.763,1.12816E7
735.114,1.18341E7
735.465,1.16028E7
735.815,1.13617E7
736.168,1.15179E7
736.521,1.13797E7
736.872,1.20263E7
737.222,1.21511E7
737.569,1.2509E7
737.919,1.16623E7
738.273,1.11985E7
738.625,1.18293E7
738.975,1.18855E7
739.326,1.1638E7
739.679,1.1482E7
740.031,1.1601E7
740.385,1.14982E7
740.736,1.12979E7
741.092,1.07391E7
741.448,1.10694E7
741.802,1.14525E7
742.152,1.20794E7
