"rt","ions"
300.321,8443660.0
300.869,6627520.0
301.414,6337670.0
303.049,5591730.0
304.677,6997130.0
306.308,7956730.0
307.914,7609470.0
309.531,7914440.0
310.265,7833220.0
311.753,9211040.0
312.249,9406090.0
312.773,8409690.0
314.035,7683980.0
314.557,7402430.0
315.106,6629640.0
315.931,7414650.0
316.47,6479580.0
317.008,8219140.0
318.382,7078130.0
318.894,8583700.0
319.42,8098680.0
319.944,7662190.0
320.435,8359380.0
320.928,8211530.0
322.111,7554340.0
322.65,7136110.0
323.161,7191390.0
323.872,7578260.0
324.371,7708930.0
324.845,9236040.0
326.167,9467010.0
326.67,8844490.0
327.16,7901890.0
327.731,7958020.0
328.214,8962680.0
329.337,6729450.0
329.819,8185190.0
330.318,6623520.0
331.055,5654590.0
331.603,6447900.0
332.147,6636140.0
332.695,6048110.0
333.5,6878480.0
334.876,7357590.0
336.347,6871180.0
337.634,6985210.0
338.669,6409010.0
339.629,6069810.0
340.891,6971620.0
341.459,7392850.0
342.581,7403670.0
343.076,6217380.0
343.562,7272560.0
344.567,8082030.0
345.258,7764700.0
346.166,7520070.0
346.714,6620610.0
347.257,5371860.0
347.956,7008190.0
348.456,7375980.0
348.949,7974460.0
349.984,6961040.0
350.471,7878740.0
351.005,5426460.0
351.882,7499030.0
352.374,7127270.0
352.845,7460760.0
353.429,6455560.0
353.911,7137730.0
354.387,6195160.0
354.882,7191820.0
355.369,7708600.0
356.27,6365900.0
356.815,6389430.0
357.325,6540410.0
357.851,7068230.0
358.399,6778550.0
358.948,6152560.0
359.745,7293840.0
360.228,6039310.0
360.741,6359820.0
361.397,6871800.0
362.246,4970910.0
362.731,7507890.0
363.264,6108570.0
363.927,8898450.0
365.061,6577130.0
366.407,6830630.0
367.478,6048270.0
368.991,5988920.0
369.996,7532070.0
371.025,7316610.0
371.916,6716370.0
372.4,7487050.0
373.469,6081070.0
373.963,6901530.0
374.445,7681570.0
375.692,5902210.0
376.593,7520310.0
377.086,6387240.0
377.549,7668250.0
378.471,6774390.0
378.96,6719170.0
379.438,6243630.0
380.233,6092800.0
380.857,4537200.0
381.465,6847990.0
381.97,5608630.0
382.472,6713850.0
383.061,6314720.0
383.645,6601850.0
384.135,6372580.0
384.996,8534990.0
385.454,8396260.0
385.943,7660380.0
386.844,7307350.0
387.301,8297550.0
387.767,7208120.0
388.882,8292200.0
389.37,7216420.0
389.839,8335440.0
390.831,8301960.0
391.274,7263860.0
391.746,8410800.0
392.301,6002960.0
393.038,5055540.0
393.545,7071870.0
394.01,7322040.0
394.566,6740050.0
395.462,7680810.0
395.986,7637360.0
396.983,5514080.0
398.125,5769500.0
399.266,6627120.0
400.464,7622050.0
401.574,7445450.0
402.241,6552850.0
403.132,6380960.0
403.679,7443040.0
404.128,8208210.0
404.616,8010670.0
405.8,4768320.0
406.349,4453410.0
406.852,7067930.0
407.748,6105780.0
408.339,5286770.0
409.127,6406880.0
409.664,5245270.0
410.184,6309860.0
410.722,6059200.0
411.897,5270180.0
412.4,6001590.0
412.884,6236140.0
413.416,7521890.0
413.927,5818830.0
414.416,7345120.0
415.632,7208340.0
416.071,7253180.0
416.508,7778380.0
417.497,5704170.0
417.98,6420460.0
418.508,6508410.0
418.96,7417980.0
419.82,6667280.0
420.302,6325290.0
420.796,5626770.0
421.346,7375970.0
421.859,6975790.0
422.949,7061650.0
423.396,7476960.0
423.884,6514210.0
424.335,7294800.0
425.534,8283710.0
426.638,6847790.0
427.268,7813670.0
427.788,7622800.0
428.879,7965750.0
430.437,6984790.0
431.692,6551820.0
432.924,6977160.0
433.467,7518420.0
434.627,5987620.0
435.11,6675110.0
435.56,7940280.0
436.068,8020090.0
436.95,6064440.0
437.403,6729660.0
437.924,8285870.0
439.477,7200360.0
440.244,7229120.0
440.698,5363400.0
441.446,6410600.0
441.998,5562960.0
442.583,7212200.0
443.144,5783420.0
443.831,6025590.0
444.298,6372190.0
444.788,5461180.0
445.46,6019280.0
445.93,6132090.0
446.411,6367130.0
446.877,6654950.0
447.416,7025570.0
447.958,5971340.0
448.72,6096280.0
449.182,6896920.0
449.612,8405230.0
450.152,6509610.0
451.148,6127350.0
451.617,6542900.0
452.073,4901610.0
452.699,7685070.0
453.154,4967830.0
453.623,6549080.0
454.272,8186790.0
454.716,7535140.0
455.172,8187790.0
455.696,6702550.0
456.818,4775800.0
457.562,6731810.0
458.234,5401190.0
458.89,6210850.0
459.52,7114910.0
460.608,7095900.0
461.859,5587110.0
463.383,6713440.0
464.508,6162220.0
465.679,7482100.0
466.104,7911280.0
466.529,6554650.0
467.373,7455570.0
467.791,8224990.0
468.23,7066520.0
469.651,6666840.0
470.387,5235380.0
471.237,5643190.0
471.69,6848710.0
472.116,6967340.0
472.911,5140090.0
473.433,6865350.0
473.948,5698290.0
474.591,6377690.0
475.101,6410450.0
475.739,6609850.0
476.181,6338710.0
476.605,6601180.0
477.682,6501400.0
478.114,7200790.0
478.54,6661090.0
478.982,6306220.0
479.815,7247880.0
480.237,6539660.0
480.67,6652610.0
481.4,6854800.0
481.903,6314800.0
482.331,6789630.0
482.756,7654720.0
483.254,5014930.0
483.778,5638730.0
484.509,6966210.0
484.933,7342470.0
485.424,5745870.0
486.386,6419260.0
487.131,6721280.0
487.697,5127390.0
488.436,6745380.0
489.269,6142890.0
489.821,6188360.0
490.451,5549530.0
490.98,6008590.0
491.933,6724780.0
492.524,8337300.0
493.48,6671900.0
494.418,7290280.0
495.786,8708830.0
497.321,5109930.0
498.205,5581530.0
498.624,6361040.0
499.054,6055310.0
499.56,6430210.0
500.382,7895450.0
500.985,6971650.0
501.405,8434880.0
501.808,8750570.0
502.535,7059300.0
502.933,7632910.0
503.65,7087490.0
504.138,8149300.0
505.084,7522730.0
505.513,6425370.0
505.974,6792790.0
507.368,7591590.0
508.319,6221810.0
508.747,7247550.0
509.166,6657110.0
509.89,7995910.0
510.304,7816230.0
510.717,8701250.0
511.76,8342450.0
512.28,6294410.0
513.006,6359570.0
513.463,5985060.0
513.892,7403510.0
514.672,6303900.0
515.147,4820720.0
515.618,4937500.0
516.106,8573420.0
516.604,7312920.0
517.202,7730620.0
518.134,8037520.0
518.781,5734440.0
519.506,6701190.0
520.148,5693030.0
520.66,5847990.0
