"rt","ions"
300.32,8643160.0
300.832,1.38423E7
301.19,1.47721E7
302.654,1.38985E7
304.12,1.40139E7
305.591,1.43905E7
307.142,1.3726E7
308.607,1.65978E7
310.074,1.59993E7
311.55,1.37047E7
313.131,1.27401E7
314.603,1.57645E7
316.079,1.47535E7
317.639,1.51335E7
318.768,1.5136E7
319.136,1.50899E7
319.504,1.45084E7
320.869,1.46222E7
321.242,1.48895E7
321.611,1.61722E7
322.512,1.52225E7
322.889,1.34225E7
323.266,1.53008E7
324.392,1.59742E7
324.75,1.51517E7
325.124,1.4129E7
326.268,1.45214E7
326.642,1.56622E7
327.017,1.62615E7
328.284,1.39608E7
328.653,1.50147E7
329.031,1.52521E7
330.284,1.49061E7
330.653,1.53525E7
331.022,1.5547E7
332.268,1.53589E7
333.737,1.54438E7
335.206,1.5815E7
336.655,1.46384E7
338.123,1.62821E7
339.601,1.47805E7
340.974,1.39692E7
342.543,1.53214E7
343.905,1.44542E7
344.346,1.43012E7
345.59,1.65886E7
346.113,1.62319E7
347.596,1.555E7
348.155,1.58392E7
349.406,1.45225E7
349.857,1.49149E7
350.869,1.52387E7
351.421,1.50499E7
352.565,1.35249E7
353.016,1.35218E7
354.271,1.32347E7
355.3,1.45603E7
355.672,1.44891E7
356.041,1.41733E7
356.939,1.4998E7
357.313,1.53853E7
357.686,1.51219E7
358.703,1.42856E7
359.063,1.56055E7
359.414,1.73236E7
360.426,1.55832E7
360.791,1.52645E7
361.158,1.47238E7
361.949,1.47742E7
362.32,1.53001E7
362.685,1.54244E7
363.709,1.38223E7
364.947,1.511E7
366.422,1.42981E7
367.992,1.49853E7
369.356,1.46363E7
370.829,1.43431E7
372.168,1.34909E7
373.299,1.41715E7
373.734,1.58019E7
374.98,1.5743E7
376.118,1.37054E7
377.694,1.29452E7
378.826,1.46765E7
379.212,1.23383E7
379.591,1.31437E7
380.612,1.53234E7
380.995,1.23271E7
381.375,1.31933E7
382.188,1.1763E7
383.679,1.44168E7
384.043,1.60091E7
384.41,1.55565E7
385.309,1.41047E7
385.754,1.43829E7
387.23,1.37491E7
387.787,1.50876E7
388.154,1.4779E7
388.523,1.4287E7
389.885,1.57254E7
390.256,1.43676E7
390.62,1.60233E7
391.99,1.38416E7
392.357,1.48034E7
392.731,1.49574E7
394.216,1.36554E7
395.7,1.45926E7
397.028,1.43691E7
398.504,1.37161E7
399.883,1.27388E7
400.441,1.37634E7
401.919,1.45322E7
403.402,1.3681E7
404.423,1.38351E7
404.866,1.39309E7
405.24,1.3271E7
406.114,1.29383E7
406.569,1.25835E7
407.935,1.46354E7
408.377,1.4694E7
409.854,1.49193E7
410.224,1.48321E7
410.589,1.61992E7
411.96,1.40498E7
412.521,1.40502E7
413.424,1.50179E7
413.879,1.25491E7
415.126,1.45359E7
