"rt","ions"
600.342,8505610.0
600.895,8409700.0
601.388,6462280.0
603.04,6800830.0
604.654,7529550.0
605.278,6719090.0
606.46,6966800.0
607.019,7550070.0
607.494,8732160.0
609.085,8743900.0
610.201,9570010.0
610.668,9277490.0
611.163,7995520.0
612.133,6205890.0
612.686,7146210.0
613.202,6695940.0
613.714,7483650.0
614.302,6772050.0
614.88,7942310.0
615.623,6624370.0
616.348,6690790.0
616.865,6989050.0
617.372,7930680.0
617.921,6324380.0
618.453,6187240.0
618.96,7091350.0
619.46,7765210.0
619.962,7459600.0
620.449,7732410.0
620.961,7566720.0
621.697,7834790.0
622.21,6997440.0
622.729,6849180.0
623.41,9235910.0
623.893,7707830.0
624.428,6191630.0
625.097,8068360.0
625.629,6401560.0
626.157,8269430.0
626.742,8124240.0
627.238,7043140.0
627.963,6853650.0
628.473,7017550.0
629.022,7551330.0
629.531,7763160.0
630.069,5884760.0
630.798,6744390.0
631.32,8171720.0
631.801,7806310.0
632.296,8357200.0
633.031,6333790.0
634.299,6749170.0
635.367,6799920.0
635.993,9705920.0
636.682,6749170.0
637.845,9381940.0
638.327,8318020.0
638.848,9131240.0
639.675,8122580.0
640.257,7217050.0
641.052,8293980.0
641.548,6975430.0
642.034,7392730.0
642.611,6388430.0
643.341,6757640.0
643.864,7333200.0
644.386,7129260.0
645.244,6589680.0
645.81,8026090.0
646.557,6430320.0
647.062,8769260.0
647.56,7099520.0
648.068,8411270.0
648.775,6115070.0
649.492,6021480.0
650.0,8990710.0
650.546,6393040.0
651.48,6197180.0
651.979,8732600.0
652.482,5873660.0
652.978,6605490.0
653.667,7165370.0
654.221,7527930.0
654.722,8422880.0
655.188,9486630.0
655.661,7986170.0
656.541,4810380.0
657.05,8597550.0
657.603,6615730.0
658.281,8672770.0
658.748,7420940.0
659.266,6153950.0
660.124,6992130.0
660.677,6844890.0
661.194,7629080.0
661.799,8290830.0
662.272,6905630.0
662.826,5881030.0
663.293,8121900.0
663.979,8199180.0
665.038,5587560.0
665.951,8800860.0
666.605,7003850.0
667.578,7129170.0
668.14,9472030.0
668.623,8724610.0
669.064,9029320.0
669.629,7768130.0
670.126,7921120.0
671.215,9855510.0
671.684,8971610.0
672.139,8967760.0
673.152,8841590.0
673.729,7326530.0
674.478,9745590.0
674.944,7428810.0
675.41,7710880.0
676.298,8814790.0
677.158,6148270.0
677.634,8515970.0
678.058,1.08951E7
678.795,1.09306E7
679.224,1.03727E7
680.465,8407350.0
680.93,6959850.0
681.392,8798290.0
681.912,7770730.0
682.946,7229270.0
683.478,8855000.0
683.97,8729720.0
684.647,7771400.0
685.197,8834300.0
685.649,8256320.0
686.241,1.13795E7
687.135,9104550.0
687.598,8332700.0
688.038,8155810.0
688.521,7013720.0
689.095,6726670.0
689.635,6213770.0
690.148,7640810.0
690.63,1.03051E7
691.074,1.09414E7
691.937,9410250.0
692.413,8448740.0
692.891,7789090.0
693.445,7453130.0
693.908,8731960.0
694.445,8080850.0
695.149,7072640.0
696.349,6800010.0
697.393,7377250.0
697.989,6231430.0
698.588,6863270.0
699.14,7052780.0
699.659,7607920.0
700.106,8449830.0
700.653,9718850.0
701.132,8743280.0
701.58,9444460.0
702.557,9720060.0
703.004,9244990.0
703.463,8741360.0
704.56,9832790.0
705.65,9629430.0
706.124,9382540.0
706.605,9630870.0
707.602,9213660.0
708.084,7944670.0
708.564,7989530.0
709.249,8775230.0
709.696,9870190.0
710.172,8744210.0
711.064,7448760.0
711.659,7956970.0
712.11,8407020.0
712.579,8210180.0
713.064,8184610.0
713.846,9188120.0
714.292,9412780.0
714.758,8724590.0
715.869,9203650.0
716.518,8257050.0
717.207,8555980.0
717.96,9695590.0
718.393,9626760.0
718.841,8048030.0
719.464,9272200.0
719.904,1.06896E7
720.314,1.24072E7
720.8,1.15504E7
721.234,1.04173E7
721.651,1.19779E7
722.142,1.27119E7
722.559,1.22324E7
722.976,1.29376E7
723.393,1.13574E7
723.787,1.56128E7
724.178,1.48802E7
724.577,1.47253E7
724.977,1.30466E7
725.471,1.19197E7
726.034,1.40621E7
726.445,1.20776E7
726.882,1.0559E7
727.287,1.26054E7
727.704,2.06229E7
728.106,1.27652E7
728.707,1.14244E7
729.301,1.2349E7
729.699,1.27288E7
730.099,1.49539E7
730.502,1.22843E7
731.086,1.19063E7
731.501,1.30981E7
731.906,1.34294E7
732.305,1.3468E7
732.721,1.27257E7
733.129,1.21687E7
733.549,1.32355E7
733.959,1.21179E7
734.444,1.35868E7
734.836,1.42373E7
735.245,1.29386E7
735.678,1.29113E7
736.078,1.42976E7
736.481,1.47565E7
736.877,1.43831E7
737.287,1.26534E7
737.708,1.28695E7
738.124,1.23226E7
738.523,1.33476E7
738.93,1.29521E7
739.426,1.14915E7
739.851,1.1734E7
740.271,1.25381E7
740.698,1.28499E7
741.109,1.40981E7
741.501,1.40391E7
741.911,1.26965E7
742.418,1.08748E7
742.827,1.40943E7
743.225,1.41157E7
743.704,1.37466E7
744.1,1.52179E7
744.494,1.45105E7
744.913,1.1062E7
745.343,1.18589E7
746.024,1.33494E7
746.428,1.33996E7
746.849,1.23504E7
747.25,1.40384E7
747.668,1.34092E7
748.091,1.11402E7
748.497,1.4083E7
748.909,1.20786E7
749.348,1.0374E7
749.779,1.12066E7
750.194,1.24284E7
750.615,1.23936E7
751.036,1.23865E7
751.443,1.47958E7
751.884,1.07385E7
752.284,1.36588E7
752.765,1.2695E7
753.147,1.03711E7
753.582,1.09597E7
754.026,1.11055E7
754.448,9771670.0
754.889,1.36642E7
755.326,9743500.0
755.759,1.16334E7
756.197,1.01335E7
756.629,1.13642E7
757.056,1.14496E7
757.47,1.3133E7
757.915,1.30403E7
758.336,1.46701E7
758.77,1.11091E7
759.221,1.24176E7
759.848,1.05241E7
760.375,1.37064E7
760.815,1.12971E7
761.2,9351320.0
761.714,1.64888E7
762.17,1.11752E7
762.635,1.11554E7
763.074,1.53854E7
763.483,1.53882E7
763.929,1.17495E7
764.302,9216010.0
764.831,1.15231E7
765.286,1.19394E7
765.736,1.24646E7
766.153,1.17739E7
766.582,1.14137E7
767.037,1.33267E7
767.467,1.00963E7
767.916,1.16362E7
768.359,9909330.0
768.802,1.02811E7
769.238,9992620.0
769.625,1.38639E7
770.092,9319110.0
770.553,1.17943E7
771.145,1.25026E7
771.602,1.13456E7
772.042,1.04824E7
772.487,1.20078E7
772.921,1.06239E7
773.369,1.162E7
773.81,1.20841E7
774.247,1.25554E7
774.675,1.3131E7
775.112,1.87072E7
775.495,1.29021E7
775.966,1.50568E7
776.419,1.21986E7
776.805,1.38107E7
777.226,1.86084E7
777.705,1.59013E7
778.164,1.53563E7
778.544,1.48218E7
779.023,1.43206E7
779.527,1.16424E7
779.98,2.06538E7
780.511,2.02788E7
780.958,2.3452E7
781.323,2.65525E7
781.734,2.48577E7
782.113,2.16299E7
782.486,2.13477E7
782.875,2.44438E7
783.256,2.67761E7
783.745,1.70547E7
784.17,2.15808E7
784.56,2.62383E7
784.974,1.8794E7
785.351,1.87707E7
785.895,2.09605E7
786.259,2.55526E7
786.625,2.77923E7
786.978,2.98446E7
787.359,3.12887E7
787.837,2.7028E7
788.223,2.6101E7
788.596,2.74137E7
789.002,2.03711E7
789.374,2.24443E7
