"rt","ions"
300.322,7140160.0
300.889,7643400.0
301.421,8018950.0
301.975,6147550.0
302.529,7626640.0
303.083,7944310.0
303.636,6840860.0
304.19,7915050.0
304.819,7926960.0
305.372,6404020.0
305.94,6320210.0
306.568,6715050.0
307.197,6622750.0
307.826,5672040.0
308.38,7665950.0
308.933,6552040.0
309.487,7517290.0
310.04,7491750.0
310.594,7044810.0
311.538,6784830.0
312.092,7774510.0
312.646,8600420.0
313.506,7985740.0
314.058,7447550.0
314.612,6914380.0
315.166,7576440.0
315.795,7212050.0
316.362,7090900.0
316.916,6544080.0
317.545,6493080.0
318.098,6233000.0
318.652,6672170.0
319.206,6643750.0
319.736,8628340.0
320.289,6726280.0
320.843,6721370.0
321.557,7036870.0
322.419,7545900.0
322.935,8930570.0
323.489,7440150.0
324.022,7997670.0
324.732,8378410.0
325.711,8068540.0
326.256,8245480.0
326.773,7694040.0
327.401,6432530.0
327.955,7298230.0
328.495,7754670.0
329.049,7209080.0
329.633,7880570.0
330.187,6407930.0
330.741,7064140.0
331.445,7852330.0
331.993,8134480.0
332.542,7536930.0
333.086,8297050.0
333.948,7166800.0
334.489,8579870.0
