"rt","ions"
300.327,6250240.0
300.894,7955250.0
301.411,8859630.0
301.937,7589510.0
302.68,6356500.0
303.185,7498630.0
303.731,6306070.0
304.354,6392360.0
304.908,6611710.0
305.417,8147220.0
305.941,7628100.0
306.453,6521320.0
306.956,7391890.0
307.464,7415520.0
307.95,7898440.0
308.456,8168960.0
309.074,7583150.0
309.672,8468440.0
310.146,7919870.0
310.696,7843310.0
311.639,7056190.0
312.152,7450660.0
312.669,7263860.0
313.156,8015210.0
313.748,7416710.0
314.344,7197540.0
315.203,6153110.0
315.737,6490440.0
316.263,8032200.0
316.773,7655200.0
317.283,7390590.0
317.895,7250180.0
318.374,7578850.0
318.872,7727420.0
319.8,7240120.0
320.277,8424010.0
320.783,6704980.0
321.51,6936740.0
322.017,7131440.0
322.53,7742150.0
323.216,7271890.0
323.676,8647620.0
324.16,7348890.0
324.66,6419550.0
325.268,6391260.0
325.897,6642940.0
326.433,7523130.0
326.962,6241240.0
327.44,8338600.0
328.131,7717340.0
328.626,7457980.0
329.128,7039760.0
329.725,7482970.0
330.396,8051360.0
330.931,7566080.0
331.438,6758300.0
331.998,7808370.0
332.534,6331480.0
333.04,7102240.0
333.654,6432260.0
334.171,7367870.0
334.64,8321830.0
335.111,7960480.0
335.664,6260090.0
336.291,7988000.0
336.831,8396530.0
337.312,7323840.0
337.817,7017580.0
338.376,8182010.0
338.854,8462410.0
339.323,7323910.0
339.835,6614760.0
340.41,7039510.0
340.919,7119420.0
341.511,7014530.0
341.984,7886330.0
342.482,6875310.0
343.16,8293900.0
343.625,6410440.0
344.114,6476050.0
344.627,6397200.0
345.09,8672200.0
345.851,8814020.0
346.333,8214070.0
346.807,7855300.0
347.287,7759210.0
347.798,7196240.0
348.393,7455240.0
348.851,8357740.0
349.389,6636910.0
349.964,6386910.0
350.804,6715090.0
351.345,6613850.0
351.833,7241390.0
352.421,6774770.0
352.949,7546680.0
353.453,8194380.0
353.923,8495600.0
354.46,1.04243E7
354.932,9099840.0
355.419,8569280.0
355.869,1.02857E7
356.354,8050430.0
356.78,1.08643E7
357.252,9488650.0
357.71,9729190.0
358.137,1.13147E7
358.577,8592010.0
359.032,9534870.0
359.459,1.37679E7
359.884,1.39704E7
360.293,1.19923E7
360.725,1.06742E7
361.165,1.03678E7
361.594,1.17873E7
362.022,1.19378E7
362.7,1.31444E7
363.184,9249980.0
363.619,1.12421E7
364.128,9866240.0
364.577,1.02473E7
365.053,8794340.0
365.487,1.12865E7
365.923,1.04531E7
366.375,1.11079E7
366.791,1.12882E7
367.228,1.12814E7
367.881,1.03708E7
368.344,8787000.0
368.824,8152900.0
369.291,8773600.0
369.84,8344550.0
370.323,8757070.0
370.764,1.08457E7
371.19,1.14088E7
371.602,1.16344E7
372.024,1.10633E7
372.46,1.11159E7
372.878,1.24851E7
373.277,1.20762E7
373.879,1.29744E7
374.297,1.20022E7
374.744,1.04226E7
375.166,1.10419E7
375.598,1.05088E7
376.019,1.16167E7
376.443,1.09337E7
376.896,1.0039E7
377.338,9829970.0
377.783,1.16049E7
378.213,1.23355E7
378.628,1.27599E7
379.04,1.17086E7
379.467,1.0937E7
379.933,8566260.0
380.375,1.11599E7
380.974,1.13269E7
381.408,1.07061E7
381.825,1.23369E7
382.236,1.21903E7
382.689,9456350.0
383.14,1.10654E7
383.555,1.12776E7
383.999,8906470.0
384.403,1.38629E7
384.802,1.24068E7
385.322,1.2055E7
385.779,8814190.0
386.233,9977750.0
386.715,8569020.0
387.158,9697820.0
387.615,8514970.0
388.1,8464230.0
388.559,9440570.0
389.102,8566800.0
389.633,9441240.0
390.068,1.07851E7
390.524,8563630.0
390.994,9215550.0
391.448,8770950.0
391.942,7987600.0
392.42,8081440.0
392.893,7942490.0
393.46,8577960.0
393.913,9885570.0
394.346,1.07013E7
394.876,9438660.0
395.321,9112130.0
395.799,8529900.0
396.431,9139460.0
396.887,9451300.0
397.351,9708070.0
397.814,9792190.0
398.29,8538840.0
398.706,1.23298E7
399.206,1.26453E7
399.607,1.33353E7
