"rt","ions"
300.331,4144010.0
300.884,6062470.0
301.394,4623340.0
301.939,5310220.0
302.683,5562210.0
303.185,5761570.0
303.739,4979460.0
304.367,4834010.0
304.921,4505620.0
305.458,5517830.0
306.288,4660080.0
306.841,4820390.0
307.373,5095980.0
307.922,5053320.0
308.474,4982580.0
309.01,5174560.0
309.639,4822830.0
310.267,5246630.0
310.772,5730050.0
311.602,5129790.0
312.118,6006410.0
312.641,5372190.0
313.183,4634820.0
313.812,5149150.0
314.353,4952710.0
314.907,4718790.0
315.46,4781230.0
316.02,5019660.0
316.543,5200680.0
317.164,5553460.0
317.734,5940950.0
318.588,4948920.0
319.114,5102640.0
319.642,5407860.0
320.501,4835590.0
320.987,7095880.0
321.458,5428760.0
322.045,4860630.0
322.548,5083920.0
323.074,5826500.0
323.533,6414270.0
323.989,6539060.0
324.463,6367120.0
324.911,6066170.0
325.4,5582810.0
326.186,5169970.0
326.655,5781990.0
327.115,5682180.0
327.642,4886870.0
328.417,6897480.0
328.886,6417660.0
329.377,5165490.0
329.885,5029240.0
330.616,5485020.0
331.08,6137800.0
331.558,5388110.0
332.022,7042860.0
332.573,5756860.0
333.051,4777070.0
333.546,6323110.0
333.991,6418160.0
334.485,4827200.0
334.967,5148240.0
335.461,5685270.0
336.334,5832810.0
336.814,5176290.0
337.339,4469210.0
337.842,4638350.0
338.568,4667390.0
339.081,4698050.0
339.57,5083790.0
340.186,5158050.0
340.716,5913630.0
341.223,4906050.0
341.712,4929370.0
342.489,6023640.0
342.947,6182840.0
343.393,5681260.0
344.069,5716070.0
344.582,4566480.0
345.085,5567020.0
345.575,4781790.0
346.098,4964780.0
346.659,5611670.0
347.111,6370530.0
347.561,6427230.0
348.26,4509230.0
348.734,5431190.0
349.197,6368670.0
349.722,4353620.0
350.215,5432430.0
350.722,4984430.0
351.235,4669820.0
351.766,4164940.0
352.244,5652150.0
352.73,5143380.0
353.242,4741680.0
353.701,5685900.0
354.154,6068630.0
354.609,6366880.0
355.108,4888130.0
355.609,4718510.0
356.091,6332130.0
356.605,4891860.0
357.079,5505890.0
357.582,5284470.0
358.054,6486570.0
358.593,6500540.0
359.128,5738090.0
359.722,5540910.0
360.303,5224620.0
360.818,4587900.0
361.326,4900030.0
361.785,6199810.0
362.235,5976720.0
362.902,5969280.0
363.36,6423060.0
363.812,6330770.0
364.276,6165330.0
364.805,5687750.0
365.285,5368440.0
365.762,5921170.0
366.214,6377060.0
366.76,6397130.0
367.222,5382680.0
368.037,5063790.0
368.518,5148610.0
369.01,4793140.0
369.589,5462660.0
370.031,6498460.0
370.493,5706330.0
370.975,5776830.0
371.468,4632190.0
372.042,6132820.0
372.492,6896910.0
372.947,6376130.0
373.63,5073720.0
374.092,6753620.0
374.558,5874820.0
375.008,6414750.0
375.489,5624780.0
375.954,5980550.0
376.419,6509220.0
376.963,5915480.0
377.437,5703360.0
377.93,4868790.0
378.524,5154300.0
379.105,4723620.0
379.598,4958540.0
380.075,5078560.0
380.535,5022870.0
381.091,4325380.0
381.698,4786730.0
382.524,4439500.0
383.054,4434100.0
383.536,4834260.0
384.138,5038500.0
384.737,4552950.0
385.259,4018380.0
385.782,4129780.0
386.435,4966420.0
386.941,4769220.0
387.438,4607530.0
387.906,6392440.0
388.414,4730370.0
389.0,4889230.0
389.486,5568350.0
389.963,5604560.0
390.425,6365990.0
391.193,5033840.0
391.688,4885740.0
392.189,4762730.0
393.013,4944850.0
393.479,5827990.0
393.954,5299950.0
394.455,4898440.0
395.039,4266410.0
395.845,5072310.0
396.319,5317930.0
396.822,5181500.0
397.412,4716050.0
397.904,5198420.0
398.384,4497230.0
399.114,4257450.0
399.638,4191720.0
400.147,5644800.0
400.839,5071040.0
401.363,4560820.0
401.868,4535900.0
402.699,4350300.0
403.198,5032940.0
403.651,6600000.0
404.106,5816380.0
404.61,4817250.0
405.275,5947010.0
405.75,5018100.0
406.204,5747770.0
406.684,5294200.0
407.212,4308920.0
407.84,3841900.0
408.352,4639820.0
408.847,4565670.0
409.345,4583370.0
409.882,5347130.0
410.461,5080970.0
410.93,6416790.0
411.389,6014570.0
411.855,5616730.0
412.378,6006230.0
412.823,5383430.0
413.334,4950610.0
413.827,4808200.0
414.331,4547050.0
414.803,5628990.0
415.302,4987390.0
415.804,5430500.0
416.365,5723080.0
416.938,4984430.0
417.429,5136280.0
417.928,4639710.0
418.512,4563840.0
419.114,4373620.0
419.624,4573430.0
420.115,4597520.0
420.616,4750670.0
421.115,4822750.0
421.819,5021540.0
422.316,5162470.0
422.833,4760320.0
423.289,5769400.0
423.769,5459650.0
424.241,5292030.0
424.718,4659890.0
425.215,5305930.0
425.76,6776140.0
426.642,5437970.0
427.153,4230140.0
427.667,4284180.0
428.189,4369980.0
428.676,5247190.0
429.164,4625160.0
429.779,4760950.0
430.309,6076470.0
430.917,5857580.0
431.463,4785120.0
431.953,4709550.0
432.452,4955830.0
433.023,5091050.0
433.511,5385100.0
433.968,6073670.0
434.436,4833130.0
434.933,4793220.0
435.376,5437890.0
435.85,5116320.0
436.441,5197530.0
437.201,6125340.0
437.697,4683800.0
438.15,6049950.0
438.815,5202410.0
439.286,4416740.0
439.761,4963070.0
440.464,4420350.0
440.974,4949250.0
441.468,5223150.0
441.925,5677930.0
442.598,5373710.0
443.075,4773720.0
443.605,4181840.0
444.223,4619320.0
444.777,3990400.0
445.267,4393760.0
445.895,3339260.0
446.416,4584990.0
446.883,4999210.0
447.351,5701410.0
448.133,4891320.0
448.651,4494900.0
449.139,4716700.0
449.65,4406070.0
450.121,5562880.0
450.581,5773520.0
451.247,4863740.0
451.738,4874580.0
452.212,4637160.0
452.737,4118540.0
453.205,4842310.0
453.808,4521660.0
454.286,4639940.0
454.775,4830230.0
455.259,4571190.0
455.968,4366710.0
456.486,4907150.0
456.959,5881250.0
457.419,6101450.0
458.058,5506760.0
458.524,5753810.0
458.986,5845010.0
459.434,5952820.0
459.873,5069860.0
460.37,4296270.0
460.922,4059520.0
461.416,3848240.0
461.899,5319090.0
462.405,4317310.0
462.91,4717540.0
463.469,5000630.0
463.974,4478270.0
464.453,4806880.0
464.966,4917640.0
465.436,5330560.0
465.918,4911650.0
466.406,5194720.0
466.886,4768750.0
467.392,4462680.0
467.913,4106170.0
468.393,5147860.0
468.866,5179610.0
469.324,5344960.0
469.814,5226330.0
470.284,5735790.0
471.163,5087100.0
471.648,4946270.0
472.157,4318940.0
472.657,4804310.0
473.262,4739780.0
473.761,4620410.0
474.231,4613880.0
474.712,4820270.0
475.206,4616320.0
475.808,4590530.0
476.354,4471160.0
476.836,5128380.0
477.421,4427480.0
477.916,5262720.0
478.408,4361350.0
478.896,4749850.0
479.462,5239190.0
479.922,4630770.0
480.39,4887200.0
481.031,5230170.0
481.539,4259330.0
482.032,4596610.0
482.532,4410040.0
483.026,4958860.0
483.492,5433870.0
484.141,6018480.0
484.626,4881160.0
485.132,4825220.0
485.593,5548720.0
486.099,4783460.0
486.62,4637750.0
487.099,4851600.0
487.594,4947880.0
