"rt","ions"
300.323,5213490.0
300.89,4647080.0
301.428,4471080.0
301.985,4191550.0
302.472,4618780.0
302.951,5053040.0
303.431,5080520.0
303.981,5167600.0
304.461,5438760.0
304.911,6121850.0
305.366,5112400.0
305.844,5655580.0
306.319,4927970.0
306.765,5381690.0
307.338,4956380.0
307.864,5902670.0
308.388,4809770.0
308.837,5517200.0
309.262,5508440.0
309.713,5607660.0
310.244,5652330.0
310.706,5883240.0
311.136,5897150.0
311.591,4909140.0
312.09,4296630.0
312.579,4203150.0
313.107,5960850.0
313.633,5268970.0
314.096,5344960.0
314.534,5863410.0
314.996,4224780.0
315.551,5169840.0
316.221,4819110.0
316.683,4429080.0
317.153,4834690.0
317.694,4860990.0
318.164,5582930.0
318.644,4693360.0
319.432,4485460.0
319.939,4287800.0
320.392,4937980.0
320.854,5513880.0
321.63,5365450.0
322.073,5349370.0
322.523,5154940.0
322.957,5817130.0
323.387,5689150.0
323.81,5831930.0
324.236,5435940.0
324.68,5027990.0
325.178,4002110.0
325.66,4829350.0
326.276,4472120.0
326.752,4803000.0
327.228,4337190.0
327.671,5502630.0
328.127,4700870.0
328.604,4323790.0
329.072,4940470.0
329.538,4690410.0
329.98,5312950.0
330.445,4265530.0
330.926,4135790.0
331.408,4182650.0
331.896,4328860.0
332.343,4395630.0
332.887,4914170.0
333.355,4539490.0
333.827,4456120.0
334.447,5905500.0
334.975,4955060.0
335.41,5446580.0
335.88,4461890.0
336.336,4838630.0
336.857,5285930.0
337.293,5558230.0
337.738,5009840.0
338.184,5418540.0
338.639,5055340.0
339.091,4931830.0
339.564,4087050.0
340.145,4009080.0
340.635,4040800.0
341.13,4341710.0
341.594,4584390.0
342.074,4224100.0
342.533,5220040.0
343.008,4717620.0
343.474,4286170.0
344.018,4754230.0
344.516,3684800.0
345.008,4121040.0
345.486,4366400.0
345.959,4518910.0
346.428,4350460.0
347.092,4645260.0
347.566,4548760.0
348.031,4438710.0
348.463,5735820.0
348.902,5698520.0
349.363,4208740.0
350.118,5337480.0
350.562,4753050.0
351.013,4441190.0
351.476,4818270.0
352.156,4272420.0
352.604,5257760.0
353.039,4760470.0
353.517,4689000.0
353.97,5273190.0
354.622,4807950.0
355.063,5076120.0
355.524,4606500.0
356.128,5366880.0
356.574,4582780.0
357.049,3687090.0
357.515,5084550.0
358.072,4447470.0
358.647,3853710.0
359.132,4766540.0
359.609,4145480.0
360.265,4324190.0
360.998,4450280.0
361.447,5506440.0
361.893,4993460.0
362.338,4834950.0
362.799,4954900.0
363.351,4465720.0
364.022,4537860.0
364.475,4456010.0
364.957,4297760.0
365.417,4684170.0
365.882,4455420.0
366.335,4616170.0
366.788,4621790.0
367.322,4488670.0
367.788,4741310.0
368.226,5248940.0
368.745,4735170.0
369.208,4483540.0
369.671,4850110.0
370.124,4392630.0
370.58,4727560.0
371.051,4494410.0
371.519,4415150.0
371.983,4288120.0
372.456,4384070.0
372.923,4517970.0
373.368,5306780.0
373.808,4881800.0
374.253,4717630.0
374.719,5525460.0
375.34,5973600.0
376.19,5094680.0
376.622,5088060.0
377.073,4726790.0
377.518,3798390.0
377.992,4140430.0
378.457,3943740.0
378.913,4643490.0
379.386,4524080.0
379.854,4300720.0
380.313,4569040.0
380.787,4866830.0
381.241,5162120.0
381.684,4004580.0
382.162,4123090.0
382.631,4461140.0
383.144,4970360.0
383.667,5713530.0
384.103,4793120.0
384.534,5011380.0
385.069,5254100.0
385.505,4425480.0
386.113,5181980.0
386.564,5024000.0
387.028,4506290.0
387.492,4800130.0
388.005,4331030.0
388.502,3764730.0
388.974,4511910.0
389.444,4382650.0
389.894,4728860.0
390.429,4928240.0
390.874,5084430.0
391.334,4498330.0
391.801,4443150.0
392.331,5052330.0
392.771,5005560.0
393.233,4369420.0
393.706,4254330.0
394.254,4002600.0
394.71,5081090.0
395.125,5404460.0
395.68,4984830.0
396.146,4854630.0
396.563,5567890.0
397.0,4942910.0
397.44,4690640.0
397.895,4830660.0
398.32,5537530.0
398.796,4115690.0
399.331,4926510.0
399.791,4607330.0
400.257,4734330.0
400.727,4886000.0
401.497,4086970.0
401.963,4967460.0
402.391,5159190.0
402.829,4798640.0
403.331,3771030.0
403.798,4171830.0
404.327,5024000.0
404.788,4327330.0
405.236,5066440.0
405.684,4995470.0
406.126,4412030.0
406.745,5435060.0
407.202,4022620.0
407.656,4146440.0
408.202,4058830.0
408.678,3929680.0
409.144,4539050.0
409.604,4206240.0
410.076,3833110.0
410.537,4197340.0
411.02,4441620.0
411.455,5297490.0
411.866,5371380.0
412.296,5131180.0
412.807,5117420.0
413.25,5071120.0
413.709,4188780.0
414.191,3902570.0
414.732,5187560.0
415.189,4155320.0
415.644,4469010.0
416.236,5359320.0
416.863,5163400.0
417.324,4700850.0
417.755,5002680.0
418.392,4544980.0
418.831,4365910.0
419.305,4031930.0
419.754,4205130.0
420.216,4279690.0
420.979,4690620.0
421.467,4566870.0
421.915,4168280.0
422.368,4852340.0
422.825,4295140.0
423.266,5090400.0
423.703,4844460.0
424.257,4310570.0
424.72,4264730.0
425.187,4827120.0
425.739,4076180.0
426.185,4272450.0
426.625,4326730.0
427.263,4693010.0
427.721,4665490.0
428.198,4510750.0
428.653,4610700.0
429.135,4225300.0
429.58,4510050.0
430.025,5227140.0
430.477,4798100.0
430.912,4857150.0
431.57,3922910.0
432.046,4099710.0
432.51,4634860.0
432.989,3778200.0
433.463,3938100.0
434.008,4382440.0
434.547,4005920.0
435.092,4290670.0
435.571,3894830.0
436.06,4456490.0
436.842,3917370.0
437.295,4990630.0
437.751,4374250.0
438.208,4001920.0
438.682,4553090.0
439.103,4700290.0
439.528,4566470.0
440.187,4129940.0
440.636,4805680.0
441.094,4740960.0
441.76,4469880.0
442.204,5022140.0
442.652,4435160.0
443.178,3933890.0
443.702,4586370.0
444.15,4465740.0
444.668,4471370.0
445.132,4115270.0
445.566,4970690.0
446.741,5031510.0
447.163,5372750.0
447.601,5058920.0
448.372,3821620.0
448.819,5118820.0
449.273,4347810.0
450.288,4098350.0
450.756,4703510.0
451.204,4892540.0
451.844,4434850.0
452.313,4831740.0
452.78,3923700.0
453.676,3949130.0
454.158,3650120.0
454.617,4387900.0
455.077,4380310.0
455.529,4565000.0
456.383,4313490.0
456.849,3696690.0
457.298,4995850.0
458.039,4831870.0
458.496,4385710.0
458.965,3683420.0
459.509,3903890.0
459.986,4400320.0
460.436,4159990.0
460.891,4435070.0
461.536,4476900.0
462.202,3975630.0
462.749,4141160.0
463.247,5387900.0
464.35,4697390.0
464.793,4493360.0
465.239,3723700.0
466.097,3841340.0
466.566,3908270.0
467.032,3638180.0
467.562,4383620.0
468.988,4623170.0
469.401,4709170.0
469.825,5214450.0
471.133,4652330.0
471.574,4384070.0
472.008,3861230.0
473.322,4625460.0
473.723,4512670.0
474.124,5142250.0
474.967,4756100.0
475.388,4737420.0
475.806,4343040.0
476.757,4650960.0
477.169,3694740.0
477.593,4438280.0
479.107,5117120.0
480.159,5101340.0
480.537,5854660.0
480.909,5914980.0
482.079,5610650.0
482.441,7794980.0
482.799,7244200.0
484.066,5658730.0
484.452,4740950.0
484.833,4955660.0
485.765,5552610.0
486.135,5152780.0
486.502,5010140.0
487.444,4330770.0
487.825,5387140.0
488.21,5424260.0
489.605,6204630.0
489.969,7732020.0
490.33,6741810.0
491.455,5426890.0
491.813,7279180.0
492.171,5718700.0
493.427,8396520.0
493.802,6176880.0
494.17,7127550.0
495.306,7265330.0
495.665,7877240.0
496.02,7292040.0
497.282,6938960.0
497.632,7132380.0
497.978,9202170.0
499.119,7074870.0
499.48,8545400.0
499.84,6967600.0
500.746,8875660.0
501.094,1.11979E7
501.431,1.21818E7
502.895,1.07529E7
503.338,9100720.0
504.571,1.39037E7
504.914,1.08121E7
505.252,1.22142E7
506.599,1.36071E7
506.931,1.55703E7
507.263,1.31968E7
508.738,1.57631E7
509.163,1.33172E7
510.41,1.12305E7
510.757,1.3494E7
511.091,1.4988E7
512.562,1.29414E7
512.899,1.31536E7
513.235,1.29511E7
514.715,9804780.0
515.723,1.17871E7
516.06,1.08388E7
516.396,1.11345E7
517.871,1.09903E7
518.431,9830530.0
519.92,9489920.0
520.497,9012420.0
521.41,9572260.0
521.757,1.10437E7
522.099,8661950.0
523.118,7503960.0
523.473,8348210.0
523.824,9731440.0
524.75,7422830.0
525.109,9156190.0
525.469,7434270.0
