"rt","ions"
300.324,4644380.0
300.878,5263080.0
301.431,4980590.0
301.985,5135150.0
302.539,4746720.0
303.167,4609510.0
303.721,5089720.0
304.275,4874260.0
304.828,5099300.0
305.341,7198470.0
305.899,6456380.0
306.452,4563340.0
307.081,5388090.0
307.634,5184520.0
308.188,5703540.0
308.731,5680060.0
309.36,5401430.0
309.988,5718450.0
310.542,5998650.0
311.109,5578210.0
311.627,6611820.0
312.256,4766590.0
312.809,6152050.0
313.33,7258090.0
313.845,6893370.0
314.358,6931370.0
316.021,4928090.0
316.847,4603640.0
317.4,5135750.0
317.954,5332500.0
318.508,5320980.0
319.034,6046120.0
319.585,5693870.0
320.33,4610590.0
320.897,4629760.0
321.451,6715900.0
321.996,6744280.0
322.524,6636190.0
323.378,6561570.0
323.932,5523700.0
324.485,4741920.0
325.039,4827280.0
325.593,5412180.0
326.146,6081750.0
326.679,6229090.0
327.308,5999490.0
327.854,5794820.0
328.408,6395680.0
329.268,5572170.0
329.781,6278440.0
330.335,5311850.0
330.902,5884270.0
331.438,6271510.0
332.06,5814230.0
332.613,5025520.0
333.167,4932120.0
333.719,5381780.0
334.348,5079010.0
334.902,5064590.0
335.455,4936950.0
336.281,5381360.0
336.835,5126120.0
337.388,4597780.0
338.248,4692730.0
338.801,5440820.0
339.355,5202180.0
339.909,5085700.0
340.537,5808200.0
341.104,4317660.0
341.724,5809470.0
342.267,5889710.0
342.82,5572730.0
343.361,5729340.0
343.99,5695450.0
344.512,6266670.0
345.026,5705260.0
345.58,4787280.0
346.129,6139260.0
346.874,5242160.0
347.502,4667460.0
348.056,5601540.0
348.609,4925250.0
349.163,4938040.0
349.713,5437180.0
350.341,5817710.0
351.171,5046770.0
351.724,5664910.0
352.265,5850420.0
352.819,4656000.0
353.372,5091390.0
353.925,5922520.0
354.522,6301660.0
355.071,6084930.0
355.604,6096670.0
356.318,6090350.0
356.93,5179580.0
357.484,5805610.0
358.037,5416640.0
358.566,5150500.0
359.194,4930700.0
359.745,5055070.0
360.297,4889160.0
361.041,5261480.0
361.608,4807330.0
362.162,4422320.0
362.643,6104900.0
363.222,5598040.0
364.167,5940160.0
364.71,5257680.0
365.24,5600240.0
365.794,5424860.0
366.33,5242700.0
366.884,5260340.0
367.435,5662580.0
367.989,5131030.0
368.607,5135140.0
369.236,5003380.0
369.865,5229230.0
370.376,5474700.0
370.943,4248630.0
371.496,4640080.0
372.125,5351720.0
372.64,6017500.0
373.144,5819230.0
373.697,4559950.0
374.442,4860140.0
374.952,6048150.0
375.506,4163380.0
376.168,6412830.0
376.767,6027990.0
377.378,5285100.0
378.122,5250570.0
378.982,4578410.0
379.52,5940840.0
380.023,6124780.0
380.546,5432120.0
381.105,4921070.0
381.658,5121910.0
382.287,4834880.0
382.813,5493670.0
383.36,4787870.0
384.106,4651870.0
384.648,4929640.0
385.201,4880440.0
385.696,6650280.0
386.356,6734560.0
386.905,5231150.0
387.459,5199320.0
388.055,5584950.0
388.603,4824410.0
389.157,4781910.0
389.894,5614220.0
390.448,5004050.0
391.015,4831910.0
391.737,6091710.0
392.251,5878030.0
392.76,5691690.0
393.313,4966620.0
393.867,4904760.0
394.412,5210070.0
394.946,5533490.0
395.69,5203310.0
396.254,4899580.0
396.808,5087530.0
397.356,4782530.0
397.904,6076500.0
398.423,6019710.0
398.948,6042150.0
399.48,5314080.0
400.224,5152200.0
400.767,5579630.0
401.334,4516640.0
401.887,4437570.0
402.516,4719830.0
403.145,5193150.0
403.698,4531860.0
404.234,5126460.0
404.775,4819900.0
405.329,5125220.0
405.871,5504350.0
406.417,5327980.0
406.967,5102710.0
407.506,4761520.0
408.06,4391530.0
408.58,5555310.0
409.134,6179840.0
409.636,5941130.0
410.163,5353760.0
410.888,5175850.0
411.439,5383330.0
411.97,6129520.0
412.518,4677610.0
413.071,5600940.0
413.624,5020180.0
414.178,5366530.0
414.699,5340290.0
415.443,4884840.0
415.99,4708980.0
416.536,5814770.0
417.165,4773930.0
417.794,6187110.0
418.422,4240380.0
419.051,5080940.0
419.604,4969540.0
420.157,5032440.0
420.892,5795280.0
421.459,4790010.0
421.945,6330650.0
422.423,5227210.0
422.976,4601280.0
423.522,5318110.0
424.04,5854540.0
424.568,4626530.0
425.121,5314600.0
425.635,6105740.0
426.202,5700920.0
426.691,6224930.0
427.237,4756810.0
427.776,5517070.0
428.33,4408970.0
428.958,4645750.0
429.587,4727830.0
430.14,4922040.0
430.694,5129750.0
431.248,5216610.0
431.802,4161790.0
432.355,4402160.0
432.884,5731430.0
433.417,5285570.0
433.959,5018440.0
434.513,4444030.0
435.142,4456340.0
435.695,4555810.0
436.263,4815100.0
436.816,5399810.0
437.329,5425750.0
437.882,5220070.0
438.435,4830370.0
438.957,5611200.0
439.452,5946140.0
440.163,4922690.0
440.703,5111180.0
441.212,5336420.0
441.766,4635640.0
442.3,4749620.0
442.854,4828480.0
443.394,5193390.0
443.948,4980070.0
444.502,4551560.0
445.246,4451900.0
445.875,4362730.0
446.442,4374570.0
446.995,4265360.0
447.624,4493970.0
448.177,4641280.0
448.73,4477340.0
449.359,4676310.0
449.909,4478520.0
450.463,4606320.0
451.03,4564330.0
451.543,5856330.0
452.096,4616860.0
452.65,4936950.0
453.203,4478840.0
453.831,5374000.0
454.435,4818250.0
454.988,4691940.0
455.535,4804870.0
456.248,5179490.0
456.801,4490160.0
457.355,4441400.0
457.908,5427450.0
458.415,4745620.0
458.969,4066220.0
459.522,4329920.0
460.076,4410870.0
460.584,5988280.0
461.286,5016300.0
461.84,4566710.0
462.394,4385530.0
462.933,5662590.0
463.561,4666290.0
464.081,4732170.0
464.634,5202930.0
465.179,4679710.0
465.808,4484880.0
466.499,5627640.0
467.053,4260170.0
467.606,4552830.0
468.235,5023060.0
468.863,4907790.0
469.414,4460300.0
469.967,5681080.0
470.521,3829890.0
471.209,4578750.0
471.762,3884670.0
472.308,5232730.0
472.84,5229890.0
473.358,4957380.0
474.218,4365320.0
474.771,4364210.0
475.325,4524780.0
475.892,4650880.0
476.402,5375820.0
477.031,4989280.0
477.656,4932200.0
478.209,4561750.0
478.838,4673380.0
479.391,4049340.0
479.945,4196790.0
480.573,4400430.0
481.4,5247010.0
481.931,4841770.0
482.485,4079770.0
483.21,4931140.0
483.763,4864960.0
484.297,5260010.0
484.826,5242330.0
485.359,4534040.0
485.926,4229230.0
486.764,5018490.0
487.292,4844110.0
487.845,5142430.0
488.55,5400830.0
489.067,5242850.0
489.598,5641220.0
490.199,4705190.0
491.03,5772460.0
491.538,6531220.0
492.017,6491670.0
492.726,4848940.0
493.222,5457370.0
493.776,4470520.0
494.52,4512680.0
495.061,4578790.0
495.568,5177890.0
496.624,4440670.0
497.178,4639220.0
497.731,4833710.0
498.277,4747170.0
499.133,4857350.0
499.629,5781840.0
500.158,5371530.0
500.654,5824070.0
501.181,5220080.0
501.718,4974690.0
502.224,5497870.0
502.778,4414670.0
503.308,4825180.0
503.833,5937370.0
504.53,5413760.0
505.053,5300210.0
505.579,5260050.0
506.083,6215270.0
506.873,6042010.0
507.41,4967930.0
507.923,5848910.0
508.495,6304480.0
509.026,5313060.0
509.885,4339130.0
510.437,4287600.0
511.005,4501730.0
511.981,4585030.0
512.534,4755640.0
513.088,4548730.0
513.832,4674620.0
514.575,4417200.0
515.129,4387170.0
515.67,4756710.0
516.238,3858190.0
516.866,3932890.0
517.42,3867220.0
517.965,4569010.0
518.514,4763880.0
519.067,4345010.0
519.926,4351910.0
520.48,3870840.0
521.045,4730250.0
521.789,4485760.0
522.342,4234930.0
522.896,4694200.0
523.449,4877110.0
524.077,5904480.0
524.703,4917870.0
525.38,6475720.0
525.899,5368610.0
526.409,6079020.0
526.918,5532990.0
527.526,5387370.0
528.08,4774660.0
528.633,4771710.0
529.262,5229910.0
529.815,4106480.0
530.329,4886580.0
530.993,5966740.0
531.716,4537110.0
