"rt","ions"
300.325,4292170.0
300.893,5593860.0
301.446,4667280.0
302.535,5454960.0
303.084,5053930.0
303.637,5015260.0
304.82,5844980.0
305.359,5065150.0
305.927,4694500.0
306.786,5166330.0
307.339,5569470.0
307.893,4855910.0
308.447,5178260.0
309.075,5100270.0
309.629,4394240.0
310.18,6256980.0
310.809,4765050.0
311.522,4795020.0
312.15,5054100.0
312.704,4898300.0
313.244,6366630.0
313.982,5918410.0
314.489,5951990.0
315.042,4717100.0
315.902,5301520.0
316.729,5583680.0
317.271,6119840.0
317.791,5219930.0
318.536,5032620.0
319.089,5106200.0
319.643,4530520.0
320.387,5283370.0
320.927,5895160.0
321.478,5499140.0
322.031,5098770.0
322.585,4830480.0
323.126,5499200.0
323.663,6045530.0
324.217,5860160.0
324.77,5656850.0
325.324,5438580.0
326.058,5810730.0
326.625,4960390.0
327.179,4678490.0
327.807,4707890.0
328.361,5024670.0
328.915,5558810.0
329.774,5127270.0
330.328,4377980.0
330.896,5400580.0
331.423,6472340.0
331.941,5417850.0
332.57,4918200.0
333.123,5575530.0
333.677,4730520.0
334.515,5592320.0
335.069,5605040.0
335.623,5716190.0
336.19,4475200.0
336.743,5448830.0
337.372,5601410.0
338.001,4800680.0
338.629,4657380.0
339.258,4839790.0
339.811,4523880.0
340.364,5406740.0
340.932,5183900.0
341.485,5511600.0
342.113,5032170.0
342.667,4974170.0
343.171,6314320.0
343.8,5056740.0
344.336,5010500.0
344.89,5133550.0
345.518,4863320.0
346.086,5610990.0
346.639,4467050.0
347.384,5502200.0
347.937,5119330.0
348.49,4766600.0
349.044,4389810.0
349.673,5390980.0
350.302,5015710.0
350.855,4778290.0
351.676,5959280.0
352.229,5940270.0
352.783,5758240.0
353.643,5136300.0
354.175,5943150.0
354.729,5186000.0
355.279,6209920.0
355.794,5353490.0
356.726,5509030.0
357.252,6302930.0
357.8,5112840.0
358.429,5360490.0
358.982,4654960.0
359.536,5222010.0
360.271,5952620.0
360.825,5863540.0
361.373,5316540.0
361.879,5183520.0
362.586,5011170.0
363.103,4460110.0
363.623,5091770.0
364.126,5302200.0
364.67,4704530.0
365.398,4884640.0
