"rt","ions"
300.325,4861820.0
300.878,6227860.0
301.334,7193440.0
302.948,6057810.0
304.555,4662050.0
306.211,5229950.0
307.685,5717160.0
308.186,5124210.0
308.74,4240200.0
309.752,6200620.0
310.233,5966430.0
310.787,3926830.0
312.032,7277980.0
312.495,7497840.0
312.982,6591820.0
313.768,6778310.0
314.291,5675880.0
314.835,5571660.0
315.91,6312560.0
316.403,6299170.0
316.895,5748350.0
317.712,5909940.0
318.241,4460990.0
318.795,5179160.0
319.377,5413760.0
320.213,4861970.0
320.756,5856990.0
321.238,6099750.0
321.76,5563160.0
322.389,4897740.0
323.018,4641270.0
323.647,6422920.0
324.131,5342760.0
325.278,5375490.0
325.809,6440910.0
326.281,6227940.0
326.799,5045170.0
327.3,6329080.0
328.235,5806740.0
328.762,5538540.0
329.254,6273330.0
329.842,5925510.0
330.399,5901470.0
331.111,5479300.0
331.637,5399250.0
332.169,4670910.0
332.722,5435950.0
333.905,5473050.0
335.337,5153770.0
336.955,5464110.0
338.123,5702130.0
339.326,4569360.0
339.954,4309160.0
340.918,5119760.0
341.485,4740760.0
342.019,5037490.0
342.877,5108520.0
343.39,5611390.0
343.878,7829540.0
344.717,6789660.0
345.261,4423130.0
345.815,4685230.0
346.707,5506670.0
347.206,9053580.0
347.701,5999410.0
349.299,6014300.0
350.158,4917020.0
350.978,5374300.0
351.533,5544070.0
352.034,5232200.0
352.739,4715600.0
353.269,4931240.0
353.819,5004510.0
354.448,4884050.0
355.379,7350000.0
355.905,5584430.0
356.403,5515890.0
357.377,5175700.0
357.861,5118240.0
358.414,5234930.0
359.158,5193580.0
359.761,6293940.0
360.591,5308800.0
361.095,6009930.0
361.615,5128870.0
362.142,5654810.0
362.689,4897410.0
363.433,4229030.0
364.522,4919260.0
365.151,4013170.0
366.301,5494170.0
367.229,4595470.0
368.039,5203350.0
369.118,5703120.0
369.784,5120480.0
370.757,4042650.0
371.757,5025370.0
372.281,4207530.0
372.834,2777950.0
373.397,4704870.0
374.058,6176380.0
374.572,4742600.0
375.104,5078290.0
375.875,4873010.0
376.409,4646030.0
376.878,5397960.0
377.656,5429820.0
378.122,4581650.0
378.588,5351840.0
379.273,4917310.0
379.823,5663840.0
380.369,5638830.0
380.876,4369820.0
381.452,5320650.0
382.099,5598540.0
382.773,4378060.0
383.273,4947040.0
383.745,5960400.0
384.644,4418150.0
385.16,5380990.0
385.612,5920470.0
386.806,5980510.0
387.351,5321040.0
388.267,4838760.0
388.745,4111840.0
389.271,4793600.0
389.926,5151210.0
390.425,3400910.0
390.958,6077290.0
391.783,4573600.0
392.234,5414750.0
392.71,6312820.0
393.218,4687690.0
393.705,5697860.0
394.212,4143350.0
395.174,4642080.0
395.799,3810140.0
396.677,4574870.0
397.676,4420450.0
398.459,4334570.0
399.491,3935240.0
400.084,3577950.0
400.662,4284940.0
401.131,5776780.0
402.02,4780010.0
402.53,6335670.0
402.948,6096940.0
403.714,5105270.0
404.23,5488140.0
404.661,5690250.0
405.538,4224250.0
406.2,4781530.0
406.738,4911200.0
407.494,3576580.0
408.021,3397610.0
408.654,5408680.0
409.096,5351270.0
409.543,5344540.0
410.186,4376190.0
410.741,4645920.0
411.225,3902440.0
411.716,3828550.0
412.571,5412680.0
413.019,4704880.0
413.459,4623830.0
414.343,4562590.0
414.862,4871270.0
415.733,5123730.0
416.246,3524940.0
416.94,3985400.0
417.413,3464510.0
417.922,3878610.0
418.469,5816870.0
418.961,6105880.0
419.399,4662140.0
419.872,4791650.0
420.561,4153280.0
421.054,4211140.0
421.49,5253820.0
422.252,4317120.0
422.803,4723950.0
423.467,4044270.0
423.934,5449450.0
424.376,4761410.0
424.913,5290270.0
425.545,5361480.0
426.41,4637150.0
427.031,5635420.0
427.579,5564970.0
428.811,5726130.0
429.691,9172480.0
430.245,3748340.0
430.766,3166450.0
431.732,4617990.0
432.231,5565060.0
432.781,4190180.0
433.306,5181690.0
433.746,5305560.0
434.503,4821790.0
435.072,4041730.0
435.644,4457920.0
436.604,5864230.0
437.01,6585270.0
437.438,6007430.0
438.342,4266470.0
439.217,4183880.0
439.776,4152580.0
440.209,5128290.0
440.675,4472260.0
441.211,4383400.0
441.757,3763540.0
442.232,5155260.0
442.674,4484370.0
443.68,4343660.0
444.169,4249800.0
444.653,4275880.0
445.096,5153650.0
445.741,4900250.0
446.228,4419620.0
446.684,4958710.0
447.133,4680370.0
447.91,4597760.0
448.383,3483060.0
448.825,5796630.0
449.955,4182700.0
450.395,4840710.0
451.102,5029240.0
451.529,5000330.0
451.96,4600960.0
452.469,5046430.0
452.907,4630110.0
453.344,5021740.0
453.783,5253030.0
454.213,5305790.0
454.662,4772110.0
455.411,5349360.0
456.127,5104780.0
456.619,5687010.0
457.043,5368720.0
457.463,5409970.0
458.423,5354790.0
459.252,5560100.0
459.978,5434480.0
460.818,6233780.0
461.244,5883260.0
461.663,5774310.0
462.296,5415650.0
462.706,6073090.0
463.133,5789920.0
463.651,4681670.0
464.086,4672950.0
464.692,5746120.0
465.322,5781770.0
465.908,5341310.0
466.526,5630490.0
467.38,5319440.0
467.796,5928330.0
468.222,5452160.0
468.945,6166440.0
469.357,5910490.0
469.765,5961130.0
470.187,5224220.0
471.142,6046400.0
471.717,5745050.0
472.21,5753540.0
472.639,5244250.0
473.611,5101870.0
474.107,5698520.0
475.06,5855010.0
475.467,5878190.0
475.87,5378800.0
476.358,6020210.0
476.798,4724880.0
477.241,4644200.0
477.762,5195320.0
478.192,4840830.0
478.606,5453360.0
479.102,5277870.0
479.54,5141150.0
479.952,5959940.0
481.047,5133450.0
481.477,4858830.0
481.916,6069070.0
482.788,5547630.0
483.195,5728460.0
483.599,5894190.0
484.103,5149560.0
484.524,5776570.0
484.957,5405790.0
485.685,5485200.0
486.101,5786100.0
486.541,5526130.0
487.41,4787320.0
487.905,4232080.0
488.344,4983430.0
489.422,5500030.0
490.489,5415520.0
491.074,5345340.0
491.807,4533380.0
492.241,4148780.0
492.693,3830450.0
493.694,3700130.0
494.116,1.70513E7
494.519,5255660.0
496.072,4469890.0
497.358,4340320.0
497.766,3679000.0
498.194,3541530.0
499.034,4762530.0
499.465,3286070.0
499.924,3272330.0
500.895,4641410.0
501.337,4868510.0
501.782,4434400.0
502.52,4940880.0
502.951,4365280.0
503.413,3923450.0
503.928,4661040.0
504.344,5202380.0
504.774,4619900.0
505.611,4745230.0
506.054,5136190.0
506.459,5541620.0
506.961,5051070.0
507.466,4911100.0
507.902,4831160.0
508.415,4929840.0
509.044,4979770.0
509.551,5228370.0
510.076,4445380.0
510.531,4158430.0
511.008,4144220.0
511.468,4524210.0
512.329,4875470.0
512.765,5131810.0
513.629,4736190.0
514.065,4556820.0
514.506,4367380.0
515.248,5380230.0
515.684,5116940.0
516.123,5133110.0
516.759,4983730.0
517.279,5377630.0
517.702,5635560.0
518.165,4233000.0
518.918,3966060.0
519.357,4764310.0
519.823,4481290.0
520.681,4725440.0
522.33,4739470.0
523.174,5789920.0
523.688,4678810.0
524.211,4478280.0
524.664,4646620.0
525.195,4410110.0
525.817,4857560.0
526.249,5259550.0
526.684,5074140.0
527.306,5307600.0
527.732,5563200.0
528.173,5006280.0
528.901,4990100.0
529.409,4735580.0
529.919,5338390.0
530.348,3935260.0
530.849,4383840.0
531.983,5609570.0
532.82,5340210.0
533.235,5296610.0
533.66,4926860.0
534.087,5330640.0
534.503,5952970.0
534.921,5364340.0
535.349,5294360.0
535.936,5562730.0
536.664,5989750.0
537.148,6434680.0
537.572,4922260.0
538.332,4272230.0
538.757,5701130.0
539.18,5269070.0
539.598,5435580.0
540.204,5438780.0
540.619,5939390.0
541.039,4744850.0
541.876,6261210.0
542.358,5821110.0
542.747,5710300.0
543.178,4765350.0
543.796,5427970.0
544.215,5862600.0
544.666,4952830.0
545.526,5244350.0
545.97,5541320.0
546.386,5291130.0
547.111,6559520.0
547.54,5260500.0
547.972,5410200.0
548.489,4958720.0
549.015,4408530.0
549.612,6372160.0
550.132,5345120.0
550.633,5066450.0
551.585,5644590.0
552.433,5944760.0
552.956,4422950.0
553.697,5349440.0
554.217,5147240.0
555.08,5108110.0
555.53,5983880.0
555.959,6861570.0
556.377,5231760.0
557.326,5992670.0
557.777,5326110.0
558.22,5456870.0
559.111,5278040.0
559.59,5802490.0
560.554,5257810.0
560.977,5203800.0
561.41,4949240.0
561.897,5871400.0
562.507,5603630.0
563.004,6205510.0
563.403,6260620.0
564.047,4812270.0
564.486,4203100.0
564.902,5675860.0
565.403,5566240.0
566.093,5943010.0
566.581,5738490.0
567.076,5799720.0
567.565,5608430.0
567.983,5606740.0
568.412,4962420.0
569.497,5435100.0
569.93,5515510.0
570.352,5655320.0
571.262,5645850.0
571.703,5189600.0
572.132,5447320.0
572.766,5200490.0
573.391,4990870.0
574.457,5967520.0
574.859,5756970.0
575.285,5610090.0
575.89,4933360.0
576.871,4701360.0
577.295,5711000.0
577.719,5436430.0
578.452,5468950.0
578.872,5248590.0
579.325,4905370.0
579.813,6347570.0
580.639,6610510.0
581.165,5422870.0
582.482,5182690.0
583.561,5009170.0
584.075,5314340.0
585.033,5781270.0
585.458,5301120.0
585.898,5602360.0
586.318,5652820.0
587.054,5789630.0
587.552,5711450.0
588.055,5246210.0
588.487,1.01936E7
588.972,5990330.0
590.52,5114440.0
591.234,5154590.0
591.657,5502060.0
592.085,5133360.0
592.58,5703210.0
593.528,5321440.0
593.961,4924810.0
594.387,5311640.0
595.339,5119860.0
