"rt","ions"
300.323,4235310.0
300.876,4588240.0
301.424,4342530.0
302.396,3832440.0
302.95,4224210.0
303.488,4708010.0
304.34,4439680.0
305.178,5061110.0
305.703,5022730.0
306.263,4450750.0
307.218,4794520.0
307.719,5114670.0
308.209,5662620.0
308.698,5602470.0
309.197,4691610.0
309.751,4195600.0
310.579,4929960.0
311.147,4590740.0
311.684,4857450.0
312.649,4616590.0
313.203,4168640.0
313.736,4873310.0
314.365,4255230.0
314.957,5667800.0
315.457,4938840.0
316.025,4757560.0
316.638,5198020.0
317.191,5181310.0
317.697,4727120.0
318.397,5142060.0
318.92,5166820.0
319.469,4621490.0
319.99,4761750.0
320.589,5137190.0
321.103,5732560.0
321.593,5291340.0
322.311,4940920.0
323.044,4438290.0
323.551,5646260.0
324.019,5454820.0
324.522,4971150.0
325.035,4802790.0
325.65,4552750.0
326.348,4492510.0
326.855,4658730.0
327.354,5468660.0
327.854,5445520.0
328.453,4087580.0
328.964,4923990.0
329.506,4393660.0
330.032,5172400.0
330.55,5472380.0
331.074,4638930.0
331.903,4684320.0
332.485,4769880.0
333.429,4614380.0
333.93,5087480.0
334.443,5389950.0
335.038,4889470.0
335.64,4847100.0
336.154,5913630.0
336.661,5702790.0
337.714,4916870.0
338.244,5293610.0
338.744,4668310.0
339.264,4875700.0
339.891,4340460.0
340.436,4598700.0
340.97,5731810.0
341.551,5245120.0
342.179,4463740.0
342.704,4456000.0
343.256,4224650.0
343.882,4459780.0
344.435,4217200.0
344.976,4428810.0
345.594,4413140.0
346.133,5158830.0
346.683,4669660.0
347.219,4875600.0
347.773,4474730.0
348.269,5947810.0
349.882,5436210.0
350.72,4739160.0
351.28,4736940.0
351.812,5139390.0
352.299,4834270.0
353.015,5210350.0
353.548,4772170.0
354.102,4666680.0
354.731,4727130.0
355.251,5159120.0
355.879,4181020.0
356.591,4470620.0
357.218,4643090.0
357.821,4964710.0
358.36,4524190.0
358.851,5348560.0
359.341,5590160.0
359.833,5532230.0
360.336,5418840.0
360.866,4854930.0
361.378,4780070.0
361.965,6036080.0
362.655,5682330.0
363.398,3978960.0
363.891,5635570.0
364.404,5342310.0
364.99,5331250.0
365.704,4771000.0
366.238,5385340.0
366.743,5383230.0
367.253,5016950.0
367.776,4778370.0
368.383,4528280.0
368.852,5307000.0
369.406,4437490.0
369.929,5704150.0
370.55,4905100.0
371.059,5932090.0
371.541,5817380.0
372.06,4602960.0
372.548,5247560.0
373.068,5138020.0
374.016,5369080.0
374.531,4942640.0
375.052,4866710.0
375.575,4260200.0
376.126,4563540.0
376.755,4292180.0
377.273,4738550.0
378.017,4554560.0
378.548,4652160.0
379.051,5119820.0
379.641,5036910.0
380.146,5674470.0
380.631,5971550.0
381.148,5145810.0
381.675,4849410.0
382.21,4791570.0
382.724,5545060.0
383.252,5081140.0
383.861,5190990.0
384.373,5122050.0
384.893,4860100.0
385.433,4826640.0
385.954,5264870.0
386.669,5460690.0
387.17,5192860.0
387.694,4984470.0
388.297,5408370.0
388.827,5077360.0
389.312,5709260.0
389.82,5040280.0
390.449,5705920.0
391.007,5345740.0
391.561,5001310.0
392.383,5211990.0
392.905,4776970.0
393.428,5316590.0
394.046,4494730.0
394.899,4595180.0
395.474,5664010.0
396.153,5160870.0
396.642,5299480.0
397.111,5768460.0
397.659,5885470.0
398.191,5228420.0
398.696,6010340.0
399.405,5616230.0
399.903,5603700.0
400.457,4493590.0
401.194,6189590.0
401.672,5855500.0
402.173,5757720.0
402.662,5275520.0
403.174,5225940.0
403.761,5358240.0
404.277,5225540.0
404.798,5365730.0
405.29,5266460.0
405.833,4641290.0
406.349,5745310.0
406.829,5755470.0
407.518,5182400.0
408.098,5315250.0
408.603,4958430.0
409.073,5799780.0
409.686,5138930.0
410.236,4693780.0
410.763,4964020.0
411.278,5253560.0
412.008,4428320.0
412.516,6064520.0
413.061,4360450.0
413.565,5446510.0
414.09,5114260.0
414.621,4780020.0
415.25,4367040.0
415.799,4357420.0
416.353,4678520.0
417.097,4820730.0
417.631,4832340.0
418.179,4993340.0
418.674,5725580.0
419.268,5671800.0
419.764,5393280.0
420.273,5367120.0
420.794,5106260.0
421.357,4689880.0
421.911,5140100.0
422.522,5002930.0
423.103,5970650.0
423.594,5069270.0
424.119,5296720.0
424.718,5202700.0
425.461,4413500.0
426.167,5014040.0
426.778,5136330.0
427.488,5193140.0
428.074,4914800.0
428.702,4510450.0
429.282,5860840.0
429.81,4546660.0
430.33,5531420.0
430.834,5601960.0
431.421,5348290.0
432.229,5629410.0
432.737,4810770.0
433.251,5103570.0
433.795,5077300.0
434.312,5428860.0
435.054,4826310.0
435.608,4478460.0
436.113,5688940.0
436.624,4230640.0
437.233,5051720.0
437.781,4514530.0
438.335,5000670.0
438.836,5735900.0
439.346,5271750.0
439.848,4919130.0
440.38,5048880.0
