"rt","ions"
600.247,1.00505E7
600.794,9103370.0
601.167,8918420.0
602.683,7578120.0
604.178,1.05727E7
605.682,7620820.0
607.268,8712220.0
608.765,8379490.0
610.265,8424020.0
611.863,7612470.0
613.256,8497370.0
613.625,1.11126E7
613.999,8229010.0
615.517,7380230.0
615.921,8093420.0
616.329,7462610.0
617.84,8252680.0
619.027,7406100.0
619.429,7659950.0
619.83,7434300.0
620.629,9562250.0
621.023,8103070.0
621.422,7162750.0
622.234,1.0215E7
622.653,6650840.0
623.039,1.0196E7
624.569,8213530.0
625.037,9617910.0
626.218,8043790.0
626.605,1.03925E7
626.99,9006340.0
627.699,8001640.0
628.108,8262060.0
628.53,7352510.0
629.47,8557860.0
629.882,6791090.0
630.283,8337920.0
631.203,9057290.0
631.586,1.00277E7
632.297,8436090.0
633.348,9285670.0
634.735,8744220.0
636.263,9060080.0
637.381,1.02011E7
638.902,9319910.0
640.428,7877360.0
641.939,7672030.0
642.553,8242210.0
643.13,9364970.0
644.171,9337860.0
644.578,8317750.0
644.985,9707510.0
645.82,7840650.0
646.723,8966100.0
647.11,1.02715E7
647.803,9544520.0
649.329,9724570.0
649.9,1.01601E7
650.596,1.07504E7
650.971,1.01943E7
651.353,1.0286E7
652.767,7021270.0
653.171,8086590.0
653.577,7077050.0
654.535,7948850.0
655.355,9629310.0
655.75,8145140.0
656.149,8468120.0
657.556,8129120.0
658.032,8572980.0
658.499,9633570.0
659.544,8074080.0
660.028,8178900.0
660.521,7990440.0
661.533,8071410.0
661.946,7831170.0
662.348,8480560.0
663.382,9921240.0
664.901,7266230.0
666.291,1.07302E7
667.873,1.10876E7
669.359,1.16069E7
670.855,1.1513E7
672.442,1.03144E7
673.917,1.4445E7
675.375,1.72338E7
676.835,1.76503E7
677.248,1.85745E7
678.237,2.29878E7
678.575,2.12286E7
678.916,1.58996E7
679.8,1.79083E7
680.141,1.84092E7
680.481,1.82332E7
681.594,1.64967E7
681.937,1.95136E7
682.276,1.94359E7
683.264,1.94055E7
683.613,1.72403E7
683.955,2.14749E7
684.949,1.77309E7
685.381,1.44605E7
686.124,1.70145E7
686.478,1.52619E7
686.826,1.88723E7
687.723,1.49531E7
688.085,1.30428E7
688.454,1.44845E7
689.471,1.43513E7
689.906,1.32783E7
690.909,1.65266E7
691.259,1.79492E7
691.62,1.76404E7
692.409,1.35185E7
692.778,1.33905E7
693.572,1.18534E7
695.066,1.20097E7
696.317,1.38429E7
697.888,1.184E7
699.398,1.09495E7
700.807,1.05756E7
702.301,1.27269E7
703.339,1.18096E7
703.792,1.27539E7
704.7,1.22865E7
705.167,1.15802E7
706.656,1.07436E7
707.12,1.17525E7
708.393,1.00899E7
708.789,1.08104E7
709.178,9738600.0
709.86,1.19416E7
710.323,9159110.0
711.701,1.09124E7
712.097,9707670.0
712.488,1.08556E7
713.528,1.06245E7
714.677,1.23158E7
715.968,9004020.0
716.785,9370500.0
717.229,1.29338E7
717.605,1.29516E7
717.976,1.1053E7
718.893,9172870.0
719.281,7446670.0
719.67,8271220.0
720.14,7837170.0
720.911,9996950.0
721.292,9808600.0
721.687,7839180.0
723.071,9355260.0
723.534,1.00946E7
724.247,7704230.0
724.643,8211150.0
725.037,8405520.0
725.61,1.18203E7
726.024,8609620.0
726.429,1.01635E7
727.943,1.015E7
729.093,9680920.0
729.472,9782000.0
729.868,8341670.0
730.448,9818230.0
730.834,9111900.0
731.231,8590250.0
731.692,9417320.0
732.155,9094910.0
732.544,9484170.0
732.928,1.00661E7
733.309,9154020.0
733.702,8394470.0
734.281,9527810.0
734.737,1.06175E7
735.115,1.16877E7
