"rt","ions"
600.25,7087950.0
600.804,6587580.0
601.27,6324180.0
602.835,6203950.0
604.409,6290980.0
605.194,5616160.0
605.677,6337080.0
606.126,7353960.0
607.326,6039370.0
607.8,6071560.0
608.28,5104810.0
609.101,5689100.0
609.618,5127160.0
610.094,6140360.0
610.561,6815060.0
611.048,6112120.0
612.05,5632550.0
612.504,5611450.0
612.949,5896880.0
613.716,6310640.0
614.152,6404220.0
614.592,6484980.0
615.044,5615010.0
615.804,5230530.0
616.273,6329460.0
616.698,5450300.0
617.443,6430650.0
617.879,5500560.0
618.33,5621930.0
618.86,6348980.0
619.286,6155990.0
619.727,5706660.0
620.37,5429930.0
620.83,5401010.0
621.288,5210800.0
621.723,6352680.0
622.164,6310810.0
622.896,6339810.0
623.318,6324330.0
623.754,6255760.0
624.183,6164840.0
624.71,5648190.0
625.271,4848130.0
625.706,6197670.0
626.193,4232870.0
626.672,4867230.0
627.211,5221220.0
627.639,6438480.0
628.058,6307460.0
628.503,5043200.0
628.941,5476430.0
629.472,5510620.0
629.91,5127670.0
630.348,5600370.0
630.794,5631160.0
631.22,5367090.0
631.74,5727280.0
632.357,5996490.0
633.438,5833630.0
634.068,5853040.0
635.064,4771360.0
635.579,6223710.0
636.034,5219080.0
636.825,4925170.0
637.344,4574090.0
637.964,5971210.0
638.384,6110220.0
638.823,5156790.0
639.467,5252530.0
639.902,5435660.0
640.343,5452710.0
640.799,5247590.0
641.435,5532440.0
641.943,6283680.0
642.584,4888560.0
643.341,5062960.0
643.791,4962350.0
644.221,5067670.0
644.65,5150500.0
645.502,5870050.0
645.932,6162070.0
646.37,5128390.0
647.091,6951490.0
647.508,5909230.0
647.937,5561990.0
648.771,6730780.0
649.187,5201630.0
649.628,5347820.0
650.379,4891620.0
650.804,6445890.0
651.231,5284480.0
651.656,5890620.0
652.156,5313840.0
652.571,5066260.0
653.179,6427960.0
653.6,6011840.0
653.998,6714270.0
655.071,6005350.0
655.489,5676010.0
655.897,6560540.0
656.994,5399790.0
657.416,5027700.0
657.843,5124920.0
658.356,5437860.0
658.982,5837390.0
659.388,5659900.0
659.8,6038850.0
660.209,6374860.0
660.65,5149940.0
661.279,5679910.0
661.695,5860620.0
662.138,4917850.0
662.569,5354230.0
663.192,5633580.0
663.694,6338140.0
664.206,5379320.0
664.715,5373440.0
665.316,6041720.0
666.256,5316560.0
666.777,6036850.0
667.272,6181210.0
667.773,6198750.0
668.273,5354790.0
668.693,6486630.0
669.319,6705800.0
669.748,5551840.0
670.14,7003500.0
671.273,7209880.0
671.743,6858040.0
673.255,7752510.0
673.635,8475020.0
674.002,9349080.0
675.156,7932690.0
675.686,9092100.0
676.969,7619940.0
677.34,9767130.0
677.708,9445660.0
678.274,7632960.0
678.958,9044450.0
679.652,8407050.0
680.023,9752080.0
680.397,8792750.0
680.937,9173860.0
681.389,9577480.0
682.181,1.03207E7
682.552,8751010.0
682.938,7931120.0
683.641,9357130.0
684.021,9437170.0
684.388,9350110.0
685.318,7630370.0
685.861,8013500.0
686.326,7815240.0
686.716,8254720.0
687.111,7887680.0
687.828,7547420.0
688.218,7758200.0
688.654,6775980.0
689.243,8191520.0
689.653,6136800.0
690.04,8852160.0
690.973,8498890.0
691.357,8633880.0
691.751,7175020.0
692.155,7294070.0
692.877,6964650.0
693.358,6770380.0
693.954,6991940.0
694.364,6614270.0
694.781,6198450.0
695.375,7288810.0
695.778,7518870.0
696.6,7057090.0
697.071,7658580.0
697.468,7960620.0
697.929,8323780.0
698.398,6903780.0
699.444,7342990.0
699.855,7916120.0
700.258,7949070.0
701.433,7483790.0
701.846,6632220.0
702.246,7429810.0
703.073,6676050.0
703.485,7007150.0
703.887,6027020.0
704.958,6812570.0
705.372,7170740.0
705.79,5645400.0
706.52,5786390.0
707.038,5257010.0
707.466,5735480.0
708.074,5671080.0
708.519,5681870.0
708.942,5872080.0
709.375,6249050.0
709.793,6190230.0
710.524,5553860.0
710.968,5339260.0
711.401,5809360.0
711.807,6038570.0
712.532,5784240.0
713.038,5688310.0
713.524,6793560.0
714.582,6586340.0
714.987,6769860.0
715.397,6966310.0
715.826,5428210.0
716.807,5582380.0
717.248,5376220.0
717.676,6031540.0
718.081,7222620.0
718.478,7900480.0
719.298,7027200.0
719.794,7061520.0
720.255,8464650.0
720.636,1.00759E7
721.004,1.12713E7
721.366,1.19409E7
721.802,1.39497E7
722.162,1.43657E7
722.525,1.43552E7
723.298,1.61191E7
723.66,1.53645E7
724.023,1.44702E7
724.382,1.55488E7
724.803,1.43613E7
725.166,1.44481E7
725.528,1.47679E7
725.888,1.32087E7
726.25,1.14958E7
726.612,9922100.0
726.987,1.0603E7
727.443,9926040.0
727.815,1.085E7
728.18,1.26051E7
728.745,1.0494E7
729.186,1.16248E7
729.562,9963260.0
729.939,1.02477E7
730.319,1.00112E7
730.689,1.01E7
731.147,1.00234E7
731.513,1.18344E7
731.88,1.16059E7
732.245,1.19042E7
732.613,1.09533E7
732.984,1.06044E7
733.423,1.16849E7
733.792,1.19235E7
734.162,1.14731E7
734.527,1.12609E7
734.886,1.23008E7
735.255,1.08525E7
735.776,1.23322E7
736.131,1.33453E7
736.492,1.35921E7
736.846,1.32154E7
737.21,1.09479E7
737.57,1.13144E7
737.932,1.17063E7
738.299,1.19094E7
738.737,1.11626E7
739.097,1.18612E7
739.462,1.18836E7
739.826,1.14885E7
740.191,1.16273E7
740.557,1.1217E7
740.919,1.16555E7
741.28,1.21203E7
741.641,1.17674E7
742.01,1.1673E7
742.45,1.14656E7
742.815,1.15698E7
743.182,1.13341E7
743.542,1.28694E7
743.907,1.19882E7
744.27,1.15113E7
744.632,1.26237E7
744.99,1.22304E7
745.351,1.2585E7
745.713,1.11974E7
746.081,1.1118E7
746.444,1.24956E7
746.801,1.17995E7
747.16,1.29968E7
747.598,1.3847E7
747.96,1.37243E7
748.315,1.33966E7
748.675,1.26283E7
749.04,1.20397E7
749.407,1.17577E7
749.842,1.28708E7
750.206,1.22048E7
750.574,1.0822E7
751.018,1.16296E7
751.378,1.2324E7
751.742,1.15518E7
752.193,1.04219E7
752.559,1.23648E7
752.929,1.01905E7
753.289,1.27086E7
753.662,1.05046E7
754.037,1.01538E7
754.482,1.09233E7
754.848,9297740.0
755.222,1.05383E7
755.596,1.14383E7
755.965,1.03778E7
756.331,1.2471E7
756.695,1.25835E7
757.06,1.16145E7
757.43,1.16295E7
757.799,1.25579E7
758.16,1.29408E7
758.522,1.23068E7
758.894,1.14566E7
759.257,1.2335E7
759.627,1.12192E7
759.997,1.09782E7
760.367,1.22199E7
760.727,1.31615E7
761.089,1.30915E7
761.458,1.08529E7
761.824,1.17775E7
762.192,1.17857E7
762.558,1.10115E7
762.923,1.19206E7
763.284,1.29473E7
763.652,1.17796E7
764.096,1.14228E7
764.467,1.1209E7
764.833,1.20933E7
765.208,1.03044E7
765.578,1.14649E7
765.942,1.18447E7
766.303,1.07118E7
766.671,1.1359E7
767.117,1.01643E7
767.48,1.12108E7
767.929,9037820.0
768.305,1.03699E7
768.675,1.13815E7
769.041,1.16766E7
769.599,1.3377E7
769.991,9327770.0
770.377,9227740.0
770.753,1.16271E7
771.125,1.05679E7
771.501,1.06849E7
771.87,1.18934E7
772.238,1.1728E7
772.608,1.20872E7
772.975,1.12115E7
773.343,1.15349E7
773.715,1.08652E7
774.092,9831270.0
774.465,1.06749E7
774.91,1.07163E7
775.284,1.11025E7
775.655,1.06235E7
776.036,1.05773E7
776.479,1.14282E7
776.928,1.26144E7
777.292,1.14009E7
777.661,1.07649E7
778.108,1.07082E7
778.476,1.19807E7
778.841,1.126E7
779.208,1.15103E7
779.578,1.25424E7
779.949,9760260.0
780.316,1.18402E7
780.874,9915600.0
781.236,9219900.0
781.587,1.05178E7
781.935,1.12986E7
782.299,8628340.0
782.721,1.0261E7
783.074,1.05099E7
783.422,1.16268E7
783.767,1.19376E7
784.119,1.1396E7
784.468,1.15745E7
784.819,1.02037E7
785.167,1.14819E7
785.511,1.16898E7
785.859,1.18802E7
786.214,1.0258E7
786.659,1.16871E7
787.021,1.21644E7
787.382,1.33311E7
787.744,1.29509E7
788.107,1.34493E7
788.463,1.33861E7
788.83,1.22427E7
789.192,1.3552E7
789.549,1.38749E7
789.912,1.24161E7
790.277,1.18343E7
790.641,1.21294E7
791.0,1.36441E7
791.358,1.39041E7
791.719,1.36152E7
792.079,1.33579E7
792.457,1.02061E7
792.901,1.27355E7
793.26,1.36765E7
793.618,1.36183E7
793.974,1.44031E7
794.332,1.41886E7
794.69,1.5089E7
795.049,1.42628E7
795.408,1.41253E7
795.775,1.38785E7
796.134,1.48385E7
796.573,1.40031E7
796.927,1.334E7
797.29,1.33667E7
797.652,1.37939E7
798.2,1.30889E7
798.569,1.32926E7
798.929,1.32213E7
799.272,1.40569E7
799.626,1.61016E7
800.057,1.5202E7
800.419,1.36968E7
800.785,1.38113E7
801.222,1.37618E7
801.585,1.43408E7
801.94,1.66736E7
802.299,1.35394E7
802.657,1.47233E7
803.022,1.33752E7
803.459,1.33794E7
803.822,1.37014E7
804.181,1.40443E7
804.55,1.47935E7
804.913,1.54899E7
805.281,1.26754E7
805.643,1.35443E7
806.008,1.45288E7
806.366,1.62829E7
806.723,1.42616E7
807.155,1.25637E7
807.515,1.3848E7
807.884,1.24025E7
808.319,1.44923E7
808.751,1.4873E7
809.108,1.43971E7
809.476,1.62507E7
809.838,1.73444E7
810.192,1.49538E7
810.548,1.56141E7
810.911,1.49487E7
811.276,1.34862E7
811.636,1.52151E7
811.992,1.50948E7
812.349,1.50325E7
812.705,1.36146E7
813.144,1.41933E7
813.506,1.34297E7
813.863,1.46681E7
814.221,1.48206E7
814.582,1.46625E7
814.945,1.51755E7
815.309,1.37074E7
815.665,1.42898E7
816.026,1.431E7
816.385,1.41808E7
816.741,1.48366E7
817.109,1.38694E7
817.466,1.38389E7
817.829,1.38366E7
818.197,1.40254E7
818.551,1.57894E7
818.903,1.76859E7
819.256,1.66958E7
819.618,1.4762E7
820.161,1.66844E7
820.499,1.45482E7
820.854,1.3927E7
821.196,1.45436E7
821.537,1.36724E7
821.955,1.19214E7
822.302,1.35091E7
822.648,1.38376E7
822.994,1.34295E7
823.34,1.35788E7
823.689,1.33173E7
824.037,1.2671E7
824.457,1.29622E7
824.805,1.21349E7
825.157,1.14612E7
825.506,1.10821E7
825.856,1.08098E7
826.314,9772610.0
826.691,1.07485E7
827.062,1.1156E7
827.514,1.09992E7
827.886,1.09558E7
828.336,1.09906E7
828.713,1.12734E7
829.088,1.06459E7
829.781,1.04323E7
830.159,1.02755E7
830.532,1.09798E7
830.905,1.08243E7
831.359,1.00883E7
831.824,8776500.0
832.214,9511750.0
832.601,9273910.0
833.07,8039360.0
833.458,8909550.0
833.843,9451900.0
834.228,9467140.0
834.609,9620080.0
834.993,9397500.0
835.689,9289150.0
836.086,8556290.0
836.478,9157900.0
836.851,9954000.0
837.234,8965860.0
837.816,1.01726E7
838.194,1.03578E7
838.59,8607110.0
838.976,9454190.0
839.546,1.04393E7
839.93,1.01412E7
840.313,1.13049E7
840.698,1.04598E7
841.158,9852140.0
841.625,9917780.0
842.015,9959860.0
842.4,1.0135E7
842.79,9930040.0
843.259,9131050.0
843.837,9310120.0
844.3,9759100.0
844.755,9724010.0
845.15,9338840.0
845.612,9785240.0
846.197,9543740.0
846.671,9902630.0
847.363,9846000.0
847.751,8221110.0
848.132,9647030.0
848.602,9183040.0
849.005,7686940.0
849.404,8093330.0
850.098,9048340.0
850.487,9191710.0
850.874,9422290.0
851.338,9742650.0
851.911,8508630.0
852.309,8500970.0
852.693,9647830.0
853.073,1.04868E7
853.455,9290240.0
853.856,8082780.0
854.325,9566670.0
854.795,9233770.0
855.178,9576970.0
855.566,9235230.0
856.141,1.0916E7
856.528,9442770.0
856.934,8518260.0
857.402,9493530.0
858.103,9238650.0
858.505,8283420.0
858.896,9763430.0
859.28,1.06193E7
860.434,9317280.0
860.86,7855770.0
861.272,8022120.0
862.105,7916410.0
862.514,7445680.0
