"rt","ions"
300.155,26283730.0181885
300.564,26366614.0713501
300.922,28010243.0667114
301.282,28059074.4295654
301.641,27413956.0668335
302,28145201.4324951
302.364,27014858.6935425
302.716,28353853.3273926
303.076,28193925.8543701
303.438,27969377.4736328
303.79,27821940.4259033
304.146,27965107.8509521
304.501,27295281.2733154
304.858,26948333.453186
305.214,28926535.0093994
305.569,28668223.3848267
306.003,28029373.4174805
306.361,25420304.2990723
306.719,27403993.4002686
307.077,28519232.7807007
307.439,26776127.4278564
307.791,28415004.784729
308.154,27396946.7182617
308.514,27430713.9421387
308.877,27042363.2609863
309.237,28223763.3655396
309.595,32018492.6603394
309.955,28596796.3837891
310.313,28105479.1669312
310.675,27654190.9634399
311.039,27319206.27771
311.4,28066286.2901611
311.835,26785573.0355225
312.193,29677406.3392334
312.543,31627871.2202759
312.899,34069104.2659302
313.27,30862782.3536377
313.63,30993648.4719238
314.405,26136188.6479492
314.762,28166271.4646606
315.121,28199561.3241577
315.481,26455310.3948364
315.841,28878012.0827637
316.201,28925911.0844727
316.569,25547884.4992676
316.927,28449924.8358154
317.292,25174137.6452637
317.653,29087342.9971924
318.013,28690582.4796143
318.371,28533946.8464355
318.739,26447799.7553101
319.094,29127089.4727783
319.451,28204989.3306885
319.812,28111366.4685059
320.185,26229008.0921631
320.546,27516601.3687744
320.907,28589828.7260132
321.27,27765234.0587769
321.632,27623416.0514526
321.994,26739948.9500122
322.362,27891194.4163818
322.724,28166954.2111816
323.088,28259588.9540405
323.451,27914308.0819092
323.81,26950472.166626
324.173,27594437.5670166
324.54,27829458.0693359
324.905,28059502.1193848
325.26,28755656.7270508
325.626,26861761.7887573
325.991,28019230.576416
326.355,27753847.5411377
326.719,27119363.6246948
327.083,26800929.8894043
327.446,27741712.2163696
327.811,26732566.2880859
328.176,28261354.8762817
328.542,27525738.520874
328.906,26084820.8995361
329.273,26673931.9067383
329.638,27781657.390686
329.998,28844917.0181274
330.31,84519215.769043
330.684,34037009.9199829
331.04,25778134.0805054
332.489,27112637.3058472
333.039,26115824.8478394
333.402,28120184.3463745
333.761,27868742.993042
334.118,27619223.1166992
334.48,28428911.8895874
334.838,28023513.4710693
335.201,27846269.3834839
335.562,27397693.727478
335.923,25780685.6757202
336.286,26747536.0858765
336.645,27029575.28302
337.004,27242209.6246338
337.366,27823039.444519
337.727,27269108.9249878
338.088,26765850.7213745
338.45,30269545.5687866
338.809,27270934.9001465
339.171,25490848.9302979
339.535,27654516.9210815
339.896,28661903.0996704
340.257,27274304.4935303
340.617,28315555.1727905
340.982,27359272.8831177
341.34,27144629.916687
341.698,28705721.7225952
342.06,27724135.3911743
342.42,28602421.8411255
342.783,27842736.8110352
343.143,26994786.611145
343.505,27016254.5562744
343.867,26591270.1325684
344.232,26541958.626709
344.6,24315138.8442383
344.959,28530467.4678955
345.322,26275227.9470825
345.685,26769506.3167114
346.051,26945070.2229614
346.416,26355120.6569214
346.782,25885754.7546997
347.148,27070396.5947876
347.514,26917939.75
347.877,26365773.1029053
348.239,25913011.5901489
348.599,26478087.3736572
348.959,27252765.8721924
349.32,27074242.8199463
349.683,27432566.8604126
350.044,27245003.812561
350.406,27139003.0332031
350.765,28294021.946106
351.13,25882995.3397217
351.493,27463338.0724487
351.859,26273619.553772
352.217,26536421.456543
352.577,27021415.9019165
352.935,32466011.8885498
353.301,29208547.3226929
353.658,31008760.4174194
354.028,24602240.7036743
354.391,28963975.1548462
355.061,26261256.6793213
355.425,28224973.8226929
355.783,32652020.399353
356.34,25518025.4937134
