"rt","ions"
300.164,20856713.5449829
300.599,23154615.730011
300.983,24740993.7247925
302.129,19356480.9111328
302.523,20503340.5123901
302.897,27020709.0402222
303.566,27094523.9095459
303.938,20435811.9564819
304.339,16956976.6586304
304.932,15823851.2081299
305.335,19404753.9562988
305.727,20214136.7922363
306.112,17800170.5816345
306.503,18306779.01651
306.96,19497586.6829834
307.336,20022711.7006836
308.124,21561092.3278809
308.496,20274001.9054565
308.878,19187572.8754883
309.261,19234077.6986084
309.703,24289189.5805054
310.143,24682731.2154541
310.521,17226467.3672485
310.892,21051043.9066162
311.343,19634856.6915283
311.729,20265174.8600769
312.108,19311207.6801147
312.485,19091544.5388794
312.865,19734449.4230347
313.424,21548996.6365356
313.797,20763338.5941162
314.164,20870044.4456177
314.537,20607988.2606201
315.101,19862764.2850952
315.543,16987735.024353
315.936,17504565.4193115
316.32,17658740.3858643
316.697,17196446.1897583
317.057,26651551.513855
317.49,25542215.2722168
317.942,19851280.8352966
318.315,20963280.2752686
318.869,20642015.7387085
319.242,19259340.0286255
319.614,20187046.0668335
319.985,20753588.5755615
320.354,21018477.3394165
320.725,20094553.3343506
321.093,21666414.2091675
321.46,21733916.4332886
322.118,20475547.1796875
322.682,20153806.2108154
323.455,25973304.9385376
323.821,25564764.0840454
324.176,25752888.5215454
324.53,26421179.9521484
325.19,24819221.4187622
325.548,23018876.9467163
325.91,24129886.8886719
326.269,24184384.048645
326.703,23322993.3682251
327.066,22872675.5654297
327.494,26981996.4127808
328.038,26165963.8034668
328.464,27221638.6396484
328.891,27041168.361084
329.239,28445189.8939819
329.665,26559435.9699707
330.019,25924415.7770996
330.403,19166399.9556885
330.829,22531183.375061
331.19,21322310.3225708
331.562,19443771.0374756
331.925,20643392.4364624
332.291,19061373.0350342
332.66,21682102.4740601
333.31,27563945.1654053
333.663,25985998.1794434
334.015,25673145.1508179
334.442,27123137.878479
334.793,26154444.0266113
335.159,21670052.9638672
335.599,26013409.0420532
335.953,24756088.385498
336.309,23997391.8438721
336.763,17480244.8991089
337.307,23672927.458374
337.736,24295253.1627197
338.09,25180707.3207397
338.518,25032461.2516479
338.946,25841739.927124
339.299,25752511.6293945
339.647,26898891.7594604
339.995,28015844.0407715
340.641,27638849.173584
340.992,26471884.5740356
341.345,24853476.253418
341.696,25189746.6508789
342.233,24877743.4180298
342.658,26726855.1372681
343.079,27294824.6246948
343.499,25863961.4246216
343.921,27136140.2944336
344.344,27121215.1286621
344.691,27122330.1021118
345.114,26839823.2839355
345.462,26655786.6789551
345.812,25587899.666687
346.162,26766057.1668091
346.509,26527250.8239746
346.857,26695184.1043701
347.218,17748110.1138306
347.644,26146057.2199097
347.994,26032951.807373
348.342,22840249.9088745
348.69,22003652.1317139
349.04,25236522.3883667
349.708,18212029.932373
350.072,20377924.7433472
350.424,24983723.1582642
350.856,25251336.3493042
351.206,23613805.885498
351.558,22929774.3850098
351.925,21157874.9066162
352.288,21191236.812439
352.654,20111125.4678955
353.192,25706033.6430054
353.618,25774809.5921021
353.97,29643532.0197754
354.323,24504304.0140381
354.75,24363420.2186279
355.101,20950149.1813354
355.459,28119686.9174194
355.992,26860911.786377
356.337,26424039.2018433
356.682,26465881.0535889
357.102,25685457.9381714
357.523,27081950.4251099
357.873,24749536.5514526
358.297,27531815.6396484
358.721,25085082.5144653
359.147,25161141.8312378
359.507,22299773.7955933
359.868,20400324.0827637
360.307,19785153.0394287
360.671,21511567.9735718
361.028,27112686.6167603
361.377,26452269.2844238
361.727,26466253.7200317
362.26,19967449.2064209
362.691,19690980.2772827
363.034,28536723.1300659
363.378,27733358.4390869
363.8,27997426.7208862
364.357,18841306.2631836
364.795,20945260.9641113
365.239,25315065.5232544
365.665,27497967.9980469
366.009,28635477.4971313
366.354,26146812.6222534
366.705,25212808.3294067
367.057,24115194.6392822
367.408,24825484.7972412
367.764,23003137.2989502
368.112,26859242.583374
368.871,26976815.3840332
369.219,28429552.7194824
369.565,27569611.3027344
369.91,27938142.4355469
370.329,28608079.0189819
370.682,25147516.1385498
371.042,21682154.1982422
371.586,22705234.449585
371.945,20213704.8400269
372.315,18813690.7158813
372.683,19474264.0515137
373.04,22255810.4002075
373.572,27479279.1151123
373.995,25799652.1329346
374.347,27264055.125061
374.702,24904117.9096069
375.054,24564455.0357056
375.48,24935433.7289429
375.826,22592874.3928223
376.172,27836199.9241333
376.518,27117647.9693604
377.161,29404310.8161621
377.588,20411214.8614502
377.944,22667722.3887329
378.3,22194268.6454468
378.838,24684975.1167603
379.264,25222130.8305664
379.608,26420490.3039551
379.953,27260482.8078613
380.371,27764789.3678589
380.903,27285058.1880493
381.246,28199738.6317139
381.59,29290766.4376831
382.01,25106359.2288818
382.355,26398248.8995361
382.698,27998806.2410889
383.128,26502227.5397339
383.484,22124323.5264282
383.834,23571866.0912476
384.266,19694947.0844727
384.701,20560453.225647
385.051,23437614.4969482
385.401,27331390.836853
385.829,23132041.8756714
386.37,23259421.0782471
386.798,23488445.2252808
387.16,21249011.7094727
387.515,27904855.4314575
388.155,29201342.6960449
388.498,27926188.8692627
388.915,27448593.8882446
389.256,28239650.7644043
389.597,29346011.4873047
389.937,29573330.3612671
390.295,20386122.4320679
390.844,21271198.5571289
391.202,21486447.5521851
391.546,26876124.9232178
392.193,24920936.0014038
392.543,28120856.5527954
392.887,27769297.2289429
393.231,26114776.0410767
393.577,25872566.2396851
393.934,21271371.3713989
394.362,22539726.0076294
394.799,21023933.3430176
395.162,19188321.092041
395.523,19796074.5287476
395.888,18441461.086792
396.248,20219714.3305664
396.605,20360839.9838867
396.958,23123211.1895752
397.303,25210621.1177368
397.723,26177877.4764404
398.147,25432798.2672729
398.494,24648946.2162476
398.922,21959415.9127808
399.339,27893354.2462158
399.685,26420196.1106567
400.346,19869070.7384033
400.776,22382631.9352417
401.309,26847185.0015259
401.727,26667392.4324341
402.075,25206588.1185913
402.421,24976883.8562622
402.769,23954772.28125
403.118,24284236.3828125
403.542,25737551.5725098
403.888,25169856.8071289
404.234,26089886.6798706
404.576,22607173.9962769
404.925,22525931.8568726
405.267,27784123.7545776
405.798,25558845.9986572
406.219,26043766.3302612
406.565,26673543.8442993
406.983,26794600.5218506
407.327,26366059.4356689
407.669,26416746.2680664
408.01,27913319.1415405
408.367,22565844.7830811
408.717,27954306.9463501
409.061,26495944.3842163
409.408,25273477.8377686
409.825,26461416.0216675
410.169,25750181.4363403
410.514,26028879.6693726
410.865,23243030.9210205
411.287,24720798.7808838
411.635,27767189.6685181
411.976,23900227.4656372
412.851,24798391.3189087
413.269,28031108.5425415
413.683,28791099.0675049
414.03,24504209.1035156
414.378,26029232.9290161
414.719,24983186.3052979
415.072,23145091.0279541
415.417,28721879.095459
416.171,27942301.3575439
416.513,27709163.0440063
416.855,28283658.9274292
417.269,30589399.5478516
417.605,23369451.8139648
417.953,27130287.6278687
418.296,28524289.3771973
418.71,29734788.7220459
419.242,26479187.7720947
419.589,22832202.9920044
419.932,28530931.1471558
420.798,22364413.7954102
421.145,25437431.2601929
421.488,27879766.7504883
421.907,26933269.2216797
422.326,24452775.9135742
422.668,27455017.3937988
423.011,28265531.2434692
423.54,26230909.5073242
423.883,26889183.8776855
424.303,26241501.5259399
424.739,20202884.6734619
425.269,28795516.2680054
425.608,29108147.902832
425.957,25711669.9664917
426.374,28609629.1241455
426.716,27662568.5009155
427.061,25033633.3777466
427.407,26800301.2182007
427.75,24730313.65979
428.09,28539501.6575928
428.431,27395539.677002
428.848,25930829.3657227
429.493,26519642.0700073
429.835,26938303.5309448
430.187,23249412.5411987
430.826,29743929.7659912
431.165,28939460.0516357
431.521,26653350.4588623
431.862,28793248.552124
432.207,25568579.0386353
432.551,27351334.3233643
432.968,27212164.0791626
433.31,28196347.1943359
433.649,28319951.4002686
434.18,26671583.5513916
434.523,25912467.171936
434.866,27182893.4105225
435.282,27658959.885498
435.625,22344335.3548584
435.971,25582193.5712891
436.313,27360081.5497437
436.862,26539339.6415405
437.206,25268590.4395142
437.55,26375621.4257812
437.889,28598160.4320068
438.23,27854574.53125
438.874,26015247.7067261
439.286,31026011.0440674
439.699,30697727.2945557
440.038,28919366.2897339
440.377,28369179.4476929
440.715,29261379.6221313
441.056,29850675.359314
441.696,28251623.3319092
442.037,25860750.6241455
442.381,26149189.6925049
442.797,28754950.1422729
443.137,28893405.8863525
443.482,30601510.1779785
443.895,29744853.7438354
444.312,26774201
444.669,27753663.7541504
445.015,25703115.1243896
445.356,22831714.0081787
445.702,27336871.2200317
446.055,22490550.9745483
446.914,28657245.7283936
447.256,27371589.8695679
447.597,28884222.5490723
448.013,28844778.5643921
448.352,29918410.5054932
448.704,22832995.9359131
449.121,29165838.9217529
449.459,31490170.7358398
449.797,31378929.0236816
450.133,31231079.0421143
450.556,26094730.7581787
450.977,27872496.7492676
451.389,31471361.5484619
451.736,23600403.2194824
452.08,26810707.0084839
452.42,29338134.2354126
452.761,27777125.7564697
453.181,27066923.0334473
453.597,28132115.3804932
453.941,22410942.2254028
454.361,27174720.1376953
454.775,29145916.8108521
455.191,28322466.6895142
455.533,28653478.1317749
455.873,29519383.7947998
456.295,26160725.8915405
456.635,29971021.9216309
