"rt","ions"
300.191,16464077.2899475
300.642,18119571.59552
301.003,18158767.5992432
301.366,17306147.1750488
302.02,18144090.0661011
302.383,17617363.1274414
302.734,18087541.0054932
303.09,19643950.9111328
303.524,17975880.5986938
303.959,16213588.1825562
304.324,16349216.6317139
304.692,16169087.1749268
305.131,16787776.8270874
305.491,17493485.4109497
305.852,16480363.3071899
306.215,18909441.9902344
306.569,19310973.2979736
306.924,17543363.43573
307.286,16725043.9053955
307.638,18992105.7852173
307.992,17787155.2002563
308.344,17636904.2467651
308.694,18430031.2368774
309.047,19416101.0087891
309.394,19077611.7240601
309.747,17733651.0935059
310.102,18013256.5622559
310.46,16706187.3704224
310.819,17070689.255127
311.176,18111717.293457
311.537,15632409.2695923
311.898,16329949.6490479
312.252,17731544.5498657
312.607,16696279.0738525
312.965,15582673.0441284
313.323,16329343.6809082
313.756,16275094.8562012
314.115,16051917.6629028
314.479,16753378.2004395
314.834,16879309.9019775
315.266,16795636.9174194
315.697,16440976.2081909
316.053,17371542.5925293
316.406,18139360.2130127
316.764,16223306.9873657
317.121,16432142.1763916
317.474,17929175.1890259
317.829,16210524.0445557
318.183,17123764.7788086
318.536,17760245.0175781
318.888,17662337.074646
319.241,17583724.248291
319.598,16823239.4171143
319.957,16202506.1574097
320.313,16943650.8396606
320.743,17407142.8623047
321.168,18382546.7627563
321.519,17366563.7526855
321.872,16884879.9501343
322.227,16038149.6235352
322.66,16389459.1768188
323.011,17598919.2896118
323.362,17449229.0369263
323.713,17883198.366333
324.064,17408762.277771
324.419,16817125.7030029
324.774,16948487.496521
325.134,17320094.7106323
325.485,18207827.913147
325.836,17228879.8694458
326.19,17145130.144104
326.545,16972786.6567383
326.9,16597278.7784424
327.252,17596317.8395996
327.604,17125206.8902588
327.956,16992950.1263428
328.309,17449576.1000977
328.663,16808505.4363403
329.016,16783024.4368896
329.367,17857766.2593994
329.79,17665817.6489868
330.141,17920878.1209106
330.488,18822101.5133057
330.908,19112927.3101196
331.252,19452157.5262451
331.595,19166549.6010132
331.943,18567814.1151733
332.48,17169968.8984375
332.833,16364848.0396118
333.186,17197079.3821411
333.538,16939551.2626953
333.888,17291035.1340332
334.24,16737896.8979492
334.595,16260664.4396973
334.947,17162989.8568115
335.299,16827027.5603027
335.651,16881583.8618774
335.999,16263482.4298096
336.348,17657603.7147827
336.697,16709005.303833
337.048,16831490.1699829
337.402,16445856.6431274
337.752,17803214.9350586
338.18,16076424.5043945
338.53,16817274.6893311
338.887,15787266.4080811
339.315,16733177.3926392
339.667,16501241.8864746
340.02,16664556.0938721
340.367,17193946.4937134
340.79,17985973.1244507
341.139,17511238.3479004
341.489,17732734.0363159
341.839,17653072.3061523
342.185,17852771.8817749
342.547,17146639.8771362
342.897,16850979.2734375
343.248,16709602.114502
343.599,17035688.7330933
343.949,17025830.5539551
344.374,18058864.534668
344.726,18046234.505127
345.081,15926988.4125977
345.438,16273305.7469482
345.786,17964143.6300049
346.125,18905904.5269775
346.475,16500732.5526123
346.828,16269168.302124
347.178,16928501.3959351
347.603,17884043.1986084
347.958,15277995.0092163
348.311,16331165.2017212
348.664,16504390.9741821
349.017,15979638.1539917
349.366,17480333.3166504
349.793,16625268.0948486
350.142,17215355.0239868
350.495,17099596.0323486
350.845,16975152.0053101
351.196,15742326.9772339
351.548,16927253.0727539
351.9,16374596.6241455
352.251,16965223.4849243
352.602,17029851.5197144
