"rt","ions"
300.315,9993307.03120422
300.832,11478647.1987305
301.178,12701229.609375
301.518,12529921.9172363
301.859,12357585.7964478
302.198,13009918.9810181
302.536,12724930.456543
302.877,11798059.055542
303.218,12561779.2709351
303.634,12715085.0783691
303.976,12090410.3359985
304.319,11778285.5559082
304.66,12250501.5739136
305.001,12423217.0750732
305.34,12711348.0813599
305.683,11720716.6376343
306.211,13181872.4096069
306.552,12248255.6934814
306.894,11955423.2325439
307.235,11908458.3240967
307.578,11623589.3204956
307.923,11625492.5912476
308.27,10987325.0317993
308.617,11392913.4462891
308.959,11714097.4517822
309.306,11007726.9115601
309.649,12092987.0889893
309.991,12296708.0328369
310.407,12238670.4378052
310.748,12423157.6984863
311.092,12036262.0393066
311.51,12421683.1152954
311.853,12224486.5541382
312.199,11445204.9093628
312.547,11400141.1221924
312.888,13395769.7966309
313.306,12245044.6242676
313.651,12427616.637085
313.994,11817486.7182007
314.334,13001882.0807495
314.676,12615444.9736938
315.018,12405689.4214478
315.359,12545421.979187
315.698,13136398.9053345
316.038,13058584.9385986
316.377,13783574.9523926
316.716,13526748.9105225
317.132,12559182.5552979
317.472,13225996.8046265
317.815,12178139.5010986
318.156,12410517.2307739
318.499,12589332.2093506
318.843,12107142.4880371
319.189,11906221.8435059
319.611,11623754.9914551
319.955,12057491.8381958
320.301,11799076.3450928
320.644,11944747.8737183
320.988,11838294.3866577
321.332,12479168.3233643
321.676,12361163.3812256
322.018,12739590.2769775
322.438,12242935.4437866
322.782,12497100.3989258
323.126,11676038.9785767
323.551,11420832.0636597
323.895,12730403.0983276
324.24,12474229.0664673
324.581,12597629.2490234
324.927,11594141.5834961
325.349,12015614.2376099
325.697,11123481.5141602
326.046,11479659.7709351
326.394,11585701.3118286
326.743,11369851.6446533
327.091,11390202.710083
327.439,11651095.1981201
327.786,11855830.2918701
328.131,12623772.9335327
328.475,12306176.2548828
328.818,12763665.8634033
329.162,12297057.6262817
329.506,11848283.78125
329.855,11585401.6467896
330.279,11556104.3203735
330.702,11345490.3729858
331.127,11074518.7403564
331.477,11088583.1138916
331.828,11412215.145813
332.251,11784882.1065674
332.596,12054791.6589966
332.94,12232232.3345947
333.284,11903336.2373657
333.633,11391755.5670776
333.981,11588512.3515015
334.33,11370773.0570679
334.678,11310570.9332275
335.1,11683272.8892822
335.447,12046565.9954834
335.787,14775035.7267456
336.127,13775164.4359131
336.47,12873505.3428345
336.812,12858263.3811035
337.154,13078816.6019287
337.494,13538928.2672119
337.91,12755896.1171875
338.256,12077072.864624
338.601,11815387.9969482
339.022,11822439.5849609
339.446,11644171.8199463
339.794,11525611.6901855
340.143,11376217.682251
340.491,11396344.2463379
340.837,12267753.1178589
341.181,12813245.7567139
341.524,12628985.3728638
341.867,12111091.2056885
342.214,11594992.1478882
342.564,11791188.7972412
342.91,12280582.3217163
343.255,12268789.5325317
343.598,12785589.1860962
344.129,12648732.9537354
344.474,11802697.3158569
344.82,12004881.7022095
345.169,11350503.6958008
345.517,11658971.8840942
345.863,11577721.9176025
346.211,11320377.7202759
346.557,12364265.5014648
346.899,12786196.012085
347.241,12251731.6875
347.588,11215430.3156128
347.938,11824750.9550781
348.359,12717286.5308228
348.701,12549666.0584106
349.048,12081571.1238403
349.394,11635731.991333
349.742,11193801.4432373
350.093,11274924.992981
350.444,11205394.2617188
350.866,11620336.8873901
351.213,11901306.9689941
351.561,11881573.0822144
351.91,10930358.977356
352.259,11114642.7190552
352.609,11593103.7349243
352.956,11671163.2095947
353.302,12473776.9864502
353.648,11501424.9736938
353.995,11449868.9246826
354.343,11843972.5831909
354.693,11280554.7174072
355.042,11588068.0482788
355.39,11615820.8544312
355.738,11548199.0296021
356.161,12040457.197876
356.505,11795062.9608154
356.85,12343880.1245117
357.195,13002188.2486572
357.539,13211647.8706665
357.882,12972255.1708984
358.222,13292532.0244751
358.564,13111512.055481
358.909,12398192.7935181
359.257,11446474.2762451
