"rt","ions"
300.265,12142589.8537598
300.769,12207188.8260193
301.124,13809423.6720581
301.655,15081502.7496948
301.998,15670179.3215942
302.335,17335316.277832
302.673,16967206.4890747
303.016,15716201.7903442
303.359,15188900.3690186
303.704,14856601.5908203
304.051,13595463.678833
304.404,13251235.7913818
304.753,14611526.8158569
305.099,15173447.5315552
305.442,15131182.4907227
305.787,14470527.6065063
306.133,14626538.7845459
306.48,14140780.6181641
306.827,14440860.0778809
307.249,14727258.1611328
307.596,13675337.0435181
307.945,14244956.6853638
308.29,15119646.9829102
308.636,14534655.9656982
309.056,15252555.0203857
309.403,14492792.7498169
309.75,14439157.1640625
310.173,14053799.7979126
310.521,13588442.3492432
310.874,13514445.9282837
311.219,15106914.3389893
311.564,15874038.2075806
311.908,15223825.2315063
312.256,14204637.3865967
312.604,14338760.7017822
312.95,15032178.4735718
313.296,14981866.8635254
313.64,14690380.7818604
313.99,13710883.2366333
314.413,15233674.1247559
314.758,16550868.8795166
315.097,18601613.3308716
315.434,16936633.0454712
315.771,17038780.913147
316.112,16139261.9072876
316.455,15362605.8533325
316.8,15110028.8625488
317.332,15328439.7581787
317.681,15351585.1175537
318.03,14311131.4407349
318.376,14854084.9034424
318.724,13972851.8930054
319.256,15504720.1811523
319.598,16474102.272522
319.94,16476875.7555542
320.281,16875472.1193237
320.622,16442536.7644043
321.04,16104380.8739624
321.382,16303583.3483276
321.727,15686873.5409546
322.148,15590231.2401733
322.495,15678876.7410278
322.841,14943493.3505249
323.185,16160348.4009399
323.526,15856016.8830566
323.868,16807767.7429199
324.206,16877455.4353638
324.549,15602265.1185913
324.892,15805876.1008301
325.314,15899011.9055176
325.656,15985276.6345825
325.998,16801665.6184082
326.341,15517238.0949707
326.686,15408482.0256348
327.034,14451451.637146
327.385,13284378.6239624
327.814,13744479.644043
328.167,14044825.0751953
328.518,13701270.7012329
328.869,13485313.9112549
329.22,14429593.1154785
329.568,14355030.5767212
329.917,14151015.2841187
330.265,15097901.6110229
330.609,15613509.8581543
331.149,14002059.1605835
331.498,14192683.1893311
331.847,14840101.5974731
332.194,14913657.7162476
332.539,15623468.7871094
332.882,16084623.2479248
333.223,17019351.2391968
333.641,15542955.361084
333.987,14741124.229187
334.336,13856806.1079102
334.686,13949117.3562012
335.033,15425992.715332
335.381,15158106.2545776
335.801,16308166.7894897
336.144,16479669.8765259
336.487,15751197.0029297
336.83,16237730.258667
337.175,15873331.2284546
337.523,14407138.6989136
337.872,14611749.4692993
338.293,15359790.505188
338.639,16003199.0877686
338.98,16910295.9442749
339.32,16650894.1748047
339.663,15119690.3486938
340.084,15281716.37677
340.432,14538888.5336914
340.778,14971581.8873901
341.123,16248849.8936768
341.468,15173492.56073
341.814,15480623.1657104
342.157,16404639.862854
342.501,16843244.4667358
342.844,15631030.6109619
343.263,16163851.1670532
343.605,16567545.5718994
343.953,15359854.9541626
344.301,14220171.2113647
344.724,14928368.5493164
345.07,15076780.3365479
345.417,14844451.8708496
345.84,14771134.1496582
346.188,14906939.9451294
346.534,15376956.7505493
346.88,15647528.3270874
347.227,14646297.3266602
347.578,13562961.4490967
348.118,13839928.4364624
348.469,14211944.8897705
348.82,14433618.3798828
349.169,14412531.5630493
349.517,14423039.4185791
349.866,14481365.1548462
350.215,14079911.1596069
350.564,14018847.2218628
350.913,14160577.9599609
351.263,14618933.1827393
351.613,14112597.1293335
352.037,15049163.4502563
352.381,15688611.2418213
352.728,15151964.6481934
353.075,14989755.4990234
353.421,15104452.7421265
353.769,14741606.3504639
354.118,14641356.2849731
354.464,15624601.6824341
354.809,14912138.4517212
355.342,15388015.2781372
355.689,14559633.3826294
356.037,14571628.7116089
356.386,14294805.1141968
356.734,14308677.1642456
357.083,15288176.9397583
357.613,16309781.4455566
357.956,15984618.5307617
358.302,15144447.640686
358.653,13747834.0875854
359.005,13363775.1016846
359.356,14150544.6997681
359.706,14329786.6602173
360.054,14645777.8885498
360.401,14833915.815979
360.941,14193588.0411377
361.292,13855053.7815552
361.641,14074304.8823242
361.993,13674349.7277832
362.343,14060001.5095215
362.693,14099504.8604126
363.042,14931127.9050293
363.391,14392822.6210327
363.741,13989056.8978271
364.09,14363109.3596802
364.438,14671091.7476196
364.783,15500141.5518799
365.13,15226191.116394
365.472,15917431.8656006
365.816,16176945.3505859
366.16,16235842.7113647
366.502,16419230.3011475
366.92,16465171.9691162
367.264,15902783.5109253
367.608,16362978.7219849
367.951,16279515.2747803
368.37,16048227.3015747
368.712,16805830.9274292
369.052,16943836.9888916
369.394,16468449.9855957
369.736,15689489.0036621
370.156,15713685.5835571
370.499,15848165.3326416
370.843,15738036.7174683
371.188,15439409.3258667
371.535,15032584.9458008
371.88,15444031.5166016
372.421,13979865.4534912
372.771,14197379.9805298
373.122,14286787.6082153
373.546,14818385.3330078
373.896,14944246.3182983
374.241,15310046.7487793
374.589,15036247.28302
374.939,14700817.8912354
375.364,14227856.8997803
375.713,14362916.177002
376.064,14310784.5099487
376.413,13398183.4633179
376.768,13173347.8150635
377.118,14805171.6415405
377.541,15287761.3900757
377.887,15378290.2810669
378.232,15486853.7040405
378.65,16160905.9665527
379.066,16850723.6326904
379.411,14648466.6245117
379.76,14128894.8091431
380.111,14391347.6699829
380.458,15089402.4713135
380.803,15329016.9595337
381.149,14216137.0877075
381.498,14520688.7349854
381.847,13968266.9215088
382.2,13376129.8568115
382.546,15900268.5909424
382.893,14719669.4386597
383.317,14587411.2081299
383.67,13350325.5845947
384.021,14305118.1705933
384.368,14268251.1395264
384.717,14530512.0771484
385.068,13447495.6881104
385.422,12823388.133606
385.774,13684793.203125
386.125,14495401.5654297
386.474,14295807.8931885
386.822,14516668.6119385
387.245,14662920.3887939
387.593,14772360.5436401
387.943,13697520.7833252
388.297,13576765.5715942
388.651,13111525.538147
389.005,13294664.4735718
389.432,13847235.1591797
389.781,14413942.954834
390.131,14108993.5405273
390.482,13548998.6642456
390.831,14563898.788208
391.179,14936158.9994507
391.529,13530905.8521729
391.881,13973747.8901978
392.23,14540994.6685791
392.655,14128232.496521
393.001,15063909.4182129
393.345,15792180.2211304
393.692,14029616.925354
394.042,14566664.9905396
394.466,14167092.9578857
394.818,14029104.8260498
395.165,15002296.7073975
395.513,14524310.7886353
395.863,14367757.5213013
396.211,14709124.9780273
396.56,14350198.838501
396.912,13552420.1445923
397.257,15134624.7579346
397.606,14561391.5512695
397.953,14788108.9906006
398.317,12250383.6026001
398.673,12849979.9105835
399.024,15502006.3769531
399.446,15117439.3650513
399.795,13628530.3754883
400.142,14967116.2281494
400.489,14897995.4381714
400.835,15623523.8880615
401.18,15006650.1411133
401.527,14301518.7176514
401.876,13985906.3739624
402.226,14001481.9058838
402.576,14113729.2147827
402.928,13616245.6116333
403.281,13425488.6095581
403.707,13533118.7696533
404.133,14346918.4590454
404.48,14764243.1865234
404.834,13876915.1315918
405.18,14091291.2538452
405.525,15387955.5933838
405.95,13090809.9119263
406.305,13011751.9172974
406.674,11423541.6619263
407.041,11089592.7445679
407.414,11463035.6039734
407.781,11381926.0938721
408.14,12586505.2136841
408.504,11603857.4122314
408.875,10605351.0952759
409.251,9782674.72058105
409.619,11414359.8148193
409.98,11513840.5338745
410.352,9841754.8404541
410.798,10374134.4224243
411.164,11214366.2780762
411.527,11907899.7039185
411.869,12081883.56073
412.219,13288204.0853271
412.564,15103430.0054321
412.911,13594411.4691772
413.335,13755194.7932129
413.683,13599168.3256226
414.034,12700884.114624
414.388,12349217.6871948
414.739,13480549.1082764
415.089,13593663.9640503
415.437,13518240.6084595
415.79,12388983.0255127
416.217,12935618.944519
416.759,12485021.9695435
417.112,12271262.5749512
417.464,12375295.5369873
417.819,12306739.6356812
418.175,11884278.1608887
418.716,12104380.819458
419.068,12615855.4028931
419.418,13152897.6326904
419.768,12960005.8285522
420.19,12952062.9694214
420.615,12852790.7489014
420.963,13079278.6749878
421.384,14348194.923584
421.728,13928491.7341919
422.075,13670850.6763306
422.419,15016739.8309937
422.839,14611642.1116943
423.182,14340843.630188
423.526,12949396.4413452
423.873,13470814.0708008
424.219,13340384.7456665
424.569,12235074.6116943
424.921,11896315.3282471
425.272,12319181.9996948
425.927,12708884.4155884
426.278,12329279.4587402
426.63,11979116.8752441
427.168,12808710.8045044
427.52,12007012.5007324
427.874,11618178.25354
428.226,12438212.6046753
428.573,12619056.8803101
428.925,12017140.5189819
429.277,11919013.0966187
429.709,11385990.5418701
430.067,11148143.2683105
430.421,12324440.5444946
430.776,11684806.3264771
431.128,11492870.4334106
432.003,12303435.8353271
432.353,12604966.1362305
432.702,11549738.0596313
433.057,11170144.9745483
433.413,11201953.5422974
433.956,11207707.0900879
434.311,11313554.4641724
434.668,10738065.1184082
435.026,10452782.5474243
435.46,11024690.8480835
435.818,11317092.3456421
436.246,12354978.916626
436.595,11693459.2750244
436.944,12262727.6184082
437.294,11656365.9884644
437.646,11917639.5461426
437.997,10762264.8499146
438.537,11662132.5447998
438.964,11777231.6974487
439.314,11824291.8914185
439.664,11263307.7338257
440.093,11782319.9937744
440.519,11771305.4860229
440.875,10791039.4234619
441.229,11280770.4541626
441.655,10929560.4918823
442.01,10806314.8311157
442.368,10451726.6171875
442.723,10865799.7786255
443.151,11052906.703064
443.501,11457700.6522827
443.852,11325410.5409546
444.283,10584768.7052002
444.64,10320871.081604
445.065,11644857.0728149
445.417,11012960.6837158
445.771,10951351.6513062
446.125,10613510.258667
446.669,10918544.2113647
447.211,10785754.8815308
447.565,11658377.6201172
447.915,11375312.2305298
448.459,11088773.8858643
448.81,11411550.2432251
449.164,10727908.8977661
449.593,11575578.4256592
449.944,11225903.2318726
450.296,10736618.157959
450.648,11240003.4979248
451.001,11740528.9833374
451.354,10787615.8829956
451.781,11560768.3120728
452.136,11106545.4172974
452.483,13097676.9022827
452.901,12704920.7050171
453.251,12706273.0651245
453.604,12645072.6035767
453.952,11783672.9318848
454.609,11224859.3920288
454.961,11027428.3242188
455.313,11818473.1048584
455.664,12304428.9321899
456.018,11600911.7337036
456.559,11929515.1248169
456.911,12169622.7640991
457.259,11981945.9429321
457.605,12288129.5914307
458.036,10964845.3568115
458.391,11267889.3204346
458.75,10702058.4552002
459.179,11845137.8267822
459.604,13104315.8699341
460.034,12052945.0581665
460.382,12641705.9631958
460.734,12386541.2722778
461.085,12867111.520813
461.436,12100150.8637085
461.863,12046017.9078369
462.214,12483357.5414429
462.565,12220745.2161865
462.92,12819879.1676636
463.349,12747726.9963989
463.699,13188302.1798706
464.051,13875704.8098145
464.404,12485220.4055176
464.757,12951410.894165
465.183,13054619.6066895
465.605,13530280.6174316
466.03,13449518.5075073
466.377,13841616.3878174
466.721,14464821.4936523
467.065,15184282.8070068
467.41,16024990.2244873
467.753,15721915.618103
468.096,15590962.3853149
468.513,15744530.0477295
468.857,14620248.5795288
469.206,13628546.8021851
469.63,13842919.6485596
469.982,13168930.8104858
470.336,12573885.3259277
470.69,12022862.5499878
471.041,13314002.531311
471.468,13433294.975647
471.82,14075327.4263916
472.169,13659990.5186768
472.52,13415246.9299927
472.874,12851052.0708008
473.304,12862884.8407593
473.654,13219088.717041
474.007,13333768.3565674
474.358,13779529.8793335
474.704,15493058.2513428
475.05,14613873.5198975
475.396,15206644.5578613
475.818,14323063.9394531
476.166,14071539.1467896
476.518,13666397.6872559
476.869,13475892.8847046
477.224,12536274.7323608
477.579,13017719.4846802
477.935,12476170.1478271
478.29,13063257.6286011
478.65,11865089.0473633
479.007,12481457.7681885
479.432,13294288.8452759
479.784,13672545.7796631
480.13,14069613.7243652
480.551,15092651.9015503
480.897,14490084.5761108
481.251,13292802.9988403
481.603,13829097.6939697
481.95,14559424.9747314
482.298,14589287.9261475
482.646,15465810.9592896
482.994,14273794.7374268
483.346,13151355.6564331
483.699,13500271.1953735
484.049,14612728.9196167
484.476,13840227.9874268
484.826,13996160.59729
485.175,14461706.2699585
485.525,13982101.7745972
485.877,13472298.3271484
486.227,13882416.6142578
486.579,13400800.8892212
486.928,14860522.8606567
487.273,15698424.524292
487.619,15410859.887146
487.962,15738932.5656738
488.307,14922339.5559082
