"rt","ions"
300.252,13110740.1727448
300.759,11734225.5822144
301.11,12671604.3393555
301.533,12303435.3338623
301.879,12905789.7786865
302.222,13389659.9915771
302.567,12873010.7127075
302.913,12410281.4009399
303.256,14019309.9743042
303.597,14099292.2658081
303.936,14211441.4366455
304.28,13133506.168457
304.698,13617056.55896
305.042,12443434.3884277
305.39,12587996.7251587
305.736,12824543.1708984
306.084,12232380.7165527
306.428,13584057.4280396
306.769,14060512.3369141
307.11,13998517.454834
307.456,12424097.3986816
307.803,12652033.6971436
308.149,13421165.2261353
308.495,12940522.9574585
308.837,13861361.9581909
309.178,14469667.1499634
309.519,14112086.8125
309.86,14803310.9312744
310.201,13724363.5333862
310.547,12645781.2530518
310.89,14508208.8239136
311.23,14899772.5083618
311.649,13529739.4614868
311.994,13412034.2883911
312.338,13441332.0852661
312.682,13443979.2994385
313.103,13318375.2843018
313.449,13139070.5744019
313.796,12357403.1723022
314.143,12634546.8197021
314.49,13106584.4380493
314.835,13709680.348938
315.18,13181465.6781006
315.525,13508191.597168
315.867,14560645.8370361
316.212,13687795.7012329
316.555,14447584.8115845
316.897,14484903.8638916
317.234,15223060.2286987
317.575,13880911.1630859
317.917,14393490.3386841
318.257,14489818.3727417
318.787,14361474.3769531
319.129,14335789.2650146
319.475,13129277.5999756
319.823,12243780.6149292
320.172,12804813.7261963
320.522,12577426.3010864
320.871,12922644.5462036
321.218,13282736.6521606
321.565,13682994.3165283
321.91,13583200.8850708
322.257,13284332.6463013
322.602,13632088.8574829
322.948,13585198.8046875
323.293,13650727.6723022
323.639,13227353.59552
323.986,12679464.8508301
324.335,12454017.9699097
324.683,14011396.7253418
325.028,13680335.2775879
325.373,13752761.1643677
325.796,13318397.7907715
326.142,13238402.3849487
326.488,13671381.5406494
326.834,13667926.5941772
327.177,14443315.0258179
327.521,13844040.4655151
327.867,13021573.5001221
328.215,12603330.2943115
328.564,13006630.5976562
328.986,13322668.9973145
329.332,13177210.6115723
329.679,12432719.9595337
330.03,13198972.3803711
330.378,12995187.6292114
330.724,13183205.9073486
331.068,13952431.039856
331.412,14461280.7248535
331.753,15182525.9532471
332.093,14460084.739624
332.432,15600174.0839233
332.773,14933006.1914062
333.119,12761190.4454346
333.467,12424624.9603271
333.816,13564848.3886108
334.16,13690553.4225464
334.505,14048024.3012695
334.847,14545913.8973999
335.192,13943652.6437988
335.535,14695397.2530518
335.879,14000973.5387573
336.226,12964300.9189453
336.575,12686937.4734497
336.927,11862386.8399048
337.28,12074637.34375
337.627,13215316.2802734
337.974,13740883.6347046
338.402,11654248.7174072
338.751,13473801.9232788
339.095,13989411.652832
339.437,14133652.1030273
339.779,13948849.8093262
340.122,13970197.8135986
340.54,14327105.8398438
340.883,14608076.1768188
341.224,14372781.5786743
341.567,14506667.5730591
341.91,14314156.072998
342.33,13617918.5626831
342.864,14290081.6474609
343.204,15604535.4788208
343.544,14790756.4552002
343.884,15232133.6907349
344.223,15799317.9081421
344.562,14970149.9642944
344.904,14602299.6949463
345.246,14621080.1453247
345.586,16218670.5862427
345.927,15289222.9250488
346.271,15034806.43927
346.615,13881033.9332886
346.961,13329210.3294678
347.309,13250323.0633545
347.657,12916596.9068604
348.007,12771998.0726318
348.355,13390661.8747559
348.7,14111965.9586182
349.044,13695469.9172363
349.392,13210605.6691895
349.741,13158609.4472656
350.088,13246403.9483643
350.436,13089433.1922607
350.785,12853923.0009155
351.134,12730717.2020874
351.483,12677052.029541
351.828,14057046.1582031
352.176,13052042.9086304
352.521,14262431.4544678
352.863,14789825.647644
353.198,16271134.0620117
353.612,15465964.1109009
354.143,14533977.5617065
354.561,13936670.12677
354.905,13720752.7458496
355.253,12557650.1296387
355.604,12536052.3563843
355.954,12925180.1847534
356.305,12333436.0348511
356.654,13040201.5097046
357.002,13237578.3792725
357.345,15139455.1466064
357.686,14804500.2650146
358.102,14518863.9373779
358.444,13996834.1602173
358.789,13518661.24646
359.134,14228101.5654907
359.478,13776192.7150269
359.828,12006063.8120117
360.178,12552464.7659302
360.524,13797375.7910767
360.869,13133267.2103271
