"rt","ions"
300.324,10084708.423172
300.815,11749630.6827545
301.157,13590378.0695801
301.496,12645045.822937
301.917,11515943.0317383
302.259,12163485.6814575
302.6,12744320.3405762
302.94,12909771.9388428
303.579,12613674.946228
303.92,12345004.3474121
304.265,11647875.6930542
304.682,13103984.5903931
305.023,13680416.2492676
305.36,13827855.3641968
305.698,13442128.4065552
306.037,12905813.3240356
306.379,12790204.3615723
306.719,12978336.7493286
307.06,12802571.520752
307.399,12730845.2420654
307.741,11912536.939209
308.087,11548844.7636719
308.429,13015223.2451782
308.845,13051129.1827393
309.262,12543856.2863159
309.605,11754904.84552
309.949,12292132.6764526
310.293,12226530.8681641
310.639,11432745.0535278
310.987,11536863.5703735
311.332,12643341.3966064
311.676,12086706.6807251
312.55,12014341.2841187
312.895,12057011.4429321
313.24,11872462.7076416
313.585,11832164.9614258
313.929,11653012.7862549
314.274,11821928.0404053
314.621,11047258.2338867
314.97,12363720.7991333
315.311,12721241.5371094
315.73,12622696.9338379
316.152,11788468.7365723
316.498,11624251.6068115
316.845,11707405.3604736
317.193,12026585.0376587
317.537,11900673.2810059
317.885,11636060.7089233
318.228,12490586.4759521
318.572,12868561.4423218
318.915,12837850.6925659
319.26,12048523.6900635
319.605,11922965.7113037
319.947,12929222.7689209
320.289,12829163.1461792
320.63,12466600.1612549
321.05,12460208.020813
321.394,12492311.0268555
321.737,12504031.687561
322.081,12752329.5006714
322.424,12413613.2107544
322.768,12191112.8544312
323.118,11326267.5459595
323.467,11920500.8243408
323.813,12229277.8410034
324.156,13022956.7824097
324.574,12824209.5192261
324.916,12519403.4868774
325.263,11742894.8742676
325.681,13058926.5418701
326.021,13403831.8238525
326.363,12473055.6740723
327.006,12526367.1849365
327.348,12919584.1162109
327.692,12095321.8758545
328.038,11856567.5296021
328.456,13180166.6268921
328.798,12830307.864563
329.143,11675899.1763306
329.491,11937225.7391357
329.837,12087851.7609863
330.182,12467309.7434692
330.526,12437516.8841553
330.871,12010942.0032959
331.404,12644083.5533447
331.749,12232356.2819214
332.095,11664111.2924194
332.516,12620957.0247803
332.862,12543715.2002563
333.206,12061160.8773193
333.627,11921091.2290039
334.046,12825033.8664551
334.386,13144349.562439
