"rt","ions"
300.327,8717427.58314514
300.875,8958352.41204834
301.246,10439863.5734863
301.607,10713685.5169067
301.97,10532123.9606934
302.522,10633711.2318115
302.887,9984635.53991699
303.256,10004749.1190186
303.624,10273161.4153137
304.285,11113616.4904785
304.653,9857621.54724121
305.019,10774661.8273926
305.381,11470496.880127
305.742,10858138.3651733
306.407,10248277.7617798
306.773,10090390.6593018
307.139,10426163.5158691
307.58,10202800.6864929
307.941,10846087.1509399
308.381,10609657.9869385
309.163,10559397.7102051
309.527,10557819.3493042
309.887,11487170.2068176
310.244,12150670.0187988
310.6,11623172.65448
310.959,11311337.3892212
311.32,10720629.5585938
311.682,10668292.8591919
312.046,10576073.9024048
312.407,10835913.3882446
312.768,11117449.1530762
313.208,10526243.8982544
313.573,10547633.0240173
313.937,11001977.1506348
314.296,11647793.6126099
314.653,11796636.6846924
315.008,12026526.3485718
315.365,11510364.5421753
315.725,10791029.6383667
316.085,11080044.8209229
316.448,10574534.1299438
316.886,10760084.7051697
317.25,10924946.9309692
317.61,11462906.5693359
318.049,10461869.2421875
318.412,10759496.1636658
318.771,11610497.8323364
319.126,11768133.8562622
319.485,11149004.8818359
319.843,11611858.0592651
320.276,11182236.6540527
320.712,11031835.9842529
321.148,11433907.3560791
321.582,11354430.2015991
322.02,10649805.4260864
322.459,10485622.8661194
322.821,10334987.147644
323.183,10508517.4915771
323.549,10290814.4083252
323.909,11217011.223877
324.457,11687279.8171387
324.89,11448761.7995605
325.251,10693123.6400146
325.616,10573631.3954163
325.974,11329945.0155029
326.408,11347869.3024902
326.841,11357074.184021
327.273,11556419.4291382
327.709,10881019.3450317
328.14,11392290.6824341
328.494,11641136.4818115
328.849,11909710.3659058
329.2,12939831.2247314
329.549,12770722.7210693
329.973,12449267.3574829
330.332,11467720.293396
330.689,11877329.6480713
331.117,12173368.3931274
331.473,11259979.6416016
331.828,11897771.7854614
332.184,12008167.3703613
332.535,13571142.2315063
332.886,12773170.5522461
333.767,11089762.1277466
334.126,11000454.3145752
334.489,11114963.3525391
334.849,11343279.0598755
335.208,11266763.829895
335.646,10605136.6983643
336.196,11135051.7929077
336.556,11124962.8032227
336.917,11420824.2971802
337.273,11580608.4197998
337.631,11203198.4639893
337.988,11378522.564209
338.344,11476588.7425537
338.89,11077654.1689453
339.25,11181247.6722412
339.611,11172306.723877
339.971,11020755.1342773
340.335,10218594.5476074
340.7,10588784.1898804
341.061,10597484.4127197
341.415,11668851.0501709
341.776,10609735.4379272
342.131,11787499.0703125
342.489,11607939.1432495
342.844,12002317.8665771
343.507,10901335.8375244
343.869,10490645.9211426
344.232,10685882.105957
344.671,11287624.881897
345.028,11840259.3292236
345.385,11319778.6967163
345.82,10765211.4146729
346.182,11324019.8937988
346.538,11755933.7366333
346.972,11169512.3956299
347.411,10558200.414032
347.958,11102271.3226929
348.316,11739481.9314575
348.676,11161497.6063232
349.113,10886506.2357788
349.475,11249679.4812012
349.832,11135041.4660034
350.189,11492648.2627563
350.624,10623784.4130859
350.987,10710923.4154358
351.349,10667305.3604736
352.016,10719062.7637329
352.377,10921360.7009888
352.733,11579628.9736328
353.281,10737502.8812866
353.64,10861629.8890381
354,11178576.2373657
354.356,11726189.3984985
354.709,12041227.4910889
355.06,12568537.585022
355.411,12180275.6538696
355.843,11270576.2618408
356.202,11178724.4578247
356.565,10590482.3389893
356.927,10489696.6937866
357.36,10927231.7027588
357.714,11860818.8167725
358.071,11014266.1942139
358.431,10703839.4719238
358.789,10936920.8944702
359.15,10849958.1971436
359.581,11800014.7018433
360.011,11807881.0188599
360.368,11134823.9267578
360.726,11286410.84375
361.27,11626211.7746582
361.627,11655434.4022217
361.983,11580775.4488525
362.341,10473009.8505859
362.782,10011576.9932251
363.144,10897797.5554199
363.504,10974952.1080322
363.941,10503767.6029663
364.302,11000946.4309692
364.659,11488728.6487427
365.018,10984904.5065613
365.373,11533299.1465454
365.731,11152364.2987671
366.086,11887942.7286377
366.744,10782230.6931152
367.106,10292685.3250732
367.467,11278234.7058105
367.9,11407545.6574707
368.263,10719067.5521851
368.626,10350025.3498535
369.068,10328456.2452393
369.503,11493528.538269
369.86,11615898.3056641
370.217,11105468.7540894
370.573,11706705.0014038
371.007,11476444.6072388
371.441,11523231.0015259
371.799,11080292.4553223
372.157,11149588.0618286
372.817,11319005.9981079
373.17,12493314.2014771
373.518,13991376.0239258
373.945,12073040.298584
374.295,13091789.1885986
374.642,13859446.5047607
375.061,13963479.2294312
375.407,13632041.6954346
375.756,12772147.7025146
376.182,12647142.9333496
376.718,13989876.7616577
377.064,13843094.3001099
377.412,13201564.769043
377.838,12580466.8641968
378.267,12089521.1660767
378.697,12676912.5784912
379.051,11916193.9465332
379.405,11957595.6647339
379.834,11676157.7640381
380.266,11903809.2703857
380.621,11480766.727356
380.976,11107780.6713257
381.411,11108451.3677979
381.771,11498600.9034424
382.13,11205957.3590698
382.567,11565706.5304565
382.925,11220880.5852661
383.286,10971980.6040039
383.639,12233473.7074585
383.995,11565293.2163086
384.537,11811044.6810303
384.895,11069214.0552368
385.255,10907395.3459473
385.613,11444445.3689575
385.969,11681308.3870239
386.327,10871393.6769409
386.764,10932791.3833008
387.122,11593816.7698975
387.481,11247265.0662231
387.842,10535796.7084961
388.206,11217924.5422363
388.64,11793815.5935669
388.998,11297073.1705933
389.357,10982809.7133179
389.907,11027888.4458618
390.262,11655630.2238159
390.62,11091988.5796509
390.977,11639938.0391846
391.333,11259721.6873169
391.771,10670630.1622314
392.208,11488821.942627
392.565,11992614.8374634
392.919,11804236.6322632
393.345,12470058.8719482
393.699,12129677.5896606
394.054,11277493.2711182
