"rt","ions"
300.12,57632545.9520264
300.466,48562337.8865967
300.791,70550421.5732422
301.976,73725980.4741211
302.301,72868791.5512695
302.624,77610788.453125
303.261,72886479.5279541
303.583,76380640.3837891
303.904,77073223.8376465
304.412,66170517.1884766
304.733,77286621.5314941
305.053,80852256.4926758
305.9,60828586.3280029
306.221,78427922.5566406
306.538,79131209.7939453
306.857,79597099.940918
307.36,42247074.7495117
307.754,79605024.7607422
308.481,81627171.0168457
308.797,83624443.1342773
309.119,80535141.4641113
309.435,81929543.2841797
310.164,59031362.2983398
310.481,83286328.1606445
310.798,82080843.6547852
311.19,80717225.9284668
311.506,77838057.2766113
311.82,893518.417602539
312.135,83979576.3139648
312.449,83661788.1052246
312.764,81303483.1206055
313.079,79335720.0898438
313.394,81557451.1418457
313.708,79954110.8120117
314.097,81976284.776123
314.412,81755062.4060059
314.727,81075025.4343262
315.041,80503739.3654785
315.356,80591627.222168
315.745,52731051.5554199
316.062,82514935.5039062
317.469,78723594.3444824
318.089,78191520.3486328
318.405,79826526.4394531
318.721,80379629.3981934
319.045,77886423.9694824
319.36,73766954.1430664
319.675,80562962.5898438
320.184,66666665.3612061
320.507,78525773.2089844
320.822,82744277.9008789
321.14,79286594.4943848
321.642,35672737.9941406
323.05,80132555.6879883
323.666,81389653.7578125
323.983,76462922.2736816
324.299,63661938.3986816
324.62,72660327.8487549
324.937,77341548.3969727
325.439,41582132.8937988
325.754,78952602.1010742
326.071,76640344.595459
326.573,77687466.2104492
326.889,77147503.4694824
327.204,75270508.5981445
327.52,77639588.560791
327.835,78976499.7006836
328.342,77597428.0722656
328.658,73224522.2580566
328.973,78516856.529541
329.364,77819845.2800293
329.68,77023835.3317871
330,74958952.6411133
330.503,76523698.8254395
330.82,74718559.7365723
331.137,66606223.8044434
331.454,59777050.6108398
332.072,75140120.5395508
332.39,72486583.9399414
332.706,66033856.6064453
333.097,78856668.6796875
333.414,75925296.0231934
333.73,75864240.6569824
334.236,76299367.7993164
334.671,27810508.8924866
334.988,66098026.5056152
335.305,78706059.1772461
335.698,75004692.2434082
336.014,78080194.7163086
336.331,76451314.4035645
336.732,72318492.7266846
337.24,70626922.9025879
337.558,73777584.4372559
337.882,67060105.7015381
338.205,34449108.6722412
338.523,62283727.8962402
339.03,74467897.9528809
339.347,60497761.3852539
339.664,77567666.3352051
340.28,70808113.9597168
340.599,63632096.0646973
340.915,77620173.1567383
341.242,74681282.079834
341.562,74892768.5517578
341.88,79880281.8066406
342.196,74759147.0639648
342.515,78109297.0712891
343.131,70509908.7451172
343.447,79338400.7111816
343.765,73592785.8212891
344.162,75065675.4196777
344.479,74785225.0036621
344.83,63490272.1231689
345.222,78135900.1264648
345.724,83074048.6762695
346.04,74951688.5656738
346.357,74081880.8190918
346.865,80460872.5224609
347.18,86827013.4277344
347.496,81150779.677002
347.817,75163897.4443359
348.208,82027915.982666
348.598,78743866.270752
348.92,83561751.8010254
349.237,66216057.3320312
349.553,66234760.9780273
349.944,84888848.4287109
350.259,87057451.9626465
350.576,81169501.4399414
350.891,84433586.4311523
351.284,84269332.3166504
351.601,71353471.8693848
351.916,87113686.0388184
352.308,73562385.1328125
352.698,72249783.8039551
353.014,84694553.395752
353.331,90027589.9448242
353.649,87367116.3562012
353.965,88090714.1191406
354.282,83315561.6518555
354.673,87050813.5646973
354.989,85852171.7431641
355.304,87588970.7416992
355.696,89487369.8430176
356.086,71929742.7167969
356.478,84995430.8564453
356.869,88114501.6694336
357.185,74964009.3376465
357.5,90507141.9172363
357.817,84332675.5947266
358.137,84521899.7185059
358.528,88465402.5544434
358.843,88677860.2910156
359.579,9842655.60980225
359.894,90907340.3244629
360.211,71261569.8273926
360.827,73602258.9931641
361.142,84777358.4250488
361.457,89901642.7189941
361.776,70788162.9511719
362.175,86971372.6669922
362.49,77078854.6777344
362.806,87195850.6706543
363.121,87560926.9892578
363.512,91668564.7824707
363.827,71140618.2629395
364.142,90051238.9594727
364.457,92170413.8117676
364.773,90073085.5458984
365.276,65859808.1628418
365.592,91137361.9484863
365.907,79935200.2397461
366.222,69586505.4558105
366.538,88705551.5681152
366.855,90757970.2109375
367.177,76400423.6420898
367.57,75397615.4990234
367.959,19478167.7873535
368.274,92812763.9465332
368.589,76336758.3320312
369.089,79666349.9260254
369.404,92268553.1704102
369.723,88345835.7111816
370.119,86252326.7700195
370.509,90856116.1604004
370.823,93736305.199707
371.214,81533713.7255859
371.762,8851689.34648132
372.078,80323604.9855957
372.392,90302299.3129883
373.005,93472319.4436035
373.325,90371161.6154785
373.64,94885203.9465332
374.029,88580903.3464355
374.419,97952218.9770508
374.735,91290774.3820801
375.058,93754578.3220215
375.372,98156888.5361328
375.687,95365975.612793
376.078,91999925.171875
376.397,90213494.3293457
376.712,87838442.576416
377.214,95965012.8520508
377.532,75846135.1315918
377.847,90288182.2614746
378.162,83736438.1652832
378.477,93722940.1132812
378.792,93148118.9294434
379.182,94772240.7365723
379.573,93831327.9675293
379.963,77227340.6887207
380.353,97613022.9350586
380.667,91565035.6677246
380.984,91631101.3120117
381.382,79418722.8967285
381.702,95044582.7868652
382.016,99430512.6135254
382.522,94725002.2233887
382.837,94772750.9985352
383.386,11564214.5966187
383.702,91859632.197998
384.315,96137156.2138672
384.629,98073260.6242676
384.943,45586149.9782715
385.258,97238309.4360352
385.572,96109498.9069824
385.963,95115226.911377
386.579,95268901.7299805
386.896,88549956.2404785
387.212,83756459.9423828
387.527,71591280.0234375
387.843,74385648.640625
388.238,72405756.7106934
388.559,95333935.677002
388.875,96757950.2023926
389.19,76406856.1264648
389.694,92813587.5480957
390.008,95669429.5952148
390.326,96754489.6030273
390.717,92861621.1176758
391.113,95257762.838623
391.428,94702034.4626465
391.743,96214769.9379883
392.134,96789327.6140137
392.455,84506934.3823242
392.771,93652703.767334
393.167,74289134.6899414
393.482,96742807.5202637
393.985,91364753.4304199
394.302,45731939.4973145
394.617,95841346.5061035
394.932,97871964.5251465
395.665,93881016.6586914
395.98,101073988.027588
396.298,95109386.1464844
396.694,77507710.203125
397.008,103306469.598145
397.343,89052589.1342773
398.071,97226103.1789551
398.387,43360965.7026367
