"rt","ions"
300.317,10478132.1070862
300.815,12384333.2267761
301.163,14429155.3064575
301.694,13412768.7601318
302.043,13587384.8482056
302.389,13542999.4251099
302.732,14486661.855835
303.079,13378813.9281616
303.428,12649476.3666382
303.78,11965132.1132812
304.133,12724355.6159668
304.482,12781499.725769
304.829,12820930.019165
305.181,12892186.9785767
305.53,13041339.723999
305.881,12526633.7594604
306.231,12785698.5683594
306.581,12808088.1538086
306.93,13146972.5709839
307.278,13284324.3532104
307.627,12753054.5866089
307.978,12641657.5463257
308.331,12572942.7618408
308.679,13750904.4151001
309.025,13712769.2441406
309.371,13805696.7019653
309.72,12881493.255249
310.068,13268949.6826172
310.417,12622370.8787231
310.843,13020174.1332397
311.195,12671584.7962036
311.545,12936426.5576782
311.894,12978063.6824341
312.244,13478410.5083618
312.669,12984627.3781738
313.097,13856792.9016113
313.525,12583914.5859985
313.951,13426109.2547607
314.299,13806270.3099976
314.64,15744700.2562866
314.983,14398648.9732666
315.331,13333685.5378418
315.68,13177469.2737427
316.021,13801159.8739624
316.37,12886321.3916016
316.719,13177008.1699829
317.069,13035729.1414795
317.42,13056647.0987549
317.771,12725689.2195435
318.121,13232888.7766113
318.474,12484837.3575439
318.825,12893657.3095703
319.178,13088396.5339966
319.602,13110080.7630615
319.951,12990106.3728027
320.301,12961214.8091431
320.648,13976179.4540405
321.071,13800201.0058594
321.42,13323339.2946777
321.768,13503605.7644043
322.114,13865058.840332
322.652,12508065.9747925
323.003,12446832.0426636
323.353,13286532.3469238
323.701,13922591.8087769
324.05,13337244.8549194
324.397,13197501.5673218
324.747,12837447.6022949
325.095,13373554.4886475
325.442,13126400.4926758
325.791,13159791.3172607
326.139,13188817.5697632
326.489,13076917.2383423
326.841,12727198.0808105
327.191,12695573.5025024
327.54,12887751.5695801
327.964,13350149.9770508
328.314,12616547.5837402
328.663,13287978.4301147
329.015,12993473.9041748
329.366,12921101.5994263
329.716,13628213.956665
330.064,13122579.7349854
330.408,14425186.7836914
330.757,12929094.0307007
331.107,12830903.8892822
331.458,12330996.8446045
331.809,12675857.2202148
332.237,12625212.4817505
332.59,12347598.0223999
332.939,12964833.4824829
333.289,12835895.8609009
333.639,13201402.0183716
333.988,13439445.2269287
334.34,12606278.6113281
334.692,12502176.0498657
335.043,13134381.1270142
335.388,14909248.0932007
335.809,14168119.3953247
336.232,13486142.6707153
336.653,14416405.1503296
336.999,14369252.2965088
337.347,13418933.2579956
337.695,13644939.0281982
338.044,13470341.0958862
338.39,13894621.6365967
338.736,13931965.246582
339.081,14129470.109436
339.426,13992777.8435669
339.772,13734115.7871704
340.198,13580654.1914062
340.548,13102883.6946411
340.9,12997646.814209
341.253,13040086.295105
341.601,13604754.5177002
341.953,12876452.2417603
342.304,13586878.7753296
342.655,13115602.2375488
343.197,12705584.2962646
343.545,13829526.8953247
343.895,13395852.9215698
344.245,13203230.4649658
344.591,14029418.8945312
344.94,13882468.8286743
345.289,13346262.6894531
345.64,13228284.1627808
345.991,13550286.4074097
346.416,13486077.5166626
346.765,13373300.2861938
347.113,13755611.0029297
347.459,13997458.9971313
347.883,13505539.0560913
348.237,12498271.7633667
348.588,13019439.2026367
348.937,13604930.8810425
349.283,13937944.6381836
349.632,13283973.8612061
349.981,13587620.0272217
350.327,14272038.0639038
350.676,13349966.901001
351.027,13447447.6403809
351.377,12983481.6195068
351.729,13315725.7550659
352.077,13789223.4259033
352.424,13813693.4137573
352.772,13823688.1233521
353.123,13147442.0321045
353.474,13082864.8724976
353.899,13427479.1879883
354.246,14459283.1796265
354.588,14848876.0739746
354.936,13342119.9139404
355.284,13921124.0133667
355.634,13375334.1218872
356.058,13900772.5944824
356.407,13477627.9833984
356.756,13458974.7466431
357.179,14566856.0319214
357.522,14910090.7703857
357.868,14174165.2579346
358.215,13790200.7084351
358.635,14445514.4975586
358.983,14322271.5455322
359.325,14969600.3079224
359.67,14269096.7901611
360.016,14742357.848999
360.361,14665959.0742798
360.705,14718994.659668
361.125,15056489.0292358
361.468,16244940.8322144
361.81,14938367.5673218
362.153,14322714.5174561
362.498,13984469.6247559
362.844,14018605.5502319
363.196,12378702.2891235
363.547,12894020.2107544
363.974,12883909.4164429
364.322,13941179.0808105
364.667,14139264.953064
365.018,13033618.6567383
365.369,13419918.2202759
365.791,13840769.2789917
366.142,12465691.5108032
366.492,12964772.3729248
366.841,13790211.3198242
367.19,13891563.600708
367.541,12993513.5046997
368.079,13190353.5481567
368.426,13645882.6340942
368.777,12840931.0189209
369.205,12559795.7049561
369.56,11975349.2890625
369.916,12076687.1669312
370.458,12732785.5403442
370.813,12114380.7493896
371.17,12307405.9028931
371.521,13325339.760376
371.875,12658170.8171387
372.228,12866813.9317627
372.579,13331946.9318848
372.926,14395458.1618042
373.273,13898506.6862183
373.621,12997542.7454834
373.971,13618109.2494507
374.319,13561626.8946533
374.668,13873363.3354492
375.017,13667548.2001343
375.439,14619045.9681396
375.783,14457006.9798584
376.127,15488050.8805542
376.47,15164516.6018066
376.812,15671327.4415894
377.151,15541759.4354858
377.496,15073102.5490723
377.839,14936339.4641724
378.18,16157525.7581177
378.521,14731724.8115234
378.866,14877867.8139648
379.213,14238317.0811768
379.64,13078838.6506958
379.988,13705457.7969971
380.34,13060830.0895996
380.689,13431566.3651123
381.041,13039445.8857422
381.695,12683286.8338623
382.049,12951992.5994263
382.398,13653731.7415771
382.747,13605744.5745239
383.094,13480899.2194214
383.445,12590517.3728027
383.798,12072340.5724487
384.152,12504970.0556641
384.58,12591138.8991699
384.933,12600062.833252
385.283,12872734.772583
385.631,13737062.7340698
385.98,13266594.2525024
386.33,13009803.5454102
386.679,13218541.413269
387.03,12682334.5238647
387.457,13105571.1660767
387.882,13988354.5831909
388.23,13125040.3016968
388.579,13012771.0922852
388.931,12674697.9105225
389.36,12696015.437561
389.713,13153445.9104614
390.061,13544411.7415161
390.412,13693243.4332275
390.759,14049885.2952881
391.108,13234629.5668335
391.457,13318024.236145
391.808,13225429.3026123
392.236,12574141.1700439
392.667,12226333.5166626
393.021,13337321.5170898
393.371,12987436.0738525
393.723,12694305.4394531
394.148,12924579.0941162
394.498,13647064.4919434
394.846,13316539.5288086
395.193,13921155.5854492
395.542,13771507.9050293
395.892,13003601.9863892
396.242,12712697.0020142
396.597,11955991.5362549
396.948,13285943.1694336
397.378,12026640.1503906
397.732,12950672.4471436
398.082,13323257.8947144
398.432,13815064.0978394
398.779,13520162.1881714
399.127,13276918.7867432
399.478,12317357.9595337
399.831,12821996.9682007
400.259,13031657.2056885
400.608,13247093.3467407
400.961,12922901.9335327
401.314,12525527.9494019
401.664,12965969.8829956
402.092,12665557.4296265
402.444,12531581.3656616
402.797,12078261.1496582
403.152,12232578.770874
403.506,12655630.2233887
403.933,12783046.829895
404.278,14782133.1323242
404.626,13567356.979248
404.973,13880886.7454834
