"rt","ions"
300.213,15994323.3071899
300.69,15947802.6961975
301.035,18254618.9869995
301.462,22260234.3881226
301.81,18723590.5562744
302.162,17611047.7580566
302.514,17666956.8535767
302.865,18051907.045166
303.22,23978121.5759277
303.57,16368116.6083984
303.919,18596983.8336792
304.345,17852113.2776489
304.776,16994881.2676392
305.32,17533326.4605103
305.664,18015463.039917
306.012,17832728.0916748
306.358,18511265.9649048
306.71,17025931.7893677
307.135,17660906.0383911
307.48,18772873.2237549
307.826,18303745.5043945
308.157,20147419.4716187
308.499,18696921.6303711
308.842,18661183.1555786
309.19,16801560.8545532
309.538,17017048.2625122
309.888,17494340.3410645
310.221,19635117.8728027
310.565,18953053.2824097
310.909,18889164.8668823
311.254,18089924.6182861
311.675,18691202.7907104
312.02,19088763.4241333
312.355,22290242.5637207
312.697,18682823.684082
313.042,17562610.4483032
313.389,17420669.7639771
313.812,17530881.9790039
314.36,17476592.5092163
314.696,19762755.7681274
315.043,18258566.6434326
315.392,18683898.663208
315.743,17529940.4772949
316.088,19756114.9165039
316.434,17539320.980957
316.783,17911100.4706421
317.131,17557383.1316528
317.552,17640042.7219238
317.9,18003772.0368042
318.251,16371382.5762939
318.603,16862213.2203979
318.953,17571986.5484619
319.38,17266618.8027954
319.729,18268903.8358765
320.076,19739650.3857422
320.424,16984497.973999
320.776,16050238.6031494
321.128,16783194.772583
321.554,16276717.3712769
321.979,17852726.5958252
322.393,17385166.9737549
322.743,16340108.5682373
323.092,16147299.0176392
323.446,16744995.2133789
323.797,16527669.1957397
324.148,16885944.0516968
324.489,17542919.9368896
324.83,17499872.6734619
325.18,16053176.1403198
325.533,15916060.520813
325.884,16314749.9606934
326.236,16885571.3331909
326.584,19676623.24646
326.931,17831434.4035645
327.277,17569255.6651001
327.624,16925603.3388672
327.973,17177171.1531372
328.322,16706025.5216064
328.668,16166413.1183472
329,18814171.6329956
329.347,17827964.0361328
329.696,16674468.7637329
330.045,17597924.7371826
330.394,16739802.3567505
330.742,16977615.6537476
331.09,16947523.0537109
331.432,17090269.9518433
331.781,15998717.8168945
332.207,15873129.3971558
332.557,16231650.1713257
332.905,17181778.9389648
333.251,16988150.2474976
333.669,17177999.8725586
334.001,19114429.0021973
334.345,17803729.5474243
334.69,18311507.5822754
335.026,18446516.8797607
335.37,16944074.9447632
335.718,17194067.2038574
336.061,17627626.2644043
336.405,18074643.1672974
336.747,18449164.2213745
337.09,17275736.2694702
337.438,17237291.7662354
337.785,16595797.8341064
338.13,16214830.5144043
338.479,17192836.0360718
338.903,16541465.2543335
339.253,16596074.9520874
339.604,15551124.0734253
339.954,16583937.2549438
340.305,16569497.2356567
340.651,17194874.8312378
340.999,16446718.6224365
341.416,17755546.2174683
341.763,16881138.6553955
342.112,16360953.982605
342.46,16997424.0621948
342.879,17085107.520813
343.225,16667667.3720093
343.572,16648446.5974121
343.918,16972432.9660034
344.457,14903579.0073853
344.808,15603159.2434082
345.154,17161611.0211792
345.5,17329398.4003296
345.844,17688578.4495239
346.264,17714389.0460815
346.609,17413725.9866333
346.955,17065493.9828491
347.3,17346206.8933105
347.635,18150796.638855
347.983,15822380.4758301
348.332,16610517.7687378
348.676,17380617.3471069
349.022,16674151.9170532
349.373,17338064.6430664
349.723,15897082.9102783
350.07,16758050.3622437
350.417,16190174.4107666
350.762,17563520.5455933
351.109,16106826.3143921
351.457,16031346.1726685
351.803,16833529.519165
352.152,23100112.1750488
352.572,16745288.3991699
352.92,16194001.774231
353.268,17189424.9864502
353.611,17137473.4234009
353.958,14714610.1640015
354.304,17276277.550415
354.649,16884344.4896851
354.996,17107581.9990845
355.342,17116608.7642822
355.686,17680538.8848877
356.034,16341275.2797241
356.369,19058350.8806763
356.711,17623837.3178101
357.054,18219769.975708
357.395,18278666.6586304
357.738,17554902.5582275
358.083,16825422.0548706
358.43,16333562.1599731
358.775,17257746.7721558
359.122,16541531.1248779
359.54,17623192.402771
359.885,16593787.5675049
360.23,16675180.265564
360.574,16564465.1821289
360.921,16445217.1907349
361.343,18390486.604126
361.69,16228575.8078003
362.036,16302952.4240723
362.456,16907523.7307739
362.801,16162550.4059448
363.151,15745573.3256836
363.571,17686718.1224365
363.991,16818321.8928833
364.334,17808269.7129517
364.679,17388009.7819214
365.021,17528778.0576782
365.366,16277415.9819946
365.715,15597991.8214111
366.064,15450202.1530762
366.416,16885007.6763306
366.839,16326369.8709717
367.184,17022174.1344604
367.528,16708262.2084961
367.873,16822138.5518188
368.222,16634799.963623
368.567,17269357.3056641
368.91,17270519.5352173
369.254,17087993.3724365
369.599,16910745.5335693
369.942,16657815.4839478
370.287,16394200.6376953
370.628,16738984.4989014
370.973,16559070.6691895
371.319,16098238.8840942
371.666,16262752.0300293
372.013,15905009.3546143
372.361,17582023.4834595
372.706,15711341.8822021
373.125,17226353.3319702
373.469,17068137.5957031
373.813,17278147.5819702
374.157,17161358.6135864
374.576,16260534.3848877
374.923,16354563.2434082
375.266,17947743.0640259
375.611,16778057.5043945
375.955,17725175.5244141
376.295,17815380.8561401
376.636,17616891.4370728
376.98,16857756.1095581
377.322,17428514.982605
377.734,17855227.677002
378.078,17106032.0751953
378.419,17591901.895752
378.761,17139234.1228638
379.107,16696040.6030273
379.451,18823779.6381836
379.793,18713060.5369873
380.138,16834792.5646362
380.485,15989387.8334961
380.833,16061499.020752
381.18,16272417.9241943
381.526,16377458.1517944
381.871,16266775.0965576
382.214,14592396.0067139
382.559,16228765.5744019
382.906,16576901.7823486
383.253,16838012.7162476
383.598,17818253.642395
384.015,18097965.8258667
384.357,17466927.3051758
384.699,17017831.6809692
385.045,16375836.9597778
385.393,16473960.0001221
