"rt","ions"
300.191,18044482.3817444
300.656,15751656.0348816
301.021,21705480.718811
301.422,20393225.6065674
301.77,18363001.4249878
302.123,18552257.1392212
302.477,18321872.625061
302.834,18613561.0006104
303.193,16291761.203186
303.554,16771360.0690918
303.913,17279365.1010742
304.271,18043785.6342163
304.622,18529049.2058105
304.981,16416216.7362671
305.34,16804889.5609741
305.887,17486757.5990601
306.243,17552350.9876099
306.596,19921178.6949463
306.948,17993038.5457153
307.298,18260747.468811
307.936,19057374.3172607
308.288,17795699.9261475
308.641,17581355.5795288
308.99,17287090.5843506
309.346,17883950.7269287
309.696,17089342.1723022
310.052,15468256.8059082
310.406,17319922.9342041
310.762,17196522.6447144
311.115,16963947.0861816
311.471,16526452.6922607
311.819,16685728.4724731
312.156,18375993.3760986
312.507,17271869.1063843
312.86,18105051.8062134
313.211,20072336.9109497
313.64,17189979.7487793
313.992,17453076.6919556
314.347,16670435.9804077
314.699,19552418.8050537
315.052,17593535.9022827
315.481,17397113.7424927
315.835,17961423.74823
316.187,17492553.480957
316.539,20213755.2376709
316.888,19661404.006958
317.237,18871382.244873
317.584,18038013.6598511
318.011,17993749.1403198
318.364,17072182.128479
318.717,17084345.2463989
319.072,16563817.9209595
319.422,17351662.5598755
319.775,17751090.5575562
320.13,16777860.9391479
320.482,17191637.2633667
320.836,17119705.9247437
321.189,17835419.3837891
321.713,18700948.8585815
322.13,17473781.5740967
322.555,18423527.1333618
322.906,17858259.8720703
323.261,16835939.3708496
323.618,16267922.5965576
323.973,17342742.7330933
324.324,19396682.7512817
324.674,18041946.0932007
325.026,17541008.9717407
325.372,18604078.5818481
325.722,17622273.2416382
326.076,16899763.5380859
326.432,16439702.9421997
326.787,19111522.9552612
327.14,16874390.6456909
327.495,16597499.59552
327.848,16819830.480896
328.382,16705529.8964233
328.738,17985060.272644
329.085,18271208.6481323
329.442,16933024.4709473
329.798,17891560.7022705
330.154,16317957.2269897
330.508,16532313.5078125
330.86,17072468.9320068
331.206,17647087.9561768
331.557,19525776.0974121
331.91,16264541.4061279
332.34,16612902.5568848
332.694,16086885.2985229
333.045,17976098.9954224
333.395,17666288.7536011
333.746,19770065.3840332
334.099,16629063.9920654
334.452,16338672.7149048
334.804,16317477.2461548
335.161,16631498.9886475
335.514,16427849.3963623
335.843,20913708.7053223
336.191,16567102.3511963
336.542,17185517.9497681
336.967,17321985.7998047
337.32,16138728.4185791
337.676,15889409.9470825
338.03,16401540.545105
338.382,18405714.9411621
338.733,18680791.5516357
339.083,17067438.065918
339.436,17008414.96875
339.789,16672515.8452148
340.141,16734916.5272827
340.499,21650066.4078979
340.852,16535992.6954346
341.205,16582432.5167847
341.556,16672211.2261963
341.982,16655356.5636597
342.334,16016421.8178711
342.685,16809886.0640869
343.036,16641515.2768555
343.581,15821342.9656982
343.938,15804847.6134644
344.29,16949625.3346558
344.642,16641438.425415
344.988,17203441.3084717
345.339,16042892.8626709
345.676,18935175.0493164
346.023,17240108.3186035
346.376,16019816.1743164
346.727,16402330.8966675
347.077,17208619.1009521
347.42,17460417.3776855
347.771,16405601.3222656
348.123,16732889.5601807
348.476,16519902.0643311
348.831,16809260.6760254
349.182,16876434.1705322
349.517,22452094.585022
349.867,16334874.4415894
350.216,15893351.5669556
350.646,15558817.335144
350.995,17160567.593689
351.349,16371345.9577637
351.7,16713936.519104
352.031,21816136.897583
352.375,17042807.2647095
352.725,16656899.1781006
353.075,16459685.4934082
353.425,16950339.8401489
353.775,16895859.8503418
354.126,15357063.277771
354.477,16762067.3845825
355.018,16146884.2171631
355.371,16320067.7446289
355.722,17108874.453125
356.147,16617305.4028931
356.502,16646275.6717529
356.853,18342883.8497925
357.203,16638240.2071533
357.63,16432451.3053589
357.981,17519920.6063843
358.332,16804485.1832886
358.683,16408668.043396
359.034,16381468.9300537
