"rt","ions"
300.319,9354744.94490051
300.865,9584659.64013672
301.27,10972282.7092896
301.672,10980615.4340515
302.156,11015362.0817261
302.559,10765123.7350159
302.957,11303194.4057617
303.544,11373408.8746033
303.948,11026828.3857422
304.344,11689751.7634888
304.812,12032880.9869385
305.211,11164635.7570496
305.617,10743050.0671997
306.324,10506775.0795898
306.727,10785700.8869934
307.13,10856244.1542053
307.613,10559415.408783
308.02,10350016.9630737
308.422,10891603.6512146
308.824,11075877.4015808
309.217,12121344.4802551
309.611,11488079.6878967
310.009,10800172.4701538
310.41,11340556.098877
310.798,12672945.5780334
311.183,12388639.7785034
311.575,11231230.0278015
311.979,10527805.1842041
312.454,10920636.5691833
312.852,11343126.1954956
313.244,11868357.2287598
313.634,11099892.5697632
314.036,10332390.8945618
314.438,10596586.4363098
314.839,10794105.2036133
315.235,11087874.7067261
315.631,11330939.2245483
316.023,11205746.3106995
316.409,12070687.0011597
316.795,11971940.407196
317.184,11623414.9062805
317.571,11934084.252655
317.958,12503131.7431641
318.345,12103054.8241577
318.731,12362568.091156
319.122,11669329.9856262
319.519,11091382.8955078
319.912,11475408.7211304
320.3,12049548.9825439
320.684,12215989.5007629
321.074,11467127.3164368
321.467,11110666.7088623
321.856,11468154.2749634
322.242,12144759.7860413
322.63,11814034.1812439
323.21,11788136.1150208
323.592,12400415.2444763
323.975,11976513.1782837
324.363,11584214.0570068
324.754,11113342.4972839
325.443,11557413.1365967
325.834,11075500.0549622
326.228,10805069.8994751
326.629,10576282.5058594
327.028,10938230.9876099
327.415,12486239.2854309
327.802,11327291.5116577
328.269,11347523.8736572
328.662,10978302.975769
329.052,11183678.2684631
329.515,12042068.3746948
329.902,11984802.7208252
330.294,10789814.6192017
330.692,11060894.0610352
331.083,11786782.5428772
331.54,12826304.3353577
331.92,12433689.74646
332.308,11307616.3502808
332.702,10758430.9440002
333.399,11229055.1146545
333.79,10796382.883728
334.19,10368610.7077942
334.662,11072000.3926697
335.054,11591262.1126099
335.441,11698999.8737793
335.83,11341405.7246704
336.215,11589335.92276
336.6,11988501.0537109
336.986,10834434.2445068
337.38,10799731.6011353
337.779,10659652.3829956
338.176,11002268.6835022
338.559,11629481.3507385
339.025,11872060.2808533
339.417,10906594.0091553
339.805,10794823.4217529
340.198,11277105.2987061
340.59,10833840.9925232
340.979,11612615.964447
341.449,10953275.1710205
341.841,10865433.4300842
342.227,12533847.9728088
342.614,11827734.3059692
342.996,12394288.8774414
343.378,12126251.379425
343.761,12058992.693512
344.142,12654185.7546082
344.522,12340635.3181763
344.913,10776169.6430969
345.486,12018249.7344971
345.944,12178711.1473389
346.411,10890499.6479492
346.813,10832946.9586182
347.204,11594437.1196594
347.668,11831468.4295044
348.06,11643512.4482422
348.452,11541317.3791199
348.843,11159774.2245789
349.311,11134872.3738098
349.702,11688571.0575562
350.088,11445915.045105
350.477,11414540.6116028
350.863,11831052.1253357
351.254,11125930.8194275
351.639,12236009.881012
352.018,12691725.0904236
352.399,11989464.7434692
352.779,12702315.4818726
353.163,12201384.1071472
353.55,11457010.7658997
354.128,11441343.7141724
354.508,12796436.79422
354.888,12268020.7164307
355.269,13103025.3839111
355.644,13418175.5470886
356.017,13226485.1538086
356.471,12858668.3508301
356.844,12999240.9462891
357.224,12346390.1227417
357.608,12050959.8441772
357.99,12467396.547821
358.453,11326498.7137756
358.85,10509408.9771729
359.239,11862799.9664001
359.626,11626792.0256042
360.01,12612051.9477539
360.394,12494473.4291077
360.771,13275664.340332
361.144,13428168.085144
361.521,13534872.336731
361.901,12388186.3447266
362.361,12004445.091156
362.748,11364341.2079773
363.13,12697979.7794189
363.507,12953559.4297485
363.885,13424328.3043823
364.259,13730300.2930298
364.645,11944626.2746582
365.032,12128140.4979248
365.482,12873602.2880249
365.937,12516296.0549011
366.387,13134884.9918823
366.838,12847506.5606079
367.227,11316305.9072571
367.619,11082459.9161072
368.009,11412260.2089539
368.474,11677774.0005798
368.859,11493051.4093933
369.226,7682431.49993896
369.699,11853661.1196899
370.341,16375032.2514038
370.718,12040133.837616
371.13,9255485.58761597
371.539,10331408.2122192
371.952,9581944.26571655
372.432,10182434.8076477
372.826,11497403.2690735
373.214,11486079.2073975
373.609,10700247.3179932
374.001,11205950.7495117
374.479,10268804.1857605
374.89,9528861.25802612
375.295,10834260.8337402
375.7,10846497.8190308
376.034,15838247.2889404
376.399,12453150.4117432
376.785,10960652.287323
377.172,11145469.2823181
377.563,10517347.7727661
378.032,11098168.347229
378.951,11135229.2761536
379.343,11162707.2194824
379.733,11083551.9873962
380.315,11129398.6076355
380.703,11846300.2671814
381.172,10894738.8512268
381.643,11878338.5365295
382.333,11935127.5252686
382.672,15986267.5661011
383.044,12486260.5175171
383.502,11842623.250946
383.965,11317380.5253296
384.432,10961189.7912903
384.814,12166469.749054
385.198,11970661.4220581
385.582,11404953.0014648
385.974,10864442.213562
386.44,11038963.772644
386.901,11353529.4284973
387.291,10993818.6422729
387.682,11235745.6899719
388.071,11551278.8344421
388.653,11162142.4580994
389.045,11109940.6402588
389.426,14417326.5418701
389.889,11357005.8263245
390.271,12204961.8856201
390.652,11727985.959259
391.112,11843173.9568481
391.49,12374454.3955078
391.869,12524676.8724365
392.548,11618634.1687622
392.933,11052233.9413452
393.32,11039098.6188354
393.777,12043353.2919922
394.161,11611055.0395203
394.551,11120078.9653625
394.933,11696527.1017456
395.322,11026769.5479431
395.703,11998724.4361572
396.08,12357748.0545654
396.459,12351543.3071594
396.914,12806879.9122925
397.291,12242921.7593994
397.671,11860987.4776611
398.05,12148000.854126
398.43,12351388.6855469
398.808,12231370.5368042
399.196,11227897.2619629
399.582,11067502.3481445
399.965,11955756.4765015
400.345,11776089.6560669
400.801,11906808.4796753
401.188,11121248.9440918
401.572,11764925.7412109
401.955,11830792.7906799
402.336,11566093.7175293
402.711,12355313.215332
403.091,11762401.3226318
403.471,11575842.2649536
404.042,12547679.9640198
404.419,12351274.9546509
404.801,12032535.3516235
405.261,11183653.4486084
405.638,12099283.8208313
406.088,12290641.8483887
406.549,11352282.0829163
406.924,13041888.0314026
407.292,14015134.5135498
407.653,14638659.0813599
408.211,12988908.2409668
408.595,11024920.2643433
408.974,12221623.3441772
409.435,11253707.5213928
409.898,11111146.9973755
410.28,11498822.4263916
410.665,11453907.1903992
411.048,11477185.9364929
411.427,11604381.6585693
411.994,11796581.3384399
412.377,11170417.0370789
412.767,10696338.716095
413.342,11545800.3464966
413.723,11978198.9979858
414.099,12657924.725647
414.475,12933527.6771545
414.851,11424265.0798035
415.234,11629243.2364502
415.617,11225628.2547302
416,11344791.5771179
416.377,11956720.3457642
416.758,11446147.0394897
417.141,11344317.7615967
417.524,11125917.7979126
418.101,10690926.6011658
418.483,11161593.3329773
418.865,11618227.0419617
419.252,10704110.8604736
419.636,11070792.473175
420.019,11368539.0452271
420.404,11059604.1445312
420.784,11076478.4383545
421.239,11786941.2476196
421.617,12169328.750061
421.991,12262834.5548096
422.364,12239195.6061401
423.051,10508958.1600037
423.44,10941593.340332
423.819,11824535.5732422
424.273,11827970.3204651
424.732,10738436.3329773
425.117,10636004.9191284
425.507,10558297.7171936
425.892,10391061.9936523
426.28,10054403.3433838
426.666,11085998.6991882
427.126,10900031.9126892
427.59,10235355.8021851
427.979,10540530.853302
428.359,11203767.8222961
428.74,11226104.4142761
429.123,11082568.2936096
429.501,11564096.1314392
429.954,11808813.4230347
430.332,11335106.9664612
430.712,11099628.4249573
431.172,10712290.7105713
431.559,10403032.9543457
431.944,10777758.3215332
432.405,10840061.4772339
432.793,10111588.588623
433.179,10575472.6386414
433.563,10720666.1941528
433.945,10627467.4335938
434.737,10995471.2400208
435.118,11141531.9143677
435.5,11324938.904541
435.88,11048656.8613281
436.264,10645981.8361816
436.643,11445940.072113
437.02,11654240.5065308
437.395,11457504.5707092
437.771,11197104.0233765
438.154,10205411.4665833
438.716,11450823.7198486
439.163,11819493.1994019
439.542,10858522.4916077
439.919,11068536.0307007
440.369,12054453.0541992
440.746,12412747.9602661
441.124,10906029.0650024
441.501,11081714.7004089
442.059,11822855.9059448
442.438,10956707.2523804
442.817,11430889.7181702
443.195,11410241.4610901
443.581,10691244.4297485
444.268,10176186.9986267
444.726,11665056.777771
445.101,11564514.2718506
445.558,11355607.9058533
445.94,11062493.1502075
446.319,11148090.3024292
446.702,10737895.0668945
447.161,11168518.6775208
447.616,11463497.9410706
447.994,11413437.2457275
448.452,10813119.8208618
448.836,10980784.645752
449.297,10600281.9885559
449.751,11683735.3953552
450.125,11691877.062439
450.5,11545899.8574829
450.877,11785966.2669373
451.256,11619348.9844055
451.635,11408125.2664185
452.202,11217677.2912903
452.584,10902107.9086609
452.962,11346175.2614136
453.343,11134569.6677551
453.724,10940751.0822449
454.183,11457977.0110779
454.643,11135410.9540405
455.03,10623498.0308228
455.487,10925277.4389343
455.945,11594631.93573
456.317,12381333.155304
456.688,12527624.6782227
457.058,12589638.1670532
457.507,12354264.9049683
457.878,12235721.1257019
458.248,12231741.7226562
458.618,12214578.6665955
458.989,12952485.8930969
459.358,12959742.5227051
459.732,12134994.2124329
460.106,12019274.2814026
460.676,11424174.6967773
461.053,11994133.9317932
461.428,11917030.9011841
461.881,11210698.3777161
462.261,11340472.8137207
462.644,11152734.1250916
463.098,12331463.0612488
463.475,12115521.2006531
463.851,12111598.8183594
464.229,11390871.0562134
464.615,10787927.3408813
465.002,10819990.3172607
465.407,21898032.7320557
465.837,15812006.8925171
466.387,13529993.8179626
466.755,12845758.0546265
467.123,13277527.1596069
467.497,12403672.7747192
467.868,13155568.3407593
468.317,12751657.5377808
468.685,13544050.8963013
469.055,13222500.9133911
469.429,12735236.8760986
469.805,12268524.6512756
470.183,12034809.7522278
470.634,12002794.9752502
471.007,12371620.2330933
471.381,12713450.1625366
