"rt","ions"
300.163,22596988.99646
300.573,21700838.9418335
300.935,22260442.874939
301.824,21536115.2559814
302.186,21691512.7680664
302.547,21806791.2453613
303.214,22492820.7716675
303.576,22155616.1494141
303.941,21693353.9736938
304.384,21949217.9269409
304.75,21386713.1952515
305.114,21598557.4854126
305.557,21672158.7434692
305.923,21659382.0315552
306.288,21461525.8583374
306.842,22547590.1251831
307.204,21772016.2469482
307.568,21880412.2275391
308.009,22243188.8178101
308.375,21857518.862793
308.741,21744712.8461914
309.403,20113465.8725586
309.769,21777104.3337402
310.13,23086278.5253906
310.579,19953221.7427368
310.95,19565756.272644
311.316,22277553.7850952
311.755,23222310.9812012
312.123,21104060.9609985
312.489,21468644.1123047
313.042,21869693.1158447
313.483,21491165.1196899
313.922,22812715.956665
314.293,20395256.3561401
314.649,21153300.3922729
315.013,21995829.9231567
315.385,21361956.1471558
315.825,24160115.3075562
316.268,20198401.2879028
316.632,22690744.8134766
316.995,22133350.8300781
317.361,21777857.9503784
317.726,24075034.3973389
318.086,23109737.8025513
318.45,22261502.2058105
319.006,21783715.175293
319.37,21510522.9480591
319.732,22693232.0415649
320.095,21963868.133667
320.46,22054635.3634644
320.904,21979588.0519409
321.272,16358702.6602478
321.637,22690139.6455078
322.418,20435765.2498779
322.972,21350313.4067993
323.342,21528532.5438843
324.236,21817236.5948486
324.621,21795509.6293945
324.995,20967363.5640869
325.666,21376584.1085815
326.112,21838221.3529663
326.776,22773912.4435425
327.14,23224018.7420654
327.5,24296140.1746216
328.278,21800511.0491333
328.725,21442303.8813477
329.093,20883906.1697388
329.459,21448034.562561
329.901,22677065.9451904
330.344,20620294.2787476
330.709,21380876.8433228
331.068,22586496.2816772
331.508,22162793.4526978
331.885,20969437.460083
332.249,21590061.177124
332.616,21834454.0186768
332.98,22090385.4049683
333.347,21928918.8949585
333.788,22092577.5178833
334.152,22124855.8323975
334.519,21947204.06073
334.967,21472669.9926147
335.409,20809996.2095337
336.074,20568683.9004517
336.438,21377004.7750854
336.803,22405638.2745972
337.17,21607010.140686
337.613,20980372.2615967
337.978,21432333.2084351
338.342,22499016.4396362
338.764,24143560.0125732
339.126,22390694.6743774
339.487,22324807.8371582
339.849,20298048.7554932
340.223,17059439.2113647
341.119,20470876.6602173
341.491,18584990.2527466
341.859,20475235.2445068
342.229,21344692.8988647
342.671,21555176.9193726
343.04,21776462.8770142
343.406,22020759.0793457
344.178,21963639.4331055
344.848,21366232.6178589
345.217,22823338.7855225
345.579,22190586.2635498
346.028,21006643.1919556
346.397,21190899.7081909
346.769,20439098.2714233
347.319,21506559.8867188
347.688,21325468.0212402
348.054,21608465.1923218
348.419,22382682.4334717
348.976,21067871.8761597
349.343,21222968.84021
349.705,22251314.019165
350.067,22285311.5848389
350.43,23467011.7310181
351.22,21897412.1490479
351.582,22390846.5181885
351.948,21497302.878479
352.309,23088412.8809814
352.749,19037173.0535278
353.114,20847718.100769
353.48,21294949.0290527
353.844,22042068.4663086
354.209,21751360.7897339
354.573,21738974.2487183
354.939,21134930.2487183
355.495,21188005.3270264
355.861,21737536.9130859
356.226,21982170.0758057
356.595,20873911.4212036
357.148,22966613.5567627
357.518,18625510.0855713
357.887,21096266.6878662
358.253,22510170.84375
358.615,23409676.50354
359.177,18884853.2208862
359.554,18970665.6361694
359.902,22184019.3567505
360.266,21712751.7092285
360.631,22000373.7295532
361.012,18992519.9517822
361.571,21016941.8137817
361.938,22042440.8601685
362.302,22326077.0299072
362.74,22019548.0469971
363.102,21513542.8318481
363.468,22181893.1148071
364.021,21609234.2293091
364.464,20743830.3710327
364.831,20950200.2109375
365.192,22079463.706604
365.872,22470395.4625854
366.235,22295042.369812
366.598,21807110.2525024
366.962,22008179.8537598
367.332,22591237.9498291
367.771,21282758.0128784
368.553,20746506.6005859
368.92,20390513.6383057
369.286,20567547.7408447
369.65,21827495.4949951
370.208,21743733.9450073
370.572,21601892.7801514
370.941,21618411.9935303
371.303,22555174.5246582
371.67,19750111.2900391
372.037,20382798.081543
372.48,21243359.9205933
372.847,21512167.6500244
373.218,20890524.552063
373.588,21415257.437439
374.031,21556968.0432739
374.397,21819930.2747192
374.758,21863775.3529663
375.2,21052070.1043091
375.565,20681521.019043
375.931,22203825.4746094
376.307,19772496.6634521
376.752,20110720.0354004
377.122,20757854.0339355
377.488,21170733.1152954
377.858,22431889.8066406
378.223,19841022.8092651
378.645,23820669.4137573
379.08,22502673.9703369
379.442,22153388.1646729
379.809,19796738.5169678
380.175,21581127.3408203
380.614,22283057.1464233
380.98,22147218.4436035
381.344,20299270.6433105
381.786,21082837.0100098
382.156,21176020.0834961
382.519,22341757.2546387
382.961,22012273.8283081
383.516,22056901.5336304
383.881,22116053.3885498
384.32,21795142.8168335
384.682,22038325.4702759
385.044,22746039.5112305
385.498,21032862.8106689
386.06,21344761.5480957
386.51,20693686.6027832
386.952,22911921.9394531
387.502,21828462.1913452
387.947,21751854.0150146
388.31,22663308.1511841
388.673,23470934.7593994
389.337,22732595.74646
389.699,22636192.7315674
390.062,22346833.2612305
390.426,23608575.2902832
390.867,21909362.7952271
391.23,21242810.5864868
391.592,22388767.4109497
392.143,21511406.2219238
392.506,22685604.9214478
392.87,22628810.1172485
393.249,22196808.4741211
393.615,21608333.4717407
393.978,22174287.9613037
394.345,20174199.9882812
394.712,21256212.7145996
395.153,21639356.9707031
395.518,20622298.5909424
395.883,21348598.7832031
396.251,21972139.3877563
396.617,22087227.6997681
397.285,22030437.6315308
397.651,21594209.7279663
398.004,22718011.4714966
398.364,22047171.0726318
398.727,22135874.6710205
399.089,21475216.3926392
399.451,23134989.8834839
399.819,22266536.522583
400.181,22108622.9160767
400.546,21583920.6691284
401.105,21332332.4894409
401.468,21654171.0163574
401.833,21918873.7057495
402.197,22743045.3546143
402.57,20900460.4075928
403.014,21019834.5581055
403.379,21437766.3713989
403.745,21107998.215332
404.299,22318030.225769
404.852,21853301.0167847
405.219,21436978.453064
405.591,21913727.562439
405.955,21104801.8417358
406.519,18255731.09552
406.886,20796066.3334351
407.258,21440423.1309204
407.923,22080357.805481
408.364,21869509.0770874
408.923,21327177.0077515
409.286,22661325.4312134
409.653,21443449.4169922
410.094,21347674.6668091
410.534,22936065.7611084
411.089,22058773.6727295
411.452,22272302.9456177
411.812,23245287.1138916
412.177,21943062.5438843
412.541,21470181.6310425
412.981,21204664.5463867
413.349,20865047.6588135
413.712,22161608.581604
414.382,21298605.3583984
414.744,21530127.0884399
415.113,21043720.8200073
415.555,21679732.1311646
416,21234229.9415283
416.363,22308701.1201782
416.723,20772129.1578979
417.166,21999186.2980957
417.528,21628087.6592407
417.894,20946892.1655273
418.337,21857675.1942749
418.778,21623838.2769775
419.334,21889702.0037842
419.7,21213084.3421021
420.067,19411813.8706665
420.439,20715717.793396
420.885,21018492.1719971
421.329,20981157.5541687
421.693,20960155.4453735
422.059,20671536.3989868
422.499,21323847.6757202
422.864,21872229.1036377
423.231,21126978.4142456
423.603,19827279.3496094
424.049,19655796.3392334
424.417,20270536.7174683
424.782,22150073.7252808
425.566,20617441.2490845
425.934,20919842.3218384
426.302,20171629.3382568
426.666,21831185.8983154
427.441,23216231.2894897
427.889,20497496.539856
428.444,20907233.8510132
428.816,19926806.0007935
429.181,20525215.4921265
429.959,20144904.8918457
430.329,19818869.3009033
430.696,20543836.1077271
431.064,20714771.3726807
431.509,20293227.7493286
431.956,20569237.0160522
432.325,20334281.8647461
432.692,20227017.5787964
433.059,20526798.8076172
433.73,19811738.3146362
434.101,19743821.8308105
434.473,19813866.6508789
435.032,19456214.7210693
435.405,19920805.0960693
435.791,21132889.2869263
436.346,20679607.4924927
436.788,20899673.458252
437.231,20775242.9039917
437.68,20129046.6225586
438.049,18258313.0714111
438.419,20544495.8184204
438.792,20633418.6199341
439.575,16859171.6206055
439.944,19751752.0249634
440.31,20865157.4108276
440.761,19436084.2070312
441.134,19946196.5788574
441.503,19462384.5714722
441.872,20025659.788208
442.44,18297049.0046387
442.884,20269466.369812
443.259,19758347.4836426
443.628,19970946.6489868
443.996,19859957.7640381
444.361,20791192.4767456
444.727,20527012.9042358
445.115,20897122.7909546
445.558,20805393.3627319
446.226,20397763.2709351
446.596,21620660.0093994
446.963,20920538.0540771
447.336,20290637.3291626
447.895,20299154.7599487
448.26,21347277.9675293
448.63,20346842.7436523
449.188,20592146.4543457
449.557,20396849.9194946
449.923,20555231.9421387
450.366,20654867.5022583
450.813,19664769.8001709
451.178,20973954.0943604
451.733,19359504.5806274
452.098,21173547.5527344
452.461,21296898.3591919
452.912,20193876.5551758
453.282,20404716.8261719
453.648,20332975.9226685
454.089,21517404.4529419
454.451,19468073.2611084
454.819,20445447.9009399
455.375,20682246.0288086
455.736,20454606.4994507
456.103,20579577.7733765
456.768,18735510.8955688
457.135,20148188.3185425
457.501,20578625.8403931
457.866,20496725.2848511
458.234,17343581.4101562
458.599,20224258.9435425
458.968,19967475.1051025
459.333,20518358.2462769
459.774,21612194.6849976
460.135,22124164.156189
460.504,20648449.1691895
460.947,19352754.2519531
461.391,21151503.0557251
461.755,22135189.0365601
462.313,20025517.8649902
462.682,20243901.5154419
463.048,21032928.1655273
463.49,20837626.5055542
463.856,21532357.1794434
464.221,20637086.5596924
464.588,19149075.8912354
464.955,20963091.9717407
465.509,20237878.9302979
465.954,20540007.4503784
466.321,21311158.3345337
466.69,19234380.6951294
467.136,19986219.085022
467.585,20240900.8657837
468.031,20780513.9308472
468.586,19999368.4495239
468.951,21614882.5506592
469.322,19869237.5006714
469.77,20239151.9176025
470.33,20607057.3047485
470.696,20727419.7219849
471.048,20090850.5715942
471.489,21043097.3306274
471.861,20209165.5123901
472.227,20767838.4418945
472.673,20650529.6635742
473.118,20240738.7998657
473.49,20854911.8612061
474.608,20024171.84375
474.978,20900044.7311401
475.347,20893203.3279419
476.018,21311260.026062
476.384,22039228.3088989
476.748,21544435.784729
477.646,21162974.5518188
478.024,18646884.6370239
478.393,20659925.2252808
478.758,21719115.8912964
479.122,21825313.8786621
479.487,22533703.8131104
480.039,20296360.8244019
480.413,20788046.4591675
480.775,21436114.3904419
481.215,21401105.0479736
481.578,21876599.4302368
481.946,21917548.3951416
482.31,21436279.4716797
482.672,22449891.411499
483.041,22231737.826355
483.407,21542619.0859985
483.773,21749751.7075806
484.216,21199127.0473022
484.584,20983688.7805176
485.024,21706642.3185425
485.389,21978145.4440308
485.76,20555394.4143677
486.128,22449925.6834717
486.57,22144035.0857544
486.937,20847234.2369385
487.302,21115841.9609985
487.669,20917549.211731
488.03,22409728.2241211
488.47,21771273.6040649
488.915,21178440.9260254
489.465,22014535.0029907
489.903,22977573.5894165
490.346,21480988.2999268
490.785,22799523.3673096
491.146,22917077.3067627
