"rt","ions"
300.266,12818503.1447449
300.767,12045630.083252
301.126,13914326.6837158
301.556,13261356.0653687
301.985,13945212.1866455
302.335,15038006.1738892
302.688,14589221.1061401
303.039,14825127.6727905
303.388,14368572.7313232
303.816,14236146.0805054
304.245,14913774.4616699
304.594,15287657.0079346
304.943,15257075.5198975
305.295,14421635.1121826
305.649,13965362.7745972
306.004,14104192.2836304
306.358,14574470.6107788
306.709,14137251.6856079
307.063,13837165.8610229
307.415,15103352.3063354
307.769,14102750.7967529
308.125,14168834.8751831
308.479,14393033.7189331
308.908,14495204.3821411
309.261,14403019.1246338
309.618,13451829.0962524
310.158,14681493.0106812
310.512,14584049.8864136
310.864,14713939.4526978
311.216,14730946.2915649
311.568,13913708.2419434
311.927,13127627.1717529
312.28,14821837.7601318
312.629,15100168.2046509
312.982,14336077.8964233
313.336,14053513.0860596
313.693,14024607.4489136
314.046,14432427.8947754
314.399,14441690.0873413
314.83,13648240.6620483
315.186,14097152.701416
315.538,14376942.8424683
315.89,15374199.5735474
316.25,13162050.9504395
316.608,13500762.9432373
316.962,14173846.0797729
317.318,13892250.9171143
317.672,13998092.7606201
318.026,13863911.135498
318.379,14567107.1280518
318.731,14569659.0640869
319.082,15100792.8971558
319.431,15516789.8421631
319.781,14966278.0470581
320.132,14916309.0668945
320.486,14026963.8444214
320.838,14802063.2165527
321.376,14995634.3605347
321.728,15094111.2252808
322.083,13743000.6355591
322.517,13072734.5285645
322.871,14677646.5412598
323.221,15800354.5294189
323.571,15945346.0400391
323.918,15678318.9224243
324.266,15411969.5106201
324.617,14670162.0198364
324.966,15343444.5603027
325.319,14568592.1022949
325.67,15078785.9802246
326.097,14771216.7038574
326.446,15038830.8204346
326.798,14127441.6586914
327.151,14558212.3621826
327.501,15190381.6647339
327.856,13472374.3118286
328.21,14116942.8701782
328.639,14012178.6832275
328.988,14744619.9334106
329.336,15463743.633728
329.877,13818625.7970581
330.232,13726089.6525879
330.586,13959726.5863037
330.941,13813309.779541
331.296,13832407.9317017
331.646,14828670.8817749
332,13775601.5601807
332.353,14213676.5123901
332.71,13532449.5569458
333.063,14089759.8742676
333.412,14486107.0419922
333.762,15262520.6907959
334.113,14390998.9280396
334.536,15178449.8495483
334.962,14458582.8804321
335.313,14845142.7469482
335.663,15297389.3615112
336.011,15355296.1017456
336.36,15153205.9282837
336.709,14522459.2348022
337.058,15012294.2470703
337.403,16209769.678833
337.75,15133508.9621582
338.1,14463839.6994629
338.45,14968571.751709
338.801,14204327.7290649
339.155,13892834.0011597
339.508,14466820.8786011
339.86,14270671.2070923
340.211,14564036.8417358
340.562,14649922.3498535
340.912,14402644.1314087
341.266,14222432.946228
341.693,14377015.7492676
342.044,14735299.4933472
342.395,14266089.6170654
342.747,13764272.7527466
343.287,14254016.5148315
343.639,14456296.4300537
343.989,14643537.0338745
344.338,15095045.4658203
344.686,15025323.1737061
345.036,14789401.5357056
345.383,15620939.7440796
345.731,14830654.1155396
346.08,14824550.2368164
346.43,14341065.9915161
346.78,14531776.6553955
347.133,14103702.9026489
347.562,13834917.8043823
347.917,13022639.3878174
348.276,12671748.0720825
348.631,13933061.0530396
348.983,14250740.538208
349.336,13171017.7161255
349.697,12521816.5958862
350.054,13510020.4631348
350.409,14320237.6613159
350.762,14236410.8769531
351.115,14228222.4077148
351.472,13176995.3129883
351.825,14106554.9636841
352.179,13297354.4910278
352.541,12701830.7779541
352.898,13272841.9766846
353.25,14515620.2589722
353.599,15147026.2647705
353.948,14635952.515625
354.298,14222202.890564
354.649,14097514.3015137
355.001,14333263.8184814
355.355,13671752.7088013
355.785,13655222.9170532
356.136,14961564.25177
356.484,15522559.7662354
356.834,14376187.567749
357.183,14712869.8857422
357.535,14648063.2305908
357.887,14597446.3106079
358.234,16243238.5280151
358.577,17108359.9022217
358.997,16236640.4058838
359.344,15570608.3503418
359.692,15257730.6585083
360.046,13488486.8830566
360.396,15090038.895813
360.742,15839757.6954956
361.09,14958866.8537598
361.437,15565794.8826904
361.789,14081287.8203735
362.142,14298758.7489624
362.497,13360129.4362183
362.854,13171387.885376
363.212,13090847.8358154
363.641,14000235.8952026
363.993,14781728.4225464
364.346,13429988.5089722
364.893,12986612.5039673
365.25,12898298.9490356
365.603,14348730.5493164
365.954,14681009.8145752
366.303,14845396.4807739
366.654,14618373.5488892
367.007,14217879.4467773
367.359,14645768.6613159
367.71,14727680.5926514
368.134,15542728.4248657
368.482,15741748.0241699
368.83,15462417.5350952
369.178,15403237.7348633
369.606,14203912.3068237
369.957,14042006.0056152
370.311,13832994.1992188
370.662,14122359.7665405
371.014,13992493.5206299
371.447,13105172.4720459
371.799,14367745.0055542
372.15,15036519.7063599
372.5,15030911.2432861
372.85,14312215.9151001
373.204,13966899.5706787
373.556,14766076.0628662
373.907,14451130.9169922
374.257,14395601.5187988
374.61,14013624.5249634
374.963,14327842.1114502
375.317,13512780.7830811
375.671,13604485.9348145
376.026,13502678.1904297
376.378,14332374.524231
376.729,14147867.1702271
377.083,14232500.7131348
377.435,14595388.3175659
377.787,14704511.6809692
378.135,15670199.8346558
378.482,15510231.2181396
378.831,14655501.6931763
379.178,15333344.9858398
379.53,14254814.0205688
379.879,14881627.2671509
380.231,11085622.338623
380.581,14901905.809021
380.93,15116362.1641235
381.28,14515704.4679565
381.628,14891304.5605469
381.976,14692780.5237427
382.325,14552691.4196777
382.674,14761064.7640991
383.021,15725276.8917236
383.367,15602548.5762939
383.717,14701478.394104
384.063,15403266.689209
384.486,15234255.2277222
384.833,16051586.9790039
385.178,15485284.7172241
385.527,15293711.7396851
385.873,15594156.5438843
386.223,14491020.0473633
386.572,14482462.6939087
386.922,13697022.5400391
387.273,14125612.338501
387.623,14435244.482666
387.971,15123469.4831543
388.322,14211574.642395
388.671,14961285.0946655
389.02,14754305.4630127
389.371,14037498.5856934
389.722,14663596.0253296
390.07,15106898.7866211
390.42,14865864.5823975
390.771,14177270.5337524
391.122,14104813.1774292
391.55,13861162.6290283
391.902,14760058.9711304
392.253,14712556.9430542
392.605,13926882.052124
393.143,14321047.5357666
393.496,13478404.1303711
393.833,13278641.9234009
394.256,14205423.6793213
394.61,13606318.8572388
394.963,14228151.7088623
395.313,14465198.9852295
395.668,13518285.6225586
396.092,15453680.3214722
396.445,14983348.2036133
396.797,15776261.8294678
397.147,14779537.5145264
397.569,15799865.3386841
397.92,14278348.7080688
398.27,14596129.890625
398.618,14475228.84021
398.968,14415344.6871948
399.319,14522165.6514282
399.672,14000213.9050903
400.023,13649943.5203857
400.375,14293231.142334
400.728,13134049.9772949
401.082,13636158.4624023
401.433,14747318.2238159
401.787,13670101.7150269
402.14,13794754.2602539
402.508,11879372.4185791
402.872,11960588.2425537
403.239,13240074.2740479
403.674,12826989.7980347
404.029,13480528.8915405
404.389,13875688.1442871
404.742,13206377.7701416
405.1,12882969.2736206
405.463,12770313.9918213
405.824,13847565.8955688
406.172,14785549.835144
406.518,14989072.6916504
406.866,14724170.7615356
407.215,14094448.9981079
407.567,13555537.4412842
407.92,13385412.633667
408.275,13127831.3852539
408.704,13382929.1845703
409.059,13249940.8955688
409.416,12779263.0509033
409.774,13102118.1327515
410.125,14428611.8748779
410.554,13595689.8417969
410.907,13737867.8616333
411.26,13728458.7923584
411.614,13641571.4429321
411.963,14645721.7427368
412.312,15056582.7926636
412.662,14261498.2171021
413.007,15319057.7631836
413.356,13561867.0637207
413.709,13619101.220459
414.135,13947425.1626587
414.484,15261869.6072998
414.83,16016611.5292358
415.175,15414142.7116089
415.596,15430930.2058105
415.945,14269779.5715942
416.297,13912097.4365845
416.724,13828772.9672852
417.076,13545559.2593384
417.43,13584587.7580566
417.784,13451209.6096802
418.135,14259576.3383789
418.558,15095776.9537964
418.904,15624344.3966675
419.258,13637551.2755737
419.608,14287111.5292969
419.959,14119607.8108521
420.31,13940569.9867554
420.66,14453331.2022095
421.012,13187204.7786255
421.365,13808804.7264404
421.904,13638045.7786865
422.258,12570465.9437866
422.615,13028166.2927246
422.968,13637915.0526123
423.322,13384666.4164429
423.751,13392847.7983398
424.105,13534285.8781128
424.459,13588935.2056274
424.807,14312054.5322266
425.157,13542948.6594238
425.511,12812536.9432373
425.865,13074972.9528809
426.221,12666349.1351318
426.574,13522843.4065552
426.923,14065467.6426392
427.278,12439873.0968628
