"rt","ions"
300.148,23928583.541687
300.558,23805651.5105591
300.909,24240471.7133789
302.009,24159177.9975586
302.358,22413798.2228394
302.703,26442266.9391479
303.13,24930469.5760498
303.899,23480981.0193481
304.252,23215980.8273926
304.603,23283639.1116943
305.028,24927520.7244873
305.38,23677381.2746582
305.811,23611848.2998657
306.243,23620761.8839111
307.243,22429615.3190308
307.599,23825033.4655762
307.957,23923594.5265503
308.507,22569889.2946167
308.942,22428541.3746338
309.291,25611664.2628784
309.64,26016734.9178467
310.067,25451007.336853
310.418,25722294.8865967
310.757,27618389.0385742
311.104,26786099.2377319
311.457,25893687.8026733
311.813,24988483.0397339
312.167,24970636.5211182
312.523,25417344.644104
312.875,27347949.8483276
313.224,25763679.5753174
313.577,25620012.6461792
314.013,22213247.6532593
314.373,24520782.8463135
314.734,23670225.6293945
315.736,24674749.4744263
316.096,23776257.7974854
316.451,25323028.222229
317.788,23372429.0610352
318.145,23944224.4532471
318.504,23902350.3182983
319.281,24261407.8064575
319.64,23102435.8858032
319.999,23305463.9119263
320.545,21611541.0163574
320.917,22504773.0462646
321.281,22587790.7001343
321.64,22734898.3406372
322.296,23302729.6528931
322.729,23870554.8148804
323.265,29167772.8630371
323.695,23879750.2501831
324.13,23363552.0012817
324.558,26600126.4811401
324.917,22610272.0284424
325.347,24840546.9259644
325.703,23462145.3171387
326.058,25145638.8773804
326.491,24064235.9887085
326.921,25121750.2345581
327.578,24170476.3486328
328.011,24027912.4680176
328.447,23738277.3376465
328.79,25635577.230896
329.154,22623195.4907837
329.589,23134804.0950317
329.949,22136574.411499
330.31,22768767.6038818
330.668,23537963.1225586
331.028,23640996.2163086
331.579,23062878.2853394
332.017,21642732.5579834
332.377,22175665.9142456
332.739,22559209.1257324
333.099,21952013.4919434
333.535,23015935.803772
333.894,23872255.5723267
334.255,23572332.2751465
334.618,22551524.2142944
335.053,23744996.6070557
335.486,23892318.6139526
335.842,24446748.3009644
336.197,24185063.4007568
336.743,23078104.6395874
337.176,23445641.0576172
337.532,24239934.4998169
337.886,23101958.8426514
338.248,21146817.8756714
338.689,22046122.5120239
339.049,21046252.7868652
339.412,23760214.7505493
339.768,24431636.1487427
340.135,22646533.9188232
340.563,25174802.1560059
340.998,24266901.2001343
341.355,25193438.4273071
341.711,23819978.7637329
342.067,23676206.1085815
343.181,22376597.9971924
344.067,22117412.0991211
344.425,22845846.0110474
344.786,22120190.4425049
345.205,28238839.2073364
345.751,23259859.4428711
346.113,24713001.6328125
346.469,24377947.4179688
346.913,25969549.0949097
347.27,24061417.8099365
347.625,24076784.7150269
348.057,23157764.4203491
348.486,24108811.1879883
348.841,23611361.1079712
349.21,20171940.2366943
349.565,23166911.2236328
349.92,22804385.0359497
350.277,24136735.7897949
350.937,25046465.3770142
351.292,24132268.6466064
351.644,26177090.588501
352.194,23642849.0525513
352.556,22775864.5903931
352.914,23023384.6680908
353.272,23760243.3341064
353.826,21340788.1627808
354.186,22168826.6530151
354.55,22202560.8048096
354.912,23059269.8382568
355.283,23008431.729126
355.717,23569501.5849609
356.378,26978583.0039673
356.733,25372935.4928589
357.09,24252601.3997192
357.448,22475757.9485474
357.884,24191635.9429321
358.319,23496588.374939
358.676,23563411.8361206
359.033,25922605.8112183
359.408,16750093.1546631
359.852,20917505.038208
360.214,23688547.3201294
361.669,24588082.609436
362.226,22025872.3044434
362.596,21804630.2488403
362.969,19894618.2050171
363.518,19468584.4497681
363.942,18867828.7218018
364.717,24378485.9459229
365.079,23531385.4533081
365.441,23083705.7080078
365.876,24046336.0195312
366.238,23929347.9660034
366.583,24657306.9022217
367.015,22980867.2285156
367.45,24483779.3023682
367.809,23003800.7033081
368.163,25475513.2272339
368.708,22999081.4177246
369.069,23138532.7592163
369.424,25403959.1261597
369.857,24197884.6990967
370.208,24366186.2606201
370.567,22562356.2651978
371.001,23674043.2557983
371.547,23942647.2412109
371.905,23177532.4190063
372.258,24521401.2905273
372.615,24841023.3591919
372.97,24945442.6242676
373.514,25064549.4534912
373.869,25309304.1503296
374.23,20597042.6514282
374.587,23729992.3710327
374.948,22858001.2202759
375.495,20759803.5674438
375.858,22534651.2097778
376.218,22736261.0250854
376.579,23907657.4821777
376.935,24208591.2080688
377.598,23061190.6886597
377.961,23497279.0015869
378.321,23264345.5496216
378.687,18732032.0366211
379.13,19513697.699585
379.506,21643849.2181396
379.869,22384209.1501465
380.417,23131278.1669312
380.78,22414543.9091797
381.138,24599454.4735107
381.799,23198012.4799194
382.16,22751398.6771851
382.523,22905281.2351074
383.07,23578250.5388184
383.508,22771895.6630859
383.868,23173417.0981445
384.228,23679901.0273438
384.588,22798496.3380737
385.136,21946150.2884521
385.502,23282802.0308838
385.863,22688878.3444824
386.529,21395352.9498291
386.898,18004307.8189697
387.263,29414934.0103149
387.636,17299070.6885376
388,17484159.5341797
388.664,21993241.0276489
389.027,22769214.2556763
389.397,17377341.7664795
389.76,27243160.4567261
390.124,21202030.8106689
391.118,25601654.479248
391.472,24468949.9559937
391.907,23001567.902832
392.34,23351971.9295654
392.774,21794672.6997681
393.139,20545268.4255981
393.506,19388760.4891968
393.872,23177756.2748413
394.234,22628673.6990967
394.67,22421174.6074219
395.029,22263822.5043945
395.391,22589208.5974121
396.049,23885233.1463013
396.406,23444544.2799683
396.751,24498400.5751343
397.181,23515435.8201904
397.537,22843386.1014404
397.894,22441779.1688232
398.256,21300542.2913208
398.625,20765973.1813965
399.399,21425209.6992798
399.757,22906368.9181519
400.122,20489087.1448364
400.489,20264663.5307617
400.848,20596972.7277832
401.203,23841613.7559814
401.644,19944197.147583
402.004,21149617.5670166
402.428,24278918.8300171
402.786,21466347.8696289
403.338,20760149.6779785
403.703,20600292.9009399
404.079,19097224.0523071
404.64,20284201.635437
405.009,21648466.6573486
405.37,21947821.9859009
405.814,22250394.8358765
406.171,22512225.7704468
406.536,20754335.1134644
406.9,20981242.0139771
407.678,22484224.4295654
408.041,21460554.043457
408.404,21001839.7363281
408.955,22964942.3876343
409.317,20920174.0360718
409.676,23003193.9223633
410.04,21697460.4447021
410.699,23335160.5307007
411.062,21279937.0681152
411.504,21716913.1447754
412.058,21092560.4147339
412.5,20723901.1856079
413.062,20185561.6383057
413.426,21643481.793396
413.799,24016293.204834
414.165,22737222.8432617
414.715,23229679.7449951
415.076,20083859.3625488
415.437,21115722.7446289
416.111,22841751.4136353
416.481,19874748.0981445
416.851,19635552.2041016
417.222,19908731.4842529
417.593,20197315.295166
417.963,20793968.4185791
418.407,20073682.0552979
418.788,22614484.3190308
419.155,20036068.4314575
419.517,21644091.9442139
419.876,21679762.3479004
420.241,20245326.7304077
420.605,21471001.0991821
421.044,21858185.1326294
421.595,21559076.4095459
421.96,20803668.677124
422.324,20850540.7109985
422.69,20055435.0300903
423.054,20880073.6451416
423.493,21296980.0871582
423.857,20561150.9747314
424.217,21377706.9741821
424.576,21766378.5993042
424.938,21355972.4113159
425.301,21255925.1668701
425.662,20417352.0991821
426.106,18423260.8063965
426.653,23874654.4504395
427.013,22932900.7133789
427.372,22232300.1029663
428.149,22632093.2479248
428.509,18784012.9916382
428.882,18220950.6278076
429.429,23334241.140686
429.786,22946344.2444458
430.158,17389790.961792
430.835,19111996.7503052
431.41,20105341.2854614
431.776,21454799.3699341
432.142,26387549.0723877
432.537,21755207.968689
433.985,21085529.937561
434.418,20446448.2974854
434.852,23103089.1507568
435.209,22601161.1287231
435.568,22552361.5073242
435.93,20818208.9805908
436.29,20950681.982605
436.732,19184730.9572754
437.09,21578387.487915
437.644,19354116.3829956
438.005,21298635.7434082
438.365,20398574.6327515
438.73,19804933.5058594
439.109,17285314.2398071
439.549,20157314.9946899
439.913,20027801.145752
440.272,20905902.9004517
440.935,21853381.4924316
441.371,20800058.6424561
441.746,18048432.8053589
442.109,20601610.1432495
442.469,21022137.6746216
443.02,20232466.9199829
443.381,20823123.175354
443.745,20615257.8462524
444.105,19698397.505127
444.651,20998157.8318481
445.2,20944720.4226074
445.563,19754511.6383057
445.927,25165096.0472412
446.29,21435954.15271
446.839,21258220.8396606
447.213,20758975.8468018
447.582,19537318.9338989
448.131,19792718.3203125
448.489,21358749.0319214
448.851,22342814.0219727
449.297,18476735.1870117
449.972,18987485.333252
450.408,23367094.772522
450.769,21193937.6135254
451.127,21958948.3354492
451.777,20529396.0556641
452.154,19422930.8060303
452.523,17941481.0386353
452.893,18948854.5692139
453.338,21129750.539978
453.706,18378124.3233643
454.078,19345365.6387939
454.63,20520774.8895264
454.989,21608771.694397
455.353,20705358.2503662
455.715,20257620.3867798
456.157,22119156.687439
456.522,21000223.4365845
456.881,20238825.7671509
457.436,19537128.8080444
457.8,19232247.6420288
458.166,19891484.8505859
458.605,20995881.2558594
459.143,19851852.1982422
459.598,16654503.928009
460.02,20378901.2622681
460.457,19620868.7127686
460.829,18940914.1295776
461.203,19851053.5222168
461.867,20744590.0551758
462.246,17430173.8677979
462.617,18543335.9162598
462.994,19201669.7728577
463.359,20450857.3579102
463.916,20677391.4613647
464.276,20844298.1724854
464.641,19672511.565918
465.43,19673918.0316162
465.797,19799015.2874146
466.165,18762420.5852661
466.616,20245742.5115356
466.976,22160763.1774292
467.34,21315459.1704102
467.777,19983669.2869263
468.137,21411119.5097046
468.496,21781130.376709
468.863,19623389.963623
469.312,19955621.3565063
469.675,20872902.2565918
470.04,19228259.8302002
470.481,20148623.0246582
470.845,20770076.9221191
471.217,18149733.8267212
471.994,21490880.7960205
472.364,17708927.539978
472.755,19833391.9414673
473.312,21948945.8408813
473.677,21975763.0401611
474.04,21460398.7340088
474.403,20999640.5794067
474.847,17068871.4878845
475.298,17766056.2341309
475.74,19706902.7861328
476.876,20886471.7709961
477.243,20426456.406189
477.614,18997201.4946899
478.162,17371296.9542236
478.532,20360605.8275146
478.902,18730589.6762085
479.269,19650929.7520142
479.826,19844762.1763306
480.19,19717924.1460571
480.554,20014923.2133789
480.994,19773168.5470581
481.358,18794796.5549316
481.728,19927027.947937
482.173,19663832.5741577
482.615,19473454.7606201
483.08,17011239.4142456
483.445,18423557.1606445
483.806,19879542.477478
484.358,19531833.1220703
484.717,21600116.3717651
485.079,20318037.4058838
485.746,20357482.227417
486.115,20609552.7033691
486.478,21472006.2511597
486.845,19961953.9995117
487.218,18988697.9995422
487.654,19989636.2976074
488.018,21729415.4163818
488.356,20062868.2785645
488.718,17556277.4190674
489.06,21436137.4728394
489.61,20712305.5958252
489.975,20445743.1335449
490.341,18817989.8084717
490.704,19342588.0145264
491.139,19049634.649292
491.506,20567751.3538208
491.867,18942775.1461182
492.226,18758815.8637085
492.587,19901891.3797607
492.949,22350250.0420532
493.721,20374039.6380005
494.081,20222115.3327026
494.446,18495220.605835
494.811,18468836.4283447
495.478,19311862.8250732
495.828,16820031.8556519
496.176,21366910.3627319
496.552,19445949.7210083
496.921,19386126.30896
497.285,18093231.2095947
497.649,20266346.1040039
498.091,19026786.5651855
498.462,17355464.2158203
498.834,17814894.7996826
499.284,20111832.164917
