"rt","ions"
300.206,16702343.7426453
300.671,16744074.3699951
301.062,15245597.4807129
301.862,13654729.2811584
302.25,14598278.6242065
302.623,15860679.1640015
303.197,14757881.4741821
303.585,13901796.7758179
303.959,15372285.2542114
304.345,20734010.2444458
304.709,18813901.442627
305.071,19102576.8157349
305.511,14935863.5528564
305.889,15075603.7443848
306.265,14446975.3062134
306.642,14575128.4005737
307.105,13976903.2490234
307.475,16170344.84021
307.837,18656211.2426758
308.382,18634096.9382935
308.773,18055425.7475586
309.137,17354145.5546875
309.798,18176147.7266235
310.156,18827932.4721069
310.527,18340557.4538574
310.886,17950851.0611572
311.243,18767642.512146
311.6,16295620.3014526
311.957,18729469.4188843
312.317,18704606.4859009
312.748,18287828.9683838
313.108,17999101.1216431
313.467,18374879.3503418
313.826,17823702.1851196
314.488,17855884.5913086
314.848,18044637.951416
315.207,18046247.5236206
315.566,17810365.7196045
315.922,18515747.019165
316.582,17861922.3944092
316.971,15328603.0450439
317.336,17447260.0618896
317.701,15823823.3759155
318.075,14652137.5697632
318.44,16276744.3776245
318.811,14871033.7019043
319.179,15908919.0120239
319.633,18338114.4983521
319.987,19617119.0557861
320.415,19840551.7576294
320.843,20820846.9797974
321.227,13084352.7259521
321.601,14639004.8775635
322.051,14919949.0708008
322.483,17952326.4852295
322.841,18018526.1696777
323.197,18170473.4063721
323.578,14758695.255188
324.019,14781130.7685547
324.469,14369051.7387085
324.838,15015881.8193359
325.193,15949723.5521851
325.621,18663503.975647
325.974,19076897.4869995
326.327,18911797.0804443
326.68,18693100.3971558
327.036,18947975.6335449
327.466,18491781.3329468
327.82,18360261.2814941
328.174,18517031.951355
328.524,19389283.7790527
328.876,19987377.7796631
329.303,19430813.1080322
329.656,18696856.2207031
330.011,18328318.5057373
330.363,18991444.1747437
330.714,19757486.0901489
331.064,19914935.1812744
331.416,19332868.3778076
331.964,19480448.8485107
332.315,19105181.3688965
332.668,19395595.2567139
333.093,15225406.4782715
333.456,15584816.3080444
333.813,17749722.0750122
334.252,15757036.7722168
334.621,15420575.4524536
335.286,15637277.3032837
335.649,15496589.5944824
336.003,18526006.1116943
336.543,19219803.2019043
336.894,18971236.5184937
337.247,18703099.0470581
337.677,18579400.8764648
338.054,14042268.7545776
338.423,14273533.6566162
338.798,13984156.8643494
339.182,14190143.2167969
339.619,16458739.4449463
339.983,15066275.6917114
340.36,14186542.2180786
340.728,15577636.9768066
341.107,13501573.6759033
341.48,17649489.3338623
341.837,18384066.2230835
342.378,18913480.0772705
342.82,16753952.9976196
343.25,18764114.0494385
343.609,16924398.9551392
343.965,18083444.2128296
344.319,18941306.1142578
344.748,18640511.4801636
345.101,17708490.3417358
345.479,12858921.7231445
345.834,18603931.3040771
346.188,18559155.1535645
346.729,18411382.5388794
347.083,19141818.9681396
347.435,18424778.2445068
347.789,18801378.3777466
348.442,18859203.7891235
348.798,17194271.6124878
349.151,14093848.7628784
349.521,13961338.7841797
349.891,13566749.1995239
350.267,12488610.7363281
350.641,13774057.8085938
351.011,13703578.3158569
351.367,16965147.2019043
351.722,17577579.6504517
352.077,17651946.5532837
352.508,17531826.6982422
352.861,17905892.3733521
353.216,18194811.3111572
353.571,16939662.9768066
353.924,17991822.3512573
354.576,18329304.975647
354.929,18594598.7510376
355.282,18208509.357605
