"rt","ions"
300.157,26483186.9993896
300.563,26046555.2451782
300.914,27675853.4025879
301.263,28164687.0141602
301.612,27877974.7075195
301.968,24734583.5060425
302.317,26873532.5507812
302.666,26831757.7457275
303.014,28848003.7503662
303.36,26664281.4937744
303.708,26695962.3128662
304.057,27273466.5059204
304.406,28350438.0644531
304.757,27234708.4431152
305.108,26842966.6014404
305.456,29278511.1751709
305.803,29722809.0186768
306.157,27777430.4158936
306.505,28451026.0753174
306.855,27856293.1560059
307.205,28554504.9524536
307.55,27903828.0770264
307.901,27752951.6850586
308.249,28058714.8533936
308.598,27233873.1905518
308.942,35733152.8756104
309.285,33075909.0020752
309.624,34587247.8375854
309.971,25515463.4192505
310.623,26565103.6450806
310.974,27738760.3922729
311.325,26831018.038208
311.677,27859348.8266602
312.029,25774928.0134888
312.381,27212883.2235718
312.731,28200754.9033813
313.081,28476546.6629639
313.431,28235343.8834839
313.784,27299490.3118286
314.133,29249684.9226074
314.482,28793103.6376953
314.835,26494714.2643433
315.185,28538470.3762817
315.535,28190726.5745239
315.883,29459620.5765381
316.234,25670111.5645142
316.583,28959313.6289062
316.937,29134881.6561279
317.288,27708920.9224854
317.641,30411701.7600098
317.994,27402089.9318237
318.346,28543185.4993286
318.699,28955579.3271484
319.046,28006729.0465088
319.398,27344273.0657959
319.751,27320156.6801147
320.103,27680821.8865967
320.453,28050275.1280518
320.805,27793244.4520874
321.156,28470836.0187988
321.511,27361992.0587158
321.871,27615660.3584595
322.224,26674727.0844727
322.577,27744988.1303101
322.928,27331882.1427002
323.28,27944334.7108765
323.631,27464870.8175659
323.99,26773532.9825439
324.346,26237006.2371826
324.702,26707095.5401001
325.058,27921603.3484497
325.41,24902991.0661011
325.765,27371756.1591797
326.121,27308289.0977173
326.474,28786047.9500732
326.826,28018175.5023193
327.183,26781300.0717163
327.536,28448591.8217773
327.885,27998071.2141724
328.237,27793145.3522949
328.592,26768820.8067017
328.946,23866993.1030273
329.273,44974061.3782959
329.621,29510587.4238892
330.046,32078203.5088501
330.472,31930120.2922363
330.819,32475145.6568604
331.354,31047781.3554688
331.702,30201888.3623657
332.054,29578591.7976074
332.407,29061693.500061
332.839,28403529.5168457
333.193,27931468.1466064
333.547,27730816.4165039
333.976,27439943.5145264
334.325,28371800.8775635
334.678,28058046.2033081
335.029,28245732.8635254
335.382,28022991.0713501
335.737,27576214.9233398
336.285,25328965.4457397
336.643,26278412.1601562
336.998,26975004.6896362
337.35,28445682.187561
337.701,27352666.6871338
338.052,27974643.8978271
338.405,27807672.1240845
338.757,28469597.8347168
339.085,41348283.3834229
339.441,26151881.5301514
339.801,26257073.5743408
340.156,26606175.7633057
340.51,27276628.4956665
340.866,26563729.1652832
341.223,27580028.4294434
341.587,26308844.3423462
341.942,26937603.8166504
342.302,25504226.5540161
342.659,25956463.137085
343.016,27123007.2592773
343.374,27087785.8321533
343.732,26837153.463562
344.087,26671834.8644409
344.444,26407222.2885132
344.803,27295264.8942261
345.162,26779014.8858643
345.524,26688614.9192505
345.887,25883010.2982788
346.252,24951937.631958
346.611,26231430.5119629
346.973,25380749.2313843
347.329,26290565.5112305
347.69,26444843.855835
348.051,25364094.8738403
348.427,23558878.3905029
348.787,25399032.258728
349.147,25130121.8146973
349.586,25139279.2460938
349.944,26675946.3022461
350.301,27107898.7509155
350.657,27434491.4216919
351.011,26284023.1577759
351.374,25603678.3122559
351.721,36899392.204834
352.07,33130874.2865601
352.43,31853828.0079346
352.786,30695132.402771
353.442,25866650.3947144
353.803,25661181.0175781
354.163,25299954.5822754
354.524,25300869.1506348
354.884,31561267.8929443
355.236,31297794.1030273
355.587,31741738.678772
355.939,32063010.4762573
356.291,29817081.807312
356.837,27072777.4051514
357.184,28030472.5414429
357.523,36839855.1181641
357.867,34787329.7515869
358.218,30102611.9327393
358.576,31014921.9274292
358.932,32205521.5953369
359.281,31634535.8222656
359.635,26006979.6316528
359.991,27385872.0873413
360.347,27913657.2332764
