"rt","ions"
300.32,12040936.9852295
300.782,13609365.346283
301.129,15230308.84198
301.765,18446581.9205933
302.102,17081615.7632446
302.44,16523220.5496216
302.782,15707328.7966309
303.125,15948631.7175293
303.539,17141570.9365234
303.878,18091711.6433105
304.215,18232649.1022949
304.966,17349536.6176758
305.302,17450064.7651978
305.644,16304331.6177368
305.985,16217073.460083
306.328,15512181.5939941
306.672,15918803.7639771
307.014,16444936.9692383
307.355,16707559.0646973
307.773,16371649.3180542
308.116,16621041.1639404
308.456,17385282.3990479
308.796,17227869.9130859
309.136,16776100.1881714
309.476,16638204.9960938
309.819,16059506.1630249
310.163,15894085.6589355
310.505,16229699.2015381
310.843,17947215.6917114
311.18,18788667.8795166
311.516,19050325.2213135
311.85,19662087.3457031
312.185,19275594.895874
312.52,19196715.927063
312.855,19793613.0450439
313.191,17956308.9365234
313.531,17221605.864502
313.87,18280203.9230347
314.21,16856439.3329468
314.552,16671119.1834717
314.894,17360491.3518066
315.311,16957799.5864258
315.651,17211935.7456055
315.988,18224713.3557129
316.324,19228398.2994995
316.661,19472322.6428223
316.995,19324740.1086426
317.332,18221732.5679932
317.672,17571987.1517334
318.013,17441486.3877563
318.428,17840639.616272
318.769,17309403.9770508
319.111,17371226.0521851
319.455,17001728.9398804
319.794,18098178.9866943
320.135,17899191.7957153
320.474,17418576.0420532
320.889,17806045.7649536
321.227,18590766.1137085
321.561,19958158.4644775
321.896,19866471.5679932
322.233,19611617.9639893
322.57,18435643.90625
322.984,18017986.7141113
323.398,18553534.7684326
323.734,19266232.6779175
324.071,18723442.2034302
324.408,17952486.1206055
324.746,18905993.0255127
325.087,17267006.4225464
325.426,18360953.3530884
325.765,18047875.1253052
326.106,17671795.4307861
326.52,18106279.7681885
326.859,17752951.8480225
327.201,17246717.8551025
327.543,17054033.303894
327.959,17154790.8101807
328.299,17305941.1975098
328.641,17386586.3169556
328.98,18312704.4119263
329.318,18431397.2133789
329.657,17930368.2214355
329.997,18259887.0681152
330.335,17431123.5015259
330.677,17937115.0452271
331.018,16584735.9575195
331.359,17726947.2235718
