"rt","ions"
300.145,25134251.3990479
300.548,22190015.7287903
300.903,22692825.1210327
301.676,21520723.2354736
302.032,21388293.0808105
302.39,21242294.6691284
302.933,23667928.9691162
303.478,22214402.4302368
304.246,22368776.3364258
304.604,22348240.2611694
304.964,21671054.5466919
305.963,22022042.8270264
306.326,21363382.9718018
306.687,21455102.3687134
307.689,21295244.1246338
308.06,22595850.5426636
308.417,23029959.786377
308.852,19638911.2844238
309.21,20912609.4872437
309.569,21740752.7918701
309.935,21671932.9492188
310.297,21351089.7145996
310.665,21191939.9343262
311.031,20862012.7930908
311.393,20859583.8116455
311.751,20543809.9768066
312.112,21139815.2489014
312.463,26111672.7926025
312.82,23565001.9436035
313.182,20614713.0922241
313.62,24796596.074707
314.169,23182004.6481323
314.529,22596042.8400879
314.891,22571705.5617065
315.255,21972186.8282471
315.616,21821307.3203125
316.176,21309597.9776611
316.544,21405379.9219971
316.91,21109407.2056274
317.281,22990370.5514526
317.718,22846532.0824585
318.079,20850678.5665894
318.443,20090389.9550171
318.808,21701806.5210571
319.169,20074203.479126
319.535,21717856.9467773
319.907,22716218.9216919
320.275,21334908.7349854
320.643,22305261.1403809
321.082,19956380.5420532
321.866,20427476.1873779
322.239,23104316.8898315
322.602,20841491.2679443
323.158,21348789.7498169
323.524,20530514.2774658
323.894,20742826.8163452
324.34,20835705.6160278
324.706,23824095.7227173
325.061,24189145.1720581
325.497,21653639.7437744
325.938,21618889.3306274
326.38,20276101.4177856
326.819,21252814.4609985
327.181,20699809.8453369
327.553,20988360.1212158
327.998,21756113.0562744
329.119,22176326.1334839
329.494,16958542.1810913
329.846,20101802.3356934
330.616,21932245.2649536
330.979,21499394.3296509
331.343,21834333.3875122
331.788,21028499.1304932
332.146,20489981.6364746
332.512,19441968.501709
332.952,20471413.7104492
333.62,21655455.4597168
334.064,21380646.9889526
334.615,19381590.0899048
335.057,21479883.1142578
335.422,20260237.8546143
335.789,21161230.9439697
336.155,20694352.2826538
336.73,4820655.5305481
337.069,17641232.972229
337.432,18135732.0466919
338.669,21108399.4105835
339.036,20949708.1995239
339.416,19053785.9974365
339.783,20501766.960144
340.147,16212368.9707031
340.586,20960604.6289062
340.951,21096496.1786499
341.322,20251725.7739868
341.763,21571591.7362671
342.428,20433726.4311523
342.792,20496113.840271
343.154,18848677.1679688
343.517,21122620.7293701
343.905,19916251.9529419
344.69,19848634.5054321
345.14,19075620.3642578
345.51,19206353.4888306
345.88,19089549.5386963
346.322,20048487.2143555
346.873,21435821.1893311
347.305,22920229.3968506
347.738,21760267.9251709
348.094,22099941.1087036
348.45,21896960.1490479
348.81,22016744.9028931
349.268,19403203.5197754
349.828,20370046.1852417
350.188,20882412.999939
350.549,20679845.6292114
350.918,17509818.2327271
351.28,21610433.1149292
351.723,19722692.2424927
352.083,19375031.4916992
352.443,20031152.0996094
352.813,17979220.0952148
353.6,20592633.7252197
353.964,20905293.4368896
354.325,20640151.8190918
354.771,20055236.3104248
355.336,18588742.5217285
355.703,19001273.6831055
356.069,19104181.0336914
356.623,20112053.1695557
357.061,21029391.8887329
357.73,20201334.9411621
358.086,20731662.4164429
358.446,20752985.1986084
358.995,19910707.6636963
359.356,18444317.0025635
359.709,16789857.2441406
360.076,19313448.6830444
360.436,21192095.8961792
360.989,20099104.4370117
361.352,20904758.2134399
361.706,24668214.6662598
362.062,21252428.9610596
362.496,20612441.6914673
362.942,15491195.7365723
363.302,16655099.3046265
363.66,21104991.7115479
364.204,23195337.8562622
364.644,20558272.7408447
365.211,19008175.9585571
365.576,20159656.5145874
365.93,12125454.4051514
366.483,19497004.0178833
366.846,19582148.262207
367.211,20150939.6442261
367.573,20254455.6933594
368.008,20873029.9504395
368.369,20005386.017334
368.735,21031143.953125
369.098,18235355.055603
369.748,10192728.902832
370.187,19327295.7220459
370.753,16054489.9439697
371.304,17820340.3205566
371.683,18065396.0490112
372.054,17716921.8266602
372.419,18762470.4391479
372.795,16245384.9937744
373.24,998351.152557373
373.607,18186486.1680908
374.061,17342827.0742188
374.505,18478400.2789307
375.169,16876859.2746582
375.534,19412144.9100342
375.897,18395881.1234131
376.26,19741384.9301758
376.701,17071180.1256104
377.065,19174666.3543091
377.426,21317122.8121338
378.317,20111057.7879639
378.673,1608870.88278198
379.036,20651664.6856689
379.401,18551350.2739258
379.761,19234905.9611206
380.123,18371162.3261719
380.486,19535007.257019
380.852,18317645.1358643
381.651,501890.582305908
382.018,17398726.0242615
382.385,18134141.1253052
382.751,19342550.4691162
383.199,18847974.2001343
383.562,19998303.4574585
383.927,20937125.482605
384.364,20825416.1351929
384.912,4842692.22584534
385.281,16750136.2207031
385.723,20298381.4122925
386.085,18988367.975647
386.452,20500713.6432495
386.905,16862697.5715942
387.576,17808887.0387573
387.938,20925454.9924927
388.297,20744285.7009888
388.653,23208925.3776855
389.328,17867119.7751465
389.697,18711502.8474731
390.067,20352734.7835693
390.505,19447495.4230347
390.865,20394174.987854
391.23,18985102.6750488
391.668,20270865.4059448
392.098,23705087.6739502
392.458,21000716.7567139
392.819,21781809.6119385
393.18,21430934.2619019
394.063,21595644.0864868
394.502,18475736.9499512
395.065,18805457.3062134
395.421,21521105.1720581
395.776,16634362.0481567
396.134,20717063.4741211
396.587,17951782.5710449
396.948,19426530.8110352
397.307,21932430.8551025
397.663,20702507.5749512
398.043,18540245.4865112
398.667,7294454.16131592
399.219,19181280.836853
399.575,19681541.5926514
399.932,20047243.4153442
400.292,19930219.3260498
400.656,18794710.5103149
401.024,17553662.3153076
401.391,20089302.1881714
401.75,19029931.7263794
402.11,20642684.81427
402.468,19554851.6086426
402.91,17713178.6942139
403.459,12863768.6472778
403.821,17607359.7643433
404.362,19710871.3550415
404.719,19900307.0235596
405.085,19106000.8459473
405.531,18917191.9523926
406.085,19206381.1151733
406.445,1151714.12109375
406.807,19758459.0223389
407.245,19399748.6468506
407.685,18897120.2620239
408.042,19593549.37854
408.401,20940427.3189087
408.84,20078090.6747437
409.198,21010335.9165649
409.57,18399038.9454346
409.929,20697449.8339844
410.29,21649664.8287964
410.648,20672891.321106
411.444,20289016.8511963
411.801,19501531.5744019
412.158,18343748.8894043
412.521,18924244.8394775
412.969,18325747.0827637
413.33,18757621.3833008
413.696,19362048.1637573
414.152,18085962.3189697
414.523,19626386.967041
414.96,21904968.7678833
415.344,17893827.1951904
415.703,19662104.0132446
416.259,20280286.1497803
416.628,16870546.5963135
416.99,17002732.9683838
417.348,19496807.2037354
417.804,17419402.3789673
418.169,6277053.46194458
418.529,17773752.9988403
418.892,19995239.7891846
419.254,18891588.5019531
419.613,19621895.4088745
420.051,16175411.4761353
420.41,20486283.8759766
420.766,20546473.6228027
421.221,1453598.99589539
421.587,18898366.9098511
422.028,19058581.4127808
422.391,18976680.8902588
422.748,19155360.1160278
423.108,20170683.6651001
423.47,19777507.5102539
424.357,18574661.5263672
424.729,16512627.6765747
425.087,20625896.0512695
425.749,18210546.2736206
